ZAWODNIK,KLUB,MIN,MECZE,OSTATNI GOL,PRZECIW
Krystian Miś,Wisła Płock,287,8,-,-
Matej Palcic,Wisła Kraków,283,3,06.04.2019,Piast
Adam Marciniak,Arka Gdynia,280,3,28.04.2019,Korona
Łukasz Burliga,Wisła Kraków,276,4,03.04.2019,Zagłębie S.
Elton Monteiro,Miedź Legnica,275,4,-,-
Frederik Helstrup,Arka Gdynia,270,3,03.05.2019,Wisła P.
Michal Siplak,Cracovia,254,2,11.05.2019,Lech
Mateusz Cholewiak,Śląsk Wrocław,242,2,11.05.2019,Wisła P.
Damian Byrtek,Piast Gliwice,232,5,10.03.2018,Korona
Lubomir Guldan,Zagłębie Lubin,226,2,12.05.2019,Lechia
Wojciech Golla,Śląsk Wrocław,213,2,05.05.2019,Zagłębie S.
Aleksandar Bjelica,Korona Kielce,202,3,-,-
Paweł Bochniewicz,Górnik Zabrze,201,2,11.05.2019,Miedź
Giorgios Mygas,Zagłębie Sosnowiec,181,2,05.05.2019,Śląsk
Dawid Szot,Wisła Kraków,180,2,-,-
Paweł Stolarski,Legia Warszawa,169,2,27.04.2019,Lechia
Augusto,Śląsk Wrocław,129,1,14.05.2019,Miedź
Piotr Pierzchała,Korona Kielce,125,2,-,-
Paweł Kucharczyk,Śląsk Wrocław,90,1,-,-
Daniel Morys,Wisła Kraków,90,1,-,-
Michał Ozga,Jagiellonia Białystok,90,1,-,-
Roman Janicki,Zagłębie Sosnowiec,45,1,-,-
Konrad Kumor,Zagłębie Sosnowiec,29,2,-,-
Michał Dziubek,Korona Kielce,15,1,-,-
Filip Dymerski,Lechia Gdańsk,1,1,-,-
Adam Hlousek,Legia Warszawa,0,0,19.05.2019,Zagłębie L.
Paweł Zieliński,Miedź Legnica,0,0,18.05.2019,Wisła K.
