ZAWODNIK,KLUB,GOLE,ASYSTY,KANADYJSKA,CZAS,MIN/GOL,MIN/G+AS
Gerard Badia,Piast Gliwice,2,6,8,786,"393,0","98,3"
Luka Zarandia,Arka Gdynia,5,3,8,2058,"411,6","257,3"
Jorge Felix,Piast Gliwice,6,3,9,2548,"424,7","283,1"
Ivan Jukić,Korona Kielce,3,1,4,1302,"434,0","325,5"
Dominik Nagy,Legia Warszawa,5,7,12,2210,"442,0","184,2"
Robert Pich,Śląsk Wrocław,6,7,13,2676,"446,0","205,8"
Aleksandar Sedlar,Piast Gliwice,6,0,6,2700,"450,0","450,0"
Mateusz Matras,Górnik Zabrze,3,2,5,1407,"469,0","281,4"
Joel Valencia,Piast Gliwice,6,4,10,2837,"472,8","283,7"
Michał Kucharczyk,Legia Warszawa,4,4,8,1894,"473,5","236,8"
Kasper Hamalainen,Legia Warszawa,2,3,5,976,"488,0","195,2"
Mateusz Możdżeń,Korona/Zagłębie S,4,1,5,1960,"490,0","392,0"
Dawid Kort,Wisła Kraków,3,1,4,1481,"493,7","370,3"
Vukan Savicević,Wisła Kraków,2,4,6,996,"498,0","166,0"
Darko Jevtić,Lech Poznań,3,5,8,1556,"518,7","194,5"
Mateusz Cholewiak,Śląsk Wrocław,4,2,6,2124,"531,0","354,0"
Dominik Furman,Wisła Płock,6,7,13,3216,"536,0","247,4"
Szymon Pawłowski,Zagłębie Sosnowiec,5,4,9,2835,"567,0","315,0"
Lukas Haraslin,Lechia Gdańsk,4,5,9,2317,"579,3","257,4"
Jakub Arak,Lechia Gdańsk,1,3,4,580,"580,0","145,0"
Damian Zbozień,Arka Gdynia,5,2,7,2901,"580,2","414,4"
Konrad Wrzesiński,Zagłębie Sosnowiec,3,6,9,1749,"583,0","194,3"
Augusto,Śląsk Wrocław,2,2,4,1168,"584,0","292,0"
Boris Sekulić,Górnik Zabrze,2,3,5,1170,"585,0","234,0"
Sergiu Hanca,Cracovia,2,2,4,1172,"586,0","293,0"
Arkadiusz Piech,Śląsk Wrocław,2,3,5,1174,"587,0","234,8"
Jesus Jimenez,Górnik Zabrze,5,9,14,2939,"587,8","209,9"
Cafu,Legia Warszawa,4,2,6,2470,"617,5","411,7"
Tom Hateley,Piast Gliwice,4,4,8,2635,"658,8","329,4"
Henrik Ojamaa,Miedź Legnica,3,5,8,2055,"685,0","256,9"
Adam Hlousek,Legia Warszawa,3,3,6,2085,"695,0","347,5"
Juan Camara,Miedź Legnica,3,2,5,2104,"701,3","420,8"
Kamil Jóźwiak,Lech Poznań,3,2,5,2111,"703,7","422,2"
Michał Chrapek,Śląsk Wrocław,3,6,9,2173,"724,3","241,4"
Pedro Tiba,Lech Poznań,4,1,5,2908,"727,0","581,6"
Jarosław Kubicki,Lechia Gdańsk,4,2,6,3103,"775,8","517,2"
Paweł Zieliński,Miedź Legnica,3,2,5,2379,"793,0","475,8"
Sebastian Kowalczyk,Pogoń Szczecin,2,4,6,1592,"796,0","265,3"
Kamil Zapolnik,Górnik Zabrze,2,2,4,1595,"797,5","398,8"
Dani Suarez,Górnik Zabrze,3,1,4,2443,"814,3","610,8"
Marko Poletanović,Jagiellonia,2,4,6,1634,"817,0","272,3"
Filip Jagiełło,Zagłębie Lubin,3,6,9,2576,"858,7","286,2"
Rafał Augustyniak,Miedź Legnica,2,2,4,1721,"860,5","430,3"
Vullnet Basha,Wisła Kraków,3,3,6,2607,"869,0","434,5"
Mateusz Wdowiak,Cracovia,3,4,7,2620,"873,3","374,3"
Damian Szymański,Wisła Płock,2,5,7,1750,"875,0","250,0"
Ivan Runje,Jagiellonia,3,1,4,2642,"880,7","660,5"
Szymon Żurkowski,Górnik Zabrze,3,1,4,2685,"895,0","671,3"
Piotr Celeban,Śląsk Wrocław,3,1,4,2690,"896,7","672,5"
Rafał Boguski,Wisła Kraków,2,6,8,1969,"984,5","246,1"
Martin Kostal,Wisła K/Jagiellonia,2,6,8,2020,"1010,0","252,5"
Filip Mladenović,Lechia Gdańsk,3,9,12,3125,"1041,7","260,4"
Rafał Pietrzak,Wisła Kraków,3,5,8,3135,"1045,0","391,9"
Alan Uryga,Wisła Płock,3,1,4,3150,"1050,0","787,5"
Adam Deja,Arka Gdynia,2,3,5,2125,"1062,5","425,0"
Adnan Kovacević,Korona Kielce,2,4,6,2520,"1260,0","420,0"
Fabian Piasecki,Miedź Legnica,1,4,5,1330,"1330,0","266,0"
Sebastian Szymański,Legia Warszawa,2,6,8,2711,"1355,5","338,9"
Guilherme Sitya,Jagiellonia,2,7,9,2807,"1403,5","311,9"
Walerian Gwilia,Górnik Zabrze,1,4,5,1415,"1415,0","283,0"
Aleksandyr Kolew,Arka Gdynia,1,3,4,1417,"1417,0","354,3"
Mikkel Kirkeskov,Piast Gliwice,2,2,4,3240,"1620,0","810,0"
Artur Pikk,Miedź Legnica,1,3,4,1664,"1664,0","416,0"
Nico Varela,Wisła Płock,1,5,6,1685,"1685,0","280,8"
Milan Dimun,Cracovia,1,4,5,2091,"2091,0","418,2"
Michal Siplak,Cracovia,1,3,4,2549,"2549,0","637,3"
Jakub Bartkowski,Wisła K/Pogoń,1,3,4,2553,"2553,0","638,3"
Martin Pospisil,Jagiellonia,1,5,6,2593,"2593,0","432,2"
Goran Cvijanović,Arka Gdynia,0,4,4,400,-,"100,0"
Martin Konczkowski,Piast Gliwice,0,8,8,2535,-,"316,9"
Damian Gąska,Śląsk Wrocław,0,5,5,1330,-,"266,0"
Maciej Makuszewski,Lech Poznań,0,6,6,2000,-,"333,3"
