ZAWODNIK,KLUB,MIAŁ,STWORZYŁ,% WYK.
Jakub Tosik,Zagłębie Lubin,1,0,"0,0%"
Adam Chrzanowski,Lechia Gdańsk,1,0,"100,0%"
Bartosz Kwiecień,Jagiellonia,1,0,"100,0%"
Carlitos Oliveira,Wisła Płock,1,0,"0,0%"
Fran Cruz,Miedź Legnica,1,0,"0,0%"
Dejan Vokić,Zagłębie Sosnowiec,1,0,"0,0%"
Rafał Wolsztyński,Górnik Zabrze,1,0,"0,0%"
Adam Danch,Arka Gdynia,1,0,"100,0%"
Tomasz Mokwa,Piast Gliwice,1,0,"0,0%"
Jarosław Niezgoda,Legia Warszawa,1,0,"0,0%"
Salvador Agra,Legia Warszawa,1,0,"0,0%"
Mariusz Malec,Pogoń Szczecin,1,0,"100,0%"
Stefan Scepović,Jagiellonia,1,0,"0,0%"
Michael Olczyk,Arka Gdynia,1,0,"0,0%"
Jin Izumisawa,Pogoń Szczecin,1,0,"100,0%"
Uros Korun,Piast Gliwice,1,0,"0,0%"
Aleksandar Miljković,Miedź Legnica,1,0,"0,0%"
Marcin Pietrowski,Piast Gliwice,1,0,"100,0%"
Patryk Plewka,Wisła Kraków,1,0,"0,0%"
Paweł Bochniewicz,Górnik Zabrze,1,0,"100,0%"
Dani Suarez,Górnik Zabrze,1,0,"0,0%"
Joonas Tamm,Korona Kielce,1,0,"0,0%"
Maciej Śliwa,Wisła Kraków,1,0,"100,0%"
