ZAWODNIK,KLUB,POZYCJA,MIN,MECZE,OSTATNI GOL,PRZECIW
Tomasz Hołota,Pogoń Szczecin,pomocnik,1069,15,02.04.2018,Śląsk
Ivan Jukić,Korona Kielce,pomocnik,1053,19,03.08.2018,Wisła P.
Adrian Purzycki,Miedź Legnica,pomocnik,1040,17,-,-
Ognjen Gnjatić,Korona Kielce,pomocnik,979,13,-,-
Nabil Aankour,Arka Gdynia,pomocnik,956,16,26.11.2018,Wisła K.
Michał Chrapek,Śląsk Wrocław,pomocnik,942,10,08.03.2019,Jagiellonia
Semir Stilić,Wisła Płock,pomocnik,881,19,07.04.2018,Jagiellonia
Omar Santana,Miedź Legnica,pomocnik,876,10,10.03.2019,Lech
Rafał Boguski,Wisła Kraków,pomocnik,876,12,10.11.2018,Zagłębie L.
Daniel Liszka,Górnik Zabrze,pomocnik,866,16,-,-
Henrik Ojamaa,Miedź Legnica,pomocnik,865,17,09.12.2018,Górnik Z.
Mateusz Mak,Piast Gliwice,pomocnik,843,18,30.07.2018,Pogoń
Michał Kucharczyk,Legia Warszawa,pomocnik,840,13,01.12.2018,Korona
Mateusz Matras,Górnik Zabrze,pomocnik,812,9,02.04.2019,Zagłębie L.
Vullnet Basha,Wisła Kraków,pomocnik,801,9,03.03.2019,Pogoń
Daniel Łukasik,Lechia Gdańsk,pomocnik,789,9,16.03.2019,Zagłębie S.
Patryk Plewka,Wisła Kraków,pomocnik,774,18,-,-
Lubambo Musonda,Śląsk Wrocław,pomocnik,761,12,-,-
Arvydas Novikovas,Jagiellonia Białystok,pomocnik,753,9,02.03.2019,Górnik Z.
Kamil Wojtkowski,Wisła Kraków,pomocnik,747,18,15.09.2018,Lechia
Farshad Ahmadzadeh,Śląsk Wrocław,pomocnik,734,19,27.08.2018,Zagłębie S.
Wato Arweladze,Korona Kielce,pomocnik,729,11,16.03.2019,Jagiellonia
Sebastian Szymański,Legia Warszawa,pomocnik,727,9,03.04.2019,Jagiellonia
Patryk Dziczek,Piast Gliwice,pomocnik,701,7,06.04.2019,Wisła K.
Fabian Piasecki,Miedź Legnica,napastnik,683,18,05.10.2018,Piast
Tymoteusz Klupś,Lech Poznań,napastnik,651,14,16.12.2018,Zagłębie S.
Christian Gytkjaer,Lech Poznań,napastnik,650,8,03.03.2019,Arka
Bartłomiej Pawłowski,Zagłębie Lubin,pomocnik,611,7,05.04.2019,Korona
Filip Jagiełło,Zagłębie Lubin,pomocnik,604,7,13.04.2019,Wisła K.
Flavio Paixao,Lechia Gdańsk,pomocnik,596,7,13.04.2019,Cracovia
Maciej Gajos,Lech Poznań,pomocnik,574,9,10.03.2019,Miedź
Jakub Łabojko,Śląsk Wrocław,pomocnik,572,8,30.03.2019,Arka
Matej Pucko,Korona Kielce,pomocnik,562,10,16.03.2019,Jagiellonia
Jakub Arak,Lechia Gdańsk,napastnik,542,23,10.08.2018,Miedź
Felicio Brown Forbes,Korona Kielce,pomocnik,538,7,02.04.2019,Cracovia
Marcin Wasielewski,Lech Poznań,pomocnik,536,9,11.11.2018,Jagiellonia
Kamil Drygas,Pogoń Szczecin,pomocnik,536,6,20.04.2019,Zagłębie L.
Adam Ryczkowski,Górnik Zabrze,pomocnik,535,12,01.03.2015,Podbeskidzie
Andre Martins,Legia Warszawa,pomocnik,514,6,03.04.2019,Jagiellonia
Dawid Pakulski,Zagłębie Lubin,pomocnik,514,14,14.09.2018,Śląsk
Łukasz Garguła,Miedź Legnica,pomocnik,511,17,09.05.2015,Górnik Z.
Dominik Furman,Wisła Płock,pomocnik,508,5,25.04.2019,Korona
Goran Cvijanović,Arka Gdynia,pomocnik,469,17,27.04.2018,Legia
Krzysztof Drzazga,Wisła Kraków,napastnik,462,5,25.04.2019,Zagłębie S.
Adrian Benedyczak,Pogoń Szczecin,napastnik,459,15,-,-
Jakub Mares,Zagłębie Lubin,napastnik,452,18,22.09.2018,Lechia
Mateusz Szwoch,Wisła Płock,pomocnik,436,5,22.04.2019,Wisła K.
Jakub Serafin,Cracovia,pomocnik,418,8,-,-
Kamil Zapolnik,Górnik Zabrze,pomocnik,413,6,22.04.2019,Arka
Petteri Forsell,Miedź Legnica,pomocnik,413,4,28.04.2019,Wisła P.
