ZAWODNIK,KLUB,ŻK,CZK BEZP,CZK,żk faul,czk faul,żk ręka,żk rywal,żk sędzia,żk czas,żk syml,żk ciesz,żk inne,czk ręka,czk rywal,czk inne,czk sędzia
Łukasz Załuska,Pogoń Szczecin,2,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0
Sebastian Rudol,Pogoń Szczecin,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Giorgi Gabedawa,Zagłębie Sosnowiec,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Alan Czerwiński,Zagłębie Lubin,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Christian Gytkjaer,Lech Poznań,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Dziwniel,Zagłębie Lubin,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Dawid Sołdecki,Arka Gdynia,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Dejan Vokić,Zagłębie Sosnowiec,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Goran Cvijanović,Arka Gdynia,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Jasmin Burić,Lech Poznań,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Marcin Urynowicz,Górnik Zabrze,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Marquitos,Miedź Legnica,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Mateusz Żyro,Legia Warszawa,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Szymon Żurkowski,Górnik Zabrze,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Adam Wolniewicz,Górnik Zabrze,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Jakub Wójcicki,Jagiellonia,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Karol Świderski,Jagiellonia,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Maciej Górski,Korona Kielce,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Patryk Tuszyński,Zagłębie Lubin,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Sebastian Milewski,Zagłębie Sosnowiec,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Mateusz Machaj,Jagiellonia,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
