ZAWODNIK,KLUB,MECZE,PEŁNE,"W 1. ""11""",Z ŁAWKI,"W ""18""",CZAS
Wiktor Kaczorowski,Jagiellonia,0,0,0,0,5,0
Marian Kelemen,Jagiellonia,28,27,28,0,33,2508
Grzegorz Sandomierski,Jagiellonia,10,8,9,1,36,821
Zoran Arsenić,Jagiellonia,13,13,13,0,14,1170
Bodvar Bodvarsson,Jagiellonia,16,12,15,1,34,1274
Łukasz Burliga,Jagiellonia,11,7,10,1,13,850
Guilherme Sitya,Jagiellonia,34,27,31,3,34,2807
Andrej Kadlec,Jagiellonia,9,6,8,1,15,680
Lukas Klemenz,Jagiellonia,7,5,6,1,19,542
Bartosz Kwiecień,Jagiellonia,27,10,12,15,28,1384
Nemanja Mitrović,Jagiellonia,30,30,30,0,33,2700
Michał Ozga,Jagiellonia,1,1,1,0,4,90
Ivan Runje,Jagiellonia,30,28,30,0,30,2642
Jakub Wójcicki,Jagiellonia,23,12,16,7,24,1439
Martin Adamec,Jagiellonia,8,1,2,6,17,317
Przemysław Frankowski,Jagiellonia,15,11,13,2,15,1207
Rafał Grzyb,Jagiellonia,4,0,2,2,14,167
Jesus Imaz,Jagiellonia,14,4,12,2,14,1027
Martin Kostal,Jagiellonia,15,2,9,6,17,772
Justas Lasickas,Jagiellonia,1,0,0,1,7,16
Szymon Łapiński,Jagiellonia,0,0,0,0,8,0
Mateusz Machaj,Jagiellonia,13,0,6,7,17,468
Mikołaj Nawrocki,Jagiellonia,0,0,0,0,2,0
Arvydas Novikovas,Jagiellonia,31,20,30,1,32,2550
Marko Poletanović,Jagiellonia,25,7,20,5,26,1634
Martin Pospisil,Jagiellonia,34,17,29,5,36,2593
Taras Romanczuk,Jagiellonia,33,31,32,1,33,2906
Mile Savković,Jagiellonia,11,1,3,8,14,301
Piotr Wlazło,Jagiellonia,1,0,1,0,1,59
Roman Bezjak,Jagiellonia,16,5,10,6,17,1012
Patryk Klimala,Jagiellonia,22,1,8,14,30,647
Cillian Sheridan,Jagiellonia,10,6,7,3,10,642
Karol Świderski,Jagiellonia,17,2,11,6,18,1033
Stefan Sćepović,Jagiellonia,6,1,3,3,7,324
Maciej Twarowski,Jagiellonia,3,0,0,3,8,23
Matthias Hamrol,Korona,27,27,27,0,27,2430
Michał Miśkiewicz,Korona,8,8,8,0,22,720
Jakub Osobiński,Korona,0,0,0,0,6,0
Paweł Sokół,Korona,2,2,2,0,19,180
Aleksandar Bjelica,Korona,3,1,2,1,5,202
Elhadji Pape Diaw,Korona,20,17,19,1,20,1635
Ken Kallaste,Korona,12,5,6,6,18,665
Adnan Kovacević,Korona,31,23,30,1,32,2520
Piotr Malarczyk,Korona,16,6,7,9,29,854
Ivan Marquez,Korona,24,21,24,0,26,2067
Bartosz Rymaniak,Korona,31,29,31,0,32,2704
Joonas Tamm,Korona,6,3,5,1,13,352
Felicio Brown Forbes,Korona,19,4,13,6,26,1258
Marcin Cebula,Korona,21,4,13,8,21,1161
Wiktor Długosz,Korona,0,0,0,0,2,0
Maciej Firlej,Korona,0,0,0,0,4,0
Michael Gardawski,Korona,32,22,32,0,33,2587
Ognjen Gnjatić,Korona,13,8,11,2,14,979
Zlatko Janjić,Korona,17,6,10,7,19,972
Ivan Jukić,Korona,21,8,15,6,31,1302
Łukasz Kosakiewicz,Korona,25,15,16,9,33,1632
Mateusz Możdżeń,Korona,14,5,9,5,19,777
Oliver Petrak,Korona,31,15,28,3,36,2307
Matej Pućko,Korona,29,13,22,7,31,1956
Oskar Sewerzyński,Korona,5,0,1,4,8,122
Oktawian Skrzecz,Korona,5,1,2,3,14,228
Daniel Szelągowski,Korona,1,0,0,1,2,33
Jakub Żubrowski,Korona,32,25,28,4,33,2513
Wato Arweladze,Korona,23,4,13,10,33,1180
Maciej Górski,Korona,15,2,5,10,22,659
Piotr Pierzchała,Korona,1,1,1,0,2,90
Elia Soriano,Korona,33,21,27,6,33,2497
Jasmin Burić,Lech,27,26,27,0,33,2348
Matus Putnocky,Lech,11,10,10,1,33,982
Karol Szymański,Lech,0,0,0,0,8,0
Vernon De Marco,Lech,15,11,12,3,25,1107
Dimitris Goutas,Lech,9,8,8,1,14,733
Robert Gumny,Lech,19,19,19,0,21,1710
Rafał Janicki,Lech,21,20,21,0,35,1889
Wołodymyr Kostewycz,Lech,26,23,24,2,32,2169
Maciej Orłowski,Lech,2,2,2,0,7,180
Wiktor Pleśnierowicz,Lech,0,0,0,0,3,0
Thomas Rogne,Lech,23,21,22,1,26,1968
Piotr Tomasik,Lech,16,8,9,7,28,867
Nikola Vujadinović,Lech,23,22,22,1,23,1981
Joao Amaral,Lech,25,7,20,5,28,1779
Tomasz Cywka,Lech,9,3,7,2,12,550
Maciej Gajos,Lech,26,12,14,12,30,1438
Darko Jevtić,Lech,26,2,20,6,29,1556
Kamil Jóźwiak,Lech,31,8,25,6,32,2111
Maciej Makuszewski,Lech,29,11,22,7,29,2000
Filip Marchwiński,Lech,11,2,3,8,12,375
Mihai Radut,Lech,9,0,4,5,12,412
Mateusz Skrzypczak,Lech,3,0,2,1,7,163
Hubert Sobol,Lech,1,0,0,1,5,1
Pedro Tiba,Lech,33,29,33,0,33,2908
Łukasz Trałka,Lech,27,22,25,2,31,2235
Marcin Wasielewski,Lech,17,8,13,4,26,1099
Dioni,Lech,7,0,0,7,7,157
Christian Gytkjaer,Lech,31,20,29,2,32,2549
Tymoteusz Klupś,Lech,20,1,10,10,24,830
Krzysztof Kołodziej,Lech,3,0,1,2,3,92
Paweł Tomczyk,Lech,10,1,2,8,15,247
Timur Żamaletdinow,Lech,7,1,1,6,10,194
Zlatan Alomerović,Lechia,9,9,9,0,37,810
Dusan Kuciak,Lechia,28,28,28,0,35,2520
Maciej Woźniak,Lechia,0,0,0,0,2,0
Błażej Augustyn,Lechia,30,27,30,0,31,2652
Adam Chrzanowski,Lechia,3,1,1,2,10,102
Filip Dymerski,Lechia,1,0,0,1,2,1
Mateusz Lewandowski,Lechia,2,1,1,1,6,108
Filip Mladenović,Lechia,35,33,35,0,35,3125
Michał Nalepa II,Lechia,35,35,35,0,35,3150
Joao Nunes,Lechia,23,16,17,6,29,1619
Paweł Stolarski,Lechia,4,2,3,1,4,250
Steven Vitoria,Lechia,15,7,8,7,31,742
Ariel Borysiuk,Lechia,5,0,0,5,14,133
Karol Fila,Lechia,29,11,17,12,36,1625
Lukas Haraslin,Lechia,33,3,27,6,33,2317
Jarosław Kubicki,Lechia,35,34,35,0,36,3103
Patryk Lipski,Lechia,21,15,19,2,26,1647
Daniel Łukasik,Lechia,34,22,33,1,36,2816
Michał Mak,Lechia,19,0,12,7,27,899
Tomasz Makowski,Lechia,22,13,17,5,23,1604
Daniel Mikołajewski,Lechia,0,0,0,0,1,0
Egy Maulana Vikri,Lechia,2,0,0,2,9,12
Konrad Michalak,Lechia,22,1,15,7,28,1208
Flavio Paixao,Lechia,37,30,35,2,37,3117
Sławomir Peszko,Lechia,1,0,0,1,1,30
Mateusz Sopoćko,Lechia,5,1,1,4,20,164
Rafał Wolski,Lechia,9,0,7,2,11,545
Jakub Arak,Lechia,24,0,6,18,28,580
Artur Sobiech,Lechia,26,6,14,12,27,1521
Mateusz Żukowski,Lechia,8,0,2,6,16,180
Radosław Cierzniak,Legia,15,15,15,0,33,1350
Radosław Majecki,Legia,14,14,14,0,17,1260
Arkadiusz Malarz,Legia,8,8,8,0,23,720
Cezary Miszta,Legia,0,0,0,0,1,0
Inaki Astiz,Legia,10,4,6,4,24,533
Adam Hlousek,Legia,25,22,23,2,26,2085
Mateusz Hołownia,Legia,3,2,3,0,4,239
Artur Jędrzejczyk,Legia,31,30,31,0,31,2775
Michał Pazdan,Legia,2,0,2,0,10,79
William Remy,Legia,16,14,16,0,19,1381
Luis Rocha,Legia,11,7,11,0,15,921
Paweł Stolarski,Legia,14,8,12,2,26,963
Mateusz Wieteska,Legia,27,22,22,5,32,2124
Mateusz Żyro,Legia,3,2,3,0,4,247
Salvador Agra,Legia,4,0,2,2,11,160
Domagoj Antolić,Legia,25,12,21,4,31,1788
Cafu,Legia,31,24,27,4,33,2470
Kasper Hamalainen,Legia,17,4,11,6,22,976
Michał Kucharczyk,Legia,28,10,24,4,28,1894
Andre Martins,Legia,26,13,23,3,26,1950
Krzysztof Mączyński,Legia,4,2,3,1,8,262
Iuri Medeiros,Legia,14,2,8,6,15,645
Konrad Michalak,Legia,1,0,1,0,3,45
Dominik Nagy,Legia,30,16,22,8,33,2210
Cristian Pasquato,Legia,7,0,0,7,12,93
Chris Philipps,Legia,5,1,2,3,8,210
Miroslav Radović,Legia,8,0,2,6,21,175
Sebastian Szymański,Legia,34,22,31,3,34,2711
Marko Vesović,Legia,25,22,25,0,26,2206
Carlitos,Legia,36,13,29,7,36,2608
Eduardo,Legia,1,0,0,1,3,15
Jose Kante,Legia,16,2,5,11,16,551
Sandro Kulenović,Legia,21,2,5,16,28,723
Jarosław Niezgoda,Legia,5,0,0,5,7,138
Sosłan Dżanajew,Miedź,7,7,7,0,10,630
Anton Kanibołoćkyj,Miedź,20,20,20,0,30,1800
Łukasz Sapela,Miedź,10,10,10,0,34,900
Frank Adu Kwame,Miedź,6,4,6,0,9,488
Rafał Augustyniak,Miedź,22,14,21,1,24,1721
Grzegorz Bartczak,Miedź,24,19,22,2,33,1954
Tomislav Božić,Miedź,19,15,18,1,20,1595
Fran Cruz,Miedź,8,6,7,1,14,640
Jonathan de Amo,Miedź,4,3,3,1,6,300
Elton Monteiro,Miedź,4,3,3,1,6,275
Aleksandar Miljković,Miedź,17,14,16,1,18,1426
Bożo Musa,Miedź,12,10,11,1,12,1005
Kornel Osyra,Miedź,20,18,20,0,29,1792
Artur Pikk,Miedź,21,14,18,3,34,1664
Paweł Zieliński,Miedź,31,22,28,3,34,2379
Mateusz Żyro,Miedź,6,2,2,4,13,194
Juan Camara,Miedź,27,17,23,4,29,2104
Borja Fernandez,Miedź,30,14,26,4,31,2245
Petteri Forsell,Miedź,37,27,33,4,37,2940
Łukasz Garguła,Miedź,12,1,2,10,27,284
Hubert Kisiel,Miedź,0,0,0,0,1,0
Marquitos,Miedź,10,4,9,1,10,712
Wojciech Łobodziński,Miedź,16,4,7,9,18,819
Patryk Makuch,Miedź,3,0,0,3,8,32
Henrik Ojamaa,Miedź,35,8,24,11,37,2055
Adrian Purzycki,Miedź,17,10,12,5,35,1040
Joan Roman,Miedź,12,5,9,3,15,828
Omar Santana,Miedź,24,12,21,3,25,1858
Fabian Piasecki,Miedź,28,6,13,15,30,1330
Mateusz Piątkowski,Miedź,14,3,5,9,16,555
Mateusz Szczepaniak,Miedź,18,5,11,7,21,1029
Karol Dybowski,Piast,0,0,0,0,4,0
Frantisek Plach,Piast,25,25,25,0,34,2250
Jakub Szmatuła,Piast,12,12,12,0,36,1080
Damian Byrtek,Piast,0,0,0,0,8,0
Jakub Czerwiński,Piast,36,36,36,0,36,3240
Mikkel Kirkeskov,Piast,36,36,36,0,36,3240
Martin Konczkowski,Piast,32,19,28,4,36,2535
Uros Korun,Piast,9,9,9,0,35,810
Tomasz Mokwa,Piast,5,3,4,1,23,389
Marcin Pietrowski,Piast,25,17,23,2,32,1944
Aleksandar Sedlar,Piast,30,30,30,0,32,2700
Gerard Badia,Piast,21,1,7,14,26,786
Remigiusz Borkała,Piast,0,0,0,0,2,0
Patryk Dziczek,Piast,33,30,32,1,35,2814
Denis Gojko,Piast,5,0,1,4,7,118
Tom Hateley,Piast,34,26,29,5,34,2635
Aleksander Jagiełło,Piast,16,1,6,10,21,609
Tomasz Jodłowiec,Piast,25,14,17,8,26,1514
Mateusz Mak,Piast,20,2,11,9,25,944
Patryk Sokołowski,Piast,12,0,0,12,27,170
Joel Valencia,Piast,33,18,33,0,33,2837
Karsten Ayong,Piast,1,0,0,1,3,11
Jorge Felix,Piast,34,14,31,3,34,2548
Karol Stanek,Piast,1,0,0,1,1,2
Michal Papadopulos,Piast,32,5,17,15,35,1540
Piotr Parzyszek,Piast,33,0,20,13,37,1746
Paweł Tomczyk,Piast,4,0,0,4,7,53
Łukasz Budziłek,Pogoń,1,1,1,0,16,90
Jakub Bursztyn,Pogoń,10,10,10,0,25,900
Łukasz Załuska,Pogoń,26,25,26,0,33,2330
Jakub Bartkowski,Pogoń,13,11,11,2,16,1000
Lasza Dwali,Pogoń,13,12,13,0,14,1124
Jarosław Fojut,Pogoń,10,4,8,2,14,688
Mariusz Malec,Pogoń,22,20,21,1,33,1868
Hubert Matynia,Pogoń,29,18,22,7,32,2076
David Niepsuj,Pogoń,10,6,10,0,13,814
Ricardo Nunes,Pogoń,20,15,19,1,24,1633
Sebastian Rudol,Pogoń,10,3,4,6,16,332
David Stec,Pogoń,26,14,21,5,33,1873
Sebastian Walukiewicz,Pogoń,29,24,28,1,29,2545
Dawid Błanik,Pogoń,8,0,1,7,16,161
Spas Delew,Pogoń,14,0,6,8,17,604
Kamil Drygas,Pogoń,35,30,34,1,35,3025
Iker Guarrotxena,Pogoń,24,6,16,8,30,1353
Tomasz Hołota,Pogoń,8,4,5,3,11,458
Santeri Hostikka,Pogoń,8,1,2,6,14,279
Jin Izumisawa,Pogoń,1,0,0,1,8,28
Sebastian Kowalczyk,Pogoń,28,8,19,9,35,1592
Kacper Kozłowski,Pogoń,1,0,0,1,2,1
Zvonimir Kozulj,Pogoń,34,19,31,3,34,2685
Marcin Listkowski,Pogoń,2,0,0,2,2,44
Radosław Majewski,Pogoń,36,15,32,4,37,2718
Tomas Podstawski,Pogoń,30,26,30,0,30,2650
Stanisław Wawrzynowicz,Pogoń,0,0,0,0,5,0
Michał Żyro,Pogoń,11,0,2,9,15,264
Adrian Benedyczak,Pogoń,12,2,3,9,25,399
Soufian Benyamina,Pogoń,15,2,3,12,16,562
Adam Buksa,Pogoń,22,13,22,0,22,1817
Adam Frączczak,Pogoń,8,7,7,1,9,643
Maciej Żurawski,Pogoń,1,0,0,1,4,9
Jakub Słowik,Śląsk,35,35,35,0,35,3150
Damian Szczerbal,Śląsk,0,0,0,0,4,0
Jakub Wrąbel,Śląsk,2,2,2,0,35,180
Augusto,Śląsk,17,9,13,4,21,1168
Łukasz Broź,Śląsk,22,20,22,0,25,1926
Mateusz Cholewiak,Śląsk,29,18,24,5,31,2124
Piotr Celeban,Śląsk,30,29,30,0,35,2690
Dorde Cotra,Śląsk,15,13,14,1,20,1223
Kamil Dankowski,Śląsk,11,8,10,1,25,905
Wojciech Golla,Śląsk,35,35,35,0,36,3150
Mateusz Hołownia,Śląsk,8,7,7,1,8,675
Paweł Kucharczyk,Śląsk,1,1,1,0,1,90
Mariusz Pawelec,Śląsk,10,9,10,0,29,874
Igors Tarasovs,Śląsk,17,12,14,3,25,1303
Farshad Ahmadzadeh,Śląsk,25,5,12,13,33,1200
Bartosz Boruń,Śląsk,0,0,0,0,1,0
Michał Chrapek,Śląsk,32,7,27,5,33,2173
Damian Gąska,Śląsk,29,5,12,17,36,1330
Jakub Kosecki,Śląsk,1,1,1,0,1,90
Jakub Łabojko,Śląsk,21,9,17,4,27,1385
Daniel Łuczak,Śląsk,4,0,2,2,10,111
Krzysztof Mączyński,Śląsk,15,11,15,0,15,1287
Lubambo Musonda,Śląsk,12,5,9,3,13,761
Maciej Pałaszewski,Śląsk,12,4,9,3,17,752
Robert Pich,Śląsk,33,18,31,2,34,2676
Mateusz Radecki,Śląsk,29,8,10,19,29,1188
Arkadiusz Piech,Śląsk,24,2,15,9,32,1174
Marcin Robak,Śląsk,35,24,30,5,35,2811
Piotr Samiec-Talar,Śląsk,1,0,0,1,6,4
Daniel Szczepan,Śląsk,8,0,0,8,14,97
Kamil Broda,Wisła K,0,0,0,0,5,0
Michał Buchalik,Wisła K,4,2,4,0,25,267
Kacper Chorążka,Wisła K,0,0,0,0,2,0
Mateusz Lis,Wisła K,35,33,33,2,35,3061
Tobiasz Weinzettel,Wisła K,0,0,0,0,7,0
Zoran Arsenić,Wisła K,12,9,9,3,16,830
Jakub Bartkowski,Wisła K,18,17,17,1,18,1553
Jakub Bartosz,Wisła K,8,0,1,7,14,121
Łukasz Burliga,Wisła K,11,4,7,4,11,629
Marcin Grabowski,Wisła K,8,4,5,3,22,461
Daniel Hoyo-Kowalski,Wisła K,4,4,4,0,4,360
Lukas Klemenz,Wisła K,10,7,8,2,15,698
Matej Palcić,Wisła K,12,7,9,3,25,843
Rafał Pietrzak,Wisła K,36,33,35,1,36,3135
Maciej Sadlok,Wisła K,27,26,27,0,28,2421
Dawid Szot,Wisła K,2,2,2,0,9,180
Marcin Wasilewski,Wisła K,28,28,28,0,29,2520
Vullnet Basha,Wisła K,30,25,30,0,30,2607
Jakub Błaszczykowski,Wisła K,8,5,8,0,8,689
Rafał Boguski,Wisła K,27,11,23,4,27,1969
Tibor Halilović,Wisła K,11,3,4,7,12,464
Jesus Imaz,Wisła K,17,12,16,1,17,1431
Martin Kostal,Wisła K,19,2,15,4,20,1248
Dawid Kort,Wisła K,20,4,18,2,20,1481
Emmanuel Kumah,Wisła K,4,0,0,4,6,68
Kacper Laskoś,Wisła K,0,0,0,0,2,0
Daniel Morys,Wisła K,1,1,1,0,9,90
Patryk Moskiewicz,Wisła K,0,0,0,0,1,0
Sławomir Peszko,Wisła K,14,6,14,0,14,1083
Patryk Plewka,Wisła K,18,4,8,10,32,774
Patryk Małecki,Wisła K,5,1,4,1,6,301
Vukan Savicević,Wisła K,12,9,11,1,12,996
Wojciech Słomka,Wisła K,5,0,0,5,11,83
Maciej Śliwa,Wisła K,5,0,1,4,13,164
Kamil Wojtkowski,Wisła K,24,4,6,18,27,822
Artur Balicki,Wisła K,2,0,0,2,6,5
Paweł Brożek,Wisła K,14,1,5,9,18,473
Aleksander Buksa,Wisła K,4,0,0,4,6,35
Krzysztof Drzazga,Wisła K,17,5,16,1,17,1294
Marko Kolar,Wisła K,26,11,20,6,31,1797
Zdenek Ondrasek,Wisła K,19,15,18,1,19,1604
Thomas Dahne,Wisła P,30,28,30,0,30,2643
Mateusz Kryczka,Wisła P,0,0,0,0,2,0
Adrian Tokarski,Wisła P,0,0,0,0,1,0
Marcel Zapytowski,Wisła P,2,1,1,1,11,102
Bartłomiej Żynel,Wisła P,7,6,6,1,30,585
Adam Dźwigała,Wisła P,21,16,20,1,28,1652
Angel Garcia,Wisła P,16,16,16,0,16,1440
Igor Łasicki,Wisła P,27,23,25,2,34,2234
Jake McGing,Wisła P,12,11,12,0,12,1055
Krystian Miś,Wisła P,0,0,0,0,7,0
Bartłomiej Sielewski,Wisła P,10,3,4,6,23,468
Cezary Stefańczyk,Wisła P,20,14,17,3,23,1555
Patryk Stępiński,Wisła P,12,7,9,3,28,868
Marcin Warcholak,Wisła P,13,11,13,0,17,1080
Ariel Borysiuk,Wisła P,12,6,9,3,14,815
Carlitos Oliveira,Wisła P,8,0,2,6,16,219
Dominik Furman,Wisła P,36,34,36,0,36,3216
Jakub Łukowski,Wisła P,17,1,7,10,25,700
Riccardo Grym,Wisła P,0,0,0,0,2,0
Justinas Marazas,Wisła P,6,2,5,1,11,399
Giorgi Merebaszwili,Wisła P,31,7,24,7,32,1933
Damian Rasak,Wisła P,31,20,28,3,36,2411
Ricardinho,Wisła P,35,13,27,8,35,2420
Alen Stevanović,Wisła P,9,0,4,5,9,408
Semir Stilić,Wisła P,12,1,4,8,23,371
Mateusz Szwoch,Wisła P,16,5,13,3,17,1089
Damian Szymański,Wisła P,20,18,20,0,20,1750
Alan Uryga,Wisła P,35,35,35,0,35,3150
Nico Varela,Wisła P,24,7,20,4,25,1685
Karol Angielski,Wisła P,17,2,4,13,23,543
Grzegorz Kuświk,Wisła P,15,1,7,8,16,632
Oskar Zawada,Wisła P,23,2,9,14,29,996
Kacper Bieszczad,Zagłębie,0,0,0,0,1,0
Konrad Forenc,Zagłębie,14,14,14,0,16,1260
Dominik Hładun,Zagłębie,23,22,23,0,23,2046
Mateusz Kuchta,Zagłębie,0,0,0,0,5,0
Piotr Leciejewski,Zagłębie,1,0,0,1,29,21
Sasa Balić,Zagłębie,29,23,28,1,30,2442
Alan Czerwiński,Zagłębie,16,8,11,5,17,932
Maciej Dąbrowski,Zagłębie,24,18,19,5,31,1770
Daniel Dziwniel,Zagłębie,15,9,11,4,34,994
Lubomir Guldan,Zagłębie,34,33,34,0,34,3015
Bartosz Kopacz,Zagłębie,26,22,23,3,30,2144
Damian Oko,Zagłębie,17,14,16,1,21,1459
Jakub Tosik,Zagłębie,22,10,15,7,35,1373
Maciej Warpas,Zagłębie,0,0,0,0,1,0
Damjan Bohar,Zagłębie,35,7,30,5,36,2547
Daniel Dudziński,Zagłębie,0,0,0,0,1,0
Filip Jagiełło,Zagłębie,32,18,31,1,33,2576
Łukasz Janoszka,Zagłębie,11,0,6,5,15,427
Adam Matuszczyk,Zagłębie,15,12,13,2,18,1207
Mateusz Matras,Zagłębie,7,0,1,6,14,169
Łukasz Moneta,Zagłębie,3,0,0,3,6,7
Patryk Mucha,Zagłębie,1,0,0,1,4,1
Dawid Pakulski,Zagłębie,16,2,5,11,27,532
Bartłomiej Pawłowski,Zagłębie,34,23,33,1,34,2893
Łukasz Poręba,Zagłębie,7,2,3,4,13,384
Władisław Sirotow,Zagłębie,10,0,1,9,16,209
Bartosz Slisz,Zagłębie,22,17,21,1,26,1797
Filip Starzyński,Zagłębie,33,29,33,0,33,2924
Arkadiusz Woźniak,Zagłębie,0,0,0,0,4,0
Paweł Żyra,Zagłębie,1,0,1,0,4,60
Jakub Mares,Zagłębie,25,1,4,21,32,576
Olaf Nowak,Zagłębie,0,0,0,0,1,0
Patryk Szysz,Zagłębie,5,0,1,4,7,105
Patryk Tuszyński,Zagłębie,34,14,30,4,34,2653
Adrian Czaplak,Zagłębie S,0,0,0,0,1,0
Lukas Hrosso,Zagłębie S,12,12,12,0,14,1080
Dawid Kudła,Zagłębie S,24,23,24,0,30,2150
Matko Perdijić,Zagłębie S,2,1,1,1,29,98
Mateusz Cichocki,Zagłębie S,22,19,20,2,33,1850
Lukas Gressak,Zagłębie S,12,5,9,3,13,825
Michael Heinloth,Zagłębie S,29,19,24,5,32,2095
Roman Janicki,Zagłębie S,1,0,1,0,2,45
