ZAWODNIK,KLUB,Strzały,G,xG,xG/s,G-xG,non-pen xG,non-pen xG/s,non-pen G - non-pen xG
Mateusz Hołownia,Legia/Śląsk,7,0,"0,241","0,034","-0,241","0,241","0,034","-0,241"
Maksymilian Banaszewski,Arka Gdynia,3,0,"0,242","0,081","-0,242","0,242","0,081","-0,242"
Mihai Radut,Lech Poznań,5,0,"0,262","0,052","-0,262","0,262","0,052","-0,262"
Miroslav Radović,Legia Warszawa,3,0,"0,268","0,089","-0,268","0,268","0,089","-0,268"
Kornel Osyra,Miedź Legnica,5,0,"0,268","0,054","-0,268","0,268","0,054","-0,268"
Rafał Janicki,Lech Poznań,4,0,"0,270","0,068","-0,270","0,270","0,068","-0,270"
Fran Cruz,Miedź Legnica,4,0,"0,274","0,069","-0,274","0,274","0,069","-0,274"
Zoran Arsenić,Wisła K/Jagiellonia,3,0,"0,279","0,093","-0,279","0,279","0,093","-0,279"
Dioni,Lech Poznań,4,0,"0,284","0,071","-0,284","0,284","0,071","-0,284"
Piotr Tomasik,Lech Poznań,6,0,"0,284","0,047","-0,284","0,284","0,047","-0,284"
Vernon De Marco,Lech Poznań,8,0,"0,287","0,036","-0,287","0,287","0,036","-0,287"
Adam Matuszczyk,Zagłębie Lubin,8,0,"0,289","0,036","-0,289","0,289","0,036","-0,289"
Adam Wolniewicz,Górnik Zabrze,2,0,"0,292","0,146","-0,292","0,292","0,146","-0,292"
Mariusz Pawelec,Śląsk Wrocław,4,0,"0,302","0,076","-0,302","0,302","0,076","-0,302"
Joao Nunes,Lechia Gdańsk,8,0,"0,305","0,038","-0,305","0,305","0,038","-0,305"
Soufian Benyamina,Pogoń Szczecin,16,2,"2,308","0,144","-0,308","2,308","0,144","-0,308"
Mello,Zagłębie Sosnowiec,3,0,"0,314","0,105","-0,314","0,314","0,105","-0,314"
Dawid Błanik,Pogoń Szczecin,4,0,"0,316","0,079","-0,316","0,316","0,079","-0,316"
Maciej Sadlok,Wisła Kraków,13,0,"1,075","0,083","-1,075","0,325","0,027","-0,325"
Aleksandar Sedlar,Piast Gliwice,24,6,"5,836","0,243","0,164","1,336","0,074","-0,336"
Luka Marić,Arka Gdynia,2,0,"0,344","0,172","-0,344","0,344","0,172","-0,344"
Tadeusz Socha,Arka Gdynia,3,0,"0,347","0,116","-0,347","0,347","0,116","-0,347"
Konrad Nowak,Górnik Zabrze,6,0,"0,348","0,058","-0,348","0,348","0,058","-0,348"
Sebastian Milewski,Zagłębie Sosnowiec,12,0,"0,351","0,029","-0,351","0,351","0,029","-0,351"
Daniel Szczepan,Śląsk Wrocław,3,0,"0,351","0,117","-0,351","0,351","0,117","-0,351"
Mateusz Żyro,Legia/Miedź,3,0,"0,354","0,118","-0,354","0,354","0,118","-0,354"
Mateusz Cichocki,Zagłębie Sosnowiec,6,0,"0,355","0,059","-0,355","0,355","0,059","-0,355"
Sebastian Rudol,Pogoń Szczecin,3,0,"0,361","0,120","-0,361","0,361","0,120","-0,361"
Michael Olczyk,Arka Gdynia,2,0,"0,364","0,182","-0,364","0,364","0,182","-0,364"
Mateusz Machaj,Jagiellonia,10,0,"0,366","0,037","-0,366","0,366","0,037","-0,366"
Luis Rocha,Legia Warszawa,3,0,"0,369","0,123","-0,369","0,369","0,123","-0,369"
Marcin Warcholak,Wisła Płock,8,0,"0,370","0,046","-0,370","0,370","0,046","-0,370"
Adrian Benedyczak,Pogoń Szczecin,6,0,"0,373","0,062","-0,373","0,373","0,062","-0,373"
Frank Adu Kwame,Miedź Legnica,4,0,"0,387","0,097","-0,387","0,387","0,097","-0,387"
Martin Kostal,Wisła K/Jagiellonia,42,2,"2,388","0,057","-0,388","2,388","0,057","-0,388"
Ishmael Baidoo,Górnik Zabrze,4,0,"0,389","0,097","-0,389","0,389","0,097","-0,389"
Junior Torunarigha,Zagłębie Sosnowiec,3,0,"0,391","0,130","-0,391","0,391","0,130","-0,391"
Daniel Smuga,Górnik Zabrze,20,1,"1,391","0,070","-0,391","1,391","0,070","-0,391"
Wołodymyr Kostewycz,Lech Poznań,13,1,"1,395","0,107","-0,395","1,395","0,107","-0,395"
Igors Tarasovs,Śląsk Wrocław,18,1,"1,398","0,078","-0,398","1,398","0,078","-0,398"
Dimitris Goutas,Lech Poznań,5,0,"0,403","0,081","-0,403","0,403","0,081","-0,403"
Oktawian Skrzecz,Korona Kielce,3,0,"0,403","0,134","-0,403","0,403","0,134","-0,403"
Salvador Agra,Legia Warszawa,4,0,"0,403","0,101","-0,403","0,403","0,101","-0,403"
Lukas Haraslin,Lechia Gdańsk,57,4,"4,404","0,077","-0,404","4,404","0,077","-0,404"
Dejan Vokić,Zagłębie Sosnowiec,7,0,"0,407","0,058","-0,407","0,407","0,058","-0,407"
Giorgi Iwaniszwili,Zagłębie Sosnowiec,4,0,"0,414","0,104","-0,414","0,414","0,104","-0,414"
Farshad Ahmadzadeh,Śląsk Wrocław,16,1,"1,415","0,088","-0,415","1,415","0,088","-0,415"
Adam Marciniak,Arka Gdynia,17,1,"1,432","0,084","-0,432","1,432","0,084","-0,432"
Adam Ryczkowski,Górnik Zabrze,5,0,"0,433","0,087","-0,433","0,433","0,087","-0,433"
Andrij Bohdanow,Arka Gdynia,10,0,"0,435","0,043","-0,435","0,435","0,043","-0,435"
Jake McGing,Wisła Płock,3,0,"0,440","0,147","-0,440","0,440","0,147","-0,440"
Domagoj Antolić,Legia Warszawa,12,0,"0,440","0,037","-0,440","0,440","0,037","-0,440"
Dawid Ryndak,Zagłębie Sosnowiec,5,0,"0,442","0,088","-0,442","0,442","0,088","-0,442"
Milan Dimun,Cracovia,25,1,"1,445","0,058","-0,445","1,445","0,058","-0,445"
Ricardo Nunes,Pogoń Szczecin,13,0,"0,452","0,035","-0,452","0,452","0,035","-0,452"
Christian Maghoma,Arka Gdynia,2,0,"0,456","0,228","-0,456","0,456","0,228","-0,456"
Aleksandar Miljković,Miedź Legnica,6,0,"0,463","0,077","-0,463","0,463","0,077","-0,463"
Adam Dźwigała,Wisła Płock,10,0,"0,473","0,047","-0,473","0,473","0,047","-0,473"
Władisław Sirotow,Zagłębie Lubin,7,0,"0,488","0,070","-0,488","0,488","0,070","-0,488"
Michael Heinloth,Zagłębie Sosnowiec,7,0,"0,488","0,070","-0,488","0,488","0,070","-0,488"
Tomasz Hołota,Śląsk Wrocław,9,0,"0,490","0,054","-0,490","0,490","0,054","-0,490"
Alexandre Cristovao,Zagłębie Sosnowiec,23,2,"2,496","0,109","-0,496","2,496","0,109","-0,496"
Cornel Rapa,Cracovia,23,1,"1,510","0,066","-0,510","1,510","0,066","-0,510"
Mateusz Szwoch,Wisła Płock,18,1,"1,510","0,084","-0,510","1,510","0,084","-0,510"
Jakub Bartosz,Wisła Kraków,4,0,"0,531","0,133","-0,531","0,531","0,133","-0,531"
Maciej Pałaszewski,Śląsk Wrocław,4,0,"0,540","0,135","-0,540","0,540","0,135","-0,540"
Michał Nalepa II,Lechia Gdańsk,31,3,"3,545","0,114","-0,545","3,545","0,114","-0,545"
Bartosz Kopacz,Zagłębie Lubin,10,1,"1,557","0,156","-0,557","1,557","0,156","-0,557"
Tomasz Makowski,Lechia Gdańsk,17,0,"0,564","0,033","-0,564","0,564","0,033","-0,564"
Tibor Halilović,Wisła Kraków,13,0,"0,566","0,044","-0,566","0,566","0,044","-0,566"
Justinas Marazas,Wisła Płock,8,0,"0,573","0,072","-0,573","0,573","0,072","-0,573"
Kamil Jóźwiak,Lech Poznań,41,3,"3,584","0,087","-0,584","3,584","0,087","-0,584"
Sasa Balić,Zagłębie Lubin,25,1,"1,585","0,063","-0,585","1,585","0,063","-0,585"
Szymon Żurkowski,Górnik Zabrze,87,3,"3,586","0,041","-0,586","3,586","0,041","-0,586"
Sebastian Strózik,Cracovia,9,1,"1,604","0,178","-0,604","1,604","0,178","-0,604"
Aleksander Jagiełło,Piast Gliwice,11,0,"0,607","0,055","-0,607","0,607","0,055","-0,607"
Krzysztof Drzazga,Wisła Kraków,25,5,"5,612","0,224","-0,612","5,612","0,224","-0,612"
Angel Garcia,Wisła Płock,11,0,"0,624","0,057","-0,624","0,624","0,057","-0,624"
Antonini Culina,Cracovia,1,0,"0,634","0,634","-0,634","0,634","0,634","-0,634"
Bartosz Slisz,Zagłębie Lubin,17,0,"0,640","0,038","-0,640","0,640","0,038","-0,640"
Mateusz Mak,Piast Gliwice,18,1,"1,648","0,092","-0,648","1,648","0,092","-0,648"
Stefan Scepović,Jagiellonia,7,0,"1,399","0,200","-1,399","0,649","0,108","-0,649"
David Stec,Pogoń Szczecin,12,0,"0,655","0,055","-0,655","0,655","0,055","-0,655"
Damian Oko,Zagłębie Lubin,5,0,"0,658","0,132","-0,658","0,658","0,132","-0,658"
Mateusz Cholewiak,Śląsk Wrocław,56,4,"4,684","0,084","-0,684","4,684","0,084","-0,684"
