ZAWODNIK,KLUB,GOLE,ASYSTY,KANADYJSKA,GOLE DRUŻYNY,% GOL,UDZIAŁ%,KAN+2.AS,UDZIAŁ % Z 2.AS
Maciej Rosołek,Legia Warszawa,3,3,6,27,"11,1%","22,2%",7,"25,9%"
Krzysztof Kubica,Górnik Zabrze,9,3,12,55,"16,4%","21,8%",15,"27,3%"
Tomas Pekhart,Legia Warszawa,9,1,10,46,"19,6%","21,7%",13,"28,3%"
Frank Castaneda,Warta Poznań,4,0,4,19,"21,1%","21,1%",7,"36,8%"
Przemysław Banaszak,Górnik Łęczna,4,2,6,29,"13,8%","20,7%",7,"24,1%"
Janusz Gol,Górnik Łęczna,4,2,6,29,"13,8%","20,7%",12,"41,4%"
Fedor Cernych,Jagiellonia,4,4,8,39,"10,3%","20,5%",11,"28,2%"
Krystian Getinger,Stal Mielec,2,6,8,39,"5,1%","20,5%",11,"28,2%"
Miguel Luis,Warta Poznań,3,1,4,20,"15,0%","20,0%",6,"30,0%"
Ilkay Durmus,Lechia Gdańsk,6,4,10,52,"11,5%","19,2%",18,"34,6%"
Dawid Abramowicz,Radomiak Radom,4,4,8,42,"9,5%","19,0%",13,"31,0%"
Stefan Savić,Wisła Kraków,3,4,7,37,"8,1%","18,9%",10,"27,0%"
Mateusz Szwoch,Wisła Płock,5,4,9,48,"10,4%","18,8%",17,"35,4%"
Filip Starzyński,Zagłębie Lubin,6,2,8,43,"14,0%","18,6%",15,"34,9%"
Kamil Pestka,Cracovia,4,3,7,40,"10,0%","17,5%",12,"30,0%"
Kacper Kozłowski,Pogoń Szczecin,3,3,6,35,"8,6%","17,1%",7,"20,0%"
Robert Pich,Śląsk Wrocław,6,1,7,42,"14,3%","16,7%",9,"21,4%"
Dawid Kownacki,Lech Poznań,4,1,5,30,"13,3%","16,7%",6,"20,0%"
Damian Warchoł,Wisła Płock,6,2,8,48,"12,5%","16,7%",13,"27,1%"
Maurides,Radomiak Radom,5,2,7,42,"11,9%","16,7%",9,"21,4%"
Michal Skvarka,Wisła Kraków,2,4,6,37,"5,4%","16,2%",9,"24,3%"
Sebastian Kowalczyk,Pogoń Szczecin,6,4,10,63,"9,5%","15,9%",17,"27,0%"
Patryk Sokołowski,Piast/Legia,7,0,7,45,"15,6%","15,6%",13,"28,9%"
Alberto Toril,Piast Gliwice,6,1,7,45,"13,3%","15,6%",10,"22,2%"
Michał Chrapek,Piast Gliwice,4,3,7,45,"8,9%","15,6%",12,"26,7%"
Maksymilian Sitek,Stal Mielec,3,3,6,39,"7,7%","15,4%",9,"23,1%"
Bojan Nastić,Jagiellonia,0,6,6,39,"0,0%","15,4%",9,"23,1%"
Rafael Lopes,Legia Warszawa,5,2,7,46,"10,9%","15,2%",8,"17,4%"
Mateusz Wdowiak,Raków Częstochowa,7,2,9,60,"11,7%","15,0%",11,"18,3%"
Jakub Myszor,Cracovia,3,3,6,40,"7,5%","15,0%",7,"17,5%"
Fran Tudor,Raków Częstochowa,2,7,9,60,"3,3%","15,0%",12,"20,0%"
Marko Kolar,Wisła Płock,4,3,7,48,"8,3%","14,6%",8,"16,7%"
Robert Dadok,Górnik Zabrze,3,5,8,55,"5,5%","14,5%",10,"18,2%"
Leandro Rossi,Radomiak Radom,4,2,6,42,"9,5%","14,3%",11,"26,2%"
Wahan Biczachczjan,Pogoń Szczecin,2,2,4,28,"7,1%","14,3%",7,"25,0%"
Dino Stiglec,Śląsk Wrocław,1,5,6,42,"2,4%","14,3%",6,"14,3%"
Kacper Chodyna,Zagłębie Lubin,4,2,6,43,"9,3%","14,0%",12,"27,9%"
Erik Daniel,Zagłębie Lubin,3,3,6,43,"7,0%","14,0%",8,"18,6%"
Mateusz Grzybek,Bruk-Bet,2,3,5,36,"5,6%","13,9%",8,"22,2%"
Samuel Stefanik,Bruk-Bet,1,4,5,36,"2,8%","13,9%",6,"16,7%"
Michal Frydrych,Wisła Kraków,4,1,5,37,"10,8%","13,5%",6,"16,2%"
Konrad Gruszkowski,Wisła Kraków,2,3,5,37,"5,4%","13,5%",6,"16,2%"
Dor Hugi,Wisła Kraków,1,4,5,37,"2,7%","13,5%",5,"13,5%"
Matej Hanousek,Wisła Kraków,0,5,5,37,"0,0%","13,5%",5,"13,5%"
Martin Konczkowski,Piast Gliwice,2,4,6,45,"4,4%","13,3%",8,"17,8%"
Mateusz Wieteska,Legia Warszawa,4,2,6,46,"8,7%","13,0%",6,"13,0%"
Maciej Domański,Stal Mielec,1,4,5,39,"2,6%","12,8%",6,"15,4%"
Erik Janza,Górnik Zabrze,1,6,7,55,"1,8%","12,7%",17,"30,9%"
Kamil Drygas,Pogoń Szczecin,7,1,8,63,"11,1%","12,7%",8,"12,7%"
Otar Kakabadze,Cracovia,3,2,5,40,"7,5%","12,5%",6,"15,0%"
Piotr Tomasik,Wisła Płock,2,4,6,48,"4,2%","12,5%",8,"16,7%"
Adrian Łyszczarz,Śląsk Wrocław,5,0,5,42,"11,9%","11,9%",5,"11,9%"
Kacper Sezonienko,Lechia Gdańsk,1,5,6,52,"1,9%","11,5%",7,"13,5%"
Jan Grzesik,Warta Poznań,3,1,4,35,"8,6%","11,4%",7,"20,0%"
Łukasz Trałka,Warta Poznań,1,3,4,35,"2,9%","11,4%",8,"22,9%"
Adam Radwański,Bruk-Bet,2,2,4,36,"5,6%","11,1%",5,"13,9%"
Piotr Krawczyk,Górnik Zabrze,5,1,6,55,"9,1%","10,9%",9,"16,4%"
Joel Pereira,Lech Poznań,0,7,7,67,"0,0%","10,4%",12,"17,9%"
Damian Rasak,Wisła Płock,3,2,5,48,"6,3%","10,4%",7,"14,6%"
Kristian Vallo,Wisła Płock,1,4,5,48,"2,1%","10,4%",8,"16,7%"
Damian Michalski,Wisła Płock,1,4,5,48,"2,1%","10,4%",5,"10,4%"
Israel Puerto,Jagiellonia,3,1,4,39,"7,7%","10,3%",5,"12,8%"
Bartosz Bida,Jagiellonia,3,1,4,39,"7,7%","10,3%",4,"10,3%"
Martin Pospisil,Jagiellonia,0,4,4,39,"0,0%","10,3%",6,"15,4%"
Marco Terrazzino,Lechia Gdańsk,4,1,5,49,"8,2%","10,2%",7,"14,3%"
Cornel Rapa,Cracovia,3,1,4,40,"7,5%","10,0%",8,"20,0%"
Michal Siplak,Cracovia,0,4,4,40,"0,0%","10,0%",9,"22,5%"
Maciej Gajos,Lechia Gdańsk,4,1,5,52,"7,7%","9,6%",8,"15,4%"
Michał Kucharczyk,Pogoń Szczecin,5,1,6,63,"7,9%","9,5%",7,"11,1%"
Jean Carlos Silva,Pogoń Szczecin,2,4,6,63,"3,2%","9,5%",12,"19,0%"
Filipe Nascimento,Radomiak Radom,0,4,4,42,"0,0%","9,5%",6,"14,3%"
Wojciech Golla,Śląsk Wrocław,0,4,4,42,"0,0%","9,5%",5,"11,9%"
Mateusz Bartolewski,Zagłębie Lubin,2,2,4,43,"4,7%","9,3%",7,"16,3%"
Łukasz Poręba,Zagłębie Lubin,1,3,4,43,"2,3%","9,3%",5,"11,6%"
Antonio Milić,Lech Poznań,4,2,6,67,"6,0%","9,0%",9,"13,4%"
Kristopher Vida,Piast Gliwice,3,1,4,45,"6,7%","8,9%",6,"13,3%"
Jakub Czerwiński,Piast Gliwice,3,1,4,45,"6,7%","8,9%",4,"8,9%"
Arkadiusz Pyrka,Piast Gliwice,2,2,4,45,"4,4%","8,9%",6,"13,3%"
Pedro Rebocho,Lech Poznań,1,4,5,57,"1,8%","8,8%",9,"15,8%"
Ernest Muci,Legia Warszawa,4,0,4,46,"8,7%","8,7%",6,"13,0%"
Giannis Papanikolaou,Raków Częstochowa,1,4,5,60,"1,7%","8,3%",9,"15,0%"
Damian Dąbrowski,Pogoń Szczecin,1,4,5,63,"1,6%","7,9%",11,"17,5%"
Conrado,Lechia Gdańsk,1,3,4,52,"1,9%","7,7%",7,"13,5%"
Joseph Ceesay,Lechia Gdańsk,0,4,4,52,"0,0%","7,7%",5,"9,6%"
Dani Ramirez,Lech Poznań,1,4,5,67,"1,5%","7,5%",7,"10,4%"
Alasana Manneh,Górnik Zabrze,2,2,4,55,"3,6%","7,3%",7,"12,7%"
Dariusz Pawłowski,Górnik Zabrze,1,3,4,55,"1,8%","7,3%",5,"9,1%"
Adriel Ba Loua,Lech Poznań,1,3,4,57,"1,8%","7,0%",8,"14,0%"
Marcin Cebula,Raków Częstochowa,3,1,4,60,"5,0%","6,7%",5,"8,3%"
Jakub Bartkowski,Pogoń Szczecin,1,3,4,63,"1,6%","6,3%",7,"11,1%"
Luis Mata,Pogoń Szczecin,0,4,4,63,"0,0%","6,3%",6,"9,5%"
