ZAWODNIK,KLUB,GOLE,ASYSTY,KANADYJSKA,G rez,AS rez,G 1-0/0-1,2.AS,KAN+2.AS
Israel Puerto,Jagiellonia,3,1,4,0,0,1,1,5
Adriel Ba Loua,Lech Poznań,1,3,4,0,2,0,4,8
Conrado,Lechia Gdańsk,1,3,4,0,1,0,3,7
Michal Siplak,Cracovia,0,4,4,0,0,0,5,9
Bartosz Bida,Jagiellonia,3,1,4,2,1,0,0,4
Wahan Biczachczjan,Pogoń Szczecin,2,2,4,2,1,0,3,7
Miguel Luis,Warta Poznań,3,1,4,0,0,0,2,6
Frank Castaneda,Warta Poznań,4,0,4,2,0,1,3,7
Tomas Poznar,Bruk-Bet,2,2,4,1,1,2,2,6
Luis Fernandez,Wisła Kraków,3,1,4,1,0,0,1,5
Dariusz Pawłowski,Górnik Zabrze,1,3,4,0,1,0,1,5
Andrzej Niewulis,Raków Częstochowa,2,1,3,0,0,0,1,4
Barry Douglas,Lech Poznań,1,2,3,0,0,1,0,3
Bartosz Salamon,Lech Poznań,3,0,3,0,0,2,1,4
Bartosz Slisz,Legia Warszawa,1,2,3,0,0,1,4,7
Jakub Holubek,Piast Gliwice,1,2,3,0,0,1,2,5
Jan Kliment,Wisła Kraków,2,1,3,0,0,0,1,4
Jarosław Kubicki,Lechia Gdańsk,2,1,3,0,0,1,3,6
Lubomir Satka,Lech Poznań,1,2,3,0,0,1,1,4
Mahir Emreli,Legia Warszawa,2,1,3,1,0,0,1,4
Marcos Alvarez,Cracovia,1,2,3,1,0,0,3,6
Marko Poletanović,Raków/Wisła Kraków,1,2,3,0,0,0,3,6
Mateusz Radecki,Radomiak Radom,1,2,3,0,1,1,1,4
Michał Skóraś,Lech Poznań,2,1,3,1,0,1,2,5
Milan Corryn,Warta Poznań,2,1,3,0,0,0,2,5
Patryk Lipski,Piast Gliwice,0,3,3,0,0,0,0,3
Rafał Kurzawa,Pogoń Szczecin,1,2,3,0,0,0,4,7
Rafał Makowski,Śląsk Wrocław,1,2,3,0,1,0,0,3
Robert Ivanov,Warta Poznań,1,2,3,0,0,0,1,4
Taras Romanczuk,Jagiellonia,3,0,3,0,0,2,7,10
Nika Kwekweskiri,Lech Poznań,2,1,3,0,0,0,4,7
Anton Krywociuk,Wisła Płock,2,1,3,0,0,0,0,3
Mateusz Żukowski,Lechia Gdańsk,2,1,3,0,0,1,1,4
Kostas Triantafyllopoulos,Pogoń Szczecin,3,0,3,0,0,0,1,4
Luis Machado,Radomiak Radom,2,1,3,1,0,0,4,7
Patryk Kun,Raków Częstochowa,1,2,3,0,0,0,6,9
Petr Schwarz,Śląsk Wrocław,2,1,3,0,0,0,2,5
