ZAWODNIK,KLUB,FAULE,FAULOWANY,SPALONE
Artur Jędrzejczyk,Legia Warszawa,32,23,2
Piotr Tomasik,Wisła Płock,31,37,3
Łukasz Łakomy,Zagłębie Lubin,31,24,1
Bojan Nastić,Jagiellonia,31,24,4
Dusan Lagator,Wisła Płock,31,5,0
Krzysztof Mączyński,Śląsk Wrocław,30,37,0
Adam Radwański,Bruk-Bet,30,32,4
Ariel Mosór,Piast Gliwice,30,21,0
Artem Putiwcew,Bruk-Bet,30,14,1
Jakub Żubrowski,Zagłębie Lubin,30,11,0
Enis Fazlagić,Wisła Kraków,30,10,0
Ivi Lopez,Raków Częstochowa,29,39,14
Alex Serrano,Górnik Łęczna,29,21,1
Mattias Johansson,Legia Warszawa,29,20,0
Jakub Bartkowski,Pogoń Szczecin,29,18,3
Szymon Czyż,Warta Poznań,29,10,2
Arkadiusz Kasperkiewicz,Stal Mielec,29,9,0
Dino Stiglec,Śląsk Wrocław,29,4,1
Damian Kądzior,Piast Gliwice,28,88,19
Muris Mesanović,Bruk-Bet,28,28,22
Gieorgij Żukow,Wisła Kraków,28,13,1
Maciej Sadlok,Wisła Kraków,28,8,0
Karol Angielski,Radomiak Radom,27,54,12
FIlip Starzyński,Zagłębie Lubin,27,36,3
Kamil Pestka,Cracovia,27,31,4
Robert Ivanov,Warta Poznań,27,30,0
Dominik Furman,Wisła Płock,27,27,0
Ben Lederman,Raków Częstochowa,27,23,3
Felicio Brown Forbes,Wisła Kraków,27,18,7
Bartosz Kopacz,Lechia Gdańsk,27,15,1
Michał Pazdan,Jagiellonia,27,15,4
Damian Dąbrowski,Pogoń Szczecin,27,14,0
Aschraf El Mahdioui,Wisła Kraków,27,10,0
Krystian Getinger,Stal Mielec,26,39,1
Vladislavs Gutkovskis,Raków Częstochowa,26,38,6
Szymon Lewkot,Śląsk Wrocław,26,28,4
Luka Zahović,Pogoń Szczecin,26,28,7
Kamil Drygas,Pogoń Szczecin,26,24,1
Tomas Huk,Piast Gliwice,26,21,1
Mateusz Żukowski,Lechia Gdańsk,26,14,0
Antonio Milić,Lech Poznań,26,9,0
Mateusz Grzybek,Bruk-Bet,25,69,1
Mikael Ishak,Lech Poznań,25,64,25
Kacper Śpiewak,Bruk-Bet,25,35,4
Marcin Flis,Stal Mielec,25,29,4
Lukas Podolski,Górnik Zabrze,25,25,9
Rafael Lopes,Legia Warszawa,25,23,4
Erik Daniel,Zagłębie Lubin,25,17,17
Michal Hubinek,Bruk-Bet,25,14,0
Michał Nalepa I,Jagiellonia,25,5,1
Martin Pospisil,Jagiellonia,24,27,1
Kacper Sezonienko,Lechia Gdańsk,24,19,0
Anton Krywociuk,Wisła Płock,24,16,1
Pedro Tiba,Lech Poznań,24,16,2
Mathias Hebo Rasmussen,Cracovia,24,13,3
Kostas Triantafyllopoulos,Pogoń Szczecin,24,12,1
Sebastian Kowalczyk,Pogoń Szczecin,23,67,1
Flavio Paixao,Lechia Gdańsk,23,39,11
Michał Kucharczyk,Pogoń Szczecin,23,32,9
Mateusz Mak,Stal Mielec,23,23,8
Nemanja Tekijaski,Bruk-Bet,23,23,2
Fryderyk Gerbowski,Wisła Płock,23,21,2
Jakub Kałuziński,Lechia Gdańsk,23,21,1
Karol Knap,Cracovia,23,18,0
Lindsay Rose,Legia Warszawa,23,18,0
Adriel Ba Loua,Lech Poznań,23,17,1
Bartosz Rymaniak,Górnik Łęczna,23,14,1
Michał Kopczyński,Warta Poznań,23,7,0
Maik Nawrocki,Legia Warszawa,23,7,0
Maciej Urbańczyk,Stal Mielec,22,28,0
Szymon Drewniak,Górnik Łęczna,22,24,1
Mateusz Młyński,Wisła Kraków,22,24,6
Bozidar Czorbadżijski,Stal Mielec,22,23,3
Mateusz Cichocki,Radomiak Radom,22,20,0
Marcel Wędrychowski,Górnik Łęczna,22,18,3
Barry Douglas,Lech Poznań,22,13,1
Milan Rundić,Raków Częstochowa,22,13,1
Sasa Balić,Zagłębie Lubin,22,7,1
Mateusz Wdowiak,Raków Częstochowa,21,47,7
Tomas Prikryl,Jagiellonia,21,32,9
Mateusz Żyro,Stal Mielec,21,31,1
Jakub Kamiński,Lech Poznań,21,13,4
Łukasz Bejger,Śląsk Wrocław,21,12,1
Konrad Matuszewski,Warta Poznań,20,37,0
Robert Pich,Śląsk Wrocław,20,32,4
Dawid Kocyła,Wisła P/Bruk-Bet,20,26,5
Kacper Kozłowski,Pogoń Szczecin,20,23,3
Sebastian Bonecki,Bruk-Bet,20,22,0
Alexandros Katranis,Piast Gliwice,20,22,1
Jesus Imaz,Jagiellonia,20,21,20
Mateusz Łęgowski,Pogoń Szczecin,20,20,0
Przemysław Banaszak,Górnik Łęczna,20,15,1
Paweł Stolarski,Pogoń Szczecin,20,14,0
Joseph Ceesay,Lechia Gdańsk,20,12,3
Dawid Kownacki,Lech Poznań,20,10,3
Luis Mata,Pogoń Szczecin,20,9,3
Bartosz Salamon,Lech Poznań,20,8,6
Damian Zbozień,Wisła Płock,20,2,0
Michał Skóraś,Lech Poznań,19,32,3
Jason Lokilo,Górnik Łęczna,19,31,4
Jean Mvondo,Górnik Zabrze,19,31,0
Matej Hanousek,Wisła Kraków,19,19,1
Dawid Szymonowicz,Warta Poznań,19,19,0
Mateusz Radecki,Radomiak Radom,19,16,5
Michał Żyro,Piast/Jagiellonia,19,16,9
Tomas Poznar,Bruk-Bet,19,16,6
Ernest Muci,Legia Warszawa,19,15,2
Kristian Vallo,Wisła Płock,19,10,8
Mateusz Kuzimski,Warta Poznań,19,9,6
Otar Kakabadze,Cracovia,19,7,5
Kamil Kruk,Zagłębie Lubin,19,6,0
Dor Hugi,Wisła Kraków,19,4,4
Daniel Dziwniel,Górnik Łęczna,18,24,6
Bartosz Bida,Jagiellonia,18,20,3
Jakub Czerwiński,Piast Gliwice,18,19,1
Bassekou Diabate,Lechia Gdańsk,18,16,3
FIlip Piszczek,Cracovia,18,16,1
FIlip Mladenović,Legia Warszawa,18,15,2
Nika Kwekweskiri,Lech Poznań,18,11,0
Israel Puerto,Jagiellonia,18,8,1
Oskar Zawada,Stal Mielec,18,8,6
Błażej Augustyn,Jagiellonia,18,4,1
Niilo Maenpaa,Warta Poznań,18,1,0
Jean Carlos Silva,Pogoń Szczecin,17,43,11
Koki Hinokio,Stal Mielec,17,23,0
Maciej Żurawski,Pogoń Szczecin,17,19,0
Caye Quintana,Śląsk Wrocław,17,16,8
Piotr Krawczyk,Górnik Zabrze,17,15,15
Rafał Kurzawa,Pogoń Szczecin,17,15,0
Michal Skvarka,Wisła Kraków,17,15,5
Kacper Tabiś,Jagiellonia,17,15,0
Martin Dolezal,Zagłębie Lubin,17,15,4
Pedro Rebocho,Lech Poznań,17,14,1
Miłosz Matysik,Jagiellonia,17,14,0
Tom Hateley,Piast Gliwice,17,13,0
Tomas Petrasek,Raków Częstochowa,17,11,1
Paweł Wszołek,Legia Warszawa,17,11,1
Michał Mak,Górnik Łęczna,16,39,1
Mateusz Praszelik,Śląsk Wrocław,16,37,0
Andrzej Trubeha,Jagiellonia,16,19,3
Damian Warchoł,Wisła Płock,16,19,3
Rafał Pietrzak,Lechia Gdańsk,16,14,2
Mario Maloca,Lechia Gdańsk,16,12,1
Walerian Gwilia,Raków Częstochowa,16,9,0
Maciej Ambrosiewicz,Bruk-Bet,16,9,0
Florian Loshaj,Cracovia,16,8,1
Marcin Cebula,Raków Częstochowa,16,6,0
David Jablonsky,Cracovia,16,6,1
Tomasz Makowski,Lechia Gdańsk,16,5,0
Dennis Jastrzembski,Śląsk Wrocław,16,4,1
Damian Rasak,Wisła Płock,15,48,0
Damian Gąska,Górnik Łęczna,15,31,3
Maciej Rosołek,Legia Warszawa,15,26,2
Kamil Wilczek,Piast Gliwice,15,16,3
Jesus Jimenez,Górnik Zabrze,15,15,11
Sebastian Musiolik,Raków Częstochowa,15,15,3
Kacper Skibicki,Legia Warszawa,15,12,0
Tomas Zajic,Zagłębie Lubin,15,10,0
Patryk Janasik,Śląsk Wrocław,15,9,2
Tiago Matos,Radomiak Radom,15,9,0
Mateusz Hołownia,Legia Warszawa,15,6,1
Jakub Jugas,Cracovia,15,5,0
Leandro,Górnik Łęczna,14,33,1
Piotr Parzyszek,Pogoń Szczecin,14,25,8
Mateusz Czyżycki,Warta Poznań,14,22,2
Mateusz Cholewiak,Górnik Zabrze,14,21,5
Przemysław Mystkowski,Jagiellonia,14,16,1
Victor Garcia,Śląsk Wrocław,14,8,2
Mark Tamas,Śląsk Wrocław,14,5,0
Aleksandar Scekić,Zagłębie Lubin,14,5,0
Jan Biegański,Lechia Gdańsk,14,4,0
Jurgen Celhaka,Legia Warszawa,14,4,0
Patryk Lipski,Piast Gliwice,14,2,0
Mariusz Malec,Pogoń Szczecin,14,2,0
Michał Jakóbowski,Warta Poznań,13,33,1
Stefan Savić,Wisła Kraków,13,31,4
Bartosz Nowak,Górnik Zabrze,13,30,5
Jakub Arak,Raków Częstochowa,13,17,3
Maciej Domański,Stal Mielec,13,17,3
Waldemar Sobota,Śląsk Wrocław,13,17,3
Thabo Cele,Radomiak Radom,13,17,0
Miłosz Szczepański,Lechia/Warta,13,16,0
Łukasz Szramowski,Górnik Łęczna,13,12,0
Bartłomiej Wdowik,Jagiellonia,13,10,3
Jakub Holubek,Piast Gliwice,13,8,3
Dariusz Pawłowski,Górnik Zabrze,13,8,2
Ian Soler,Zagłębie Lubin,13,7,0
Nikola Kuveljić,Wisła Kraków,13,6,0
Lubomir Satka,Lech Poznań,13,6,0
Serafin Szota,Wisła Kraków,13,6,3
FIlip Marchwiński,Lech Poznań,13,2,2
Grzegorz Tomasiewicz,Stal Mielec,12,62,1
Arkadiusz Pyrka,Piast Gliwice,12,25,2
Patrick Olsen,Śląsk Wrocław,12,22,0
Patryk Tuszyński,Wisła Płock,12,19,2
Mahir Emreli,Legia Warszawa,12,15,0
Milan Corryn,Warta Poznań,12,14,0
Zdenek Ondrasek,Wisła Kraków,12,14,3
Maurides,Radomiak Radom,12,13,10
Dawid Pakulski,Zagłębie Lubin,12,12,0
Miguel Luis,Warta Poznań,12,12,4
Kamil Grosicki,Pogoń Szczecin,12,11,11
Mario Rondon,Radomiak Radom,12,10,1
Luizao,Radomiak Radom,12,9,0
Ernest Terpiłowski,Bruk-Bet,12,6,2
David Domgjoni,Bruk-Bet,12,5,2
Virgil Ghita,Cracovia,12,5,0
Yaw Yeboah,Wisła Kraków,11,40,6
Marko Kolar,Wisła Płock,11,25,6
Fabio Sturgeon,Raków Częstochowa,11,23,1
Daniel Łukasik,Radomiak Radom,11,19,1
Meik Karwot,Radomiak Radom,11,17,1
Roman Gergel,Bruk-Bet,11,15,2
Dawid Szot,Wisła Kraków,11,15,0
Wiktor Kłos,Stal Mielec,11,14,1
Patryk Plewka,Wisła Kraków,11,14,0
Michael Ameyaw,Piast Gliwice,11,12,0
Jonathan de Amo,Stal Mielec,11,12,1
Benedikt Zech,Pogoń Szczecin,11,12,0
Bartłomiej Kalinkowski,Górnik Łęczna,11,11,2
Dani Ramirez,Lech Poznań,11,8,2
FIlip Lesniak,Wisła Płock,11,7,0
Daniel Szelągowski,Raków/Warta,11,7,1
Radosław Cielemęcki,Wisła Płock,11,6,0
Aleks Ławniczak,Warta/Zagłębie,11,6,0
Ilja Żygulow,Zagłębie Lubin,11,5,0
David Stec,Lechia Gdańsk,11,4,0
Lirim Kastrati,Legia Warszawa,11,3,3
Filip Bainović,Górnik Zabrze,11,2,0
Gerson,Górnik Łęczna,11,2,0
Bartosz Kwiecień,Jagiellonia,11,0,0
Yuri Ribeiro,Legia Warszawa,10,22,1
Diego Carioca,Jagiellonia,10,21,0
Karol Podliński,Zagłębie Lubin,10,17,3
Filip Balaj,Cracovia,10,12,1
Jakub Szymański,Górnik Zabrze,10,8,0
Wahan Biczachczjan,Pogoń Szczecin,10,7,0
Samuel Stefanik,Bruk-Bet,10,5,2
Tomasz Midzierski,Górnik Łęczna,10,4,1
Jewgienij Baszkirow,Zagłębie Lubin,10,3,1
Dominik Steczyk,Piast/Stal,9,33,3
Marcos Alvarez,Cracovia,9,26,2
Joel Pereira,Lech Poznań,9,21,1
Wiktor Długosz,Raków Częstochowa,9,20,1
Martin Konczkowski,Piast Gliwice,9,20,1
Deian Sorescu,Raków Częstochowa,9,14,2
Elvis Manu,Wisła Kraków,9,13,1
Dariusz Stalmach,Górnik Zabrze,9,10,0
Matej Hybs,Bruk-Bet,9,10,0
Marcin Grabowski,Bruk-Bet,9,9,0
Aleksandyr Kolew,Stal Mielec,9,7,1
Bartłomiej Kukułowicz,Bruk-Bet,9,7,0
Alan Czerwiński,Lech Poznań,9,4,1
Adrian Dziedzic,Górnik Zabrze,9,4,0
Marcin Wasielewski,Bruk-Bet,8,32,0
Jorginho,Wisła Płock,8,23,5
Cheikhou Dieng,Zagłębie Lubin,8,15,1
Mariusz Fornalczyk,Pogoń Szczecin,8,11,2
Frank Castaneda,Warta Poznań,8,11,9
Luis Rocha,Cracovia,8,9,0
Rauno Sappinen,Piast Gliwice,8,8,4
Konrad Wrzesiński,Stal Mielec,8,5,3
Benjamin Verbic,Legia Warszawa,8,5,0
Michal Bezpalec,Bruk-Bet,8,4,0
Goncalo Silva,Radomiak Radom,8,0,0
Luquinhas,Legia Warszawa,7,44,2
Heorhij Citaiszwili,Wisła Kraków,7,20,1
Andre Martins,Legia Warszawa,7,19,0
Sasa Zivec,Zagłębie Lubin,7,17,3
Bartłomiej Pawłowski,Śląsk Wrocław,7,13,1
Dominik Sokół,Radomiak Radom,7,11,0
Momo Cisse,Wisła Kraków,7,11,0
Igor Łasicki,Pogoń Szczecin,7,7,0
Joseph Colley,Wisła Kraków,7,5,0
Maciej Jankowski,Stal Mielec,7,4,1
Egzon Kryeziu,Lechia Gdańsk,7,4,0
Kacper Smoliński,Pogoń Szczecin,7,2,1
Krzysztof Toporkiewicz,Jagiellonia,7,2,0
Miłosz Kozak,Radomiak Radom,6,8,1
Kamil Pajnowski,Górnik Łęczna,6,6,0
Igor Sapała,Raków Częstochowa,6,6,0
Jakub Wójcicki,Zagłębie Lubin,6,6,0
Marcel Błachewicz,Wisła Płock,6,4,0
Marcin Budziński,Stal Mielec,6,4,2
Tomasz Pieńko,Zagłębie Lubin,6,4,0
Damir Sadiković,Cracovia,6,4,0
Mario Rodriguez,Warta Poznań,6,2,2
Aleksandr Pawłowiec,Warta Poznań,6,2,0
Aleksandar Pantić,Zagłębie Lubin,6,1,0
Christian Clemens,Lechia Gdańsk,6,1,1
Ruben Lobato,Górnik Łęczna,6,1,0
Kamil Kościelny,Stal Mielec,6,0,0
Paweł Olszewski,Jagiellonia,5,23,0
Rivaldinho,Cracovia,5,14,10
Luis Fernandez,Wisła Kraków,5,13,6
Adrian Łyszczarz,Śląsk Wrocław,5,11,3
Marco Terrazzino,Lechia Gdańsk,5,11,0
Kristoffer Velde,Lech Poznań,5,10,1
Andrij Dombrowśkyj,Bruk-Bet,5,8,0
Joel Abu Hanna,Legia Warszawa,5,7,1
Rafał Makowski,Śląsk Wrocław,5,7,0
FIlip Koperski,Lechia Gdańsk,5,5,0
Oliwier Wojciechowski,Jagiellonia,5,4,0
Ihor Charatin,Legia Warszawa,5,3,0
Paweł Żyra,Bruk-Bet,5,3,0
Adam Chrzanowski,Wisła Płock,5,3,0
Konrad Poprawa,Śląsk Wrocław,5,2,0
Vamara Sanogo,Górnik Zabrze,5,2,0
Adam Hlousek,Bruk-Bet,5,1,1
Kristers Tobers,Lechia Gdańsk,5,0,0
Bartłomiej Ciepiela,Legia Warszawa,5,0,0
Jewhen Konoplanka,Cracovia,4,21,1
Michał Goliński,Górnik Łęczna,4,16,0
Albin Granlund,Stal Mielec,4,8,1
Martin Zeman,Bruk-Bet,4,6,3
Abraham Marcus,Radomiak Radom,4,6,0
Nikola Stojiljković,Piast Gliwice,4,5,3
Patryk Zaucha,Cracovia,4,5,1
Alexandre Guedes,Raków Częstochowa,4,3,0
Kacper Michalski,Górnik Zabrze,4,3,0
Jakub Sangowski,Warta Poznań,4,3,1
Lorenco Simić,Zagłębie Lubin,4,3,0
Tihomir Kostadinov,Piast Gliwice,4,3,0
Aleksander Pawlak,Wisła Płock,4,3,0
Adrian Cierpka,Górnik Łęczna,4,2,0
Tomasz Tymosiak,Górnik Łęczna,4,2,0
Javier Ajenjo Hyjek,Śląsk Wrocław,4,1,0
Alan Uryga,Wisła Kraków,4,1,1
Paweł Wojciechowski,Górnik Łęczna,4,1,0
Kamil Ogorzały,Cracovia,3,16,1
Adam Ratajczyk,Zagłębie Lubin,3,14,1
Marcel Zylla,Śląsk Wrocław,3,11,1
Daniel Dudziński,Zagłębie Lubin,3,5,0
Dawid Kort,Stal Mielec,3,5,0
FIlip Modelski,Bruk-Bet,3,5,0
Tiago Alves,Piast Gliwice,3,4,0
Jo Santos,Radomiak Radom,3,4,0
Constantin Reiner,Piast Gliwice,3,4,0
Paweł Baranowski,Górnik Łęczna,3,3,1
Sebastian Ring,Wisła Kraków,3,3,0
Jakub Nowakowski,Radomiak Radom,3,3,0
Patryk Czerech,Jagiellonia,3,2,0
Jakub Wawszczyk,Stal Mielec,3,2,0
Tomasz Jodłowiec,Piast Gliwice,3,1,0
Luka Susnjara,Wisła Płock,3,1,0
Dawid Krzyżański,Wisła Płock,3,1,0
Bartosz Kieliba,Warta Poznań,3,0,0
Miguel Munoz,Piast Gliwice,3,0,0
Bartłomiej Kłudka,Zagłębie Lubin,3,0,1
Oliwier Sławiński,Zagłębie Lubin,3,0,0
Veton Tusha,Bruk-Bet,3,0,0
Dusan Kuciak,Lechia Gdańsk,2,12,0
Piotr Starzyński,Wisła Kraków,2,6,0
Hubert Sobol,Wisła Kraków,2,5,0
Higinio Marin,Górnik Zabrze,2,5,0
Jakub Iskra,Śląsk Wrocław,2,4,1
Daniel Gretarsson,Śląsk Wrocław,2,3,0
Maciej Orłowski,Górnik Łęczna,2,2,0
Artur Sobiech,Lech Poznań,2,2,0
Kacper Kostorz,Legia/Pogoń,2,2,1
Alexander Gorgon,Pogoń Szczecin,2,1,1
Tomasz Mokwa,Piast Gliwice,2,1,0
Jan Sykora,Lech Poznań,2,1,0
Thiago,Cracovia,2,1,0
Dominik Wydra,Raków Częstochowa,2,1,0
Artur Bogusz,Radomiak Radom,2,1,0
Patryk Kusztal,Zagłębie Lubin,2,1,0
Sebastian Bergier,Śląsk Wrocław,2,1,0
Rui Gomes,Legia Warszawa,2,1,0
Jhon Chancellor,Zagłębie Lubin,2,1,1
Tomasz Kędziora,Lech Poznań,2,1,0
Mateusz Ziółkowski,Górnik Zabrze,2,1,0
Kacper Lepczyński,Zagłębie Lubin,2,0,0
Jordan Courtney-Perkins,Raków Częstochowa,2,0,0
Adrian Szczutowski,Stal Mielec,2,0,2
Milan Obradović,Wisła Płock,2,0,0
Daniel Bielica,Górnik Zabrze,2,0,0
Mikołaj Biegański,Wisła Kraków,1,6,0
Lukas Hrosso,Cracovia,1,6,0
FIlip Majchrowicz,Radomiak Radom,1,6,0
Frantisek Plach,Piast Gliwice,1,6,0
Przemysław Maj,Stal Mielec,1,6,0
Jędrzej Grobelny,Warta Poznań,1,4,0
Dani Pacheco,Górnik Zabrze,1,4,0
Iwo Kaczmarski,Raków Częstochowa,1,2,0
Cezary Miszta,Legia Warszawa,1,2,0
Michał Orzechowski,Bruk-Bet,1,2,0
Szymon Włodarczyk,Legia Warszawa,1,2,3
Bogdan Racovitan,Raków Częstochowa,1,2,0
Artem Polarus,Bruk-Bet,1,2,1
Patryk Czarnowski,Bruk-Bet,1,1,2
Dawid Tkacz,Górnik Łęczna,1,1,0
Mateusz Wyjadłowski,Stal Mielec,1,1,0
Norbert Wojtuszek,Górnik Zabrze,1,1,0
Artur Boruc,Legia Warszawa,1,1,0
Zlatan Alomerović,Jagiellonia,1,1,0
Jakub Lutostański,Jagiellonia,1,1,0
Tomasz Neugebauer,Lechia Gdańsk,1,1,0
Damian Primel,Stal Mielec,1,1,0
Ilja Szkurin,Raków Częstochowa,1,1,0
Władysław Koczerhin,Raków Częstochowa,1,1,0
Michał Gliwa,Stal Mielec,1,0,0
Jakub Kisiel,Legia Warszawa,1,0,0
Kacper Sadłocha,Stal Mielec,1,0,0
Mateusz Sopoćko,Warta Poznań,1,0,0
David Tosevski,Górnik Zabrze,1,0,1
Mykoła Musolitin,Lechia Gdańsk,1,0,1
Godfrey Stephen,Jagiellonia,1,0,0
Bartłomiej Burman,Warta Poznań,1,0,0
Vlastimir Jovanović,Bruk-Bet,1,0,0
Thomas Rogne,Lech Poznań,1,0,0
Grzegorz Sandomierski,Górnik Zabrze,1,0,0
Bartosz Zynek,Wisła Płock,1,0,0
Narek Grigorjan,Jagiellonia,1,0,0
Roland Varga,Bruk-Bet,1,0,0
Kacper Bieszczad,Zagłębie Lubin,1,0,0
Mickey van der Hart,Lech Poznań,1,0,0
Karol Borys,Śląsk Wrocław,1,0,0
David Poreba,Stal Mielec,1,0,0
Dante Stipica,Pogoń Szczecin,0,10,0
Filip Bednarek,Lech Poznań,0,6,0
Rafał Strączek,Stal Mielec,0,6,0
Vladan Kovacević,Raków Częstochowa,0,6,0
Tomasz Loska,Bruk-Bet,0,5,0
Michał Szromnik,Śląsk Wrocław,0,5,0
Dominik Hładun,Zagłębie Lubin,0,4,0
Josip Juranović,Legia Warszawa,0,4,0
Krzysztof Kamiński,Wisła Płock,0,3,0
Adrian Lis,Warta Poznań,0,3,0
Maciej Gostomski,Górnik Łęczna,0,3,0
Marc Gual,Jagiellonia,0,3,1
Kajetan Szmyt,Warta Poznań,0,3,0
Ishmael Baidoo,Górnik Zabrze,0,2,1
Pavels Steinbors,Jagiellonia,0,2,0
Żarko Udovicić,Raków Częstochowa,0,2,0
Tomasz Nawotka,Legia Warszawa,0,2,0
Oskar Krzyżak,Raków Częstochowa,0,2,0
Łukasz Budziłek,Bruk-Bet,0,1,0
Xavier Dziekoński,Jagiellonia,0,1,0
Nikodem Fiedosewicz,Warta Poznań,0,1,0
Aleksander Jagiełło,Górnik Łęczna,0,1,1
Mateusz Lis,Wisła Kraków,0,1,0
Hubert Matynia,Pogoń Szczecin,0,1,0
Lubambo Musonda,Śląsk Wrocław,0,1,0
Karol Niemczycki,Cracovia,0,1,0
Michał Rostkowski,Górnik Zabrze,0,1,0
Tomasz Walczak,Wisła Płock,0,1,0
Łukasz Zjawiński,Lechia Gdańsk,0,1,1
Rhuan,Radomiak Radom,0,1,0
Maciej Świdzikowski,Radomiak Radom,0,1,0
Michał Król,Górnik Łęczna,0,1,0
Aron Stasiak,Pogoń Szczecin,0,1,0
Damian Węglarz,Wisła Płock,0,1,0
Paweł Kieszek,Wisła Kraków,0,1,0
Robert Ożóg,Cracovia,0,1,0
Karol Szymański K,Piast Gliwice,0,1,0
Jakub Błaszczykowski,Wisła Kraków,0,0,1
