ZAWODNIK,KLUB,L % celn,P % celn,G % celn,R,R celn,% R celn,R Gole,Strzały/gol,GOL/R,KP
Cornel Rapa,Cracovia,"75,0%","27,3%","37,5%",23,9,"39,1%",1,"23,00","4,3%",23
Rafał Boguski,Wisła Kraków,"40,0%","37,5%","33,3%",24,9,"37,5%",2,"12,00","8,3%",26
Marcin Budziński,Cracovia,-,"37,5%",-,24,9,"37,5%",0,-,"0,0%",16
Rafał Pietrzak,Wisła Kraków,"36,4%","50,0%",-,24,9,"37,5%",3,"8,00","12,5%",45
Sasa Balić,Zagłębie Lubin,"44,4%","33,3%","30,8%",25,9,"36,0%",1,"25,00","4,0%",13
Filip Piszczek,Cracovia,"12,5%","22,2%","42,9%",31,9,"29,0%",6,"5,17","19,4%",10
Alan Uryga,Wisła Płock,"0,0%","12,5%","40,0%",31,9,"29,0%",3,"10,33","9,7%",15
Joan Roman,Miedź Legnica,"50,0%","28,6%","0,0%",32,9,"28,1%",5,"6,40","15,6%",13
Fabian Piasecki,Miedź Legnica,"0,0%","28,6%","33,3%",34,9,"26,5%",1,"34,00","2,9%",25
Kamil Jóźwiak,Lech Poznań,"0,0%","26,5%","0,0%",41,9,"22,0%",3,"13,67","7,3%",34
Mateusz Matras,Zagłębie L/Górnik,"50,0%","55,6%","50,0%",14,8,"57,1%",3,"4,67","21,4%",11
Ivan Runje,Jagiellonia,"0,0%","0,0%","58,3%",16,8,"50,0%",3,"5,33","18,8%",8
Daniel Smuga,Górnik Zabrze,"50,0%","40,0%","0,0%",20,8,"40,0%",1,"20,00","5,0%",17
Marquitos,Miedź Legnica,"44,4%","0,0%","0,0%",21,8,"38,1%",2,"10,50","9,5%",19
Maciej Makuszewski,Lech Poznań,"33,3%","42,9%","0,0%",22,8,"36,4%",0,-,"0,0%",38
Dani Suarez,Górnik Zabrze,"0,0%","33,3%","40,0%",22,8,"36,4%",3,"7,33","13,6%",7
Marko Vesović,Legia Warszawa,"33,3%","38,5%","33,3%",22,8,"36,4%",0,-,"0,0%",26
Piotr Celeban,Śląsk Wrocław,-,"25,0%","40,0%",23,8,"34,8%",3,"7,67","13,0%",11
Alexandre Cristovao,Zagłębie Sosnowiec,"0,0%","37,5%","50,0%",23,8,"34,8%",2,"11,50","8,7%",6
Tomasz Nowak,Zagłębie Sosnowiec,"20,0%","38,9%",-,23,8,"34,8%",0,-,"0,0%",15
Wojciech Łobodziński,Miedź Legnica,"40,0%","31,6%","0,0%",25,8,"32,0%",0,-,"0,0%",21
Dawid Kort,Wisła Kraków,"0,0%","29,2%","100,0%",27,8,"29,6%",3,"9,00","11,1%",22
Michał Helik,Cracovia,-,"14,3%","35,7%",29,8,"27,6%",0,-,"0,0%",9
Marko Poletanović,Jagiellonia,"25,0%","24,0%","100,0%",30,8,"26,7%",2,"15,00","6,7%",26
Darko Jevtić,Lech Poznań,"23,3%","50,0%","0,0%",34,8,"23,5%",3,"11,33","8,8%",39
Paweł Tomczyk,Lech/Piast,"75,0%","66,7%","0,0%",13,7,"53,8%",4,"3,25","30,8%",3
Nikola Vujadinović,Lech Poznań,"50,0%",-,"54,5%",13,7,"53,8%",3,"4,33","23,1%",3
Sergiu Hanca,Cracovia,"100,0%","40,0%","0,0%",17,7,"41,2%",2,"8,50","11,8%",11
Andre Martins,Legia Warszawa,"0,0%","42,9%","50,0%",18,7,"38,9%",2,"9,00","11,1%",30
Nabil Aankour,Arka Gdynia,"50,0%","28,6%","66,7%",19,7,"36,8%",2,"9,50","10,5%",12
Adam Frączczak,Pogoń Szczecin,"33,3%","33,3%","42,9%",19,7,"36,8%",1,"19,00","5,3%",7
Krzysztof Mączyński,Legia/Śląsk,"50,0%","28,6%",-,23,7,"30,4%",1,"23,00","4,3%",35
Ariel Borysiuk,Lechia/Wisła P,"0,0%","43,8%",-,25,7,"28,0%",2,"12,50","8,0%",6
Omar Santana,Miedź Legnica,"25,0%","26,1%",-,27,7,"25,9%",1,"27,00","3,7%",27
Guilherme Sitya,Jagiellonia,"24,0%","50,0%",-,27,7,"25,9%",2,"13,50","7,4%",69
Sandro Kulenović,Legia Warszawa,"14,3%","33,3%","25,0%",27,7,"25,9%",4,"6,75","14,8%",5
Adam Deja,Arka Gdynia,"20,0%","23,8%","100,0%",27,7,"25,9%",2,"13,50","7,4%",17
