KOL,STRZELEC,DLA,PRZECIW,BRAMKARZ,T/N/O,FAULOWAŁ,FAULOWANY,SĘDZIA
7,Vamara Sanogo,Zagłębie Sosnowiec,Arka Gdynia,Pavels Šteinbors,T,Luka Marić,ręka,Krzysztof Jakubik
7,Christian Gytkjaer,Lech Poznań,Piast Gliwice,Frantisek Plach,T,Tom Hateley,Kamil Jóźwiak,Tomasz Kwiatkowski
7,Arvydas Novikovas,Jagiellonia Białystok,Wisła Płock,Thomas Dahne,O,Damian Rasak,ręka,Paweł Raczkowski
8,Flavio Paixao,Lechia Gdańsk,Wisła Kraków,Mateusz Lis,T,Marcin Wasilewski,Artur Sobiech,Paweł Gil
8,Maciej Sadlok,Wisła Kraków,Lechia Gdańsk,Dusan Kuciak,O,Steven Vitoria,Jesus Imaz,Paweł Gil
9,Filip Starzyński,Zagłębie Lubin,Lechia Gdańsk,Dusan Kuciak,T,Błażej Augustyn,ręka,Jarosław Przybył
9,Michał Kucharczyk,Legia Warszawa,Miedź Legnica,Anton Kanibołockyj,T,Rafał Augustyniak,ręka,Tomasz Musiał
9,Tomasz Nowak,Zagłębie Sosnowiec,Korona Kielce,Matthias Hamrol,O,Adnan Kovacević,Szymon Pawłowski,Tomasz Kwiatkowski
10,Flavio Paixao,Lechia Gdańsk,Wisła Płock,Bartłomiej Żynel,N,Ricardinho,Lukas Haraslin,Paweł Raczkowski
10,Kamil Drygas,Pogoń Szczecin,Zagłębie Lubin,Domnik Hładun,T,Jakub Tosik,Adam Buksa,Tomasz Kwiatkowski
10,Michał Helik,Cracovia,Zagłębie Sosnowiec,Dawid Kudła,N,Piotr Polczak,Sergei Zenjov,Bartosz Frankowski
11,Flavio Paixao,Lechia Gdańsk,Zagłębie Sosnowiec,Matko Perdijić,T,Arkadiusz Jędrych,Lukas Haraslin,Daniel Stefański
12,Aleksandar Sedlar,Piast Gliwice,Lechia Gdańsk,Zlatan Alomerović,T,Błażej Augustyn,Joel Valencia,Krzysztof Jakubik
12,Petteri Forsell,Miedź Legnica,Zagłębie Sosnowiec,Dawid Kudła,T,Alexandre Cristovao,Mateusz Szczepaniak,Zbigniew Dobrynin
12,Marcin Robak,Śląsk Wrocław,Arka Gdynia,Pavels Šteinbors,T,Damian Zbozień,ręka,Paweł Raczkowski
12,Filip Starzyński,Zagłębie Lubin,Wisła Płock,Thomas Dahne,T,Marcin Warcholak,Patryk Tuszyński,Piotr Lasyk
13,Marcin Robak,Śląsk Wrocław,Miedź Legnica,Łukasz Sapela,T,Paweł Zieliński,Robert Pich,Wojciech Myć
13,Michał Janota,Arka Gdynia,Lechia Gdańsk,Zlatan Alomerović,T,Błażej Augustyn,ręka,Bartosz Frankowski
13,Igor Angulo,Górnik Zabrze,Zagłębie Lubin,Domnik Hładun,T,Jakub Tosik,Kamil Zapolnik,Dominik Sulikowski
13,Dawid Kort,Wisła Kraków,Zagłębie Sosnowiec,Dawid Kudła,T,Piotr Polczak,Paweł Brożek,Tomasz Kwiatkowski
14,Michał Janota,Arka Gdynia,Pogoń Szczecin,Łukasz Załuska,T,Sebastian Walukiewicz,Maciej Jankowski,Tomasz Musiał
14,Michał Kucharczyk,Legia Warszawa,Górnik Zabrze,Tomasz Loska,T,Dani Suarez,ręka,Wojciech Myć
15,Dominik Furman,Wisła Płock,Zagłębie Sosnowiec,Dawid Kudła,T,Mateusz Cichocki,Calo,Dominik Sulikowski
15,Javi Hernandez,Cracovia,Lechia Gdańsk,Dusan Kuciak,O,Dusan Kuciak,Mateusz Wdowiak,Tomasz Kwiatkowski
15,Filip Starzyński,Zagłębie Lubin,Wisła Kraków,Mateusz Lis,T,Marcin Wasilewski,Bartłomiej Pawłowski,Krzysztof Jakubik
16,Igor Angulo,Górnik Zabrze,Korona Kielce,Matthias Hamrol,T,Adnan Kovacević,ręka,Szymon Marciniak
16,Flavio Paixao,Lechia Gdańsk,Jagiellonia Białystok,Marian Kelemen,T,Ivan Runje,ręka,Tomasz Musiał
17,Aleksandar Sedlar,Piast Gliwice,Pogoń Szczecin,Łukasz Załuska,T,Mariusz Malec,Michal Papadopulos,Paweł Gil
18,Kamil Drygas,Pogoń Szczecin,Zagłębie Sosnowiec,Dawid Kudła,O,Michael Heinloth,Sebastian Kowalczyk,Paweł Raczkowski
18,Petteri Forsell,Miedź Legnica,Górnik Zabrze,Tomasz Loska,T,Michał Koj,ręka,Krzysztof Jakubik
18,Airam Cabrera,Cracovia,Arka Gdynia,Pavels Šteinbors,T,Michał Nalepa,Javi Hernandez,Piotr Lasyk
19,Zdenek Ondrasek,Wisła Kraków,Wisła Płock,Thomas Dahne,T,Thomas Dahne,Zdenek Ondrasek,Jarosław Przybył
19,Kamil Drygas,Pogoń Szczecin,Cracovia,Michal Peškovič,T,Cornel Rapa,ręka,Wojciech Myć
20,Michał Janota,Arka Gdynia,Wisła Płock,Thomas Dahne,T,Adam Dźwigała,Luka Zarandia,Tomasz Kwiatkowski
21,Guilherme Sitya,Jagiellonia Białystok,Miedź Legnica,Anton Kanibołockyj,T,Tomislav Bożić,Marko Poletanović,Bartosz Frankowski
21,Filip Starzyński,Zagłębie Lubin,Lech Poznań,Jasmin Burić,O,Darko Jevtić,Bartłomiej Pawłowski,Tomasz Kwiatkowski
21,Kamil Drygas,Pogoń Szczecin,Lechia Gdańsk,Dusan Kuciak,T,Patryk Lipski,Radosław Majewski,Szymon Marciniak
21,Adnan Kovacević,Korona Kielce,Arka Gdynia,Pavels Šteinbors,T,Maksymilian Banaszewski,Oliver Petrak,Paweł Raczkowski
22,Igor Angulo,Górnik Zabrze,Pogoń Szczecin,Łukasz Załuska,T,Sebastian Walukiewicz,Przemysław Wiśniewski,Paweł Raczkowski
22,Pedro Tiba,Lech Poznań,Piast Gliwice,Frantisek Plach,O,Patryk Dziczek,Jao Amaral,Jarosław Przybył
22,Damian Zbozień,Arka Gdynia,Zagłębie Sosnowiec,Lukas Hrosso,T,Georgios Mygas,Luka Zarandia,Łukasz Szczech
22,Vamara Sanogo,Zagłębie Sosnowiec,Arka Gdynia,Pavels Šteinbors,N,Jan Łoś,Georgios Mygas,Łukasz Szczech
22,Flavio Paixao,Lechia Gdańsk,Korona Kielce,Michał Miśkiewicz,N,Joonas Tamm,Artur Sobiech,Krzysztof Jakubik
22,Airam Cabrera,Cracovia,Legia Warszawa,Radosław Majecki,N,Radosław Majecki,Mateusz Wdowiak,Piotr Lasyk
22,Jakub Błaszczykowski,Wisła Kraków,Śląsk Wrocław,Jakub Słowik,T,Robert Pich,Krzysztof Drzazga,Paweł Gil
23,Michał Janota,Arka Gdynia,Piast Gliwice,Frantisek Plach,O,Jakub Czerwiński,Michał Janota,Wojciech Myć
23,Christian Gytkjaer,Lech Poznań,Legia Warszawa,Radosław Majecki,T,Dominik Nagy,Kamil Jóźwiak,Tomasz Musiał
23,Stefan Scepović,Jagiellonia Białystok,Cracovia,Michal Peškovič,N,Michał Helik,Martin Pospisil,Szymon Marciniak
24,Elia Soriano,Korona Kielce,Zagłębie Sosnowiec,Lukas Hrosso,T,Lukas Gressak,Wato Arweladze,Tomasz Kwiatkowski
24,Guilherme Sitya,Jagiellonia Białystok,Górnik Zabrze,Martin Chudy,T,Boris Sekulić,Zoran Arsenić,Jarosław Przybył
24,Airam Cabrera,Cracovia,Wisła Płock,Thomas Dahne,T,Adam Dźwigała,Filip Piszczek,Bartosz Frankowski
24,Dominik Furman,Wisła Płock,Cracovia,Michal Peškovič,T,Ołeksij Dytiatjew,Oskar Zawada,Bartosz Frankowski
24,Kamil Drygas,Pogoń Szczecin,Wisła Kraków,Mateusz Lis,T,Maciej Sadlok,Adam Buksa,Szymon Marciniak
24,Filip Starzyński,Zagłębie Lubin,Lechia Gdańsk,Dusan Kuciak,T,Błażej Augustyn,Bartosz Slisz,Daniel Stefański
25,Aleksandar Sedlar,Piast Gliwice,Górnik Zabrze,Martin Chudy,T,Jesus Jimenez,ręka,Szymon Marciniak
25,Airam Cabrera,Cracovia,Zagłębie Sosnowiec,Lukas Hrosso,T,Martin Toth,Airam Cabrera,Mariusz Złotek
25,Filip Starzyński,Zagłębie Lubin,Pogoń Szczecin,Łukasz Załuska,T,Ricardo Nunes,Patryk Tuszyński,Paweł Gil
25,Omar Santana,Miedź Legnica,Lech Poznań,Jasmin Burić,T,Nikola Vujadinović,ręka,Tomasz Kwiatkowski
25,Flavio Paixao,Lechia Gdańsk,Wisła Płock,Bartłomiej Żynel,T,Jake McGing,Artur Sobiech,Wojciech Myć
26,Kamil Drygas,Pogoń Szczecin,Wisła Płock,Thomas Dahne,N,Alan Uryga,Adam Buksa,Mariusz Złotek
26,Carlitos,Legia Warszawa,Śląsk Wrocław,Jakub Słowik,T,Igors Tarasovs,ręka,Daniel Stefański
27,Mateusz Możdżeń,Zagłębie Sosnowiec,Miedź Legnica,Anton Kanibołockyj,O,Rafał Augustyniak,Szymon Pawłowski,Tomasz Musiał
27,Jakub Błaszczykowski,Wisła Kraków,Legia Warszawa,Radosław Cierzniak,T,Luis Rocha,ręka,Bartosz Frankowski
28,Airam Cabrera,Cracovia,Korona Kielce,Matthias Hamrol,T,Adnan Kovacević,ręka,Krzysztof Jakubik
28,Guilherme Sitya,Jagiellonia Białystok,Legia Warszawa,Radosław Cierzniak,O,Domagoj Antolić,ręka,Szymon Marciniak
28,Rafał Pietrzak,Wisła Kraków,Zagłębie Sosnowiec,Lukas Hrosso,T,Georgios Mygas,Sławomir Peszko,Jarosław Przybył
28,Mateusz Możdżeń,Zagłębie Sosnowiec,Wisła Kraków,Mateusz Lis,T,Łukasz Burliga,Żarko Udovicić,Jarosław Przybył
29,Jesus Imaz,Jagiellonia Białystok,Zagłębie Sosnowiec,Lukas Hrosso,T,Martin Toth,Taras Romanczuk,Zbigniew Dobrynin
29,Vamara Sanogo,Zagłębie Sosnowiec,Jagiellonia Białystok,Marian Kelemen,T,Taras Romanczuk,ręka,Zbigniew Dobrynin
29,Rafał Pietrzak,Wisła Kraków,Piast Gliwice,Frantisek Plach,O,Piotr Parzyszek,ręka,Szymon Marciniak
29,Carlitos,Legia Warszawa,Górnik Zabrze,Martin Chudy,T,Igor Angulo,ręka,Mariusz Złotek
29,Ricardinho,Wisła Płock,Śląsk Wrocław,Jakub Słowik,T,Piotr Celeban,ręka,Krzysztof Jakubik
30,Michał Janota,Arka Gdynia,Miedź Legnica,Anton Kanibołockyj,T,Elton Monteiro,Aleksandyr Kolew,Piotr Lasyk
30,Airam Cabrera,Cracovia,Lechia Gdańsk,Dusan Kuciak,T,Karol Fila,ręka,Krzysztof Jakubik
30,Jesus Imaz,Jagiellonia Białystok,Lech Poznań,Matus Putnocky,T,Thomas Rogne,ręka,Bartosz Frankowski
30,Aleksandar Sedlar,Piast Gliwice,Korona Kielce,Matthias Hamrol,O,Matthias Hamrol,Paweł Tomczyk,Jarosław Przybył
31,Jesus Imaz,Jagiellonia Białystok,Lech Poznań,Jasmin Burić,T,Jasmin Burić,Jesus Imaz,Daniel Stefański
31,Jesus Imaz,Jagiellonia Białystok,Lech Poznań,Jasmin Burić,T,Timur Żamaletdinow,Marko Poletanović,Daniel Stefański
31,Kamil Drygas,Pogoń Szczecin,Zagłębie Lubin,Konrad Forenc,O,Patryk Tuszyński,Sebastian Kowalczyk,Artur Aluszyk
31,Filip Starzyński,Zagłębie Lubin,Pogoń Szczecin,Jakub Bursztyn,T,Hubert Matynia,Bartłomiej Pawłowski,Artur Aluszyk
31,Adam Buksa,Pogoń Szczecin,Zagłębie Lubin,Konrad Forenc,T,Bartosz Kopacz,Sebastian Kowalczyk,Artur Aluszyk
31,Carlitos,Legia Warszawa,Cracovia,Michal Peškovič,T,Michał Helik,William Remy,Bartosz Frankowski
31,Vamara Sanogo,Zagłębie Sosnowiec,Miedź Legnica,Sosłan Dżanajew,T,Kornel Osyra,Tomasz Nawotka,Paweł Raczkowski
31,Elia Soriano,Korona Kielce,Śląsk Wrocław,Jakub Słowik,T,Wojciech Golla,Felicio Brown Forbes,Mariusz Złotek
32,Jesus Imaz,Jagiellonia Białystok,Cracovia,Michal Peškovič,T,Niko Datković,ręka,Tomasz Kwiatkowski
32,Artur Sobiech,Lechia Gdańsk,Pogoń Szczecin,Jakub Bursztyn,T,Mariusz Malec,ręka,Zbigniew Dobrynin
32,Marcus Vinicius,Arka Gdynia,Miedź Legnica,Sosłan Dżanajew,T,Elton Monteiro,Luka Zarandia,Piotr Lasyk
32,Elia Soriano,Korona Kielce,Wisła Płock,Thomas Dahne,T,Angel Garcia,Elia Soriano,Wojciech Myć
32,Marcin Robak,Śląsk Wrocław,Górnik Zabrze,Martin Chudy,T,Przemysław Wiśniewski,Robert Pich,Szymon Marciniak
32,Igor Angulo,Górnik Zabrze,Śląsk Wrocław,Jakub Słowik,T,Wojciech Golla,Kamil Zapolnik,Szymon Marciniak
33,Aleksandar Sedlar,Piast Gliwice,Cracovia,Michal Peškovič,T,Milan Dimun,Joel Valencia,Paweł Raczkowski
33,Airam Cabrera,Cracovia,Piast Gliwice,Frantisek Plach,T,Tomasz Mokwa,Bojan Cecarić,Paweł Raczkowski
33,Oskar Zawada,Wisła Płock,Miedź Legnica,Sosłan Dżanajew,T,Kornel Osyra,Oskar Zawada,Krzysztof Jakubik
34,Marko Kolar,Wisła Kraków,Górnik Zabrze,Martin Chudy,T,Martin Chudy,Marko Kolar,Paweł Gil
34,Filip Starzyński,Zagłębie Lubin,Lech Poznań,Jasmin Burić,T,Dimitris Goutas,Bartłomiej Pawłowski,Piotr Lasyk
34,Vamara Sanogo,Zagłębie Sosnowiec,Śląsk Wrocław,Jakub Słowik,O,Jakub Słowik,Giorgi Iwaniszwili,Paweł Raczkowski
34,Sergiu Hanca,Cracovia,Lechia Gdańsk,Zlatan Alomerović,T,Joao Nunes,Michał Helik,Jarosław Przybył
35,Damian Zbozień,Arka Gdynia,Zagłębie Sosnowiec,Dawid Kudła,N,Piotr Polczak,Michał Nalepa,Bartosz Frankowski
35,Marko Kolar,Wisła Kraków,Korona Kielce,Paweł Sokół,T,Paweł Sokół,Lukaz Klemenz,Daniel Stefański
35,Jesus Imaz,Jagiellonia Białystok,Piast Gliwice,Jakub Szmatuła,T,Aleksandar Sedlar,Marko Poletanović,Jarosław Przybył
35,Jesus Imaz,Jagiellonia Białystok,Piast Gliwice,Jakub Szmatuła,O,Aleksandar Sedlar,Jesus Imaz,Jarosław Przybył
36,Marko Vejinović,Arka Gdynia,Wisła Kraków,Mateusz Lis,T,Marcin Grabowski,ręka,Paweł Raczkowski
36,Elia Soriano,Korona Kielce,Zagłębie Sosnowiec,Dawid Kudła,O,Georgios Mygas,Marcin Cebula,Artur Aluszyk
36,Filip Starzyński,Zagłębie Lubin,Cracovia,Michal Peškovič,T,Filip Piszczek,Jakub Mares,Wojciech Myć
37,Petteri Forsell,Miedź Legnica,Wisła Kraków,Mateusz Lis,O,Lukas Klemenz,ręka,Tomasz Kwiatkowski
37,Joan Roman,Miedź Legnica,Wisła Kraków,Mateusz Lis,T,Vullnet Basha,Petteri Forsell,Tomasz Kwiatkowski
37,Paweł Brożek,Wisła Kraków,Miedź Legnica,Sosłan Dżanajew,T,Tomislav Bożić,Paweł Brożek,Tomasz Kwiatkowski
37,Marko Kolar,Wisła Kraków,Miedź Legnica,Sosłan Dżanajew,T,Artur Pikk,ręka,Tomasz Kwiatkowski
37,Jesus Imaz,Jagiellonia Białystok,Lechia Gdańsk,Dusan Kuciak,O,Błażej Augustyn,ręka,Paweł Gil
