ZAWODNIK,KLUB,GOLE,ASYSTY,KANADYJSKA,G rez,AS rez,G 1-0/0-1,G I POŁ,G II POŁ
Dawid Pakulski,Zagłębie Lubin,1,0,1,1,0,0,0,1
Bartosz Kwiecień,Jagiellonia,1,0,1,0,0,1,1,0
Kamil Wojtkowski,Wisła Kraków,1,0,1,1,0,0,0,1
Sergei Zenjov,Cracovia,1,0,1,0,0,0,1,0
Ken Kallaste,Korona Kielce,1,0,1,1,0,1,0,1
Oliver Petrak,Korona Kielce,0,1,1,0,0,0,0,0
Adam Banasiak,Zagłębie Sosnowiec,0,1,1,0,1,0,0,0
Adam Matuszczyk,Zagłębie Lubin,0,1,1,0,0,0,0,0
Michael Heinloth,Zagłębie Sosnowiec,0,1,1,0,0,0,0,0
Patryk Sokołowski,Piast Gliwice,1,0,1,1,0,0,0,1
Patryk Stępiński,Wisła Płock,0,1,1,0,0,0,0,0
Bartłomiej Babiarz,Zagłębie Sosnowiec,0,1,1,0,0,0,0,0
Marcin Wasielewski,Lech Poznań,1,0,1,0,0,0,1,0
Marcin Warcholak,Wisła Płock,0,1,1,0,0,0,0,0
Łukasz Poręba,Zagłębie Lubin,1,0,1,0,0,0,1,0
Rafał Janicki,Lech Poznań,0,1,1,0,0,0,0,0
Sebastian Strózik,Cracovia,1,0,1,1,0,0,0,1
Michael Gardawski,Korona Kielce,1,0,1,0,0,0,0,1
Adam Danch,Arka Gdynia,1,0,1,1,0,0,0,1
Rafał Wolski,Lechia Gdańsk,1,0,1,0,0,0,0,1
Nemanja Mitrović,Jagiellonia,1,0,1,0,0,1,1,0
Maciej Dąbrowski,Zagłębie Lubin,0,1,1,0,1,0,0,0
Jakub Wójcicki,Jagiellonia,1,0,1,1,0,1,0,1
Sebastian Milewski,Zagłębie Sosnowiec,0,1,1,0,1,0,0,0
Ołeksij Dytiatjew,Cracovia,1,0,1,0,0,1,0,1
Aleksandar Miljković,Miedź Legnica,0,1,1,0,0,0,0,0
Lubambo Musonda,Śląsk Wrocław,0,1,1,0,0,0,0,0
Giannis Mystakidis,Górnik Zabrze,0,1,1,0,0,0,0,0
Diego Ferraresso,Cracovia,0,1,1,0,0,0,0,0
Marcin Wasilewski,Wisła Kraków,0,1,1,0,0,0,0,0
Bożo Musa,Miedź Legnica,1,0,1,0,0,1,1,0
David Stec,Pogoń Szczecin,0,1,1,0,0,0,0,0
Igors Tarasovs,Śląsk Wrocław,1,0,1,1,0,0,0,1
Maciej Sadlok,Wisła Kraków,0,1,1,0,0,0,0,0
Jin Izumisawa,Pogoń Szczecin,1,0,1,1,0,0,0,1
Tadeusz Socha,Arka Gdynia,0,1,1,0,1,0,0,0
Michał Żyro,Pogoń Szczecin,1,0,1,0,0,1,1,0
Borja Fernandez,Miedź Legnica,0,1,1,0,0,0,0,0
Marcin Pietrowski,Piast Gliwice,1,0,1,0,0,0,0,1
Luis Rocha,Legia Warszawa,0,1,1,0,0,0,0,0
Timur Żamaletdinow,Lech Poznań,1,0,1,1,0,0,0,1
Santeri Hostikka,Pogoń Szczecin,0,1,1,0,1,0,0,0
Marcus Vinicius,Arka Gdynia,1,0,1,0,0,1,1,0
Frederik Helstrup,Arka Gdynia,1,0,1,0,0,0,0,1
Wojciech Golla,Śląsk Wrocław,1,0,1,0,0,0,0,1
Damian Rasak,Wisła Płock,0,1,1,0,0,0,0,0
Paweł Bochniewicz,Górnik Zabrze,1,0,1,0,0,1,0,1
Jarosław Niezgoda,Legia Warszawa,0,1,1,0,1,0,0,0
Lubomir Guldan,Zagłębie Lubin,1,0,1,0,0,1,1,0
Maciej Śliwa,Wisła Kraków,1,0,1,0,0,0,1,0
Krzysztof Kołodziej,Lech Poznań,0,1,1,0,1,0,0,0
Piotr Tomasik,Lech Poznań,0,1,1,0,0,0,0,0
Damian Dąbrowski,Cracovia,0,1,1,0,0,0,0,0
Patryk Szysz,Zagłębie Lubin,1,0,1,0,0,0,0,1
Alan Czerwiński,Zagłębie Lubin,0,1,1,0,0,0,0,0
