ZAWODNIK,KLUB,GOLE,ASYSTY,KANADYJSKA,GOLE DRUŻYNY,% GOL,UDZIAŁ%,KAN+2.AS,UDZIAŁ % Z 2.AS
Tomasz Wójtowicz,Ruch Chorzów,2,2,4,40,"5,0%","10,0%",8,"20,0%"
Blaz Kramer,Legia Warszawa,4,1,5,51,"7,8%","9,8%",5,"9,8%"
Leonardo Rocha,Radomiak Radom,4,0,4,41,"9,8%","9,8%",4,"9,8%"
Luis Machado,Radomiak Radom,1,3,4,41,"2,4%","9,8%",5,"12,2%"
Łukasz Gerstenstein,Stal Mielec,2,2,4,42,"4,8%","9,5%",5,"11,9%"
Piotr Wlazło,Stal Mielec,1,3,4,42,"2,4%","9,5%",4,"9,5%"
Tomasz Makowski,Zagłębie Lubin,2,2,4,43,"4,7%","9,3%",7,"16,3%"
Bartosz Kopacz,Zagłębie Lubin,2,2,4,43,"4,7%","9,3%",5,"11,6%"
Juan Munoz,Zagłębie Lubin,4,0,4,43,"9,3%","9,3%",6,"14,0%"
Aleks Ławniczak,Zagłębie Lubin,4,0,4,43,"9,3%","9,3%",5,"11,6%"
Szymon Czyż,Górnik Zabrze,4,0,4,43,"9,3%","9,3%",6,"14,0%"
Giannis Papanikolaou,Raków Częstochowa,5,0,5,54,"9,3%","9,3%",6,"11,1%"
Łukasz Zwoliński,Raków Częstochowa,5,0,5,54,"9,3%","9,3%",7,"13,0%"
Virgil Ghita,Cracovia,4,0,4,45,"8,9%","8,9%",6,"13,3%"
Damian Rasak,Górnik Zabrze,2,2,4,45,"4,4%","8,9%",9,"20,0%"
Erik Janza,Górnik Zabrze,0,4,4,45,"0,0%","8,9%",4,"8,9%"
Dani Pacheco,Górnik Zabrze,1,3,4,45,"2,2%","8,9%",4,"8,9%"
Linus Wahlqvist,Pogoń Szczecin,0,5,5,59,"0,0%","8,5%",9,"15,3%"
Maciej Rosołek,Legia Warszawa,2,2,4,51,"3,9%","7,8%",5,"9,8%"
Juergen Elitim,Legia Warszawa,1,3,4,51,"2,0%","7,8%",6,"11,8%"
Srdan Plavsić,Raków Częstochowa,1,3,4,51,"2,0%","7,8%",6,"11,8%"
Bartosz Kapustka,Legia Warszawa,2,2,4,51,"3,9%","7,8%",5,"9,8%"
Taras Romanczuk,Jagiellonia,1,5,6,77,"1,3%","7,8%",9,"11,7%"
Fran Tudor,Raków Częstochowa,0,4,4,54,"0,0%","7,4%",8,"14,8%"
Bogdan Racovitan,Raków Częstochowa,3,1,4,54,"5,6%","7,4%",5,"9,3%"
Adrian Przyborek,Pogoń Szczecin,1,3,4,59,"1,7%","6,8%",4,"6,8%"
Jarosław Kubicki,Jagiellonia,1,3,4,77,"1,3%","5,2%",8,"10,4%"
Mateusz Skrzypczak,Jagiellonia,3,1,4,77,"3,9%","5,2%",4,"5,2%"
