ZAWODNIK,KLUB,MIAŁ,STWORZYŁ,% WYK.
Kamil Glik,Cracovia,1,1,"100,0%"
Piotr Janczukowicz,ŁKS,1,1,"100,0%"
Antonio Milić,Lech,1,1,"100,0%"
Miłosz Trojak,Korona,2,1,"100,0%"
Artemijus Tutyskinas,ŁKS,1,1,"100,0%"
Alvis Jaunzems,Stal,1,1,"100,0%"
Kaan Caliskaner,Jagiellonia,1,1,"100,0%"
Tomas Huk,Piast,1,1,"100,0%"
Sonny Kittel,Raków,4,1,"75,0%"
Mateusz Kupczak,Warta,4,1,"75,0%"
Łukasz Sołowiej,Puszcza,4,1,"75,0%"
Tomas Pekhart,Legia,10,1,"70,0%"
Dawid Drachal,Raków,3,1,"66,7%"
Bert Esselink,Stal,3,1,"66,7%"
Mateusz Skrzypczak,Jagiellonia,3,1,"66,7%"
Husein Balić,ŁKS,3,1,"66,7%"
Stipe Jurić,ŁKS,5,1,"60,0%"
Damjan Bohar,Zagłębie,2,1,"50,0%"
Rafał Janicki,Górnik Z,2,1,"50,0%"
Bartosz Kopacz,Zagłębie,2,1,"50,0%"
Kamil Lukoszek,Górnik Z,2,1,"50,0%"
Jehor Macenko,Śląsk,6,1,"50,0%"
Ariel Mosór,Piast,2,1,"50,0%"
Ernest Muci,Legia,2,1,"50,0%"
Stratos Svarnas,Raków,2,1,"50,0%"
Fredrik Ulvestad,Pogoń,4,1,"50,0%"
Adam Vlkanova,Ruch,2,1,"50,0%"
Wojciech Hajda,Puszcza,2,1,"50,0%"
Mateusz Wdowiak,Zagłębie,9,1,"44,4%"
Blaz Kramer,Legia,5,1,"40,0%"
Miha Blazic,Lech,3,1,"33,3%"
Mateusz Żyro,Widzew,3,1,"33,3%"
Mateusz Czyżycki,Korona,4,1,"25,0%"
Virgil Ghita,Cracovia,4,1,"25,0%"
Piotr Krawczyk,Górnik Z,4,1,"25,0%"
Maciej Rosołek,Legia,4,1,"25,0%"
Mateusz Żukowski,Śląsk,5,1,"20,0%"
Rafał Augustyniak,Legia,1,1,"0,0%"
Jakub Bartosz,Puszcza,3,1,"0,0%"
Mateusz Bochnak,Cracovia,1,1,"0,0%"
Maciej Firlej,Ruch/Puszcza,2,1,"0,0%"
Marek Hanousek,Widzew,1,1,"0,0%"
Juan Ibiza,Widzew,1,1,"0,0%"
Artur Jędrzejczyk,Legia,1,1,"0,0%"
Jakub Jugas,Cracovia,1,1,"0,0%"
Martin Konczkowski,Śląsk,1,1,"0,0%"
Dominik Kun,Widzew,1,1,"0,0%"
Miłosz Matysik,Jagiellonia,1,1,"0,0%"
Luis Miguel,Warta,1,1,"0,0%"
Takuto Oshima,Cracovia,2,1,"0,0%"
Pirulo,ŁKS,2,1,"0,0%"
Marko Poletanović,Zagłębie,2,1,"0,0%"
Yuri Ribeiro,Legia,4,1,"0,0%"
Michał Rzuchowski,Śląsk,1,1,"0,0%"
Juljan Shehu,Widzew,1,1,"0,0%"
Bartosz Szeliga,ŁKS,5,1,"0,0%"
Ernest Terpiłowski,Widzew,2,1,"0,0%"
Dario Vizinger,Warta,4,1,"0,0%"
Patryk Klimala,Śląsk,6,1,"0,0%"
Raphael Rossi,Radomiak,1,1,"0,0%"
Antoni Młynarczyk,ŁKS,1,1,"0,0%"
Mikkel Maigaard,Cracovia,3,1,"0,0%"
Luka Vusković,Radomiak,1,1,"0,0%"
Frank Castaneda,Radomiak,1,0,"100,0%"
Filip Dagerstal,Lech,1,0,"100,0%"
Ronaldo Deaconu,Korona,2,0,"100,0%"
Jakub Lewicki,Jagiellonia,1,0,"100,0%"
Kacper Smoliński,Pogoń,1,0,"100,0%"
Igor Strzałek,Legia/Stal,1,0,"100,0%"
Przemysław Szur,Ruch,1,0,"100,0%"
Michał Walski,Puszcza,1,0,"100,0%"
Yoav Hofmeister,Korona,1,0,"100,0%"
Michał Koj,Puszcza,1,0,"100,0%"
Matthew Guillaumier,Stal,2,0,"100,0%"
Eneo Bitri,Cracovia,1,0,"100,0%"
Bartosz Kwiecień,Korona,1,0,"100,0%"
Aleksander Iwańczyk,ŁKS,1,0,"100,0%"
Luis Silva,Widzew,1,0,"100,0%"
