ZAWODNIK,KLUB,GOLE,LN,PN,G,Inne
Adrian Dalmau,Korona Kielce,5,1,4,0,0
Artur Siemaszko,Puszcza Niepołomice,5,2,3,0,0
Giannis Papanikolaou,Raków Częstochowa,5,2,2,1,0
Kamil Zapolnik,Puszcza Niepołomice,5,0,2,2,1
Łukasz Zwoliński,Raków Częstochowa,5,0,5,0,0
Michał Feliks,Ruch Chorzów,5,0,2,2,1
Wahan Biczachczjan,Pogoń Szczecin,5,2,3,0,0
Władysław Koczerhin,Raków Częstochowa,5,0,5,0,0
Mateusz Wdowiak,Zagłębie Lubin,5,0,5,0,0
Imad Rondić,Widzew Łódź,5,2,1,2,0
Jani Atanasov,Cracovia,5,2,3,0,0
Lawrence Ennali,Górnik Zabrze,5,1,4,0,0
Adam Zrelak,Warta Poznań,4,3,1,0,0
Engjell Hoti,ŁKS Łódź,4,0,4,0,0
Leonardo Rocha,Radomiak Radom,4,2,1,1,0
Lisandro Semedo,Radomiak Radom,4,0,4,0,0
Maciej Żurawski,Warta Poznań,4,1,1,2,0
Mateusz Kupczak,Warta Poznań,4,0,3,1,0
Nono,Korona Kielce,4,0,3,1,0
Patryk Makuch,Cracovia,4,0,2,2,0
Paweł Wszołek,Legia Warszawa,4,1,0,3,0
Roman Jakuba,Puszcza Niepołomice,4,3,1,0,0
Sebastian Musiolik,Górnik Zabrze,4,2,1,1,0
Tomasz Swędrowski,Ruch Chorzów,4,0,4,0,0
Virgil Ghita,Cracovia,4,0,2,2,0
Ernest Muci,Legia Warszawa,4,1,3,0,0
Adriel Ba Loua,Lech Poznań,4,3,1,0,0
Juan Munoz,Zagłębie Lubin,4,1,2,1,0
Edi Semedo,Radomiak Radom,4,0,2,2,0
Aleks Ławniczak,Zagłębie Lubin,4,0,1,3,0
Szymon Czyż,Górnik Zabrze,4,1,3,0,0
Karol Knap,Cracovia,4,3,0,1,0
Stipe Jurić,ŁKS Łódź,4,2,2,0,0
Blaz Kramer,Legia Warszawa,4,1,3,0,0
Soma Novothny,Ruch Chorzów,4,0,1,3,0
Andrejs Ciganiks,Widzew Łódź,3,3,0,0,0
Dawid Drachal,Raków Częstochowa,3,1,2,0,0
Filip Szymczak,Lech Poznań,3,1,2,0,0
John Yeboah,Raków Częstochowa,3,1,2,0,0
Koki Hinokio,Stal Mielec,3,0,3,0,0
Krystian Getinger,Stal Mielec,3,2,0,1,0
Lukas Podolski,Górnik Zabrze,3,3,0,0,0
Maciej Domański,Stal Mielec,3,1,2,0,0
Mateusz Cholewiak,Puszcza Niepołomice,3,1,2,0,0
Paweł Jaroszyński,Cracovia,3,3,0,0,0
Petr Schwarz,Śląsk Wrocław,3,1,2,0,0
Sonny Kittel,Raków Częstochowa,3,0,2,1,0
Serhij Krykun,Piast Gliwice,3,0,3,0,0
Jehor Macenko,Śląsk Wrocław,3,1,0,2,0
Kamil Lukoszek,Górnik Zabrze,3,2,1,0,0
Mateusz Matras,Stal Mielec,3,0,2,1,0
Bogdan Racovitan,Raków Częstochowa,3,0,1,2,0
Mateusz Skrzypczak,Jagiellonia,3,0,1,2,0
Ronaldo Deaconu,Korona Kielce,3,3,0,0,0
Antoni Klimek,Widzew Łódź,3,1,2,0,0
Husein Balić,ŁKS Łódź,3,0,3,0,0
Luka Vusković,Radomiak Radom,3,1,1,1,0
Bert Esselink,Stal Mielec,2,0,0,2,0
Damian Kądzior,Piast Gliwice,2,1,1,0,0
Dawid Abramowicz,Radomiak Radom,2,1,1,0,0
Fabian Piasecki,Raków/Piast,2,0,2,0,0
Fabio Nunes,Widzew Łódź,2,2,0,0,0
Gustav Berggren,Raków Częstochowa,2,0,2,0,0
Jakub Lewicki,Jagiellonia,2,2,0,0,0
Jean Carlos Silva,Raków Częstochowa,2,0,2,0,0
Joel Pereira,Lech Poznań,2,0,2,0,0
Łukasz Gerstenstein,Stal Mielec,2,0,2,0,0
Maciej Rosołek,Legia Warszawa,2,1,1,0,0
Mateusz Bartolewski,Ruch Chorzów,2,0,0,2,0
Michał Walski,Puszcza Niepołomice,2,0,2,0,0
Miguel Luis,Warta Poznań,2,1,1,0,0
Radovan Pankov,Legia Warszawa,2,0,1,1,0
Rafał Janicki,Górnik Zabrze,2,0,0,2,0
Rafał Wolski,Radomiak Radom,2,0,1,1,0
Stefan Savić,Warta Poznań,2,0,2,0,0
Tomasz Makowski,Zagłębie Lubin,2,0,2,0,0
Tomasz Wójtowicz,Ruch Chorzów,2,1,1,0,0
Jesper Karlstrom,Lech Poznań,2,0,2,0,0
Bartosz Kopacz,Zagłębie Lubin,2,1,0,1,0
Burak Ince,Śląsk Wrocław,2,2,0,0,0
Kai Meriluoto,Stal Mielec,2,0,1,1,0
Damian Rasak,Górnik Zabrze,2,0,2,0,0
Piotr Janczukowicz,ŁKS Łódź,2,0,2,0,0
Grzegorz Tomasiewicz,Piast Gliwice,2,1,1,0,0
Mariusz Fornalczyk,Pogoń/Korona,2,0,2,0,0
Kamil Glik,Cracovia,2,0,0,2,0
Mateusz Żyro,Widzew Łódź,2,0,0,2,0
Matthew Guillaumier,Stal Mielec,2,0,2,0,0
Marton Eppel,Warta Poznań,2,0,2,0,0
Bartosz Kapustka,Legia Warszawa,2,1,1,0,0
Tomas Prikryl,Warta Poznań,2,2,0,0,0
Miłosz Trojak,Korona Kielce,2,0,2,0,0
Miłosz Kozak,Ruch Chorzów,2,1,1,0,0
Tomas Huk,Piast Gliwice,2,0,0,2,0
Otar Kakabadze,Cracovia,2,0,2,0,0
Danny Trejo,Korona Kielce,2,0,1,0,1
Kaan Caliskaner,Jagiellonia,2,0,2,0,0
Jardel,Radomiak Radom,2,0,2,0,0
Kamil Wilczek,Piast Gliwice,2,1,1,0,0
Vagner Dias,Radomiak Radom,2,2,0,0,0
Łukasz Wolsztyński,Stal Mielec,2,0,1,0,1
Aleksander Paluszek,Śląsk Wrocław,1,0,0,1,0
Ariel Mosór,Piast Gliwice,1,0,0,1,0
Artemijus Tutyskinas,ŁKS Łódź,1,0,0,1,0
Bartłomiej Kłudka,Zagłębie Lubin,1,0,1,0,0
Christos Donis,Radomiak Radom,1,0,1,0,0
Damjan Bohar,Zagłębie Lubin,1,0,1,0,0
Dario Vizinger,Warta Poznań,1,0,1,0,0
Deian Sorescu,Raków Częstochowa,1,1,0,0,0
Ernest Terpiłowski,Widzew Łódź,1,0,1,0,0
Jakub Bartosz,Puszcza Niepołomice,1,0,0,1,0
Jarosław Kubicki,Jagiellonia,1,0,1,0,0
Kacper Michalski,Ruch Chorzów,1,0,1,0,0
Luis Silva,Widzew Łódź,1,1,0,0,0
Luka Zahović,Pogoń Szczecin,1,0,0,1,0
Łukasz Bejger,Śląsk Wrocław,1,0,0,1,0
Makana Baku,Legia Warszawa,1,1,0,0,0
Marcel Wędrychowski,Pogoń Szczecin,1,0,0,1,0
Martin Konczkowski,Śląsk Wrocław,1,0,1,0,0
Mateusz Cichocki,Radomiak Radom,1,0,0,1,0
Mateusz Grzybek,Zagłębie Lubin,1,0,1,0,0
Michał Rzuchowski,Śląsk Wrocław,1,0,1,0,0
Michał Trąbka,Stal Mielec,1,0,1,0,0
Miha Blazic,Lech Poznań,1,0,0,1,0
Patryk Kun,Legia Warszawa,1,0,1,0,0
Patryk Stępiński,Widzew Łódź,1,1,0,0,0
Patryk Szwedzik,Śląsk Wrocław,1,0,1,0,0
Piotr Mroziński,Puszcza Niepołomice,1,0,0,1,0
Wojciech Łaski,Jagiellonia,1,0,1,0,0
Radosław Murawski,Lech Poznań,1,0,1,0,0
Robert Dadok,Górnik/Ruch,1,1,0,0,0
Rok Kidric,Puszcza Niepołomice,1,0,0,1,0
Serhij Bułeca,Zagłębie Lubin,1,1,0,0,0
Taras Romanczuk,Jagiellonia,1,0,0,1,0
Michał Chrapek,Piast Gliwice,1,0,1,0,0
Alan Czerwiński,Lech Poznań,1,0,0,1,0
Juergen Elitim,Legia Warszawa,1,1,0,0,0
Srdan Plavsić,Raków Częstochowa,1,0,1,0,0
Danijel Loncar,Pogoń Szczecin,1,1,0,0,0
Marcin Cebula,Raków Częstochowa,1,0,1,0,0
Frank Castaneda,Radomiak Radom,1,0,1,0,0
Filip Dagerstal,Lech Poznań,1,0,0,1,0
Piotr Wlazło,Stal Mielec,1,0,0,1,0
Rafał Kurzawa,Pogoń Szczecin,1,1,0,0,0
Mateusz Czyżycki,Korona Kielce,1,0,1,0,0
Kacper Smoliński,Pogoń Szczecin,1,1,0,0,0
Luis Machado,Radomiak Radom,1,0,1,0,0
Tomas Podstawski,Ruch Chorzów,1,0,1,0,0
Igor Strzałek,Legia/Stal,1,1,0,0,0
Jan Grzesik,Radomiak Radom,1,0,1,0,0
Steve Kapuadi,Legia Warszawa,1,0,0,1,0
Michał Gurgul,Lech Poznań,1,1,0,0,0
Jakub Konstantyn,Korona Kielce,1,1,0,0,0
Yoav Hofmeister,Korona Kielce,1,0,0,1,0
Leonardo Koutris,Pogoń Szczecin,1,1,0,0,0
Adrian Przyborek,Pogoń Szczecin,1,0,1,0,0
Michał Koj,Puszcza Niepołomice,1,1,0,0,0
Damian Dąbrowski,Zagłębie Lubin,1,0,1,0,0
Antonio Milić,Lech Poznań,1,0,0,1,0
Piotr Krawczyk,Górnik Zabrze,1,1,0,0,0
Nika Kwekweskiri,Lech Poznań,1,1,0,0,0
Konrad Matuszewski,Warta Poznań,1,1,0,0,0
Wojciech Hajda,Puszcza Niepołomice,1,0,1,0,0
Bartłomiej Poczobut,Puszcza Niepołomice,1,0,1,0,0
Dawid Błanik,Korona Kielce,1,0,1,0,0
Michal Siplak,Górnik Zabrze,1,1,0,0,0
Kryspin Szcześniak,Górnik Zabrze,1,0,0,1,0
Dani Pacheco,Górnik Zabrze,1,0,1,0,0
Krzysztof Wołkowicz,Stal Mielec,1,1,0,0,0
Paweł Olkowski,Górnik Zabrze,1,0,1,0,0
Michal Sacek,Jagiellonia,1,0,1,0,0
Alvis Jaunzems,Stal Mielec,1,0,1,0,0
Łukasz Moneta,Ruch Chorzów,1,0,1,0,0
Dominik Kun,Widzew Łódź,1,0,1,0,0
Patryk Sikora,Ruch Chorzów,1,0,1,0,0
Filipe Nascimento,Górnik Zabrze,1,1,0,0,0
Rafał Augustyniak,Legia Warszawa,1,0,1,0,0
Juliusz Letniowski,Ruch Chorzów,1,0,1,0,0
Dimitris Stavropoulos,Warta Poznań,1,0,0,1,0
Raphael Rossi,Radomiak Radom,1,0,0,1,0
Jędrzej Zając,ŁKS Łódź,1,0,0,0,1
Stratos Svarnas,Raków Częstochowa,1,0,1,0,0
Przemysław Szur,Ruch Chorzów,1,0,0,1,0
Patryk Paryzek,Pogoń Szczecin,1,1,0,0,0
Antoni Młynarczyk,ŁKS Łódź,1,0,1,0,0
Adam Vlkanova,Ruch Chorzów,1,0,1,0,0
Noah Diliberto,Widzew Łódź,1,0,1,0,0
Soichiro Kozuki,Górnik Zabrze,1,1,0,0,0
Juan Ibiza,Widzew Łódź,1,1,0,0,0
David Kristjan Olafsson,Cracovia,1,1,0,0,0
Josema,Ruch Chorzów,1,0,0,1,0
Eneo Bitri,Cracovia,1,0,0,1,0
Gabriel Kobylak,Radomiak Radom,1,0,1,0,0
Bartosz Kwiecień,Korona Kielce,1,1,0,0,0
Jordan Majchrzak,Puszcza Niepołomice,1,0,1,0,0
Guilherme Zimovski,Radomiak Radom,1,0,1,0,0
Arttu Hoskonen,Cracovia,1,0,0,1,0
Jakub Czerwiński,Piast Gliwice,1,0,0,1,0
Dawid Szymonowicz,Warta Poznań,1,0,0,1,0
Leo Borges,Pogoń Szczecin,1,0,1,0,0
Marek Mróz,Zagłębie Lubin,1,0,1,0,0
Mateusz Żukowski,Śląsk Wrocław,1,1,0,0,0
Simeon Petrow,Śląsk Wrocław,1,0,0,1,0
Marko Poletanović,Zagłębie Lubin,1,1,0,0,0
Bartłomiej Barański,Ruch Chorzów,1,0,1,0,0
Aleksander Iwańczyk,ŁKS Łódź,1,0,0,1,0
Pirulo,ŁKS Łódź,1,1,0,0,0
