ZAWODNIK,KLUB,GOLE,ASYSTY,KANADYJSKA,CZAS,MIN/GOL,MIN/G+AS
Maciej Gajos,Lechia Gdańsk,4,0,4,1893,"473,3","473,3"
Jean Carlos Silva,Pogoń/Raków,4,3,7,1940,"485,0","277,1"
Michael Ameyaw,Piast Gliwice,3,2,5,1470,"490,0","294,0"
Daisuke Yokota,Górnik Zabrze,2,2,4,992,"496,0","248,0"
Damian Kądzior,Piast Gliwice,3,6,9,1497,"499,0","166,3"
Maik Nawrocki,Legia Warszawa,4,1,5,2007,"501,8","401,4"
Dominik Kun,Widzew Łódź,4,2,6,2121,"530,3","353,5"
Damjan Bohar,Zagłębie Lubin,3,5,8,1641,"547,0","205,1"
Mateusz Łęgowski,Pogoń Szczecin,3,4,7,1699,"566,3","242,7"
Filip Szymczak,Lech Poznań,2,2,4,1160,"580,0","290,0"
Kajetan Szmyt,Warta Poznań,3,6,9,1795,"598,3","199,4"
Maciej Domański,Stal Mielec,4,5,9,2439,"609,8","271,0"
Patryk Dziczek,Piast Gliwice,3,2,5,1823,"607,7","364,6"
Jewhen Konoplanka,Cracovia,2,2,4,1227,"613,5","306,8"
Michał Chrapek,Piast Gliwice,4,5,9,2453,"613,3","272,6"
Lisandro Semedo,Radomiak Radom,3,2,5,1894,"631,3","378,8"
Ernest Terpiłowski,Widzew Łódź,3,4,7,1902,"634,0","271,7"
Nahuel Leiva,Śląsk Wrocław,3,2,5,1908,"636,0","381,6"
Kristian Vallo,Wisła Płock,2,4,6,1275,"637,5","212,5"
Petr Schwarz,Śląsk Wrocław,3,2,5,2006,"668,7","401,2"
Łukasz Łakomy,Zagłębie Lubin,4,3,7,2757,"689,3","393,9"
Dawid Abramowicz,Radomiak Radom,4,1,5,2775,"693,8","555,0"
Piotr Wlazło,Stal Mielec,4,0,4,2814,"703,5","703,5"
Damian Dąbrowski,Pogoń Szczecin,4,3,7,2827,"706,8","403,9"
Karol Knap,Cracovia,2,2,4,1419,"709,5","354,8"
Luis Machado,Radomiak Radom,3,4,7,2179,"726,3","311,3"
Jan Grzesik,Warta Poznań,3,4,7,2480,"826,7","354,3"
Nika Kwekweskiri,Lech Poznań,2,2,4,1681,"840,5","420,3"
Stratos Svarnas,Raków Częstochowa,3,4,7,2599,"866,3","371,3"
Dani Pacheco,Górnik Zabrze,2,5,7,1749,"874,5","249,9"
Roberto Alves,Radomiak Radom,3,4,7,2640,"880,0","377,1"
Łukasz Bejger,Śląsk Wrocław,2,2,4,1761,"880,5","440,3"
Bartosz Kapustka,Legia Warszawa,2,3,5,1804,"902,0","360,8"
Grzegorz Tomasiewicz,Piast Gliwice,3,3,6,2708,"902,7","451,3"
Jani Atanasov,Cracovia,1,3,4,920,"920,0","230,0"
Patryk Kun,Raków Częstochowa,2,2,4,1888,"944,0","472,0"
Damian Rasak,Wisła P/Górnik,2,5,7,1914,"957,0","273,4"
Ronaldo Deaconu,Korona Kielce,2,2,4,1966,"983,0","491,5"
Mateusz Szwoch,Wisła Płock,2,2,4,2144,"1072,0","536,0"
Carlitos,Legia Warszawa,1,3,4,1081,"1081,0","270,3"
Jakub Bartkowski,Pogoń/Lechia,2,2,4,2330,"1165,0","582,5"
Jarosław Kubicki,Lechia Gdańsk,2,2,4,2460,"1230,0","615,0"
Fran Tudor,Raków Częstochowa,2,7,9,2490,"1245,0","276,7"
Olaf Kobacki,Miedź Legnica,1,4,5,1272,"1272,0","254,4"
Mateusz Matras,Stal Mielec,2,3,5,2786,"1393,0","557,2"
Erik Janza,Górnik Zabrze,2,8,10,2871,"1435,5","287,1"
Ilkay Durmus,Lechia Gdańsk,1,3,4,1699,"1699,0","424,8"
Otar Kakabadze,Cracovia,1,4,5,1961,"1961,0","392,2"
Maxime Dominguez,Miedź Legnica,1,6,7,2249,"2249,0","321,3"
Konrad Matuszewski,Warta Poznań,0,5,5,2338,-,"467,6"
Bartłomiej Wdowik,Jagiellonia,0,4,4,1667,-,"416,8"
Dominik Furman,Wisła Płock,0,4,4,2615,-,"653,8"
Victor Garcia,Śląsk Wrocław,0,4,4,2208,-,"552,0"
Hubert Matynia,Miedź Legnica,0,4,4,1499,-,"374,8"
Patryk Stępiński,Widzew Łódź,0,4,4,2831,-,"707,8"
Bartosz Slisz,Legia Warszawa,0,4,4,2667,-,"666,8"
