ZAWODNIK,KLUB,słupek,poprzeczka,SUMA
Angelo Henriquez,Miedź Legnica,1,0,1
Robert Ivanov,Warta Poznań,0,1,1
David Jablonsky,Cracovia,1,0,1
Jarosław Jach,Zagłębie Lubin,0,1,1
Patryk Janasik,Śląsk Wrocław,0,1,1
Artur Jędrzejczyk,Legia Warszawa,1,0,1
Jordi Sanchez,Widzew Łódź,0,1,1
Josue,Legia Warszawa,1,0,1
Jakub Jugas,Cracovia,0,1,1
Damian Kądzior,Piast Gliwice,1,0,1
Arkadiusz Kasperkiewicz,Stal Mielec,0,1,1
Jacek Kiełb,Korona Kielce,1,0,1
Jonatan Kotzke,Górnik Zabrze,0,1,1
Sebastian Kowalczyk,Pogoń Szczecin,1,0,1
Mateusz Kowalski,Jagiellonia,1,0,1
Martin Kreuzriegler,Widzew Łódź,1,0,1
Łukasz Łakomy,Zagłębie Lubin,1,0,1
Mateusz Łęgowski,Pogoń Szczecin,0,1,1
Filip Lesniak,Wisła Płock,1,0,1
Luis Machado,Radomiak Radom,1,0,1
Mateusz Mak,Stal Mielec,1,0,1
Patryk Makuch,Cracovia,1,0,1
Maurides,Radomiak Radom,0,1,1
Miguel Luis,Warta Poznań,0,1,1
Ernest Muci,Legia Warszawa,0,1,1
Koldo Obieta,Miedź Legnica,1,0,1
Tomasz Pieńko,Zagłębie Lubin,0,1,1
Maksymilian Pingot,Lech Poznań,0,1,1
Lukas Podolski,Górnik Zabrze,0,1,1
Michał Rakoczy,Cracovia,1,0,1
Yuri Ribeiro,Legia Warszawa,1,0,1
Piotr Samiec-Talar,Śląsk Wrocław,0,1,1
Lisandro Semedo,Radomiak Radom,1,0,1
Patryk Stępiński,Widzew Łódź,1,0,1
Filip Szymczak,Lech Poznań,0,1,1
Kristers Tobers,Lechia Gdańsk,0,1,1
Kristian Vallo,Wisła Płock,0,1,1
Wahan Biczachczjan,Pogoń Szczecin,1,0,1
Rafał Wolski,Wisła Płock,1,0,1
Łukasz Zwoliński,Lechia Gdańsk,1,0,1
Szymon Czyż,Raków Częstochowa,1,0,1
Kyryło Petrow,Korona Kielce,1,0,1
Damjan Bohar,Zagłębie Lubin,1,0,1
Bartosz Slisz,Legia Warszawa,0,1,1
Łukasz Zjawiński,Widzew Łódź,1,0,1
Norbert Wojtuszek,Górnik Zabrze,1,0,1
Krzysztof Kolanko,Górnik Zabrze,0,1,1
Tiago Matos,Radomiak Radom,0,1,1
Maik Nawrocki,Legia Warszawa,0,1,1
Serafin Szota,Widzew Łódź,0,1,1
Patryk Dziczek,Piast Gliwice,1,0,1
Rauno Sappinen,Piast/Stal,1,0,1
Piotr Malarczyk,Korona Kielce,0,1,1
Adam Chrzanowski,Wisła Płock,1,0,1
Alexander Gorgon,Pogoń Szczecin,0,1,1
Dawid Kurminowski,Zagłębie Lubin,1,0,1
Kacper Śmiglewski,Cracovia,1,0,1
Daisuke Yokota,Górnik Zabrze,0,1,1
Dimityr Wełkowski,Miedź Legnica,1,0,1
Danijel Loncar,Pogoń Szczecin,0,1,1
Damian Tront,Miedź Legnica,1,0,1
