ZAWODNIK,KLUB,L % celn,P % celn,G % celn,R,R celn,% R celn,R Gole,Strzały/gol,GOL/R,KP
Flavio Paixao,Lechia Gdańsk,"60,0%","47,8%","33,3%",40,18,"45,0%",7,"5,71","17,5%",10
Luka Zahović,Pogoń Szczecin,"30,0%","54,2%","33,3%",40,18,"45,0%",6,"6,67","15,0%",23
Pontus Almqvist,Pogoń Szczecin,"35,0%","58,3%","44,4%",41,18,"43,9%",5,"8,20","12,2%",27
Leonardo Rocha,Radomiak Radom,"40,0%","46,2%","56,3%",34,17,"50,0%",6,"5,67","17,6%",9
Łukasz Zwoliński,Lechia Gdańsk,"40,0%","35,3%","41,2%",44,17,"38,6%",9,"4,89","20,5%",15
Damian Dąbrowski,Pogoń Szczecin,"22,2%","40,5%",-,46,17,"37,0%",4,"11,50","8,7%",42
Władysław Koczerhin,Raków Częstochowa,"0,0%","31,5%","0,0%",57,17,"29,8%",8,"7,13","14,0%",36
Kanji Okunuki,Górnik Zabrze,"100,0%","50,0%","50,0%",31,16,"51,6%",4,"7,75","12,9%",30
Ronaldo Deaconu,Korona Kielce,"32,0%","0,0%",-,58,16,"27,6%",2,"29,00","3,4%",45
Piotr Wlazło,Stal Mielec,"50,0%","36,0%","37,5%",39,15,"38,5%",4,"9,75","10,3%",21
Jewgienij Szykawka,Korona Kielce,"16,7%","45,5%","47,1%",40,15,"37,5%",6,"6,67","15,0%",20
Tornike Gaprindaszwili,Zagłębie Lubin,"42,3%","100,0%","0,0%",30,14,"46,7%",2,"15,00","6,7%",10
Miłosz Szczepański,Warta Poznań,"50,0%","42,9%","50,0%",30,14,"46,7%",4,"7,50","13,3%",16
Lisandro Semedo,Radomiak Radom,"0,0%","42,9%","50,0%",33,14,"42,4%",3,"11,00","9,1%",25
Bartosz Kapustka,Legia Warszawa,"45,5%","34,6%",-,37,14,"37,8%",2,"18,50","5,4%",20
Sebastian Kowalczyk,Pogoń Szczecin,"40,0%","29,3%","0,0%",48,14,"29,2%",6,"8,00","12,5%",36
Filip Starzyński,Zagłębie Lubin,"25,0%","29,5%","0,0%",50,14,"28,0%",1,"50,00","2,0%",45
Jorge Felix,Piast Gliwice,"50,0%","53,8%","57,1%",24,13,"54,2%",3,"8,00","12,5%",16
Michael Ameyaw,Piast Gliwice,"33,3%","55,6%","0,0%",29,13,"44,8%",3,"9,67","10,3%",12
Ilkay Durmus,Lechia Gdańsk,"47,6%","25,0%","50,0%",31,13,"41,9%",1,"31,00","3,2%",27
Afonso Sousa,Lech Poznań,"0,0%","37,9%","100,0%",32,13,"40,6%",4,"8,00","12,5%",21
Tomasz Pieńko,Zagłębie Lubin,"55,6%","34,8%",-,32,13,"40,6%",3,"10,67","9,4%",18
Filip Marchwiński,Lech Poznań,"75,0%","36,4%","28,6%",33,13,"39,4%",5,"6,60","15,2%",16
Joao Amaral,Lech Poznań,"37,5%","34,6%","100,0%",35,13,"37,1%",2,"17,50","5,7%",14
Nene,Jagiellonia,"34,3%",-,"100,0%",36,13,"36,1%",5,"7,20","13,9%",16
Carlitos,Legia Warszawa,"40,0%","37,9%","0,0%",36,13,"36,1%",1,"36,00","2,8%",17
Nika Kwekweskiri,Lech Poznań,-,"33,3%","100,0%",37,13,"35,1%",2,"18,50","5,4%",25
Filip Szymczak,Lech Poznań,"44,4%","27,3%","25,0%",37,13,"35,1%",2,"18,50","5,4%",15
Fabian Piasecki,Raków Częstochowa,"16,7%","38,1%","30,0%",39,13,"33,3%",6,"6,50","15,4%",18
Luis Machado,Radomiak Radom,"25,0%","22,0%","40,0%",54,13,"24,1%",3,"18,00","5,6%",18
Damian Warchoł,Wisła Płock,"80,0%","75,0%","83,3%",15,12,"80,0%",3,"5,00","20,0%",3
Piotr Krawczyk,Górnik Zabrze,"73,3%","50,0%","0,0%",18,12,"66,7%",4,"4,50","22,2%",15
Patrick Olsen,Śląsk Wrocław,"33,3%","61,1%","0,0%",22,12,"54,5%",3,"7,33","13,6%",21
Paweł Wszołek,Legia Warszawa,"42,9%","44,4%","62,5%",24,12,"50,0%",7,"3,43","29,2%",45
Kamil Drygas,Pogoń/Miedź,"61,5%","20,0%","33,3%",27,12,"44,4%",2,"13,50","7,4%",7
Filip Mladenović,Legia Warszawa,"38,5%","33,3%",-,32,12,"37,5%",6,"5,33","18,8%",39
Ernest Terpiłowski,Widzew Łódź,"40,0%","35,3%","40,0%",32,12,"37,5%",3,"10,67","9,4%",23
Dani Pacheco,Górnik Zabrze,"33,3%","35,5%",-,34,12,"35,3%",2,"17,00","5,9%",48
Michał Chrapek,Piast Gliwice,"35,7%","29,2%","0,0%",39,12,"30,8%",4,"9,75","10,3%",34
Maciej Domański,Stal Mielec,"22,2%","28,1%","100,0%",42,12,"28,6%",4,"10,50","9,5%",35
Roberto Alves,Radomiak Radom,"28,6%","0,0%","0,0%",45,12,"26,7%",3,"15,00","6,7%",55
Alexander Gorgon,Pogoń Szczecin,"60,0%","55,6%","42,9%",21,11,"52,4%",3,"7,00","14,3%",14
Dominik Kun,Widzew Łódź,"28,6%","44,4%","33,3%",28,11,"39,3%",4,"7,00","14,3%",25
Mateusz Łęgowski,Pogoń Szczecin,"0,0%","44,0%",-,28,11,"39,3%",3,"9,33","10,7%",15
Łukasz Sekulski,Wisła Płock,"33,3%","35,7%","37,5%",31,11,"35,5%",6,"5,17","19,4%",14
Otar Kakabadze,Cracovia,"50,0%","30,0%",-,34,11,"32,4%",1,"34,00","2,9%",36
Grzegorz Tomasiewicz,Piast Gliwice,"25,0%","25,9%","100,0%",34,11,"32,4%",3,"11,33","8,8%",23
Dawid Abramowicz,Radomiak Radom,"23,1%","28,6%","30,0%",40,11,"27,5%",4,"10,00","10,0%",33
Miguel Luis,Warta Poznań,"25,0%","18,9%","100,0%",44,11,"25,0%",3,"14,67","6,8%",19
Filipe Nascimento,Radomiak Radom,"47,4%","0,0%","100,0%",21,10,"47,6%",3,"7,00","14,3%",15
Luciano Narsingh,Miedź Legnica,"0,0%","52,6%","0,0%",21,10,"47,6%",5,"4,20","23,8%",24
Dawid Kurminowski,Zagłębie Lubin,"50,0%","56,3%","0,0%",21,10,"47,6%",4,"5,25","19,0%",3
Mateusz Wdowiak,Raków Częstochowa,"50,0%","30,0%","50,0%",24,10,"41,7%",3,"8,00","12,5%",14
Jean Carlos Silva,Pogoń/Raków,"80,0%","31,6%","0,0%",26,10,"38,5%",4,"6,50","15,4%",28
Marek Hanousek,Widzew Łódź,"36,4%","29,4%","50,0%",30,10,"33,3%",2,"15,00","6,7%",22
Damian Kądzior,Piast Gliwice,"34,8%","28,6%",-,30,10,"33,3%",3,"10,00","10,0%",31
Michał Rakoczy,Cracovia,"15,0%","25,0%","100,0%",45,10,"22,2%",7,"6,43","15,6%",28
Michał Nalepa II,Lechia Gdańsk,"50,0%","100,0%","45,5%",17,9,"52,9%",2,"8,50","11,8%",4
Dawid Błanik,Korona Kielce,"50,0%","43,8%","100,0%",19,9,"47,4%",3,"6,33","15,8%",19
Olaf Kobacki,Miedź Legnica,"50,0%","35,3%","100,0%",22,9,"40,9%",1,"22,00","4,5%",11
Bartosz Slisz,Legia Warszawa,"0,0%","33,3%","50,0%",26,9,"34,6%",0,-,"0,0%",33
Robert Dadok,Górnik Zabrze,"20,0%","37,5%","100,0%",27,9,"33,3%",4,"6,75","14,8%",13
Rauno Sappinen,Piast/Stal,"50,0%","31,6%","25,0%",27,9,"33,3%",4,"6,75","14,8%",12
Jesper Karlstrom,Lech Poznań,"33,3%","29,2%","100,0%",28,9,"32,1%",1,"28,00","3,6%",29
Karol Knap,Cracovia,"33,3%","25,0%","25,0%",29,9,"31,0%",2,"14,50","6,9%",32
Jacek Podgórski,Korona Kielce,"25,0%","31,3%","40,0%",29,9,"31,0%",1,"29,00","3,4%",18
Maciej Gajos,Lechia Gdańsk,"33,3%","20,0%","50,0%",31,9,"29,0%",4,"7,75","12,9%",21
Daisuke Yokota,Górnik Zabrze,"53,8%","100,0%","0,0%",15,8,"53,3%",2,"7,50","13,3%",18
Marko Kolar,Wisła Płock,"100,0%","38,5%","100,0%",16,8,"50,0%",4,"4,00","25,0%",6
Arkadiusz Pyrka,Piast Gliwice,"50,0%","50,0%",-,16,8,"50,0%",2,"8,00","12,5%",16
Kristian Vallo,Wisła Płock,"46,2%","20,0%","100,0%",19,8,"42,1%",2,"9,50","10,5%",18
Koldo Obieta,Miedź Legnica,"60,0%","33,3%","33,3%",20,8,"40,0%",3,"6,67","15,0%",15
Tomas Prikryl,Jagiellonia,"37,5%","33,3%","100,0%",21,8,"38,1%",1,"21,00","4,8%",44
Kajetan Szmyt,Warta Poznań,"50,0%","36,8%",-,21,8,"38,1%",3,"7,00","14,3%",25
Jakub Myszor,Cracovia,"50,0%","26,7%","100,0%",22,8,"36,4%",2,"11,00","9,1%",12
Jan Grzesik,Warta Poznań,"0,0%","27,3%","45,5%",24,8,"33,3%",3,"8,00","12,5%",22
Patryk Dziczek,Piast Gliwice,"20,0%","37,5%","25,0%",25,8,"32,0%",3,"8,33","12,0%",16
Krystian Getinger,Stal Mielec,"25,0%","30,0%","100,0%",27,8,"29,6%",0,-,"0,0%",40
Jarosław Kubicki,Lechia Gdańsk,"50,0%","30,4%","0,0%",27,8,"29,6%",2,"13,50","7,4%",27
Petr Schwarz,Śląsk Wrocław,"42,9%","20,0%","50,0%",29,8,"27,6%",3,"9,67","10,3%",14
Marco Terrazzino,Lechia Gdańsk,"50,0%","19,0%","0,0%",30,8,"26,7%",1,"30,00","3,3%",28
Nahuel Leiva,Śląsk Wrocław,"25,0%","24,1%",-,33,8,"24,2%",3,"11,00","9,1%",28
Maurides,Radomiak Radom,"33,3%","0,0%","8,3%",35,8,"22,9%",4,"8,75","11,4%",15
Damian Rasak,Wisła P/Górnik,"33,3%","22,7%","0,0%",35,8,"22,9%",2,"17,50","5,7%",18
Jakub Bartkowski,Pogoń/Lechia,"33,3%","50,0%","62,5%",13,7,"53,8%",2,"6,50","15,4%",17
Fran Tudor,Raków Częstochowa,"50,0%","57,1%","50,0%",13,7,"53,8%",2,"6,50","15,4%",29
Mateusz Matras,Stal Mielec,-,"28,6%","62,5%",15,7,"46,7%",2,"7,50","13,3%",8
Jacek Kiełb,Korona Kielce,"60,0%","33,3%","33,3%",17,7,"41,2%",0,-,"0,0%",8
Patryk Kun,Raków Częstochowa,"41,7%","33,3%","50,0%",17,7,"41,2%",2,"8,50","11,8%",25
Jani Atanasov,Cracovia,"0,0%","46,7%",-,17,7,"41,2%",1,"17,00","5,9%",16
Mateusz Bochnak,Cracovia,"66,7%","36,4%","33,3%",17,7,"41,2%",2,"8,50","11,8%",7
Maciej Żurawski,Warta Poznań,"20,0%","30,8%","66,7%",21,7,"33,3%",4,"5,25","19,0%",17
Maik Nawrocki,Legia Warszawa,"0,0%","28,6%","33,3%",23,7,"30,4%",4,"5,75","17,4%",9
Heorhij Citaiszwili,Lech Poznań,"25,0%","100,0%",-,25,7,"28,0%",1,"25,00","4,0%",7
Mateusz Szwoch,Wisła Płock,"11,1%","25,0%","0,0%",34,7,"20,6%",2,"17,00","5,9%",26
Kacper Kostorz,Korona Kielce,"100,0%","80,0%","33,3%",9,6,"66,7%",2,"4,50","22,2%",0
Dennis Jastrzembski,Śląsk Wrocław,"66,7%","0,0%",-,11,6,"54,5%",2,"5,50","18,2%",13
Marcel Wędrychowski,Pogoń Szczecin,"40,0%","66,7%","0,0%",14,6,"42,9%",1,"14,00","7,1%",14
Rafał Adamski,Zagłębie Lubin,"50,0%","50,0%","28,6%",15,6,"40,0%",2,"7,50","13,3%",7
Zoran Arsenić,Raków Częstochowa,"33,3%","33,3%","50,0%",15,6,"40,0%",0,-,"0,0%",11
Daniel Leo Gretarsson,Śląsk Wrocław,"42,9%","0,0%","42,9%",15,6,"40,0%",1,"15,00","6,7%",7
Stratos Svarnas,Raków Częstochowa,"100,0%","40,0%","25,0%",15,6,"40,0%",3,"5,00","20,0%",8
Richard Jensen,Górnik Zabrze,"37,5%","50,0%","33,3%",16,6,"37,5%",1,"16,00","6,3%",10
Tomas Pekhart,Legia Warszawa,"33,3%","40,0%","37,5%",16,6,"37,5%",5,"3,20","31,3%",1
Martin Dolezal,Zagłębie Lubin,"20,0%","40,0%","37,5%",18,6,"33,3%",2,"9,00","11,1%",5
Adrian Łyszczarz,Śląsk Wrocław,"33,3%","31,3%",-,19,6,"31,6%",1,"19,00","5,3%",2
Bartłomiej Wdowik,Jagiellonia,"35,7%","25,0%","0,0%",19,6,"31,6%",0,-,"0,0%",25
Kristoffer Hansen,Widzew Łódź,"0,0%","30,8%","50,0%",19,6,"31,6%",3,"6,33","15,8%",4
Jewhen Konoplanka,Cracovia,"0,0%","37,5%",-,21,6,"28,6%",2,"10,50","9,5%",39
Juliusz Letniowski,Widzew Łódź,"0,0%","19,4%","0,0%",34,6,"17,6%",1,"34,00","2,9%",27
Virgil Ghita,Cracovia,"0,0%","0,0%","20,8%",35,6,"17,1%",3,"11,67","8,6%",13
Jakub Sypek,Widzew Łódź,"75,0%","100,0%",-,6,5,"83,3%",1,"6,00","16,7%",4
Łukasz Bejger,Śląsk Wrocław,"100,0%","75,0%","0,0%",7,5,"71,4%",2,"3,50","28,6%",8
Piotr Samiec-Talar,Śląsk Wrocław,"62,5%",-,"0,0%",9,5,"55,6%",1,"9,00","11,1%",13
Tomas Petrasek,Raków Częstochowa,"0,0%","100,0%","57,1%",9,5,"55,6%",1,"9,00","11,1%",3
Artur Sobiech,Lech Poznań,"66,7%","40,0%","33,3%",11,5,"45,5%",3,"3,67","27,3%",5
Jarosław Jach,Zagłębie Lubin,"0,0%",-,"50,0%",12,5,"41,7%",1,"12,00","8,3%",4
Steve Kapuadi,Wisła Płock,"75,0%","0,0%","33,3%",12,5,"41,7%",0,-,"0,0%",4
Jakub Kiełb,Warta Poznań,"44,4%","50,0%","0,0%",12,5,"41,7%",0,-,"0,0%",4
Giannis Massouras,Miedź Legnica,"33,3%","33,3%","66,7%",12,5,"41,7%",1,"12,00","8,3%",9
Taras Romanczuk,Jagiellonia,"50,0%","0,0%","25,0%",13,5,"38,5%",1,"13,00","7,7%",19
Fryderyk Gerbowski,Stal Mielec,"33,3%","44,4%","0,0%",14,5,"35,7%",2,"7,00","14,3%",9
Filip Lesniak,Wisła Płock,"42,9%","28,6%",-,14,5,"35,7%",0,-,"0,0%",4
Erik Janza,Górnik Zabrze,"23,1%","100,0%",-,15,5,"33,3%",2,"7,50","13,3%",60
Piotr Malarczyk,Korona Kielce,"100,0%","0,0%","33,3%",16,5,"31,3%",3,"5,33","18,8%",2
Enis Destan,Warta Poznań,"0,0%","22,2%","50,0%",17,5,"29,4%",1,"17,00","5,9%",6
Adam Ratajczyk,Zagłębie Lubin,"25,0%","30,8%",-,17,5,"29,4%",1,"17,00","5,9%",12
Leandro Rossi,Radomiak Radom,"30,8%","0,0%","33,3%",18,5,"27,8%",0,-,"0,0%",8
Fedor Cernych,Jagiellonia,"22,2%","25,0%","50,0%",19,5,"26,3%",1,"19,00","5,3%",8
Caye Quintana,Śląsk Wrocław,"16,7%","44,4%","0,0%",20,5,"25,0%",0,-,"0,0%",10
Nono,Korona Kielce,"33,3%","23,5%","0,0%",21,5,"23,8%",0,-,"0,0%",17
Paweł Olkowski,Górnik Zabrze,"27,3%","7,7%","50,0%",26,5,"19,2%",1,"26,00","3,8%",8
Bassekou Diabate,Lechia Gdańsk,"37,5%","0,0%","50,0%",29,5,"17,2%",0,-,"0,0%",12
Igor Strzałek,Legia Warszawa,"100,0%","75,0%",-,5,4,"80,0%",0,-,"0,0%",5
Stefan Savić,Warta Poznań,-,"66,7%",-,6,4,"66,7%",3,"2,00","50,0%",8
Mateusz Lewandowski,Wisła Płock,-,"75,0%","33,3%",7,4,"57,1%",2,"3,50","28,6%",2
Patryk Lipski,Widzew Łódź,"100,0%","25,0%","100,0%",7,4,"57,1%",2,"3,50","28,6%",6
Michał Feliks,Radomiak Radom,-,"33,3%","60,0%",8,4,"50,0%",1,"8,00","12,5%",3
Michał Kucharczyk,Pogoń Szczecin,"100,0%","50,0%","0,0%",8,4,"50,0%",0,-,"0,0%",12
Adam Frączczak,Korona Kielce,"50,0%","50,0%","33,3%",9,4,"44,4%",0,-,"0,0%",5
Joel Pereira,Lech Poznań,-,"44,4%",-,9,4,"44,4%",0,-,"0,0%",51
Kacper Sezonienko,Lechia Gdańsk,"40,0%","66,7%","0,0%",9,4,"44,4%",0,-,"0,0%",3
Deian Sorescu,Raków Częstochowa,"100,0%","37,5%",-,9,4,"44,4%",2,"4,50","22,2%",9
Dalibor Takac,Korona Kielce,"25,0%","60,0%",-,9,4,"44,4%",0,-,"0,0%",20
Victor Garcia,Śląsk Wrocław,"44,4%","0,0%",-,10,4,"40,0%",0,-,"0,0%",27
Matej Rodin,Cracovia,"100,0%","50,0%","28,6%",10,4,"40,0%",1,"10,00","10,0%",1
Alan Czerwiński,Lech Poznań,"33,3%","28,6%","100,0%",11,4,"36,4%",0,-,"0,0%",15
Bartosz Kopacz,Zagłębie Lubin,"50,0%","50,0%","25,0%",12,4,"33,3%",1,"12,00","8,3%",12
Mateusz Mak,Stal Mielec,"50,0%","25,0%","50,0%",12,4,"33,3%",2,"6,00","16,7%",9
Pedro Rebocho,Lech Poznań,"40,0%","0,0%",-,12,4,"33,3%",0,-,"0,0%",39
Juljan Shehu,Widzew Łódź,"33,3%","37,5%","0,0%",12,4,"33,3%",0,-,"0,0%",8
Kyryło Petrow,Korona Kielce,"33,3%","28,6%","50,0%",12,4,"33,3%",2,"6,00","16,7%",10
Kamil Kruk,Stal Mielec,"0,0%","50,0%","50,0%",12,4,"33,3%",2,"6,00","16,7%",3
Kevin Friesenbichler,Lechia Gdańsk,"40,0%","0,0%",-,12,4,"33,3%",0,-,"0,0%",4
Frank Castaneda,Radomiak Radom,"40,0%","28,6%",-,12,4,"33,3%",1,"12,00","8,3%",13
Florian Loshaj,Cracovia,"27,3%","50,0%",-,13,4,"30,8%",1,"13,00","7,7%",9
Antonio Milić,Lech Poznań,"0,0%","33,3%","42,9%",13,4,"30,8%",1,"13,00","7,7%",5
Jakub Jugas,Cracovia,"33,3%","22,2%","50,0%",14,4,"28,6%",1,"14,00","7,1%",6
Radosław Murawski,Lech Poznań,"0,0%","33,3%",-,14,4,"28,6%",1,"14,00","7,1%",20
Rafał Augustyniak,Legia Warszawa,-,"25,0%","50,0%",14,4,"28,6%",4,"3,50","28,6%",6
Michael Kostka,Miedź Legnica,"25,0%","30,0%","0,0%",15,4,"26,7%",0,-,"0,0%",9
Martin Kreuzriegler,Widzew Łódź,"33,3%",-,"16,7%",15,4,"26,7%",3,"5,00","20,0%",10
Adriel Ba Loua,Lech Poznań,"23,1%","100,0%","0,0%",15,4,"26,7%",0,-,"0,0%",17
Nemanja Mijusković,Miedź Legnica,"0,0%","14,3%","37,5%",16,4,"25,0%",2,"8,00","12,5%",13
Niilo Maenpaa,Warta Poznań,"28,6%","22,2%",-,16,4,"25,0%",0,-,"0,0%",16
Mato Milos,Widzew Łódź,"100,0%","16,7%","33,3%",16,4,"25,0%",1,"16,00","6,3%",21
Berto Cayarga,Radomiak Radom,"33,3%","20,0%","0,0%",17,4,"23,5%",0,-,"0,0%",16
Raphael Rossi,Radomiak Radom,"0,0%","14,3%","30,0%",18,4,"22,2%",2,"9,00","11,1%",8
Koki Hinokio,Zagłębie/Stal,"0,0%","23,5%",-,18,4,"22,2%",1,"18,00","5,6%",11
Dominik Furman,Wisła Płock,"16,7%","20,0%",-,21,4,"19,0%",0,-,"0,0%",30
Robert Ivanov,Warta Poznań,"25,0%","20,0%","0,0%",21,4,"19,0%",1,"21,00","4,8%",18
Tomasz Kupisz,Jagiellonia,"0,0%","100,0%","100,0%",4,3,"75,0%",1,"4,00","25,0%",4
Sasa Zivec,Zagłębie Lubin,-,"75,0%",-,4,3,"75,0%",2,"2,00","50,0%",3
Michał Kopczyński,Warta Poznań,"100,0%","33,3%",-,5,3,"60,0%",1,"5,00","20,0%",9
Alberto Toril,Piast Gliwice,-,"66,7%","50,0%",5,3,"60,0%",0,-,"0,0%",5
Anthony van den Hurk,Górnik Zabrze,-,"60,0%",-,5,3,"60,0%",1,"5,00","20,0%",0
Mattias Johansson,Legia Warszawa,"50,0%","50,0%",-,6,3,"50,0%",1,"6,00","16,7%",2
Krzysztof Kubica,Górnik Zabrze,"0,0%","50,0%","66,7%",6,3,"50,0%",0,-,"0,0%",2
Aleksander Paluszek,Górnik Zabrze,-,"0,0%","50,0%",6,3,"50,0%",3,"2,00","50,0%",5
Dariusz Pawłowski,Radomiak Radom,-,"50,0%","50,0%",6,3,"50,0%",0,-,"0,0%",6
Kamil Kościelny,Warta Poznań,"0,0%","50,0%","66,7%",6,3,"50,0%",0,-,"0,0%",5
Dawid Kocyła,Wisła Płock,"100,0%","33,3%",-,7,3,"42,9%",2,"3,50","28,6%",8
Arkadiusz Woźniak,Zagłębie Lubin,"0,0%","50,0%","50,0%",7,3,"42,9%",0,-,"0,0%",2
Paweł Zieliński,Widzew Łódź,"75,0%","0,0%","0,0%",7,3,"42,9%",0,-,"0,0%",15
Blaz Kramer,Legia Warszawa,-,"50,0%","40,0%",7,3,"42,9%",1,"7,00","14,3%",2
Andrzej Niewulis,Miedź Legnica,"100,0%","0,0%","33,3%",7,3,"42,9%",1,"7,00","14,3%",5
Cornel Rapa,Cracovia,"0,0%","50,0%","33,3%",8,3,"37,5%",0,-,"0,0%",13
Emil Bergstrom,Górnik Zabrze,"0,0%","33,3%","50,0%",8,3,"37,5%",2,"4,00","25,0%",5
Marcus Godinho,Korona Kielce,"0,0%","42,9%",-,8,3,"37,5%",1,"8,00","12,5%",9
Jonatan Kotzke,Górnik Zabrze,"100,0%","16,7%","50,0%",9,3,"33,3%",0,-,"0,0%",8
Dimitris Stavropoulos,Warta Poznań,"100,0%","33,3%","20,0%",9,3,"33,3%",2,"4,50","22,2%",5
David Jablonsky,Cracovia,-,"25,0%","33,3%",10,3,"30,0%",1,"10,00","10,0%",5
Rafał Pietrzak,Lechia Gdańsk,"30,0%",-,-,10,3,"30,0%",0,-,"0,0%",37
Damian Jakubik,Radomiak Radom,"0,0%","28,6%","100,0%",10,3,"30,0%",0,-,"0,0%",14
Daniel Pik,Radomiak Radom,"0,0%","28,6%","50,0%",11,3,"27,3%",0,-,"0,0%",5
Dawid Szymonowicz,Warta Poznań,"25,0%","100,0%","20,0%",11,3,"27,3%",1,"11,00","9,1%",4
Israel Puerto,Jagiellonia,"0,0%","25,0%","28,6%",12,3,"25,0%",0,-,"0,0%",6
Bartosz Bida,Jagiellonia,"0,0%","28,6%","33,3%",13,3,"23,1%",0,-,"0,0%",6
Rafał Janicki,Górnik Zabrze,"0,0%","50,0%","20,0%",13,3,"23,1%",0,-,"0,0%",6
Kristers Tobers,Lechia Gdańsk,"0,0%","42,9%","0,0%",13,3,"23,1%",0,-,"0,0%",4
Alexandros Katranis,Piast Gliwice,"16,7%","0,0%","100,0%",14,3,"21,4%",0,-,"0,0%",23
Fabian Hiszpański,Stal Mielec,"33,3%","0,0%","33,3%",14,3,"21,4%",1,"14,00","7,1%",22
Mateusz Grzybek,Radomiak/Zagłębie,"50,0%","12,5%","0,0%",15,3,"20,0%",2,"7,50","13,3%",14
Tomasz Makowski,Zagłębie Lubin,"20,0%","22,2%","0,0%",15,3,"20,0%",1,"15,00","6,7%",10
Miłosz Trojak,Korona Kielce,"0,0%","22,2%","33,3%",15,3,"20,0%",1,"15,00","6,7%",5
Jakub Czerwiński,Piast Gliwice,"0,0%","33,3%","18,2%",16,3,"18,8%",1,"16,00","6,3%",6
Jakub Kałuziński,Lechia Gdańsk,"0,0%","20,0%",-,17,3,"17,6%",0,-,"0,0%",24
