ZAWODNIK,KLUB,R,R celn,% R celn,R Gole,ZZA,ZZA celn,ZZA %,ZZA Gole,ZZA GOL/ZZA
Dawid Kurminowski,Zagłębie Lubin,21,10,"47,6%",4,4,3,"75,0%",0,"0,0%"
Robert Dadok,Górnik Zabrze,27,9,"33,3%",4,8,3,"37,5%",2,"25,0%"
Marko Kolar,Wisła Płock,16,8,"50,0%",4,6,3,"50,0%",1,"16,7%"
Damian Rasak,Wisła P/Górnik,35,8,"22,9%",2,22,3,"13,6%",0,"0,0%"
Jacek Kiełb,Korona Kielce,17,7,"41,2%",0,10,3,"30,0%",0,"0,0%"
Mateusz Szwoch,Wisła Płock,34,7,"20,6%",2,20,3,"15,0%",1,"5,0%"
Jakub Kiełb,Warta Poznań,12,5,"41,7%",0,7,3,"42,9%",0,"0,0%"
Fryderyk Gerbowski,Stal Mielec,14,5,"35,7%",2,8,3,"37,5%",1,"12,5%"
Leandro Rossi,Radomiak Radom,18,5,"27,8%",0,12,3,"25,0%",0,"0,0%"
Joel Pereira,Lech Poznań,9,4,"44,4%",0,8,3,"37,5%",0,"0,0%"
Victor Garcia,Śląsk Wrocław,10,4,"40,0%",0,9,3,"33,3%",0,"0,0%"
Pedro Rebocho,Lech Poznań,12,4,"33,3%",0,8,3,"37,5%",0,"0,0%"
Juljan Shehu,Widzew Łódź,12,4,"33,3%",0,7,3,"42,9%",0,"0,0%"
Kevin Friesenbichler,Lechia Gdańsk,12,4,"33,3%",0,7,3,"42,9%",0,"0,0%"
Radosław Murawski,Lech Poznań,14,4,"28,6%",1,12,3,"25,0%",0,"0,0%"
Berto Cayarga,Radomiak Radom,17,4,"23,5%",0,9,3,"33,3%",0,"0,0%"
Koki Hinokio,Zagłębie/Stal,18,4,"22,2%",1,14,3,"21,4%",0,"0,0%"
Dominik Furman,Wisła Płock,21,4,"19,0%",0,16,3,"18,8%",0,"0,0%"
Robert Ivanov,Warta Poznań,21,4,"19,0%",1,13,3,"23,1%",0,"0,0%"
Mattias Johansson,Legia Warszawa,6,3,"50,0%",1,5,3,"60,0%",1,"20,0%"
Kristers Tobers,Lechia Gdańsk,13,3,"23,1%",0,7,3,"42,9%",0,"0,0%"
Tomasz Makowski,Zagłębie Lubin,15,3,"20,0%",1,12,3,"25,0%",1,"8,3%"
Jakub Kałuziński,Lechia Gdańsk,17,3,"17,6%",0,13,3,"23,1%",0,"0,0%"
Benjamin Kallman,Cracovia,52,22,"42,3%",6,4,2,"50,0%",0,"0,0%"
Bartosz Śpiączka,Korona/Wisła P,49,21,"42,9%",6,4,2,"50,0%",0,"0,0%"
Angelo Henriquez,Miedź Legnica,52,20,"38,5%",7,12,2,"16,7%",0,"0,0%"
Szymon Włodarczyk,Górnik Zabrze,41,19,"46,3%",9,7,2,"28,6%",1,"14,3%"
Jordi Sanchez,Widzew Łódź,50,19,"38,0%",6,9,2,"22,2%",0,"0,0%"
Pontus Almqvist,Pogoń Szczecin,41,18,"43,9%",5,8,2,"25,0%",0,"0,0%"
Leonardo Rocha,Radomiak Radom,34,17,"50,0%",6,5,2,"40,0%",1,"20,0%"
Kanji Okunuki,Górnik Zabrze,31,16,"51,6%",4,8,2,"25,0%",0,"0,0%"
Jewgienij Szykawka,Korona Kielce,40,15,"37,5%",6,5,2,"40,0%",0,"0,0%"
Piotr Krawczyk,Górnik Zabrze,18,12,"66,7%",4,3,2,"66,7%",1,"33,3%"
Otar Kakabadze,Cracovia,34,11,"32,4%",1,19,2,"10,5%",0,"0,0%"
Damian Kądzior,Piast Gliwice,30,10,"33,3%",3,15,2,"13,3%",0,"0,0%"
Michał Rakoczy,Cracovia,45,10,"22,2%",7,22,2,"9,1%",1,"4,5%"
Patryk Dziczek,Piast Gliwice,25,8,"32,0%",3,14,2,"14,3%",0,"0,0%"
Maurides,Radomiak Radom,35,8,"22,9%",4,9,2,"22,2%",0,"0,0%"
Fran Tudor,Raków Częstochowa,13,7,"53,8%",2,3,2,"66,7%",1,"33,3%"
Patryk Kun,Raków Częstochowa,17,7,"41,2%",2,5,2,"40,0%",0,"0,0%"
Maciej Żurawski,Warta Poznań,21,7,"33,3%",4,6,2,"33,3%",0,"0,0%"
Łukasz Bejger,Śląsk Wrocław,7,5,"71,4%",2,3,2,"66,7%",0,"0,0%"
Erik Janza,Górnik Zabrze,15,5,"33,3%",2,9,2,"22,2%",1,"11,1%"
Igor Strzałek,Legia Warszawa,5,4,"80,0%",0,2,2,"100,0%",0,"0,0%"
Deian Sorescu,Raków Częstochowa,9,4,"44,4%",2,5,2,"40,0%",1,"20,0%"
Florian Loshaj,Cracovia,13,4,"30,8%",1,7,2,"28,6%",0,"0,0%"
Jakub Jugas,Cracovia,14,4,"28,6%",1,6,2,"33,3%",0,"0,0%"
Rafał Augustyniak,Legia Warszawa,14,4,"28,6%",4,11,2,"18,2%",2,"18,2%"
Michael Kostka,Miedź Legnica,15,4,"26,7%",0,9,2,"22,2%",0,"0,0%"
Rafał Pietrzak,Lechia Gdańsk,10,3,"30,0%",0,8,2,"25,0%",0,"0,0%"
Alexandros Katranis,Piast Gliwice,14,3,"21,4%",0,10,2,"20,0%",0,"0,0%"
Miłosz Trojak,Korona Kielce,15,3,"20,0%",1,5,2,"40,0%",0,"0,0%"
Mikołaj Lebedyński,Stal Mielec,18,3,"16,7%",0,5,2,"40,0%",0,"0,0%"
Jens Gammelby,Miedź Legnica,5,2,"40,0%",0,5,2,"40,0%",0,"0,0%"
Marko Poletanović,Zagłębie Lubin,8,2,"25,0%",1,8,2,"25,0%",1,"12,5%"
Michal Siplak,Cracovia,9,2,"22,2%",0,4,2,"50,0%",0,"0,0%"
Adam Deja,Korona Kielce,10,2,"20,0%",0,10,2,"20,0%",0,"0,0%"
Ben Lederman,Raków Częstochowa,11,2,"18,2%",0,9,2,"22,2%",0,"0,0%"
Giannis Papanikolaou,Raków Częstochowa,14,2,"14,3%",1,7,2,"28,6%",1,"14,3%"
Piotr Tomasik,Wisła Płock,16,2,"12,5%",0,13,2,"15,4%",0,"0,0%"
Patryk Makuch,Cracovia,60,26,"43,3%",6,8,1,"12,5%",0,"0,0%"
Kamil Wilczek,Piast Gliwice,65,19,"29,2%",9,10,1,"10,0%",0,"0,0%"
Luka Zahović,Pogoń Szczecin,40,18,"45,0%",6,6,1,"16,7%",0,"0,0%"
Łukasz Zwoliński,Lechia Gdańsk,44,17,"38,6%",9,6,1,"16,7%",0,"0,0%"
Jorge Felix,Piast Gliwice,24,13,"54,2%",3,3,1,"33,3%",0,"0,0%"
Filip Marchwiński,Lech Poznań,33,13,"39,4%",5,6,1,"16,7%",0,"0,0%"
Filip Mladenović,Legia Warszawa,32,12,"37,5%",6,11,1,"9,1%",0,"0,0%"
Łukasz Sekulski,Wisła Płock,31,11,"35,5%",6,8,1,"12,5%",1,"12,5%"
Mateusz Wdowiak,Raków Częstochowa,24,10,"41,7%",3,2,1,"50,0%",0,"0,0%"
Dawid Błanik,Korona Kielce,19,9,"47,4%",3,5,1,"20,0%",0,"0,0%"
Daisuke Yokota,Górnik Zabrze,15,8,"53,3%",2,5,1,"20,0%",0,"0,0%"
Arkadiusz Pyrka,Piast Gliwice,16,8,"50,0%",2,3,1,"33,3%",0,"0,0%"
Tomas Prikryl,Jagiellonia,21,8,"38,1%",1,5,1,"20,0%",0,"0,0%"
Jan Grzesik,Warta Poznań,24,8,"33,3%",3,4,1,"25,0%",0,"0,0%"
Jakub Bartkowski,Pogoń/Lechia,13,7,"53,8%",2,4,1,"25,0%",0,"0,0%"
Mateusz Matras,Stal Mielec,15,7,"46,7%",2,1,1,"100,0%",0,"0,0%"
Mateusz Bochnak,Cracovia,17,7,"41,2%",2,2,1,"50,0%",1,"50,0%"
Maik Nawrocki,Legia Warszawa,23,7,"30,4%",4,4,1,"25,0%",0,"0,0%"
Heorhij Citaiszwili,Lech Poznań,25,7,"28,0%",1,14,1,"7,1%",0,"0,0%"
Kacper Kostorz,Korona Kielce,9,6,"66,7%",2,1,1,"100,0%",0,"0,0%"
Dennis Jastrzembski,Śląsk Wrocław,11,6,"54,5%",2,2,1,"50,0%",0,"0,0%"
Marcel Wędrychowski,Pogoń Szczecin,14,6,"42,9%",1,4,1,"25,0%",0,"0,0%"
Rafał Adamski,Zagłębie Lubin,15,6,"40,0%",2,3,1,"33,3%",0,"0,0%"
Richard Jensen,Górnik Zabrze,16,6,"37,5%",1,5,1,"20,0%",0,"0,0%"
Kristoffer Hansen,Widzew Łódź,19,6,"31,6%",3,4,1,"25,0%",0,"0,0%"
Jakub Sypek,Widzew Łódź,6,5,"83,3%",1,1,1,"100,0%",0,"0,0%"
Piotr Samiec-Talar,Śląsk Wrocław,9,5,"55,6%",1,2,1,"50,0%",0,"0,0%"
Taras Romanczuk,Jagiellonia,13,5,"38,5%",1,4,1,"25,0%",0,"0,0%"
Enis Destan,Warta Poznań,17,5,"29,4%",1,3,1,"33,3%",0,"0,0%"
Adam Ratajczyk,Zagłębie Lubin,17,5,"29,4%",1,6,1,"16,7%",0,"0,0%"
Fedor Cernych,Jagiellonia,19,5,"26,3%",1,6,1,"16,7%",0,"0,0%"
Caye Quintana,Śląsk Wrocław,20,5,"25,0%",0,2,1,"50,0%",0,"0,0%"
Patryk Lipski,Widzew Łódź,7,4,"57,1%",2,3,1,"33,3%",0,"0,0%"
Michał Feliks,Radomiak Radom,8,4,"50,0%",1,3,1,"33,3%",0,"0,0%"
Michał Kucharczyk,Pogoń Szczecin,8,4,"50,0%",0,2,1,"50,0%",0,"0,0%"
Adam Frączczak,Korona Kielce,9,4,"44,4%",0,2,1,"50,0%",0,"0,0%"
Dalibor Takac,Korona Kielce,9,4,"44,4%",0,2,1,"50,0%",0,"0,0%"
Alan Czerwiński,Lech Poznań,11,4,"36,4%",0,4,1,"25,0%",0,"0,0%"
Kyryło Petrow,Korona Kielce,12,4,"33,3%",2,5,1,"20,0%",1,"20,0%"
Kamil Kruk,Stal Mielec,12,4,"33,3%",2,4,1,"25,0%",0,"0,0%"
Adriel Ba Loua,Lech Poznań,15,4,"26,7%",0,5,1,"20,0%",0,"0,0%"
Niilo Maenpaa,Warta Poznań,16,4,"25,0%",0,7,1,"14,3%",0,"0,0%"
Mato Milos,Widzew Łódź,16,4,"25,0%",1,6,1,"16,7%",0,"0,0%"
Tomasz Kupisz,Jagiellonia,4,3,"75,0%",1,2,1,"50,0%",0,"0,0%"
Sasa Zivec,Zagłębie Lubin,4,3,"75,0%",2,1,1,"100,0%",0,"0,0%"
Michał Kopczyński,Warta Poznań,5,3,"60,0%",1,3,1,"33,3%",0,"0,0%"
Krzysztof Kubica,Górnik Zabrze,6,3,"50,0%",0,2,1,"50,0%",0,"0,0%"
Dariusz Pawłowski,Radomiak Radom,6,3,"50,0%",0,2,1,"50,0%",0,"0,0%"
Dawid Kocyła,Wisła Płock,7,3,"42,9%",2,2,1,"50,0%",1,"50,0%"
Paweł Zieliński,Widzew Łódź,7,3,"42,9%",0,3,1,"33,3%",0,"0,0%"
Cornel Rapa,Cracovia,8,3,"37,5%",0,2,1,"50,0%",0,"0,0%"
Jonatan Kotzke,Górnik Zabrze,9,3,"33,3%",0,6,1,"16,7%",0,"0,0%"
David Jablonsky,Cracovia,10,3,"30,0%",1,2,1,"50,0%",0,"0,0%"
Daniel Pik,Radomiak Radom,11,3,"27,3%",0,5,1,"20,0%",0,"0,0%"
Dawid Szymonowicz,Warta Poznań,11,3,"27,3%",1,1,1,"100,0%",1,"100,0%"
Fabian Hiszpański,Stal Mielec,14,3,"21,4%",1,6,1,"16,7%",0,"0,0%"
Mateusz Grzybek,Radomiak/Zagłębie,15,3,"20,0%",2,3,1,"33,3%",0,"0,0%"
Mateusz Kowalski,Jagiellonia,3,2,"66,7%",2,1,1,"100,0%",1,"100,0%"
Sebastian Musiolik,Raków Częstochowa,3,2,"66,7%",0,1,1,"100,0%",0,"0,0%"
Lubomir Satka,Lech Poznań,3,2,"66,7%",1,2,1,"50,0%",0,"0,0%"
Andrzej Trubeha,Jagiellonia,3,2,"66,7%",0,1,1,"100,0%",0,"0,0%"
Juan Camara,Jagiellonia,3,2,"66,7%",0,1,1,"100,0%",0,"0,0%"
Thabo Cele,Radomiak Radom,8,2,"25,0%",0,5,1,"20,0%",0,"0,0%"
Aleks Ławniczak,Zagłębie Lubin,8,2,"25,0%",0,3,1,"33,3%",0,"0,0%"
Mathias Hebo Rasmussen,Cracovia,9,2,"22,2%",1,6,1,"16,7%",0,"0,0%"
Barry Douglas,Lech Poznań,10,2,"20,0%",0,5,1,"20,0%",0,"0,0%"
Arkadiusz Kasperkiewicz,Stal Mielec,10,2,"20,0%",1,5,1,"20,0%",0,"0,0%"
Leo Borges,Pogoń Szczecin,10,2,"20,0%",0,4,1,"25,0%",0,"0,0%"
Paweł Stolarski,Pogoń Szczecin,11,2,"18,2%",0,7,1,"14,3%",0,"0,0%"
Marius Briceag,Korona Kielce,11,2,"18,2%",0,4,1,"25,0%",0,"0,0%"
Dominick Zator,Korona Kielce,11,2,"18,2%",1,3,1,"33,3%",0,"0,0%"
Karol Danielak,Widzew Łódź,12,2,"16,7%",1,8,1,"12,5%",1,"12,5%"
Makana Baku,Legia Warszawa,13,2,"15,4%",0,6,1,"16,7%",0,"0,0%"
Conrado,Lechia Gdańsk,13,2,"15,4%",0,5,1,"20,0%",0,"0,0%"
Hubert Matynia,Miedź Legnica,14,2,"14,3%",0,8,1,"12,5%",0,"0,0%"
Martin Sulek,Wisła Płock,16,2,"12,5%",0,12,1,"8,3%",0,"0,0%"
Jean Mvondo,Górnik Zabrze,17,2,"11,8%",0,14,1,"7,1%",0,"0,0%"
Igor Sapała,Raków Częstochowa,1,1,"100,0%",0,1,1,"100,0%",0,"0,0%"
Luizao,Radomiak Radom,1,1,"100,0%",0,1,1,"100,0%",0,"0,0%"
Emmanuel Agbor,Miedź Legnica,1,1,"100,0%",0,1,1,"100,0%",0,"0,0%"
Roberto Corral,Korona Kielce,2,1,"50,0%",0,2,1,"50,0%",0,"0,0%"
Krystian Kardyś,Stal Mielec,2,1,"50,0%",0,2,1,"50,0%",0,"0,0%"
Martin Pospisil,Jagiellonia,2,1,"50,0%",0,2,1,"50,0%",0,"0,0%"
Szymon Sarbinowski,Warta Poznań,2,1,"50,0%",0,2,1,"50,0%",0,"0,0%"
Adrian Bukowski,Śląsk Wrocław,2,1,"50,0%",0,1,1,"100,0%",0,"0,0%"
Michał Kaput,Piast Gliwice,2,1,"50,0%",0,2,1,"50,0%",0,"0,0%"
Luis Mata,Pogoń/Zagłębie,3,1,"33,3%",0,2,1,"50,0%",0,"0,0%"
Luka Zarandia,Korona Kielce,3,1,"33,3%",0,3,1,"33,3%",0,"0,0%"
Walerian Gwilia,Raków Częstochowa,3,1,"33,3%",0,2,1,"50,0%",0,"0,0%"
Wojciech Łaski,Jagiellonia,3,1,"33,3%",1,1,1,"100,0%",1,"100,0%"
Michal Sacek,Jagiellonia,3,1,"33,3%",0,2,1,"50,0%",0,"0,0%"
Robert Pich,Legia Warszawa,5,1,"20,0%",0,2,1,"50,0%",0,"0,0%"
Łukasz Sierpina,Korona Kielce,5,1,"20,0%",0,4,1,"25,0%",0,"0,0%"
Carlos Julio Martinez,Miedź Legnica,6,1,"16,7%",0,5,1,"20,0%",0,"0,0%"
Jeronimo Cacciabue,Miedź Legnica,7,1,"14,3%",0,6,1,"16,7%",0,"0,0%"
Alex Vallejo,Stal Mielec,7,1,"14,3%",0,6,1,"16,7%",0,"0,0%"
Bartłomiej Kłudka,Zagłębie Lubin,9,1,"11,1%",0,5,1,"20,0%",0,"0,0%"
Dimityr Wełkowski,Miedź Legnica,9,1,"11,1%",0,8,1,"12,5%",0,"0,0%"
Aleksander Pawlak,Wisła Płock,10,1,"10,0%",1,7,1,"14,3%",1,"14,3%"
Fabian Piasecki,Raków Częstochowa,39,13,"33,3%",6,6,0,"0,0%",0,"0,0%"
Damian Warchoł,Wisła Płock,15,12,"80,0%",3,1,0,"0,0%",0,"0,0%"
Paweł Wszołek,Legia Warszawa,24,12,"50,0%",7,1,0,"0,0%",0,"0,0%"
Dawid Abramowicz,Radomiak Radom,40,11,"27,5%",4,4,0,"0,0%",0,"0,0%"
Luciano Narsingh,Miedź Legnica,21,10,"47,6%",5,2,0,"0,0%",0,"0,0%"
Michał Nalepa II,Lechia Gdańsk,17,9,"52,9%",2,1,0,"0,0%",0,"0,0%"
Rauno Sappinen,Piast/Stal,27,9,"33,3%",4,5,0,"0,0%",0,"0,0%"
Koldo Obieta,Miedź Legnica,20,8,"40,0%",3,2,0,"0,0%",0,"0,0%"
Zoran Arsenić,Raków Częstochowa,15,6,"40,0%",0,2,0,"0,0%",0,"0,0%"
Daniel Leo Gretarsson,Śląsk Wrocław,15,6,"40,0%",1,1,0,"0,0%",0,"0,0%"
Stratos Svarnas,Raków Częstochowa,15,6,"40,0%",3,1,0,"0,0%",0,"0,0%"
Martin Dolezal,Zagłębie Lubin,18,6,"33,3%",2,1,0,"0,0%",0,"0,0%"
Virgil Ghita,Cracovia,35,6,"17,1%",3,6,0,"0,0%",0,"0,0%"
Artur Sobiech,Lech Poznań,11,5,"45,5%",3,1,0,"0,0%",0,"0,0%"
Jarosław Jach,Zagłębie Lubin,12,5,"41,7%",1,1,0,"0,0%",0,"0,0%"
Steve Kapuadi,Wisła Płock,12,5,"41,7%",0,1,0,"0,0%",0,"0,0%"
Giannis Massouras,Miedź Legnica,12,5,"41,7%",1,4,0,"0,0%",0,"0,0%"
Piotr Malarczyk,Korona Kielce,16,5,"31,3%",3,2,0,"0,0%",0,"0,0%"
Paweł Olkowski,Górnik Zabrze,26,5,"19,2%",1,9,0,"0,0%",0,"0,0%"
Bassekou Diabate,Lechia Gdańsk,29,5,"17,2%",0,9,0,"0,0%",0,"0,0%"
Stefan Savić,Warta Poznań,6,4,"66,7%",3,2,0,"0,0%",0,"0,0%"
Bartosz Kopacz,Zagłębie Lubin,12,4,"33,3%",1,2,0,"0,0%",0,"0,0%"
Mateusz Mak,Stal Mielec,12,4,"33,3%",2,2,0,"0,0%",0,"0,0%"
Frank Castaneda,Radomiak Radom,12,4,"33,3%",1,3,0,"0,0%",0,"0,0%"
Antonio Milić,Lech Poznań,13,4,"30,8%",1,2,0,"0,0%",0,"0,0%"
Martin Kreuzriegler,Widzew Łódź,15,4,"26,7%",3,5,0,"0,0%",0,"0,0%"
Nemanja Mijusković,Miedź Legnica,16,4,"25,0%",2,3,0,"0,0%",0,"0,0%"
Raphael Rossi,Radomiak Radom,18,4,"22,2%",2,2,0,"0,0%",0,"0,0%"
Alberto Toril,Piast Gliwice,5,3,"60,0%",0,1,0,"0,0%",0,"0,0%"
Aleksander Paluszek,Górnik Zabrze,6,3,"50,0%",3,1,0,"0,0%",0,"0,0%"
Kamil Kościelny,Warta Poznań,6,3,"50,0%",0,1,0,"0,0%",0,"0,0%"
Arkadiusz Woźniak,Zagłębie Lubin,7,3,"42,9%",0,2,0,"0,0%",0,"0,0%"
Blaz Kramer,Legia Warszawa,7,3,"42,9%",1,1,0,"0,0%",0,"0,0%"
Emil Bergstrom,Górnik Zabrze,8,3,"37,5%",2,2,0,"0,0%",0,"0,0%"
Marcus Godinho,Korona Kielce,8,3,"37,5%",1,2,0,"0,0%",0,"0,0%"
Dimitris Stavropoulos,Warta Poznań,9,3,"33,3%",2,2,0,"0,0%",0,"0,0%"
