ZAWODNIK,KLUB,GOLE,LN,PN,G,Inne
Steven Vitoria,Lechia Gdańsk,1,0,0,1,0
Mateusz Cholewiak,Śląsk Wrocław,1,1,0,0,0
Ivan Runje,Jagiellonia,1,0,0,1,0
Tibor Halilović,Wisła Kraków,1,1,0,0,0
Tom Hateley,Piast Gliwice,1,0,1,0,0
Nicolai Brock-Madsen,Cracovia,1,0,1,0,0
Rafał Grzelak,Bruk-Bet,1,1,0,0,0
Michał Nalepa II,Lechia Gdańsk,1,0,1,0,0
Paweł Bochniewicz,Górnik Zabrze,1,0,0,1,0
Krzysztof Janus,Arka Gdynia,1,0,1,0,0
Daniel Łuczak,Śląsk Wrocław,1,0,1,0,0
Jakub Tosik,Zagłębie Lubin,1,0,1,0,0
Domagoj Antolić,Legia Warszawa,1,1,0,0,0
