ZAWODNIK,KLUB,MIAŁ,STWORZYŁ,% WYK.
Jaroslav Mihalik,Cracovia,0,2,-
Michał Nalepa II,Lechia Gdańsk,0,2,-
Jakub Żubrowski,Korona Kielce,0,2,-
Jarosław Kubicki,Zagłębie Lubin,0,2,-
Mariusz Pawelec,Śląsk Wrocław,0,2,-
Jakub Wawrzyniak,Lechia Gdańsk,0,2,-
Aleksander Jagiełło,Piast Gliwice,0,2,-
Augusto,Śląsk Wrocław,0,2,-
Gabriel Iancu,Bruk-Bet,0,2,-
Frederik Helstrup,Arka Gdynia,0,2,-
Sebastian Bergier,Śląsk Wrocław,0,2,-
Andrij Bohdanow,Arka Gdynia,0,2,-
Bartosz Śpiączka,Bruk-Bet,13,1,"0,0%"
Michal Papadopulos,Piast Gliwice,11,1,"36,4%"
Elia Soriano,Korona Kielce,10,1,"50,0%"
Karol Angielski,Piast Gliwice,6,1,"16,7%"
Łukasz Trałka,Lech Poznań,5,1,"40,0%"
Marcin Wasilewski,Wisła Kraków,5,1,"20,0%"
Michal Piter-Bućko,Sandecja,4,1,"75,0%"
Patryk Kun,Arka Gdynia,4,1,"25,0%"
Nicki Bille Nielsen,Lech Poznań,4,1,"0,0%"
Bartosz Kopacz,Zagłębie Lubin,4,1,"0,0%"
Jakub Czerwiński,Legia/Piast,3,1,"33,3%"
Dariusz Formella,Pogoń Szczecin,3,1,"33,3%"
Mateusz Wdowiak,Cracovia,3,1,"33,3%"
Steven Vitoria,Lechia Gdańsk,3,1,"33,3%"
Morten Rasmussen,Pogoń Szczecin,3,1,"33,3%"
Zlatko Janjić,Korona Kielce,3,1,"0,0%"
Michał Marcjanik,Arka Gdynia,2,1,"100,0%"
Bartosz Kwiecień,Jagiellonia,2,1,"100,0%"
Cafu,Legia Warszawa,2,1,"100,0%"
Damian Byrtek,Wisła Płock,2,1,"50,0%"
Rafał Wolsztyński,Górnik Zabrze,2,1,"50,0%"
Stojan Vranjes,Piast Gliwice,2,1,"50,0%"
Igors Tarasovs,Śląsk Wrocław,2,1,"50,0%"
Joona Toivio,Bruk-Bet,2,1,"50,0%"
Sebastian Rudol,Pogoń Szczecin,2,1,"0,0%"
Eduardo,Legia Warszawa,2,1,"0,0%"
Oskar Zawada,Wisła Płock,2,1,"0,0%"
Mateusz Cetnarski,Sandecja,1,1,"100,0%"
Mateusz Matras,Lechia Gdańsk,1,1,"100,0%"
Michał Nalepa I,Arka Gdynia,1,1,"100,0%"
Michał Mak,Śląsk Wrocław,1,1,"100,0%"
Bartosz Szeliga,Bruk-Bet,1,1,"100,0%"
Marcin Urynowicz,Górnik Zabrze,1,1,"100,0%"
William Remy,Legia Warszawa,1,1,"100,0%"
Tibor Halilović,Wisła Kraków,1,1,"100,0%"
Fran Velez,Wisła Kraków,1,1,"100,0%"
Domagoj Antolić,Legia Warszawa,1,1,"100,0%"
Daniel Łuczak,Śląsk Wrocław,1,1,"100,0%"
Łukasz Janoszka,Zagłębie Lubin,1,1,"0,0%"
Jakub Wróbel,Bruk-Bet,1,1,"0,0%"
Dawid Sołdecki,Arka Gdynia,1,1,"0,0%"
Patryk Paczuk,Pogoń Szczecin,1,1,"0,0%"
Victor Perez,Wisła Kraków,1,1,"0,0%"
Marcus Vinicius,Arka Gdynia,1,1,"0,0%"
Denis Gojko,Piast Gliwice,1,1,"0,0%"
Daniel Łukasik,Lechia Gdańsk,1,1,"0,0%"
Daniel Smuga,Górnik Zabrze,1,1,"0,0%"
Robert Gumny,Lech Poznań,0,1,-
Mateusz Lewandowski,Lechia/Śląsk,0,1,-
Marcin Listkowski,Pogoń Szczecin,0,1,-
Zdenek Ondrasek,Wisła Kraków,0,1,-
Aleksandar Todorovski,Zagłębie Lubin,0,1,-
Kamil Wojtkowski,Wisła Kraków,0,1,-
Krystian Peda,Bruk-Bet,0,1,-
Zlatan Alomerović,Korona Kielce,0,1,-
Dario Rugasević,Piast Gliwice,0,1,-
Lukas Kubań,Sandecja,0,1,-
Romario Balde,Lechia Gdańsk,0,1,-
Cezary Stefańczyk,Wisła Płock,0,1,-
Piotr Malarczyk,Cracovia/Korona,0,1,-
Mathieu Scalet,Śląsk Wrocław,0,1,-
Rafał Grzyb,Jagiellonia,0,1,-
Przemysław Szarek,Bruk-Bet,0,1,-
Kamil Vacek,Śląsk Wrocław,0,1,-
Damian Rasak,Wisła Płock,0,1,-
Matej Palcić,Wisła Kraków,0,1,-
Pawło Ksionz,Sandecja,0,1,-
Rafał Pietrzak,Zagłębie Lubin,0,1,-
Hubert Matynia,Pogoń Szczecin,0,1,-
Antonini Culina,Cracovia,0,1,-
Niko Datković,Cracovia,0,1,-
Sebastian Strózik,Cracovia,0,1,-
Tomasz Hołota,Pogoń Szczecin,0,1,-
Florin Purece,Bruk-Bet,0,1,-
Piotr Tomasik,Lech Poznań,0,1,-
Arkadiusz Malarz,Legia Warszawa,0,1,-
Mateusz Cholewiak,Śląsk Wrocław,0,1,-
Kamil Pestka,Cracovia,0,1,-
Piotr Celeban,Śląsk Wrocław,10,0,"50,0%"
Szymon Matuszek,Górnik Zabrze,6,0,"50,0%"
Dani Suarez,Górnik Zabrze,5,0,"20,0%"
Ołeksij Chobłenko,Lech Poznań,5,0,"20,0%"
Adam Dźwigała,Wisła Płock,5,0,"0,0%"
Petar Brlek,Wisła Kraków,3,0,"66,7%"
Jakub Wójcicki,Cracovia/Jagiellonia,3,0,"33,3%"
Radek Dejmek,Korona Kielce,3,0,"33,3%"
Enrique Esqueda,Arka Gdynia,2,0,"100,0%"
Błażej Augustyn,Lechia Gdańsk,2,0,"50,0%"
Igor Łasicki,Wisła Płock,2,0,"50,0%"
Maciej Dąbrowski,Legia Warszawa,2,0,"50,0%"
Artur Jędrzejczyk,Legia Warszawa,2,0,"0,0%"
Hildeberto Pereira,Legia Warszawa,2,0,"0,0%"
Jarosław Jach,Zagłębie Lubin,2,0,"0,0%"
Rafał Janicki,Lech Poznań,2,0,"0,0%"
Tymoteusz Klupś,Lech Poznań,2,0,"0,0%"
Dejan Lazarević,Jagiellonia,2,0,"0,0%"
Josip Barisić,Piast Gliwice,1,0,"100,0%"
Martin Nespor,Zagłębie Lubin,1,0,"100,0%"
Yannick Kakoko,Arka Gdynia,1,0,"100,0%"
Vitalijs Maksimenko,Bruk-Bet,1,0,"100,0%"
Kamil Mazek,Zagłębie Lubin,1,0,"100,0%"
Karol Fila,Lechia Gdańsk,1,0,"0,0%"
Aleksandar Kovacević,Lechia Gdańsk,1,0,"0,0%"
Florian Schikowski,Lechia Gdańsk,1,0,"0,0%"
Przemysław Szymiński,Wisła Płock,1,0,"0,0%"
Adrian Basta,Sandecja,1,0,"0,0%"
Mateusz Kupczak,Bruk-Bet,1,0,"0,0%"
Ze Manuel,Wisła Kraków,1,0,"0,0%"
Dawid Szufryn,Sandecja,1,0,"0,0%"
Akos Kecskes,Bruk-Bet,1,0,"0,0%"
Adam Deja,Cracovia,1,0,"0,0%"
Aleksandar Sedlar,Piast Gliwice,1,0,"0,0%"
Szymon Nowicki,Arka Gdynia,1,0,"0,0%"
Hebert,Piast Gliwice,1,0,"0,0%"
Dejan Janjatović,Bruk-Bet,1,0,"0,0%"
Michal Siplak,Cracovia,1,0,"0,0%"
Antoni Łukasiewicz,Arka Gdynia,1,0,"0,0%"
Oliver Petrak,Korona Kielce,1,0,"0,0%"
Uros Korun,Piast Gliwice,1,0,"0,0%"
Sanel Kapidzić,Korona Kielce,1,0,"0,0%"
Dawid Błanik,Pogoń Szczecin,1,0,"0,0%"
Damir Sovsić,Sandecja,1,0,"0,0%"
Joao Nunes,Lechia Gdańsk,1,0,"0,0%"
Krzysztof Sobieraj,Arka Gdynia,1,0,"0,0%"
