ZAWODNIK,KLUB,MECZE,PEŁNE,"W 1. ""11""",Z ŁAWKI,"W ""18""",CZAS
Niko Datković,Cracovia,6,5,5,1,11,495
Deleu,Cracovia,5,1,1,4,8,199
Ołeksij Dytiatjew,Cracovia,25,20,21,4,29,1985
Diego Ferraresso,Cracovia,17,9,11,6,19,1104
Matic Fink,Cracovia,20,14,19,1,25,1577
Michał Helik,Cracovia,32,31,31,1,36,2802
Radosław Kruppa,Cracovia,0,0,0,0,1,0
Piotr Malarczyk,Cracovia,16,10,16,0,18,1248
Kamil Pestka,Cracovia,20,15,20,0,28,1679
Michal Siplak,Cracovia,20,14,14,6,32,1408
Lennard Sowah,Cracovia,7,5,6,1,11,541
Michał Wiśniewski,Cracovia,0,0,0,0,1,0
Jakub Wójcicki,Cracovia,18,9,18,0,18,1431
Hubert Adamczyk,Cracovia,1,0,1,0,3,49
Miroslav Covilo,Cracovia,27,22,26,1,27,2221
Antonini Culina,Cracovia,14,0,7,7,15,567
Damian Dąbrowski,Cracovia,3,0,1,2,5,71
Adam Deja,Cracovia,14,11,12,2,24,1115
Milan Dimun,Cracovia,19,14,18,1,32,1593
Szymon Drewniak,Cracovia,21,15,17,4,26,1574
Javi Hernandez,Cracovia,32,23,29,3,32,2595
Radosław Kanach,Cracovia,1,0,0,1,3,11
Sylwester Lusiusz,Cracovia,2,0,0,2,3,13
Jaroslav Mihalik,Cracovia,14,3,13,1,17,987
Deniss Rakels,Cracovia,12,4,8,4,12,719
Michał Rakoczy,Cracovia,1,0,0,1,1,4
Sebastian Steblecki,Cracovia,2,0,0,2,5,27
Mateusz Wdowiak,Cracovia,26,3,14,12,33,1210
Nicolai Brock-Madsen,Cracovia,11,2,2,9,14,315
Krzysztof Piątek,Cracovia,36,27,35,1,36,3155
Daniel Pik,Cracovia,3,0,1,2,3,110
Sebastian Strózik,Cracovia,6,0,0,6,6,128
Mateusz Szczepaniak,Cracovia,16,1,4,12,18,682
Krzysztof Szewczyk,Cracovia,1,0,0,1,2,1
Tomas Vestenicky,Cracovia,1,0,1,0,3,56
Sergei Zenjov,Cracovia,27,7,19,8,33,1611
Tomasz Loska,Górnik,36,36,36,0,37,3230
Grzegorz Kasprzik,Górnik,0,0,0,0,2,0
Wojciech Pawłowski,Górnik,1,1,1,0,35,90
Paweł Bochniewicz,Górnik,16,16,16,0,16,1430
Adrian Gryszkiewicz,Górnik,9,7,8,1,14,793
Wojciech Hajda,Górnik,9,0,3,6,14,274
Meik Karwot,Górnik,2,1,1,1,10,110
Michał Koj,Górnik,29,24,28,1,32,2399
Bartłomiej Olszewski,Górnik,8,0,0,8,20,92
Dani Suarez,Górnik,35,29,34,1,35,2998
Ołeksandr Szeweluchin,Górnik,2,0,0,2,10,67
Adam Wolniewicz,Górnik,28,18,20,8,32,1866
Mateusz Wieteska,Górnik,35,34,35,0,36,3121
Przemysław Wiśniewski,Górnik,0,0,0,0,2,0
Maciej Ambrosiewicz,Górnik,23,11,18,5,32,1615
Sandi Arcon,Górnik,0,0,0,0,5,0
Bartosz Bartczuk,Górnik,0,0,0,0,8,0
Erik Grendel,Górnik,9,0,1,8,19,147
Dariusz Kamiński,Górnik,0,0,0,0,7,0
Damian Kądzior,Górnik,37,14,35,2,37,2906
Rafał Kurzawa,Górnik,36,33,35,1,36,3145
Daniel Liszka,Górnik,6,1,3,3,9,265
Szymon Matuszek,Górnik,34,26,29,5,34,2676
Konrad Nowak,Górnik,2,0,0,2,4,38
Daniel Smuga,Górnik,6,0,3,3,12,276
Łukasz Wolsztyński,Górnik,29,5,29,0,29,2111
Rafał Wolsztyński,Górnik,4,0,1,3,7,109
Szymon Żurkowski,Górnik,34,26,33,1,34,2855
Igor Angulo,Górnik,33,25,32,1,34,2878
Krzysztof Kiklaisz,Górnik,3,0,0,3,7,25
Dominik Lasik,Górnik,2,0,0,2,5,15
David Ledecky,Górnik,11,0,0,11,17,203
Dariusz Pawłowski,Górnik,4,0,0,4,8,26
Marcin Urynowicz,Górnik,21,0,6,15,27,726
Krzysztof Karpieszuk,Jagiellonia,0,0,0,0,5,0
Marian Kelemen,Jagiellonia,23,22,22,1,30,2042
Błażej Niezgoda,Jagiellonia,0,0,0,0,1,0
Mariusz Pawełek,Jagiellonia,12,11,12,0,26,1018
Damian Węglarz,Jagiellonia,3,3,3,0,12,270
Bodvar Bodvarsson,Jagiellonia,3,1,1,2,7,97
Łukasz Burliga,Jagiellonia,30,23,29,1,31,2542
Ziggy Gordon,Jagiellonia,2,1,1,1,10,124
Guilherme Sitya,Jagiellonia,30,26,29,1,36,2578
Guti,Jagiellonia,17,15,15,2,35,1352
Bartosz Kwiecień,Jagiellonia,18,6,12,6,23,1021
Nemanja Mitrović,Jagiellonia,24,24,24,0,29,2160
Ivan Runje,Jagiellonia,33,33,33,0,33,2970
Dawid Szymonowicz,Jagiellonia,1,0,0,1,12,31
Piotr Tomasik,Jagiellonia,9,7,7,2,11,671
Marek Wasiluk,Jagiellonia,3,0,0,3,5,9
Jakub Wójcicki,Jagiellonia,8,2,3,5,15,319
Fedor Cernych,Jagiellonia,21,16,18,3,21,1669
Dmytro Chomczenowskyj,Jagiellonia,5,1,2,3,9,204
Przemysław Frankowski,Jagiellonia,31,18,29,2,31,2565
Rafał Grzyb,Jagiellonia,20,11,15,5,36,1341
Dejan Lazarević,Jagiellonia,8,0,1,7,12,152
Przemysław Mystkowski,Jagiellonia,0,0,0,0,2,0
Mateusz Nikołajuk,Jagiellonia,0,0,0,0,1,0
Arvydas Novikovas,Jagiellonia,34,9,29,5,34,2382
Dawid Polkowski,Jagiellonia,0,0,0,0,1,0
Martin Pospisil,Jagiellonia,35,11,28,7,37,2365
Taras Romanczuk,Jagiellonia,33,32,33,0,33,2944
Damian Szymański,Jagiellonia,1,0,1,0,2,59
Piotr Wlazło,Jagiellonia,25,11,18,7,27,1604
Roman Bezjak,Jagiellonia,14,2,11,3,15,902
Bartosz Bida,Jagiellonia,0,0,0,0,1,0
Łukasz Sekulski,Jagiellonia,15,3,6,9,19,600
Cillian Sheridan,Jagiellonia,28,8,14,14,28,1482
Karol Świderski,Jagiellonia,32,0,11,21,35,1156
Zlatan Alomerović,Korona,21,21,21,0,35,1890
Maciej Gostomski,Korona,12,12,12,0,18,1080
Matthias Hamrol,Korona,4,4,4,0,21,360
Angelos Argyris,Korona,0,0,0,0,5,0
Shawn Barry,Korona,5,3,5,0,17,389
Radek Dejmek,Korona,17,14,15,2,23,1366
Elhadji Pape Diaw,Korona,20,13,16,4,31,1426
Michał Dziubek,Korona,1,0,0,1,1,15
Ken Kallaste,Korona,31,24,30,1,32,2562
Akos Kecskes,Korona,4,3,3,1,9,295
Adnan Kovacević,Korona,29,27,29,0,29,2553
Bartosz Kwiecień,Korona,1,0,1,0,1,54
Piotr Malarczyk,Korona,7,5,5,2,13,505
Krystian Miś,Korona,8,0,3,5,17,287
Bartosz Rymaniak,Korona,34,34,34,0,34,3060
Nabil Aankour,Korona,14,6,10,4,20,917
Dani Abalo,Korona,1,0,1,0,1,10
Fabian Burdenski,Korona,7,0,2,5,15,145
Marcin Cebula,Korona,27,8,18,9,30,1584
Goran Cvijanović,Korona,29,6,19,10,33,1737
Wiktor Długosz,Korona,1,0,0,1,1,24
Michael Gardawski,Korona,18,6,13,5,18,1178
Zlatko Janjić,Korona,14,7,9,5,16,863
Ivan Jukić,Korona,23,7,19,4,29,1480
Jacek Kiełb,Korona,23,10,15,8,23,1481
Łukasz Kosakiewicz,Korona,28,10,12,16,34,1485
Mateusz Możdżeń,Korona,32,24,30,2,35,2622
Jakub Mrozik,Korona,0,0,0,0,3,0
Oliver Petrak,Korona,11,4,9,2,11,695
Jakub Żubrowski,Korona,28,25,28,0,28,2468
Maciej Górski,Korona,14,6,11,3,20,931
Nika Kaczarawa,Korona,26,11,20,6,28,1802
Sanel Kapidzić,Korona,4,0,2,2,5,214
Piotr Pierzchała,Korona,1,0,0,1,1,35
Piotr Poński,Korona,1,0,0,1,1,7
Elia Soriano,Korona,22,2,11,11,24,1043
Jasmin Burić,Lech,12,11,12,0,35,1019
Miłosz Mleczko,Lech,0,0,0,0,1,0
Bartosz Mrozek,Lech,0,0,0,0,1,0
Matus Putnocky,Lech,26,25,25,1,37,2296
Vernon De Marco,Lech,2,1,1,1,12,155
Emir Dilaver,Lech,32,30,31,1,33,2823
Robert Gumny,Lech,33,30,33,0,34,2889
Rafał Janicki,Lech,24,19,21,3,35,1868
Wołodymyr Kostewycz,Lech,30,24,30,0,32,2553
Lasse Nielsen,Lech,13,10,13,0,20,1097
Thomas Rogne,Lech,0,0,0,0,4,0
Piotr Tomasik,Lech,6,2,3,3,13,281
Nikola Vujadinović,Lech,14,14,14,0,20,1245
Nicklas Barkroth,Lech,19,2,6,13,32,706
Maciej Gajos,Lech,33,27,32,1,33,2781
Darko Jevtić,Lech,24,10,19,5,24,1746
Kamil Jóźwiak,Lech,20,3,10,10,32,916
Radosław Majewski,Lech,29,13,25,4,34,2079
Maciej Makuszewski,Lech,21,10,15,6,21,1349
Jakub Moder,Lech,1,0,0,1,4,1
Mihai Radut,Lech,22,6,12,10,26,1245
Deniss Rakels,Lech,11,0,3,8,16,356
Jakub Serafin,Lech,0,0,0,0,5,0
Mario Situm,Lech,24,11,22,2,25,1671
Abdul Aziz Tetteh,Lech,11,6,7,4,18,745
Łukasz Trałka,Lech,34,31,33,1,35,2881
Ołeksij Chobłenko,Lech,11,0,1,10,15,366
Christian Gytkjaer,Lech,37,12,29,8,37,2428
Tymoteusz Klupś,Lech,7,0,3,4,9,239
Elvir Koljić,Lech,5,0,1,4,7,67
Nicki Bille Nielsen,Lech,14,0,6,8,16,568
Dusan Kuciak,Lechia,36,36,36,0,36,3240
Damian Podleśny,Lechia,0,0,0,0,8,0
Maciej Woźniak,Lechia,0,0,0,0,3,0
Oliver Zelenika,Lechia,1,1,1,0,27,90
Błażej Augustyn,Lechia,15,15,15,0,20,1350
Adam Chrzanowski,Lechia,10,7,8,2,13,762
Gerson,Lechia,5,5,5,0,5,450
Rafał Kobryń,Lechia,1,1,1,0,2,90
Mateusz Lewandowski,Lechia,10,2,5,5,11,463
Mario Maloca,Lechia,1,1,1,0,1,90
Mato Milos,Lechia,14,11,11,3,19,1049
Filip Mladenović,Lechia,14,2,8,6,15,663
Michał Nalepa II,Lechia,16,14,16,0,26,1356
Joao Nunes,Lechia,30,22,25,5,34,2312
Paweł Stolarski,Lechia,25,16,23,2,30,1946
Steven Vitoria,Lechia,14,13,13,1,24,1183
Jakub Wawrzyniak,Lechia,20,15,20,0,23,1634
Grzegorz Wojtkowiak,Lechia,13,10,12,1,17,1027
Ariel Borysiuk,Lechia,12,7,9,3,16,845
Karol Fila,Lechia,1,0,0,1,4,6
Lukas Haraslin,Lechia,11,1,8,3,13,654
Aleksandar Kovacević,Lechia,2,0,0,2,3,43
Milos Krasić,Lechia,29,3,15,14,33,1355
Patryk Lipski,Lechia,21,10,15,6,27,1302
Daniel Łukasik,Lechia,32,20,30,2,34,2519
Mateusz Matras,Lechia,7,3,5,2,15,494
Sebastian Mila,Lechia,1,0,0,1,6,3
Joao Oliveira,Lechia,19,1,7,12,25,768
Flavio Paixao,Lechia,34,21,30,4,37,2607
Sławomir Peszko,Lechia,25,15,21,4,25,1931
Romario Balde,Lechia,10,0,1,9,11,326
Florian Schikowski,Lechia,4,0,2,2,14,137
Simeon Sławczew,Lechia,27,17,22,5,27,2001
Rafał Wolski,Lechia,11,6,9,2,11,842
Grzegorz Kuświk,Lechia,13,1,4,9,15,501
Przemysław Macierzyński,Lechia,0,0,0,0,1,0
Marco Paixao,Lechia,28,22,28,0,28,2428
Mateusz Żukowski,Lechia,2,0,1,1,7,52
Radosław Cierzniak,Legia,3,1,1,2,36,149
Arkadiusz Malarz,Legia,36,34,36,0,37,3166
Jakub Szumski,Legia,0,0,0,0,1,0
Inaki Astiz,Legia,22,21,21,1,29,1884
Łukasz Broź,Legia,20,13,17,3,31,1504
Jakub Czerwiński,Legia,4,4,4,0,5,360
Maciej Dąbrowski,Legia,9,9,9,0,19,810
Adam Hlousek,Legia,33,26,29,4,34,2634
Artur Jędrzejczyk,Legia,20,18,19,1,25,1684
Mauricio,Legia,2,0,1,1,7,111
Michał Pazdan,Legia,29,27,29,0,29,2592
William Remy,Legia,16,13,13,3,16,1201
Łukasz Turzyniecki,Legia,0,0,0,0,2,0
Mateusz Żyro,Legia,0,0,0,0,3,0
Domagoj Antolić,Legia,12,8,11,1,13,893
Cafu,Legia,7,3,6,1,11,482
Guilherme,Legia,15,5,11,4,15,1026
Brian Iloski,Legia,1,0,0,1,2,1
Kasper Hamalainen,Legia,31,14,28,3,35,2293
Hildeberto Pereira,Legia,3,0,2,1,8,130
Tomasz Jodłowiec,Legia,9,6,7,2,12,625
Michał Kopczyński,Legia,17,5,9,8,24,811
Michał Kucharczyk,Legia,33,11,19,14,34,1836
Rafał Makowski,Legia,0,0,0,0,1,0
Krzysztof Mączyński,Legia,26,14,21,5,28,1818
Konrad Michalak,Legia,0,0,0,0,1,0
Łukasz Moneta,Legia,0,0,0,0,2,0
Thibault Moulin,Legia,19,12,15,4,19,1416
Dominik Nagy,Legia,9,6,7,2,10,646
Cristian Pasquato,Legia,22,1,11,11,32,1004
Chris Philipps,Legia,12,9,10,2,13,924
Miroslav Radović,Legia,11,0,6,5,13,475
Miłosz Szczepański,Legia,0,0,0,0,1,0
Mateusz Szwoch,Legia,1,1,1,0,1,90
Sebastian Szymański,Legia,21,7,13,8,33,1190
Marko Vesović,Legia,15,10,14,1,15,1191
Daniel Chima Chukwu,Legia,2,0,2,0,4,135
Eduardo,Legia,10,2,5,5,15,520
Jarosław Niezgoda,Legia,27,11,22,5,29,1857
Armando Sadiku,Legia,17,4,8,9,21,846
Krzysztof Kurek,Piast,0,0,0,0,6,0
Frantisek Plach,Piast,0,0,0,0,16,0
Dobrivoj Rusov,Piast,10,8,8,2,21,813
Jakub Szmatuła,Piast,29,27,29,0,31,2504
Jakub Czerwiński,Piast,15,15,15,0,15,1340
Hebert,Piast,18,17,17,1,20,1531
Mikkel Kirkeskov,Piast,7,5,6,1,9,552
Martin Konczkowski,Piast,37,36,37,0,37,3275
Uros Korun,Piast,26,24,25,1,35,2251
Adam Mójta,Piast,1,0,0,1,12,22
Marcin Pietrowski,Piast,32,29,32,0,32,2711
Dario Rugasević,Piast,10,9,10,0,26,890
Aleksandar Sedlar,Piast,23,21,22,1,25,1976
Gerard Badia,Piast,20,3,12,8,21,1037
Martin Bukata,Piast,21,10,16,5,22,1456
Patryk Dziczek,Piast,24,16,21,3,34,1813
Denis Gojko,Piast,9,0,2,7,23,248
Tom Hateley,Piast,13,11,13,0,13,1150
Aleksander Jagiełło,Piast,11,0,5,6,23,399
Tomasz Jodłowiec,Piast,15,14,15,0,15,1295
Mateusz Mak,Piast,14,3,9,5,17,841
Radosław Murawski,Piast,1,1,1,0,1,90
Joel Valencia,Piast,25,3,16,9,29,1316
Konstantin Vassiljev,Piast,23,10,15,8,30,1365
Stojan Vranjes,Piast,9,0,7,2,14,578
Sasa Zivec,Piast,26,18,24,2,29,2086
Karol Angielski,Piast,24,1,10,14,31,959
Josip Barisić,Piast,4,0,0,4,6,79
Maciej Jankowski,Piast,19,4,9,10,19,1024
Łukasz Krakowczyk,Piast,3,0,0,3,7,49
Mateusz Szczepaniak,Piast,14,6,12,2,15,1053
Michal Papadopulos,Piast,31,7,19,12,32,1721
Łukasz Budziłek,Pogoń,1,0,1,0,11,12
Jakub Bursztyn,Pogoń,3,2,2,1,6,255
Adrian Henger,Pogoń,0,0,0,0,21,0
Daniel Kusztan,Pogoń,0,0,0,0,2,0
Łukasz Załuska,Pogoń,34,34,34,0,34,3060
Lasza Dwali,Pogoń,33,33,33,0,34,2970
Jarosław Fojut,Pogoń,17,16,17,0,21,1525
Hubert Matynia,Pogoń,13,6,9,4,33,805
David Niepsuj,Pogoń,18,14,16,2,23,1468
Ricardo Nunes,Pogoń,32,30,32,0,34,2855
Cornel Rapa,Pogoń,31,26,30,1,33,2621
Sebastian Rudol,Pogoń,18,13,13,5,30,1183
Sebastian Walukiewicz,Pogoń,3,2,2,1,11,189
Dawid Błanik,Pogoń,6,0,0,6,10,76
Mate Cincadze,Pogoń,3,1,2,1,5,165
Spas Delew,Pogoń,28,9,24,4,29,2132
Kamil Drygas,Pogoń,33,22,32,1,33,2713
Dariusz Formella,Pogoń,18,3,11,7,18,876
Adam Gyurcso,Pogoń,18,8,14,4,19,1267
Tomasz Hołota,Pogoń,24,13,18,6,31,1581
Dawid Kort,Pogoń,20,4,9,11,32,957
Sebastian Kowalczyk,Pogoń,7,0,2,5,13,184
Marcin Listkowski,Pogoń,20,0,7,13,28,666
Rafał Maćkowski,Pogoń,0,0,0,0,1,0
Rafał Murawski,Pogoń,23,7,16,7,24,1333
Patryk Paczuk,Pogoń,1,0,0,1,2,11
Jakub Piotrowski,Pogoń,29,13,25,4,34,2227
Adrian Benedyczak,Pogoń,3,0,0,3,5,60
Adam Buksa,Pogoń,12,4,9,3,13,808
Adam Frączczak,Pogoń,31,25,29,2,31,2662
Morten Rasmussen,Pogoń,11,2,5,6,15,474
Aron Stasiak,Pogoń,0,0,0,0,1,0
Łukasz Zwoliński,Pogoń,27,8,15,12,29,1387
Michał Gliwa,Sandecja,35,35,35,0,37,3150
Dawid Pietrzkiewicz,Sandecja,1,1,1,0,8,90
Łukasz Radliński,Sandecja,1,1,1,0,29,90
Jakub Bartosz,Sandecja,13,9,12,1,13,1024
Adrian Basta,Sandecja,17,13,15,2,24,1397
Alexandru Benga,Sandecja,11,10,11,0,13,977
Tomasz Brzyski,Sandecja,29,17,23,6,30,2109
Adrian Danek,Sandecja,32,6,16,16,36,1483
Płamen Kraczunow,Sandecja,26,18,23,3,33,2142
Lukas Kubań,Sandecja,11,6,9,2,23,766
Patrik Mraz,Sandecja,30,23,28,2,33,2418
Michal Piter-Bućko,Sandecja,30,30,30,0,30,2700
Jonatan Straus,Sandecja,4,0,0,4,21,45
Dawid Szufryn,Sandecja,29,24,29,0,30,2409
Grzegorz Baran,Sandecja,26,17,21,5,33,1853
Mateusz Cetnarski,Sandecja,16,3,10,6,30,883
Bartłomiej Dudzic,Sandecja,19,3,11,8,22,1033
Michał Gałecki,Sandecja,2,1,1,1,12,140
Bartosz Gęsior,Sandecja,0,0,0,0,1,0
Jakub Gric,Sandecja,6,4,6,0,11,450
Bartłomiej Kasprzak,Sandecja,26,12,21,5,32,1864
Pawło Ksionz,Sandecja,11,2,7,4,13,622
Maciej Małkowski,Sandecja,21,8,15,6,22,1349
Hubert Maślanka,Sandecja,1,0,0,1,2,1
Kacper Smoleń,Sandecja,0,0,0,0,2,0
Damir Sovsić,Sandecja,9,3,4,5,9,388
Wojciech Trochim,Sandecja,37,13,30,7,37,2532
Aleksandyr Kolew,Sandecja,32,21,27,5,32,2459
Maciej Korzym,Sandecja,8,0,1,7,11,204
Wiktor Nowak,Sandecja,0,0,0,0,1,0
Filip Piszczek,Sandecja,32,14,20,12,35,1916
Dominik Budzyński,Śląsk,0,0,0,0,3,0
Jakub Słowik,Śląsk,20,20,20,0,34,1800
Jakub Wrąbel,Śląsk,17,17,17,0,37,1530
Augusto,Śląsk,14,12,14,0,28,1204
Piotr Celeban,Śląsk,37,37,37,0,37,3330
Dorde Cotra,Śląsk,14,14,14,0,14,1260
Kamil Dankowski,Śląsk,8,6,7,1,9,612
Lasza Dwali,Śląsk,0,0,0,0,1,0
Boban Jović,Śląsk,3,2,2,1,3,198
Adam Kokoszka,Śląsk,0,0,0,0,1,0
Paweł Kucharczyk,Śląsk,0,0,0,0,4,0
Mateusz Lewandowski,Śląsk,8,4,6,2,10,557
Mariusz Pawelec,Śląsk,27,25,25,2,27,2255
Konrad Poprawa,Śląsk,3,2,2,1,27,254
Tim Rieder,Śląsk,13,10,13,0,13,1126
Igors Tarasovs,Śląsk,35,30,32,3,36,2860
Maciej Buławski,Śląsk,0,0,0,0,1,0
Michał Chrapek,Śląsk,31,6,26,5,32,2032
Mateusz Cholewiak,Śląsk,12,9,10,2,12,918
Jakub Kosecki,Śląsk,26,12,23,3,26,1934
Daniel Łuczak,Śląsk,9,0,2,7,16,308
Adrian Łyszczarz,Śląsk,10,0,1,9,26,167
Łukasz Madej,Śląsk,21,5,11,10,21,1098
Michał Mak,Śląsk,7,3,5,2,7,409
Maciej Pałaszewski,Śląsk,11,1,4,7,28,392
Robert Pich,Śląsk,32,23,30,2,32,2639
Sito Riera,Śląsk,23,14,21,2,23,1819
Oktawian Skrzecz,Śląsk,0,0,0,0,1,0
Mathieu Scalet,Śląsk,1,0,0,1,5,1
Dragoljub Srnić,Śląsk,28,5,15,13,37,1352
Kamil Vacek,Śląsk,25,7,14,11,28,1402
Sebastian Bergier,Śląsk,9,0,2,7,17,171
Arkadiusz Piech,Śląsk,34,10,22,12,35,2080
Marcin Robak,Śląsk,33,26,32,1,33,2812
Michał Buchalik,Wisła K,18,17,17,1,31,1566
Kacper Chorążka,Wisła K,0,0,0,0,13,0
Julian Cuesta,Wisła K,20,19,20,0,30,1764
Zoran Arsenić,Wisła K,31,28,30,1,35,2660
Jakub Bartkowski,Wisła K,17,16,16,1,24,1485
Jakub Bartosz,Wisła K,13,0,1,12,19,276
Tomasz Cywka,Wisła K,27,23,27,0,34,2375
Arkadiusz Głowacki,Wisła K,17,15,16,1,21,1428
Ivan Gonzalez,Wisła K,13,12,13,0,15,1153
Matej Palcic,Wisła K,8,6,8,0,12,624
Rafał Pietrzak,Wisła K,0,0,0,0,9,0
Maciej Sadlok,Wisła K,28,28,28,0,28,2520
Piotr Świątko,Wisła K,0,0,0,0,3,0
Fran Velez,Wisła K,17,11,16,1,17,1398
Marcin Wasilewski,Wisła K,17,12,15,2,19,1265
Vullnet Basha,Wisła K,16,7,14,2,17,1184
Rafał Boguski,Wisła K,30,1,27,3,35,1996
Petar Brlek,Wisła K,12,7,7,5,15,774
Tibor Halilović,Wisła K,25,5,11,14,33,1131
Jesus Imaz,Wisła K,30,10,26,4,30,2188
Martin Kostal,Wisła K,4,0,1,3,10,176
Pol Llonch,Wisła K,25,19,24,1,27,2074
Patryk Małecki,Wisła K,21,10,12,9,26,1177
Nikola Mitrović,Wisła K,15,13,15,0,15,1303
Victor Perez,Wisła K,12,5,6,6,12,660
Błażej Skórski,Wisła K,0,0,0,0,1,0
Semir Stilić,Wisła K,0,0,0,0,1,0
Kamil Wojtkowski,Wisła K,22,0,6,16,28,685
Ze Manuel,Wisła K,7,1,4,3,8,348
Denys Bałaniuk,Wisła K,7,0,1,6,13,104
Paweł Brożek,Wisła K,17,1,6,11,24,742
Carlitos,Wisła K,36,28,36,0,36,3198
Marko Kolar,Wisła K,5,0,1,4,13,80
Zdenek Ondrasek,Wisła K,7,1,3,4,12,276
Thomas Dahne,Wisła P,16,15,16,0,16,1403
Bartłomiej Gradecki,Wisła P,0,0,0,0,7,0
Seweryn Kiełpin,Wisła P,22,21,21,1,36,1927
Mateusz Kryczka,Wisła P,0,0,0,0,15,0
Damian Byrtek,Wisła P,18,13,14,4,27,1266
Adam Dźwigała,Wisła P,26,20,22,4,27,2034
Igor Łasicki,Wisła P,20,15,19,1,23,1572
Paul Parvulescu,Wisła P,3,1,1,2,4,109
Bartłomiej Sielewski,Wisła P,10,7,7,3,30,757
Cezary Stefańczyk,Wisła P,36,36,36,0,36,3240
Patryk Stępiński,Wisła P,10,8,8,2,26,745
Kamil Sylwestrzak,Wisła P,2,1,2,0,6,176
