KOL,STRZELEC,DLA,PRZECIW,BRAMKARZ,T/N/O,FAULOWAŁ,FAULOWANY,SĘDZIA
17,Mateusz Szwoch,Arka Gdynia,Sandecja,Michał Gliwa,T,Dawid Szufryn,ręka,Zbigniew Dobrynin
17,Mateusz Szwoch,Arka Gdynia,Sandecja,Michał Gliwa,T,Patrik Mraz,ręka,Zbigniew Dobrynin
17,Łukasz Piątek,Bruk-Bet,Wisła Kraków,Michał Buchalik,T,Victor Perez,ręka,Tomasz Kwiatkowski
18,Marcin Robak,Śląsk Wrocław,Lechia Gdańsk,Dusan Kuciak,O,Jakub Wawrzyniak,ręka,Szymon Marciniak
18,Flavio Paixao,Lechia Gdańsk,Śląsk Wrocław,Jakub Słowik,T,Piotr Celeban,ręka,Szymon Marciniak
18,Nico Varela,Wisła Płock,Arka Gdynia,Pavels Šteinbors,O,Tadeusz Socha,Giorgi Merebaszwili,Paweł Gil
18,Igor Angulo,Górnik Zabrze,Wisła Kraków,Michał Buchalik,T,Zoran Arsenić,ręka,Daniel Stefański
19,Arvydas Novikovas,Jagiellonia Białystok,Sandecja,Michał Gliwa,T,Dawid Szufryn,Łukasz Sekulski,Daniel Stefański
19,Aleksandyr Kolew,Sandecja,Jagiellonia Białystok,Marian Kelemen,O,Bartosz Kwiecień,Maciej Małkowski,Daniel Stefański
19,Guilherme,Legia Warszawa,Bruk-Bet,Jan Mucha,T,Martin Miković,Kasper Hamalainen,Piotr Lasyk
19,Jakub Świerczok,Zagłębie Lubin,Pogoń Szczecin,Łukasz Załuska,T,Jarosław Fojut,Jakub Świerczok,Tomasz Kwiatkowski
20,Guilherme,Legia Warszawa,Piast Gliwice,Dobrivoj Rusov,T,Patryk Dziczek,Michał Kopczyński,Szymon Marciniak
20,Adam Frączczak,Pogoń Szczecin,Lechia Gdańsk,Dusan Kuciak,T,Mato Milos,ręka,Zbigniew Dobrynin
21,Arvydas Novikovas,Jagiellonia Białystok,Śląsk Wrocław,Jakub Słowik,O,Marcin Robak,ręka,Daniel Stefański
21,Nico Varela,Wisła Płock,Legia Warszawa,Arkadiusz Malarz,T,Inaki Astiz,Giorgi Merebaszwili,Tomasz Musiał
22,Jakub Mares,Zagłębie Lubin,Legia Warszawa,Arkadiusz Malarz,T,Michał Pazdan,ręka,Mariusz Złotek
22,Miroslav Radović,Legia Warszawa,Zagłębie Lubin,Piotr Leciejewski,T,Piotr Leciejewski,Eduardo,Mariusz Złotek
24,Igor Angulo,Górnik Zabrze,Śląsk Wrocław,Jakub Słowik,O,Marcin Robak,ręka,Krzysztof Jakubik
24,Christian Gytkjaer,Lech Poznań,Korona Kielce,Zlatan Alomerović,O,Ken Kallaste,Christian Gytkjaer,Mariusz Złotek
25,Marco Paixao,Lechia Gdańsk,Bruk-Bet,Jan Mucha,T,Joona Toivio,Simeon Sławczew,Tomasz Kwiatkowski
25,Arvydas Novikovas,Jagiellonia Białystok,Legia Warszawa,Arkadiusz Malarz,T,Arkadiusz Malarz,Roman Bezjak,Daniel Stefański
25,Carlitos,Wisła Kraków,Korona Kielce,Zlatan Alomerović,O,Radek Dejmek,Rafał Boguski,Piotr Lasyk
26,Michał Kucharczyk,Legia Warszawa,Lech Poznań,Jasmin Burić,T,Wołodymyr Kostewycz,ręka,Szymon Marciniak
27,Carlitos,Wisła Kraków,Śląsk Wrocław,Jakub Słowik,T,Tim Rieder,ręka,Daniel Stefański
27,Darko Jevtić,Lech Poznań,Jagiellonia Białystok,Marian Kelemen,T,Guti,ręka,Tomasz Musiał
27,Mateusz Szwoch,Arka Gdynia,Bruk-Bet,Jan Mucha,T,Martin Miković,Damian Zbozień,Krzysztof Jakubik
28,Mateusz Szwoch,Arka Gdynia,Jagiellonia Białystok,Marian Kelemen,T,Guilherme Sitya,Luka Zarandia,Mariusz Złotek
28,Goran Cvijanović,Korona Kielce,Górnik Zabrze,Tomasz Loska,T,Dani Suarez,Nika Kaczarawa,Krzysztof Jakubik
28,Semir Štilić,Wisła Płock,Śląsk Wrocław,Jakub Słowik,T,Tim Rieder,Giorgi Merebaszwili,Tomasz Kwiatkowski
28,Marcin Robak,Śląsk Wrocław,Wisła Płock,Thomas Dahne,T,Jose Kante,Michał Chrapek,Tomasz Kwiatkowski
28,Carlitos,Wisła Kraków,Legia Warszawa,Arkadiusz Malarz,T,William Remy,Tibor Halilović,Bartosz Frankowski
29,Igor Angulo,Górnik Zabrze,Sandecja,Michał Gliwa,T,Alexandru Benga,Dani Suarez,Szymon Marciniak
29,Goran Cvijanović,Korona Kielce,Lechia Gdańsk,Dusan Kuciak,N,Flavio Paixao,ręka,Tomasz Kwiatkowski
29,Christian Gytkjaer,Lech Poznań,Wisła Kraków,Julian Cuesta,T,Fran Velez,ręka,Jarosław Przybył
30,Krzysztof Piątek,Cracovia,Zagłębie Lubin,Domnik Hładun,T,Maciej Dąbrowski,Mateusz Wdowiak,Krzysztof Jakubik
30,Damian Kądzior,Górnik Zabrze,Lech Poznań,Matus Putnocky,T,Nicklas Barkroth,ręka,Bartosz Frankowski
30,Flavio Paixao,Lechia Gdańsk,Arka Gdynia,Pavels Šteinbors,T,Andrij Bohdanow,Lukas Haraslin,Tomasz Kwiatkowski
30,Marcin Robak,Śląsk Wrocław,Korona Kielce,Matthias Hamrol,T,Akos Kecskes,Sito Riera,Zbigniew Dobrynin
31,Mateusz Szwoch,Arka Gdynia,Lechia Gdańsk,Dusan Kuciak,T,Paweł Stolarski,ręka,Paweł Raczkowski
31,Darko Jevtić,Lech Poznań,Korona Kielce,Zlatan Alomerović,O,Elhadji Pape Diaw,Nikola Vujadinović,Krzysztof Jakubik
32,Marcin Robak,Śląsk Wrocław,Bruk-Bet,Dariusz Trela,T,Mateusz Kupczak,Igors Tarasovs,Zbigniew Dobrynin
32,Marcin Robak,Śląsk Wrocław,Bruk-Bet,Dariusz Trela,T,Rafał Grzelak,Daniel Łuczak,Zbigniew Dobrynin
32,Arvydas Novikovas,Jagiellonia Białystok,Korona Kielce,Matthias Hamrol,O,Akos Kecskes,Piotr Wlazło,Paweł Raczkowski
33,Mateusz Szwoch,Arka Gdynia,Piast Gliwice,Jakub Szmatuła,O,Mikkel Kirkeskov,ręka,Paweł Raczkowski
33,Tom Hateley,Piast Gliwice,Arka Gdynia,Pavels Šteinbors,T,Michał Nalepa,Sasa Zivec,Paweł Raczkowski
33,Miroslav Radović,Legia Warszawa,Korona Kielce,Zlatan Alomerović,T,Ken Kallaste,Cafu,Piotr Lasyk
33,Nico Varela,Wisła Płock,Zagłębie Lubin,Domnik Hładun,T,Mateusz Matras,Nico Varela,Krzysztof Jakubik
33,Filip Starzyński,Zagłębie Lubin,Wisła Płock,Thomas Dahne,T,Arkadiusz Reca,ręka,Krzysztof Jakubik
33,Samuel Stefanik,Bruk-Bet,Cracovia,Adam Wilk,T,Michał Helik,Vladislavs Gutkovskis,Mariusz Złotek
33,Krzysztof Piątek,Cracovia,Bruk-Bet,Dariusz Trela,T,Joona Toivio,Ołeksij Dytiatjew,Mariusz Złotek
33,Krzysztof Piątek,Cracovia,Bruk-Bet,Dariusz Trela,T,Rafał Grzelak,ręka,Mariusz Złotek
33,Roman Bezjak,Jagiellonia Białystok,Wisła Kraków,Julian Cuesta,O,Marcin Wasilewski,Roman Bezjak,Daniel Stefański
33,Marcin Robak,Śląsk Wrocław,Lechia Gdańsk,Dusan Kuciak,T,Flavio Paixao,ręka,Paweł Gil
34,Marcin Robak,Śląsk Wrocław,Cracovia,Adam Wilk,T,Michał Helik,Igors Tarasovs,Daniel Stefański
34,Adam Frączczak,Pogoń Szczecin,Arka Gdynia,Pavels Šteinbors,O,Frederik Helstrup,Kamil Drygas,Mariusz Złotek
34,Mateusz Szwoch,Arka Gdynia,Pogoń Szczecin,Łukasz Załuska,T,Spas Delew,Ruben Jurado,Mariusz Złotek
35,Mateusz Szwoch,Arka Gdynia,Cracovia,Adam Wilk,T,Adam Wilk,Patryk Kun,Zbigniew Dobrynin
35,Krzysztof Piątek,Cracovia,Arka Gdynia,Pavels Šteinbors,O,Michał Nalepa,Javi Hernandez,Zbigniew Dobrynin
36,Maciej Małkowski,Sandecja,Cracovia,Adam Wilk,O,Diego Ferraresso,Filip Piszczek,Bartosz Frankowski
36,Sanel Kapidzić,Korona Kielce,Wisła Płock,Thomas Dahne,T,Cezary Stefańczyk,Marcin Cebula,Daniel Stefański
36,Nico Varela,Wisła Płock,Korona Kielce,Matthias Hamrol,T,Piotr Malarczyk,Arkadiusz Reca,Daniel Stefański
37,Krzysztof Piątek,Cracovia,Pogoń Szczecin,Jakub Bursztyn,T,Adam Frączczak,Javi Hernandez,Mariusz Złotek
