ZAWODNIK,KLUB,ŻK,CZK BEZP,CZK,żk faul,czk faul,żk ręka,żk rywal,żk sędzia,żk czas,żk syml,żk ciesz,żk inne,czk ręka,czk rywal,czk inne,czk sędzia
Mihai Radut,Lech Poznań,5,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0
Radosław Majewski,Lech Poznań,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Rafał Janicki,Lech Poznań,5,0,1,3,0,0,1,0,1,0,0,0,0,0,0,0
Robert Gumny,Lech Poznań,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Adam Chrzanowski,Lechia Gdańsk,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Paweł Stolarski,Lechia Gdańsk,5,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0
Steven Vitoria,Lechia Gdańsk,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Maciej Dąbrowski,Legia Warszawa,5,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
Jakub Czerwiński,Piast Gliwice,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Adam Frączczak,Pogoń Szczecin,5,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0
Jarosław Fojut,Pogoń Szczecin,5,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0
Ricardo Nunes,Pogoń Szczecin,5,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0
Aleksandyr Kolew,Sandecja,5,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0
Alexandru Benga,Sandecja,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Mariusz Pawelec,Śląsk Wrocław,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Kamil Wojtkowski,Wisła Kraków,5,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0
Alan Uryga,Wisła Płock,5,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0
Cezary Stefańczyk,Wisła Płock,5,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
