ZAWODNIK,KLUB,L % celn,P % celn,G % celn,R,R celn,% R celn,R Gole,Strzały/gol,GOL/R,KP
Łukasz Zwoliński,Pogoń Szczecin,"18,8%","41,2%","71,4%",40,15,"37,5%",1,"40,00","2,5%",16
Cillian Sheridan,Jagiellonia,"41,2%","40,0%","41,7%",35,15,"42,9%",6,"5,83","17,1%",14
Sebastian Szymański,Legia Warszawa,"50,0%","50,0%","0,0%",31,15,"48,4%",4,"7,75","12,9%",17
Ricardo Nunes,Pogoń Szczecin,"54,2%","66,7%",-,27,15,"55,6%",2,"13,50","7,4%",61
Adam Buksa,Zagłębie/Pogoń,"50,0%","75,0%","66,7%",26,15,"57,7%",5,"5,20","19,2%",8
Przemysław Frankowski,Jagiellonia,"30,0%","36,7%","0,0%",42,14,"33,3%",4,"10,50","9,5%",57
Mateusz Wieteska,Górnik Zabrze,"0,0%","27,3%","44,0%",37,14,"37,8%",7,"5,29","18,9%",10
Filip Piszczek,Sandecja,"28,6%","41,7%","46,7%",34,14,"41,2%",6,"5,67","17,6%",13
Kamil Drygas,Pogoń Szczecin,"40,0%","50,0%","45,5%",32,14,"43,8%",5,"6,40","15,6%",34
Sławomir Peszko,Lechia Gdańsk,"37,5%","57,9%","0,0%",30,14,"46,7%",4,"7,50","13,3%",36
Rafał Boguski,Wisła Kraków,"50,0%","45,5%","66,7%",27,14,"51,9%",4,"6,75","14,8%",17
Bartłomiej Pawłowski,Zagłębie Lubin,"18,2%","30,3%","20,0%",49,13,"26,5%",3,"16,33","6,1%",40
Tomasz Brzyski,Sandecja,"26,7%","33,3%",-,48,13,"27,1%",0,-,"0,0%",31
Maciej Jankowski,Piast Gliwice,"50,0%","21,1%","29,4%",44,13,"29,5%",3,"14,67","6,8%",20
Jakub Żubrowski,Korona Kielce,"37,5%","34,5%",-,37,13,"35,1%",0,-,"0,0%",17
Jakub Kosecki,Śląsk Wrocław,"37,5%","40,0%","0,0%",36,13,"36,1%",4,"9,00","11,1%",28
Piotr Celeban,Śląsk Wrocław,-,"0,0%","59,1%",23,13,"56,5%",5,"4,60","21,7%",2
Łukasz Piątek,Bruk-Bet,"26,7%","23,5%","0,0%",52,12,"23,1%",6,"8,67","11,5%",35
Sasa Zivec,Piast Gliwice,"33,3%","25,7%","50,0%",43,12,"27,9%",6,"7,17","14,0%",27
Fedor Cernych,Jagiellonia,"40,0%","25,8%",-,41,12,"29,3%",3,"13,67","7,3%",23
Samuel Stefanik,Bruk-Bet,"25,0%","31,0%","33,3%",40,12,"30,0%",6,"6,67","15,0%",56
Łukasz Wolsztyński,Górnik Zabrze,"66,7%","27,6%","25,0%",40,12,"30,0%",4,"10,00","10,0%",55
Taras Romanczuk,Jagiellonia,"41,7%","100,0%","21,7%",38,12,"31,6%",5,"7,60","13,2%",19
Filip Jagiełło,Zagłębie Lubin,"11,1%","45,8%","0,0%",34,12,"35,3%",1,"34,00","2,9%",35
Arkadiusz Woźniak,Zagłębie Lubin,"23,1%","53,8%","33,3%",32,12,"37,5%",0,-,"0,0%",16
Roman Gergel,Bruk-Bet,"71,4%","33,3%","50,0%",27,12,"44,4%",3,"9,00","11,1%",19
Szymon Matuszek,Górnik Zabrze,"25,0%","50,0%","60,0%",24,12,"50,0%",3,"8,00","12,5%",16
Jakub Mares,Zagłębie Lubin,"66,7%","57,1%","40,0%",22,12,"54,5%",4,"5,50","18,2%",8
Elia Soriano,Korona Kielce,"20,0%","69,2%","66,7%",21,12,"57,1%",5,"4,20","23,8%",4
Konstantin Vassiljev,Piast Gliwice,"33,3%","24,3%",-,43,11,"25,6%",1,"43,00","2,3%",44
Michał Nalepa I,Arka Gdynia,"15,4%","31,0%",-,42,11,"26,2%",1,"42,00","2,4%",16
Patryk Kun,Arka Gdynia,"29,2%","33,3%","50,0%",34,11,"32,4%",2,"17,00","5,9%",15
Cristian Pasquato,Legia Warszawa,"40,0%","30,4%",-,33,11,"33,3%",2,"16,50","6,1%",32
Maciej Makuszewski,Lech Poznań,"36,4%","30,0%","100,0%",32,11,"34,4%",5,"6,40","15,6%",30
Miroslav Covilo,Cracovia,"0,0%","75,0%","38,1%",27,11,"40,7%",1,"27,00","3,7%",16
Adam Gyurcso,Pogoń Szczecin,"33,3%","43,5%",-,26,11,"42,3%",2,"13,00","7,7%",18
Rafał Siemaszko,Arka Gdynia,"12,5%","16,7%","54,5%",37,10,"27,0%",5,"7,40","13,5%",15
Szymon Pawłowski,Bruk-Bet,"0,0%","32,3%","0,0%",36,10,"27,8%",3,"12,00","8,3%",31
Semir Stilić,Wisła Płock,"36,0%","16,7%","0,0%",32,10,"31,3%",4,"8,00","12,5%",24
Łukasz Trałka,Lech Poznań,"20,0%","36,4%","35,7%",30,10,"33,3%",6,"5,00","20,0%",13
Mateusz Kupczak,Bruk-Bet,"40,0%","37,5%","41,7%",25,10,"40,0%",0,-,"0,0%",14
Karol Angielski,Piast Gliwice,"43,8%","0,0%","60,0%",23,10,"43,5%",2,"11,50","8,7%",10
Łukasz Sekulski,Jagiellonia,"0,0%","75,0%","33,3%",18,10,"55,6%",4,"4,50","22,2%",5
Jakub Piotrowski,Pogoń Szczecin,"62,5%","12,5%","0,0%",41,9,"22,0%",3,"13,67","7,3%",25
Arkadiusz Reca,Wisła Płock,"38,9%","0,0%","20,0%",34,9,"26,5%",3,"11,33","8,8%",24
Bartosz Rymaniak,Korona Kielce,"30,0%","20,0%","28,6%",34,9,"26,5%",3,"11,33","8,8%",31
Guilherme,Legia Warszawa,"30,0%","33,3%","0,0%",31,9,"29,0%",3,"10,33","9,7%",15
Martin Bukata,Piast Gliwice,"42,9%","27,3%",-,29,9,"31,0%",2,"14,50","6,9%",11
Konrad Michalak,Wisła Płock,"42,9%","28,6%",-,28,9,"32,1%",1,"28,00","3,6%",19
Dawid Kort,Pogoń Szczecin,"50,0%","46,7%","0,0%",20,9,"45,0%",0,-,"0,0%",16
Damian Zbozień,Arka Gdynia,"57,1%","42,9%","40,0%",19,9,"47,4%",3,"6,33","15,8%",30
Stojan Vranjes,Piast Gliwice,"54,5%","33,3%","100,0%",16,9,"56,3%",1,"16,00","6,3%",6
Armando Sadiku,Legia Warszawa,"22,2%","22,7%","9,1%",42,8,"19,0%",2,"21,00","4,8%",8
Sergei Zenjov,Cracovia,"27,8%","14,3%","20,0%",37,8,"21,6%",3,"12,33","8,1%",22
Mario Situm,Lech Poznań,"0,0%","29,2%","50,0%",29,8,"27,6%",2,"14,50","6,9%",32
Patryk Dziczek,Piast Gliwice,"20,0%","31,6%","25,0%",28,8,"28,6%",1,"28,00","3,6%",20
Adnan Kovacević,Korona Kielce,"100,0%","42,9%","26,7%",23,8,"34,8%",0,-,"0,0%",8
Kamil Jóźwiak,Lech Poznań,"0,0%","40,0%","100,0%",19,8,"42,1%",3,"6,33","15,8%",19
Milos Krasić,Lechia Gdańsk,"100,0%","26,7%","100,0%",19,8,"42,1%",1,"19,00","5,3%",19
Marcin Warcholak,Arka Gdynia,"42,1%",-,-,19,8,"42,1%",3,"6,33","15,8%",15
Artem Putiwcew,Bruk-Bet,"20,0%","50,0%","54,5%",18,8,"44,4%",1,"18,00","5,6%",4
Kamil Biliński,Wisła Płock,"50,0%","50,0%","33,3%",17,8,"47,1%",5,"3,40","29,4%",5
Patryk Tuszyński,Zagłębie Lubin,"80,0%","42,9%","20,0%",17,8,"47,1%",5,"3,40","29,4%",13
Rafał Wolski,Lechia Gdańsk,"33,3%","58,3%",-,15,8,"53,3%",1,"15,00","6,7%",20
Joao Oliveira,Lechia Gdańsk,"50,0%","85,7%",-,11,8,"72,7%",3,"3,67","27,3%",8
Igor Łasicki,Wisła Płock,"100,0%","50,0%","100,0%",10,8,"80,0%",2,"5,00","20,0%",4
Adrian Danek,Sandecja,"28,6%","22,7%","0,0%",30,7,"23,3%",3,"10,00","10,0%",11
Vladislavs Gutkovskis,Bruk-Bet,"27,3%","0,0%","44,4%",28,7,"25,0%",3,"9,33","10,7%",8
Milan Dimun,Cracovia,"28,6%","25,0%","50,0%",23,7,"30,4%",3,"7,67","13,0%",14
Thibault Moulin,Legia Warszawa,"28,6%","30,8%","50,0%",22,7,"31,8%",2,"11,00","9,1%",26
David Guba,Bruk-Bet,"0,0%","40,0%","50,0%",19,7,"36,8%",2,"9,50","10,5%",12
Mihai Radut,Lech Poznań,"100,0%","33,3%",-,19,7,"36,8%",0,-,"0,0%",13
Patrik Mraz,Sandecja,"50,0%","40,0%","0,0%",18,7,"38,9%",1,"18,00","5,6%",28
Bartosz Szeliga,Bruk-Bet,"28,6%","40,0%","75,0%",16,7,"43,8%",1,"16,00","6,3%",18
Emir Dilaver,Lech Poznań,-,"33,3%","54,5%",14,7,"50,0%",3,"4,67","21,4%",8
Ołeksij Chobłenko,Lech Poznań,"100,0%","28,6%","60,0%",14,7,"50,0%",2,"7,00","14,3%",3
Mateusz Wdowiak,Cracovia,"0,0%","50,0%","100,0%",13,7,"53,8%",1,"13,00","7,7%",11
Tom Hateley,Piast Gliwice,"0,0%","58,3%",-,13,7,"53,8%",1,"13,00","7,7%",15
Ołeksij Dytiatjew,Cracovia,-,"100,0%","60,0%",11,7,"63,6%",1,"11,00","9,1%",8
Piotr Wlazło,Jagiellonia,"40,0%","19,0%","0,0%",27,6,"22,2%",2,"13,50","7,4%",6
Dani Suarez,Górnik Zabrze,-,"50,0%","15,0%",26,6,"23,1%",4,"6,50","15,4%",7
Deniss Rakels,Lech/Cracovia,"50,0%","28,6%","0,0%",22,6,"27,3%",1,"22,00","4,5%",17
Jarosław Kubicki,Zagłębie Lubin,"0,0%","29,4%","50,0%",22,6,"27,3%",1,"22,00","4,5%",15
Michał Marcjanik,Arka Gdynia,"0,0%","37,5%","30,0%",22,6,"27,3%",2,"11,00","9,1%",7
Tomasz Jodłowiec,Legia/Piast,"44,4%","22,2%","0,0%",21,6,"28,6%",1,"21,00","4,8%",23
Gabriel Iancu,Bruk-Bet,"29,4%","0,0%","100,0%",21,6,"28,6%",2,"10,50","9,5%",15
Wołodymyr Kostewycz,Lech Poznań,"37,5%","0,0%",-,18,6,"33,3%",0,-,"0,0%",25
Bartosz Kwiecień,Korona/Jagiellonia,"50,0%","14,3%","50,0%",17,6,"35,3%",3,"5,67","17,6%",6
Nabil Aankour,Korona Kielce,"50,0%","44,4%","16,7%",17,6,"35,3%",2,"8,50","11,8%",12
Dariusz Formella,Pogoń Szczecin,"0,0%","42,9%","0,0%",17,6,"35,3%",2,"8,50","11,8%",9
Tibor Halilović,Wisła Kraków,"33,3%","35,7%",-,17,6,"35,3%",1,"17,00","5,9%",11
Dominik Nagy,Legia Warszawa,"38,5%","50,0%",-,15,6,"40,0%",1,"15,00","6,7%",9
Adam Marciniak,Arka Gdynia,"50,0%",-,"42,9%",13,6,"46,2%",2,"6,50","15,4%",17
Lubomir Guldan,Zagłębie Lubin,"33,3%","60,0%","66,7%",11,6,"54,5%",1,"11,00","9,1%",16
Marcin Urynowicz,Górnik Zabrze,"100,0%","50,0%","100,0%",10,6,"60,0%",3,"3,33","30,0%",7
Ivan Runje,Jagiellonia,"100,0%","14,3%","20,0%",23,5,"21,7%",1,"23,00","4,3%",5
Simeon Sławczew,Lechia Gdańsk,"100,0%","11,8%","0,0%",22,5,"22,7%",1,"22,00","4,5%",21
Gerard Badia,Piast Gliwice,"22,2%","33,3%",-,21,5,"23,8%",2,"10,50","9,5%",16
Igors Tarasovs,Śląsk Wrocław,"0,0%","25,0%","33,3%",20,5,"25,0%",1,"20,00","5,0%",10
Michal Piter-Bućko,Sandecja,"0,0%","33,3%","33,3%",19,5,"26,3%",3,"6,33","15,8%",9
Maciej Górski,Korona Kielce,"75,0%","18,2%","0,0%",18,5,"27,8%",2,"9,00","11,1%",5
Lukas Haraslin,Lechia Gdańsk,"40,0%","0,0%","100,0%",16,5,"31,3%",0,-,"0,0%",8
Adam Dźwigała,Wisła Płock,"66,7%","0,0%","37,5%",16,5,"31,3%",0,-,"0,0%",3
Alan Czerwiński,Zagłębie Lubin,"0,0%","27,3%","100,0%",15,5,"33,3%",1,"15,00","6,7%",38
Maciej Małkowski,Sandecja,"38,5%","0,0%",-,15,5,"33,3%",1,"15,00","6,7%",24
Mateusz Piątkowski,Wisła Płock,"50,0%","20,0%","100,0%",14,5,"35,7%",2,"7,00","14,3%",8
Dawid Sołdecki,Arka Gdynia,"0,0%","50,0%","50,0%",14,5,"35,7%",0,-,"0,0%",8
Grzegorz Baran,Sandecja,"40,0%","42,9%",-,12,5,"41,7%",0,-,"0,0%",6
Maciej Dąbrowski,Legia Warszawa,"0,0%","20,0%","60,0%",12,5,"41,7%",1,"12,00","8,3%",2
Zoran Arsenić,Wisła Kraków,"0,0%","66,7%","25,0%",12,5,"41,7%",3,"4,00","25,0%",14
Jakub Bartkowski,Wisła Kraków,"50,0%","66,7%","20,0%",12,5,"41,7%",2,"6,00","16,7%",10
Mateusz Mak,Piast Gliwice,"50,0%","50,0%","33,3%",11,5,"45,5%",2,"5,50","18,2%",13
Artur Jędrzejczyk,Legia Warszawa,"100,0%","100,0%","42,9%",10,5,"50,0%",0,-,"0,0%",11
Alan Uryga,Wisła Płock,-,"0,0%","62,5%",10,5,"50,0%",4,"2,50","40,0%",2
Enrique Esqueda,Arka Gdynia,-,"16,7%","100,0%",10,5,"50,0%",2,"5,00","20,0%",2
Cafu,Legia Warszawa,-,"50,0%","100,0%",9,5,"55,6%",2,"4,50","22,2%",6
Vlastimir Jovanović,Bruk-Bet,"25,0%","10,5%","20,0%",28,4,"14,3%",2,"14,00","7,1%",18
Michał Chrapek,Śląsk Wrocław,"20,0%","12,5%","100,0%",22,4,"18,2%",1,"22,00","4,5%",33
Patrik Misak,Bruk-Bet,"22,2%","20,0%","0,0%",21,4,"19,0%",0,-,"0,0%",17
Tomasz Hołota,Pogoń Szczecin,"0,0%","18,2%","33,3%",19,4,"21,1%",1,"19,00","5,3%",11
Rafał Murawski,Pogoń Szczecin,"33,3%","21,4%","0,0%",19,4,"21,1%",0,-,"0,0%",15
Dominik Furman,Wisła Płock,"60,0%","7,7%",-,18,4,"22,2%",2,"9,00","11,1%",54
Sasa Balić,Zagłębie Lubin,"33,3%",-,"21,4%",17,4,"23,5%",1,"17,00","5,9%",10
Krzysztof Mączyński,Legia Warszawa,"25,0%","25,0%",-,16,4,"25,0%",1,"16,00","6,3%",19
Sito Riera,Śląsk Wrocław,"50,0%","0,0%",-,16,4,"25,0%",0,-,"0,0%",26
Jakub Wójcicki,Cracovia/Jagiellonia,"20,0%","14,3%","50,0%",16,4,"25,0%",1,"16,00","6,3%",13
Marcin Listkowski,Pogoń Szczecin,"0,0%","25,0%","100,0%",15,4,"26,7%",0,-,"0,0%",5
Marcin Wasilewski,Wisła Kraków,"33,3%","0,0%","30,0%",15,4,"26,7%",1,"15,00","6,7%",1
Kamil Wojtkowski,Wisła Kraków,"66,7%","18,2%",-,14,4,"28,6%",1,"14,00","7,1%",8
Mateusz Cholewiak,Śląsk Wrocław,"20,0%","33,3%","100,0%",14,4,"28,6%",1,"14,00","7,1%",6
Nicki Bille Nielsen,Lech Poznań,"25,0%","33,3%","33,3%",13,4,"30,8%",1,"13,00","7,7%",3
Łukasz Kosakiewicz,Korona Kielce,-,"33,3%","25,0%",13,4,"30,8%",1,"13,00","7,7%",22
Jaroslav Mihalik,Cracovia,"50,0%","30,0%",-,12,4,"33,3%",0,-,"0,0%",21
Nikola Vujadinović,Lech Poznań,"0,0%",-,"36,4%",12,4,"33,3%",0,-,"0,0%",4
Łukasz Madej,Śląsk Wrocław,"28,6%","66,7%",-,10,4,"40,0%",1,"10,00","10,0%",21
Piotr Malarczyk,Cracovia/Korona,-,"50,0%","33,3%",10,4,"40,0%",1,"10,00","10,0%",8
Cornel Rapa,Pogoń Szczecin,-,"50,0%","25,0%",10,4,"40,0%",0,-,"0,0%",23
Ariel Borysiuk,Lechia Gdańsk,"100,0%","33,3%",-,10,4,"40,0%",0,-,"0,0%",3
William Remy,Legia Warszawa,"100,0%","25,0%","100,0%",10,4,"40,0%",1,"10,00","10,0%",2
Bartłomiej Dudzic,Sandecja,"50,0%","60,0%","0,0%",9,4,"44,4%",2,"4,50","22,2%",7
Joona Toivio,Bruk-Bet,"50,0%","40,0%","50,0%",9,4,"44,4%",1,"9,00","11,1%",1
David Niepsuj,Pogoń Szczecin,"100,0%","42,9%",-,8,4,"50,0%",1,"8,00","12,5%",11
Miroslav Radović,Legia Warszawa,-,"57,1%","0,0%",8,4,"50,0%",2,"4,00","25,0%",4
Jakub Czerwiński,Legia/Piast,-,"100,0%","40,0%",7,4,"57,1%",1,"7,00","14,3%",3
Kamil Słaby,Bruk-Bet,"50,0%","100,0%","50,0%",7,4,"57,1%",1,"7,00","14,3%",6
Sanel Kapidzić,Korona Kielce,"100,0%","75,0%","0,0%",7,4,"57,1%",2,"3,50","28,6%",1
Damian Byrtek,Wisła Płock,"100,0%",-,"60,0%",6,4,"66,7%",2,"3,00","33,3%",3
Romario Balde,Lechia Gdańsk,-,"66,7%",-,6,4,"66,7%",1,"6,00","16,7%",3
Adam Chrzanowski,Lechia Gdańsk,"66,7%",-,"66,7%",6,4,"66,7%",1,"6,00","16,7%",3
Adam Matuszczyk,Zagłębie Lubin,"11,1%","16,7%",-,21,3,"14,3%",0,-,"0,0%",12
Maciej Sadlok,Wisła Kraków,"8,3%","40,0%",-,17,3,"17,6%",0,-,"0,0%",28
Luka Zarandia,Arka Gdynia,"14,3%","33,3%",-,17,3,"17,6%",1,"17,00","5,9%",8
Marcin Cebula,Korona Kielce,"0,0%","20,0%",-,16,3,"18,8%",2,"8,00","12,5%",31
Tomasz Cywka,Wisła Kraków,"50,0%","14,3%",-,16,3,"18,8%",0,-,"0,0%",14
Damian Rasak,Wisła Płock,"0,0%","25,0%",-,16,3,"18,8%",0,-,"0,0%",7
Rafał Grzelak,Bruk-Bet,"15,4%","0,0%","50,0%",16,3,"18,8%",1,"16,00","6,3%",7
Patryk Małecki,Wisła Kraków,"25,0%","20,0%",-,14,3,"21,4%",1,"14,00","7,1%",17
Aleksandar Sedlar,Piast Gliwice,"0,0%","18,2%","50,0%",14,3,"21,4%",1,"14,00","7,1%",7
Michał Koj,Górnik Zabrze,"0,0%","0,0%","60,0%",13,3,"23,1%",3,"4,33","23,1%",17
Jakub Łukowski,Wisła Płock,-,"23,1%",-,13,3,"23,1%",0,-,"0,0%",6
Paweł Brożek,Wisła Kraków,"50,0%","12,5%","50,0%",12,3,"25,0%",1,"12,00","8,3%",8
Yannick Kakoko,Arka Gdynia,"50,0%","20,0%",-,12,3,"25,0%",1,"12,00","8,3%",2
Martin Konczkowski,Piast Gliwice,"50,0%","20,0%",-,12,3,"25,0%",1,"12,00","8,3%",32
Jakub Bartosz,Wisła K/Sandecja,"33,3%","16,7%","50,0%",11,3,"27,3%",1,"11,00","9,1%",11
Pol Llonch,Wisła Kraków,"0,0%","42,9%",-,10,3,"30,0%",0,-,"0,0%",21
Kamil Vacek,Śląsk Wrocław,"0,0%","42,9%",-,10,3,"30,0%",0,-,"0,0%",9
Zlatko Janjić,Korona Kielce,"66,7%","16,7%","0,0%",10,3,"30,0%",0,-,"0,0%",4
Jarosław Fojut,Pogoń Szczecin,"0,0%","0,0%","42,9%",9,3,"33,3%",0,-,"0,0%",1
Michael Gardawski,Korona Kielce,-,"25,0%","100,0%",9,3,"33,3%",0,-,"0,0%",11
Rafał Grzyb,Jagiellonia,"0,0%","50,0%","0,0%",8,3,"37,5%",0,-,"0,0%",7
Jarosław Jach,Zagłębie Lubin,"50,0%","0,0%","33,3%",8,3,"37,5%",1,"8,00","12,5%",3
Bartłomiej Kasprzak,Sandecja,"33,3%","33,3%","50,0%",8,3,"37,5%",0,-,"0,0%",10
Patryk Lipski,Lechia Gdańsk,"0,0%","60,0%","0,0%",8,3,"37,5%",1,"8,00","12,5%",29
Marko Vesović,Legia Warszawa,"50,0%","25,0%",-,8,3,"37,5%",1,"8,00","12,5%",17
Petar Brlek,Wisła Kraków,"0,0%","50,0%","50,0%",7,3,"42,9%",2,"3,50","28,6%",9
Siergiej Kriwiec,Arka Gdynia,-,"42,9%",-,7,3,"42,9%",2,"3,50","28,6%",8
Morten Rasmussen,Pogoń Szczecin,"100,0%","25,0%","50,0%",7,3,"42,9%",1,"7,00","14,3%",2
Mariusz Pawelec,Śląsk Wrocław,"50,0%","0,0%","100,0%",6,3,"50,0%",0,-,"0,0%",12
Fran Velez,Wisła Kraków,"0,0%","0,0%","75,0%",6,3,"50,0%",1,"6,00","16,7%",2
Tymoteusz Klupś,Lech Poznań,"100,0%","50,0%","0,0%",6,3,"50,0%",0,-,"0,0%",2
Krzysztof Janus,Zagłębie/Arka,-,"66,7%","50,0%",5,3,"60,0%",1,"5,00","20,0%",5
Nicolai Brock-Madsen,Cracovia,"0,0%","100,0%","50,0%",5,3,"60,0%",1,"5,00","20,0%",5
Florin Purece,Bruk-Bet,"60,0%",-,-,5,3,"60,0%",0,-,"0,0%",5
Paweł Stolarski,Lechia Gdańsk,-,"14,3%",-,14,2,"14,3%",0,-,"0,0%",16
Martin Miković,Bruk-Bet,"18,2%","0,0%",-,14,2,"14,3%",0,-,"0,0%",17
Guilherme Sitya,Jagiellonia,"9,1%","0,0%","100,0%",13,2,"15,4%",0,-,"0,0%",37
Andrij Bohdanow,Arka Gdynia,"0,0%","16,7%",-,13,2,"15,4%",1,"13,00","7,7%",16
Nicklas Barkroth,Lech Poznań,"20,0%","14,3%",-,12,2,"16,7%",0,-,"0,0%",12
Płamen Kraczunow,Sandecja,-,"100,0%","9,1%",12,2,"16,7%",0,-,"0,0%",1
Adam Deja,Cracovia,"0,0%","11,1%","50,0%",12,2,"16,7%",0,-,"0,0%",9
Lasza Dwali,Pogoń Szczecin,"50,0%","0,0%","12,5%",12,2,"16,7%",2,"6,00","16,7%",8
Maciej Ambrosiewicz,Górnik Zabrze,"0,0%","25,0%",-,11,2,"18,2%",0,-,"0,0%",8
Bartosz Kopacz,Zagłębie Lubin,"33,3%","0,0%","14,3%",11,2,"18,2%",0,-,"0,0%",5
Michal Siplak,Cracovia,"20,0%","0,0%","20,0%",11,2,"18,2%",1,"11,00","9,1%",8
