ZAWODNIK,KLUB,Strzały,G,xG,xG/s,G-xG,non-pen xG,non-pen xG/s,G - xG NON-PEN,KP,AST,xAST,KP-xAST
Bojan Nastić,Jagiellonia,5,1,"0,491","0,098","0,509","0,491","0,098","0,509",5,0,"0,675","-0,675"
Jakub Bartkowski,Pogoń Szczecin,10,1,"0,503","0,050","0,497","0,503","0,050","0,497",15,4,"2,135","1,865"
Conrado,Lechia Gdańsk,27,3,"2,511","0,093","0,489","2,511","0,093","0,489",21,3,"3,015","-0,015"
Bartosz Slisz,Legia Warszawa,36,2,"1,515","0,042","0,485","1,515","0,042","0,485",18,0,"0,991","-0,991"
Rafael Lopes,Legia Warszawa,27,4,"3,528","0,131","0,472","3,528","0,131","0,472",13,0,"0,722","-0,722"
Torgil Gjertsen,Wisła Płock,8,1,"0,535","0,067","0,465","0,535","0,067","0,465",8,0,"0,894","-0,894"
Damjan Bohar,Zagłębie Lubin,7,1,"0,568","0,081","0,432","0,568","0,081","0,432",6,2,"0,336","1,664"
Bartosz Kieliba,Warta Poznań,9,1,"0,590","0,066","0,410","0,590","0,066","0,410",5,0,"0,445","-0,445"
Sebastian Milewski,Piast Gliwice,14,2,"1,597","0,114","0,403","1,597","0,114","0,403",9,0,"1,033","-1,033"
Kostas Triantafyllopoulos,Pogoń Szczecin,10,1,"0,600","0,060","0,400","0,600","0,060","0,400",4,0,"0,198","-0,198"
Michał Koj,Górnik Zabrze,5,1,"0,615","0,123","0,385","0,615","0,123","0,385",0,0,"0,000","0,000"
Tomasz Makowski,Lechia Gdańsk,26,1,"0,638","0,025","0,362","0,638","0,025","0,362",9,2,"0,518","1,482"
Jakub Czerwiński,Piast Gliwice,9,1,"0,653","0,073","0,347","0,653","0,073","0,347",4,0,"0,106","-0,106"
Jaroslav Mihalik,Lechia Gdańsk,4,1,"0,661","0,165","0,339","0,661","0,165","0,339",5,0,"0,319","-0,319"
Mario Maloca,Lechia Gdańsk,4,1,"0,665","0,166","0,335","0,665","0,166","0,335",0,0,"0,000","0,000"
Krystian Getinger,Stal Mielec,40,2,"1,686","0,042","0,314","1,686","0,042","0,314",44,1,"6,269","-5,269"
David Jablonsky,Cracovia,4,1,"0,703","0,176","0,297","0,703","0,176","0,297",0,0,"0,000","0,000"
Maik Nawrocki,Warta Poznań,3,1,"0,714","0,238","0,286","0,714","0,238","0,286",0,0,"0,000","0,000"
Patryk Lipski,Piast Gliwice,15,1,"0,723","0,048","0,277","0,723","0,048","0,277",32,2,"2,806","-0,806"
Rafał Kurzawa,Pogoń Szczecin,15,2,"1,734","0,116","0,266","1,734","0,116","0,266",15,0,"2,110","-2,110"
Pedro Tiba,Lech Poznań,60,3,"2,750","0,046","0,250","2,750","0,046","0,250",50,6,"4,711","1,289"
Bartosz Salamon,Lech Poznań,7,1,"0,777","0,111","0,223","0,777","0,111","0,223",3,1,"0,395","0,605"
Filip Lesniak,Wisła Płock,18,1,"0,779","0,043","0,221","0,779","0,043","0,221",11,0,"0,848","-0,848"
Filip Starzyński,Zagłębie Lubin,43,7,"5,783","0,134","1,217","2,783","0,071","0,217",60,7,"4,191","2,809"
Jean Carlos Silva,Wisła Kraków,34,3,"2,535","0,075","0,465","1,785","0,054","0,215",23,1,"2,356","-1,356"
Aleksander Komor,Podbeskidzie,6,1,"0,806","0,134","0,194","0,806","0,134","0,194",2,0,"0,130","-0,130"
Josip Juranović,Legia Warszawa,24,1,"0,828","0,035","0,172","0,828","0,035","0,172",36,8,"4,569","3,431"
Karol Podliński,Zagłębie Lubin,17,2,"1,858","0,109","0,142","1,858","0,109","0,142",10,0,"0,612","-0,612"
Przemysław Wiśniewski,Górnik Zabrze,13,1,"0,861","0,066","0,139","0,861","0,066","0,139",7,1,"0,713","0,287"
Michał Jakóbowski,Warta Poznań,17,2,"1,882","0,111","0,118","1,882","0,111","0,118",14,2,"0,981","1,019"
Piotr Starzyński,Wisła Kraków,10,1,"0,889","0,089","0,111","0,889","0,089","0,111",6,0,"0,513","-0,513"
Grzegorz Tomasiewicz,Stal Mielec,26,3,"2,652","0,102","0,348","1,902","0,076","0,098",18,0,"1,019","-1,019"
Łukasz Burliga,Wisła Kraków,10,1,"0,905","0,091","0,095","0,905","0,091","0,095",19,2,"1,282","0,718"
Bartosz Kopacz,Lechia Gdańsk,13,2,"1,909","0,147","0,091","1,909","0,147","0,091",8,0,"0,529","-0,529"
Tomas Petrasek,Raków Częstochowa,15,2,"1,910","0,127","0,090","1,910","0,127","0,090",1,0,"0,152","-0,152"
Muhammad Awwad,Lech Poznań,12,1,"0,922","0,077","0,078","0,922","0,077","0,078",2,0,"0,140","-0,140"
Jakub Moder,Lech Poznań,35,4,"3,173","0,091","0,827","0,923","0,029","0,077",20,2,"1,688","0,312"
Filip Marchwiński,Lech Poznań,10,1,"0,935","0,093","0,065","0,935","0,093","0,065",12,0,"1,110","-1,110"
Jakub Kuzdra,Warta Poznań,16,1,"0,942","0,059","0,058","0,942","0,059","0,058",8,2,"0,642","1,358"
Florian Loshaj,Cracovia,29,2,"1,963","0,068","0,037","1,963","0,068","0,037",15,1,"1,515","-0,515"
Joseph Ceesay,Lechia Gdańsk,6,1,"0,985","0,164","0,015","0,985","0,164","0,015",9,1,"1,731","-0,731"
Yaw Yeboah,Wisła Kraków,64,4,"3,993","0,062","0,007","3,993","0,062","0,007",36,1,"2,795","-1,795"
Juan Camara,Jagiellonia,0,0,-,-,-,-,-,-,1,0,"0,023","-0,023"
Giannis Papanikolaou,Raków Częstochowa,0,0,-,-,-,-,-,-,2,0,"0,058","-0,058"
Michał Helik,Cracovia,0,0,-,-,-,-,-,-,1,0,"0,127","-0,127"
Wojciech Lisowski,Stal Mielec,0,0,-,-,-,-,-,-,1,0,"0,027","-0,027"
Maciej Pałaszewski,Śląsk Wrocław,0,0,-,-,-,-,-,-,6,0,"0,340","-0,340"
Aleksander Pawlak,Wisła Płock,0,0,-,-,-,-,-,-,1,1,"0,403","0,597"
Jakub Szumski,Raków Częstochowa,0,0,-,-,-,-,-,-,2,0,"0,336","-0,336"
Paweł Żuk,Wisła Płock,0,0,-,-,-,-,-,-,3,0,"0,152","-0,152"
Michael Gardawski,Cracovia,0,0,-,-,-,-,-,-,2,0,"0,188","-0,188"
Przemysław Kapek,Cracovia,0,0,-,-,-,-,-,-,1,0,"0,038","-0,038"
Damian Węglarz,Jagiellonia,0,0,-,-,-,-,-,-,1,0,"0,139","-0,139"
Konrad Gutowski,Podbeskidzie,0,0,-,-,-,-,-,-,1,0,"0,042","-0,042"
Luis Mata,Pogoń Szczecin,0,0,-,-,-,-,-,-,12,0,"1,199","-1,199"
Mateusz Winciersz,Piast Gliwice,0,0,-,-,-,-,-,-,1,0,"0,022","-0,022"
Kacper Rogoziński,Wisła Płock,0,0,-,-,-,-,-,-,1,1,"0,089","0,911"
Rodriguez Julio,Wisła Płock,0,0,-,-,-,-,-,-,1,0,"0,058","-0,058"
Sebastian Strózik,Cracovia,0,0,-,-,-,-,-,-,2,0,"0,577","-0,577"
Szymon Włodarczyk,Legia Warszawa,0,0,-,-,-,-,-,-,1,0,"0,023","-0,023"
Guillermo Cotugno,Śląsk Wrocław,0,0,-,-,-,-,-,-,1,0,"0,263","-0,263"
Krzysztof Kamiński,Wisła Płock,0,0,-,-,-,-,-,-,1,0,"0,012","-0,012"
Dusan Kuciak,Lechia Gdańsk,0,0,-,-,-,-,-,-,1,0,"0,064","-0,064"
Godfrey Stephen,Jagiellonia,0,0,-,-,-,-,-,-,1,0,"0,023","-0,023"
Tomasz Mokwa,Piast Gliwice,0,0,-,-,-,-,-,-,1,0,"0,210","-0,210"
Serafin Szota,Wisła Kraków,0,0,-,-,-,-,-,-,1,0,"0,038","-0,038"
Radosław Cierzniak,Legia Warszawa,0,0,-,-,-,-,-,-,1,0,"0,048","-0,048"
Mykoła Musolitin,Lechia Gdańsk,0,0,-,-,-,-,-,-,1,0,"0,100","-0,100"
Michał Mak,Wisła Kraków,1,0,"0,006","0,006","-0,006","0,006","0,006","-0,006",3,0,"0,505","-0,505"
Flavio Paixao,Lechia Gdańsk,75,12,"10,507","0,140","1,493","6,007","0,087","-0,007",30,3,"4,372","-1,372"
Daniel Ściślak,Górnik Zabrze,9,1,"1,007","0,112","-0,007","1,007","0,112","-0,007",14,0,"1,381","-1,381"
Adrian Benedyczak,Pogoń Szczecin,23,3,"3,007","0,131","-0,007","3,007","0,131","-0,007",7,0,"1,260","-1,260"
Łukasz Seweryn,Stal Mielec,1,0,"0,008","0,008","-0,008","0,008","0,008","-0,008",0,0,"0,000","0,000"
Marcin Szpakowski,Śląsk Wrocław,1,0,"0,010","0,010","-0,010","0,010","0,010","-0,010",0,0,"0,000","0,000"
Mikael Ishak,Lech Poznań,61,12,"11,511","0,189","0,489","10,011","0,170","-0,011",18,1,"2,526","-1,526"
Wojciech Hajda,Górnik Zabrze,1,0,"0,016","0,016","-0,016","0,016","0,016","-0,016",0,0,"0,000","0,000"
Maula Vikri Egy,Lechia Gdańsk,1,0,"0,019","0,019","-0,019","0,019","0,019","-0,019",0,0,"0,000","0,000"
Mateusz Sopoćko,Lechia Gdańsk,1,0,"0,022","0,022","-0,022","0,022","0,022","-0,022",2,0,"0,157","-0,157"
Michał Rostkowski,Górnik Zabrze,1,0,"0,023","0,023","-0,023","0,023","0,023","-0,023",4,1,"0,484","0,516"
Tomas Podstawski,Pogoń Szczecin,11,1,"1,024","0,093","-0,024","1,024","0,093","-0,024",7,1,"1,284","-0,284"
Konrad Gruszkowski,Wisła Kraków,1,0,"0,027","0,027","-0,027","0,027","0,027","-0,027",1,0,"0,027","-0,027"
Bartłomiej Kręcichwost,Podbeskidzie,1,0,"0,029","0,029","-0,029","0,029","0,029","-0,029",0,0,"0,000","0,000"
Mateusz Wyjadłowski,Jagiellonia,1,0,"0,034","0,034","-0,034","0,034","0,034","-0,034",0,0,"0,000","0,000"
Thiago,Cracovia,26,2,"2,034","0,078","-0,034","2,034","0,078","-0,034",18,0,"1,774","-1,774"
Mikkel Kirkeskov,Piast Gliwice,2,0,"0,035","0,017","-0,035","0,035","0,017","-0,035",9,0,"0,427","-0,427"
Kamil Jóźwiak,Lech Poznań,1,0,"0,036","0,036","-0,036","0,036","0,036","-0,036",3,0,"0,083","-0,083"
Mateusz Marzec,Podbeskidzie,12,1,"1,038","0,086","-0,038","1,038","0,086","-0,038",3,0,"0,068","-0,068"
Robert Janicki,Warta Poznań,14,1,"1,038","0,074","-0,038","1,038","0,074","-0,038",12,1,"0,703","0,297"
Ben Lederman,Raków Częstochowa,2,0,"0,038","0,019","-0,038","0,038","0,019","-0,038",4,0,"0,208","-0,208"
Souleymane Kone,Wisła Kraków,1,0,"0,043","0,043","-0,043","0,043","0,043","-0,043",0,0,"0,000","0,000"
Bartosz Bida,Jagiellonia,13,2,"2,043","0,157","-0,043","2,043","0,157","-0,043",7,0,"0,262","-0,262"
Bartosz Zynek,Wisła Płock,1,0,"0,044","0,044","-0,044","0,044","0,044","-0,044",0,0,"0,000","0,000"
Kornel Osyra,Podbeskidzie,1,0,"0,047","0,047","-0,047","0,047","0,047","-0,047",0,0,"0,000","0,000"
Adam Ryczkowski,Górnik Zabrze,1,0,"0,049","0,049","-0,049","0,049","0,049","-0,049",4,0,"0,453","-0,453"
Karlo Muhar,Lech Poznań,2,0,"0,050","0,025","-0,050","0,050","0,025","-0,050",1,0,"0,017","-0,017"
Kacper Smoliński,Pogoń Szczecin,16,1,"1,051","0,066","-0,051","1,051","0,066","-0,051",18,0,"1,232","-1,232"
Patryk Janasik,Śląsk Wrocław,22,1,"1,052","0,048","-0,052","1,052","0,048","-0,052",13,1,"0,770","0,230"
Kamil Wojtkowski,Jagiellonia,2,0,"0,053","0,026","-0,053","0,053","0,026","-0,053",3,0,"0,149","-0,149"
Vullnet Basha,Wisła Kraków,3,0,"0,053","0,018","-0,053","0,053","0,018","-0,053",2,1,"0,146","0,854"
Diego Ferraresso,Cracovia,2,0,"0,057","0,028","-0,057","0,057","0,028","-0,057",0,0,"0,000","0,000"
Kajetan Szmyt,Warta Poznań,1,0,"0,059","0,059","-0,059","0,059","0,059","-0,059",1,0,"0,019","-0,019"
Luka Susnjara,Wisła Płock,2,1,"1,062","0,531","-0,062","1,062","0,531","-0,062",0,0,"0,000","0,000"
Gracjan Jaroch,Warta Poznań,2,0,"0,065","0,032","-0,065","0,065","0,032","-0,065",3,0,"0,297","-0,297"
Maciej Urbańczyk,Stal Mielec,3,0,"0,065","0,022","-0,065","0,065","0,022","-0,065",4,0,"0,149","-0,149"
Bodvar Bodvarsson,Jagiellonia,1,0,"0,066","0,066","-0,066","0,066","0,066","-0,066",2,0,"0,153","-0,153"
Michał Kopczyński,Warta Poznań,1,0,"0,066","0,066","-0,066","0,066","0,066","-0,066",1,0,"0,058","-0,058"
Mateusz Spychała,Warta Poznań,1,0,"0,068","0,068","-0,068","0,068","0,068","-0,068",1,0,"0,027","-0,027"
Aron Johannsson,Lech Poznań,15,2,"2,069","0,138","-0,069","2,069","0,138","-0,069",4,0,"0,097","-0,097"
Sylwester Lusiusz,cracovia,4,0,"0,070","0,017","-0,070","0,070","0,017","-0,070",2,0,"0,255","-0,255"
Paweł Cibicki,Pogoń Szczecin,2,0,"0,071","0,035","-0,071","0,071","0,035","-0,071",2,0,"0,104","-0,104"
Dani Ramirez,Lech Poznań,83,6,"6,071","0,073","-0,071","6,071","0,073","-0,071",46,2,"3,115","-1,115"
Stefanos Evangelou,Górnik Zabrze,1,0,"0,072","0,072","-0,072","0,072","0,072","-0,072",3,0,"0,765","-0,765"
Kacper Sadłocha,Stal Mielec,2,0,"0,075","0,037","-0,075","0,075","0,037","-0,075",0,0,"0,000","0,000"
Artem Szabanow,Legia Warszawa,3,0,"0,078","0,026","-0,078","0,078","0,026","-0,078",2,0,"0,160","-0,160"
Norbert Wojtuszek,Górnik Zabrze,3,0,"0,080","0,027","-0,080","0,080","0,027","-0,080",7,1,"0,210","0,790"
Mateusz Cholewiak,Legia Warszawa,2,0,"0,081","0,041","-0,081","0,081","0,041","-0,081",1,0,"0,027","-0,027"
Jakub Łabojko,Śląsk Wrocław,2,0,"0,085","0,042","-0,085","0,085","0,042","-0,085",5,0,"0,205","-0,205"
Milan Obradović,Wisła Płock,3,0,"0,086","0,029","-0,086","0,086","0,029","-0,086",2,0,"0,160","-0,160"
Kris Twardek,Jagiellonia,3,0,"0,088","0,029","-0,088","0,088","0,029","-0,088",3,0,"0,232","-0,232"
Robert Gumny,Lech Poznań,2,0,"0,091","0,046","-0,091","0,091","0,046","-0,091",1,0,"0,100","-0,100"
Kacper Gach,Podbeskidzie,3,0,"0,092","0,031","-0,092","0,092","0,031","-0,092",7,0,"0,405","-0,405"
Hubert Adamczyk,Wisła Płock,3,0,"0,094","0,031","-0,094","0,094","0,031","-0,094",3,0,"0,141","-0,141"
Martin Pospisil,Jagiellonia,23,1,"1,099","0,048","-0,099","1,099","0,048","-0,099",50,6,"4,411","1,589"
Krystian Palacz,Lech Poznań,1,0,"0,100","0,100","-0,100","0,100","0,100","-0,100",0,0,"0,000","0,000"
Ivan Martin,Podbeskidzie,2,0,"0,105","0,052","-0,105","0,105","0,052","-0,105",1,0,"0,032","-0,032"
Piotr Malinowski,Raków Częstochowa,2,0,"0,109","0,054","-0,109","0,109","0,054","-0,109",3,0,"0,443","-0,443"
Szymon Lewkot,Śląsk Wrocław,4,0,"0,109","0,027","-0,109","0,109","0,027","-0,109",3,0,"0,095","-0,095"
Marcel Zylla,Śląsk Wrocław,15,1,"1,115","0,074","-0,115","1,115","0,074","-0,115",6,2,"0,366","1,634"
Mariusz Fornalczyk,Pogoń Szczecin,2,0,"0,116","0,058","-0,116","0,116","0,058","-0,116",1,0,"0,030","-0,030"
David Stec,Pogoń Szczecin,3,0,"0,118","0,039","-0,118","0,118","0,039","-0,118",3,0,"0,467","-0,467"
Antonio Milić,Lech Poznań,2,0,"0,120","0,060","-0,120","0,120","0,060","-0,120",2,0,"0,086","-0,086"
Wojciech Szumilas,Wisła Płock,3,0,"0,121","0,040","-0,121","0,121","0,040","-0,121",0,0,"0,000","0,000"
Sebastian Bergier,Śląsk Wrocław,1,0,"0,122","0,122","-0,122","0,122","0,122","-0,122",0,0,"0,000","0,000"
Mariusz Pawelec,Śląsk Wrocław,4,0,"0,123","0,031","-0,123","0,123","0,031","-0,123",3,0,"0,248","-0,248"
Martin Konczkowski,Piast Gliwice,4,0,"0,123","0,031","-0,123","0,123","0,031","-0,123",32,3,"2,832","0,168"
Łukasz Bejger,Śląsk Wrocław,2,0,"0,124","0,062","-0,124","0,124","0,062","-0,124",2,0,"0,074","-0,074"
Desley Ubbink,Podbeskidzie,13,2,"2,129","0,164","-0,129","2,129","0,164","-0,129",14,1,"1,241","-0,241"
Myrosław Mazur,Jagiellonia,2,0,"0,135","0,068","-0,135","0,135","0,068","-0,135",0,0,"0,000","0,000"
Jakub Rzeźniczak,Wisła Płock,10,1,"1,136","0,114","-0,136","1,136","0,114","-0,136",6,0,"0,391","-0,391"
Marko Roginić,Podbeskidzie,28,2,"2,138","0,076","-0,138","2,138","0,076","-0,138",18,3,"3,449","-0,449"
Nika Kaczarawa,Lech Poznań,3,1,"0,906","0,302","0,094","0,156","0,078","-0,156",2,0,"0,133","-0,133"
Mateusz Lewandowski,Wisła Płock,7,1,"1,164","0,166","-0,164","1,164","0,166","-0,164",1,0,"0,023","-0,023"
Joel Valencia,Legia Warszawa,6,0,"0,171","0,029","-0,171","0,171","0,029","-0,171",2,0,"0,196","-0,196"
