ZAWODNIK,KLUB,POZYCJA,MECZE w ESA,GOLE w ESA,gole/mecz,MECZE w KLUBIE,GOLE w KLUBIE,gole/mecz w klubie
Vullnet Basha,Wisła K.,Pomocnik,82,4,"0,049",82,4,"0,049"
Jakub Błaszczykowski,Wisła K.,Pomocnik,97,19,"0,196",97,19,"0,196"
Rafał Boguski,Wisła K.,Pomocnik,355,61,"0,172",335,57,"0,170"
Chuca,Wisła K.,Pomocnik,38,5,"0,132",38,5,"0,132"
Nikola Kuveljić,Wisła K.,Pomocnik,24,0,"0,000",24,0,"0,000"
David Mawutor,Wisła K.,Pomocnik,7,0,"0,000",7,0,"0,000"
Patryk Plewka,Wisła K.,Pomocnik,35,1,"0,029",35,1,"0,029"
Stefan Savić,Wisła K.,Pomocnik,27,2,"0,074",27,2,"0,074"
Jean Carlos Silva,Wisła K.,Pomocnik,39,3,"0,077",39,3,"0,077"
Piotr Starzyński,Wisła K.,Pomocnik,15,1,"0,067",15,1,"0,067"
Yaw Yeboah,Wisła K.,Pomocnik,28,4,"0,143",28,4,"0,143"
Gieorgij Żukow,Wisła K.,Pomocnik,38,0,"0,000",38,0,"0,000"
Aleksander Buksa,Wisła K.,Napastnik,38,4,"0,105",38,4,"0,105"
Felicio Brown Forbes,Wisła K.,Napastnik,69,20,"0,290",22,7,"0,318"
Zan Medved,Wisła K.,Napastnik,13,0,"0,000",13,0,"0,000"
Bartłomiej Gradecki,Wisła P.,Bramkarz,1,0,"0,000",1,0,"0,000"
Krzysztof Kamiński,Wisła P.,Bramkarz,73,0,"0,000",38,0,"0,000"
Bartłomiej Żynel,Wisła P.,Bramkarz,9,0,"0,000",9,0,"0,000"
Angel Garcia,Wisła P.,Obrońca,68,1,"0,015",68,1,"0,015"
Damian Michalski,Wisła P.,Obrońca,43,6,"0,140",43,6,"0,140"
Milan Obradović,Wisła P.,Obrońca,8,0,"0,000",8,0,"0,000"
Julio Rodriguez,Wisła P.,Obrońca,1,0,"0,000",1,0,"0,000"
Jakub Rzeźniczak,Wisła P.,Obrońca,322,15,"0,047",37,3,"0,081"
Bartłomiej Sielewski,Wisła P.,Obrońca,32,1,"0,031",32,1,"0,031"
Kristian Vallo,Wisła P.,Obrońca,8,0,"0,000",8,0,"0,000"
Alan Uryga,Wisła P.,Obrońca,210,16,"0,076",116,16,"0,138"
Damian Zbozień,Wisła P.,Obrońca,225,15,"0,067",18,0,"0,000"
Hubert Adamczyk,Wisła P.,Pomocnik,27,1,"0,037",21,1,"0,048"
Torgil Gjertsen,Wisła P.,Pomocnik,28,3,"0,107",28,3,"0,107"
Dawid Kocyła,Wisła P.,Pomocnik,38,7,"0,184",38,7,"0,184"
Dusan Lagator,Wisła P.,Pomocnik,26,3,"0,115",26,3,"0,115"
Filip Lesniak,Wisła P.,Pomocnik,26,1,"0,038",26,1,"0,038"
Giorgi Merebaszwili,Wisła P.,Pomocnik,131,21,"0,160",131,21,"0,160"
Aleksander Pawlak,Wisła P.,Pomocnik,6,0,"0,000",6,0,"0,000"
Piotr Pyrdoł,Wisła P.,Pomocnik,27,1,"0,037",15,0,"0,000"
Damian Rasak,Wisła P.,Pomocnik,109,3,"0,028",109,3,"0,028"
Kacper Rogoziński,Wisła P.,Pomocnik,2,0,"0,000",2,0,"0,000"
Luka Susnjara,Wisła P.,Pomocnik,4,1,"0,250",4,1,"0,250"
Wojciech Szumilas,Wisła P.,Pomocnik,3,0,"0,000",3,0,"0,000"
Mateusz Szwoch,Wisła P.,Pomocnik,159,24,"0,151",81,11,"0,136"
Piotr Tomasik,Wisła P.,Pomocnik,189,6,"0,032",40,3,"0,075"
Jakub Witek,Wisła P.,Pomocnik,1,0,"0,000",1,0,"0,000"
Rafał Wolski,Wisła P.,Pomocnik,116,18,"0,155",7,2,"0,286"
Bartosz Zynek,Wisła P.,Pomocnik,1,0,"0,000",1,0,"0,000"
Airam Cabrera,Wisła P.,Napastnik,60,30,"0,500",5,0,"0,000"
Mateusz Lewandowski,Wisła P.,Napastnik,16,1,"0,063",16,1,"0,063"
Cillian Sheridan,Wisła P.,Napastnik,82,19,"0,232",30,2,"0,067"
Patryk Tuszyński,Wisła P.,Napastnik,188,44,"0,234",25,6,"0,240"
Konrad Forenc,Zagłębie,Bramkarz,50,0,"0,000",50,0,"0,000"
Dominik Hładun,Zagłębie,Bramkarz,86,0,"0,000",86,0,"0,000"
Sasa Balić,Zagłębie,Obrońca,110,6,"0,055",110,6,"0,055"
Mateusz Bartolewski,Zagłębie,Obrońca,10,0,"0,000",10,0,"0,000"
Kacper Chodyna,Zagłębie,Obrońca,25,2,"0,080",25,2,"0,080"
