ZAWODNIK,KLUB,L % celn,P % celn,G % celn,R,R celn,% R celn,R Gole,Strzały/gol,GOL/R,KP
Kamil Biliński,Podbeskidzie,"44,4%","61,9%","28,6%",37,19,"51,4%",11,"3,36","29,7%",16
Łukasz Zwoliński,Lechia Gdańsk,"54,5%","35,0%","42,9%",45,19,"42,2%",6,"7,50","13,3%",5
Filip Starzyński,Zagłębie Lubin,"57,1%","40,0%","0,0%",43,18,"41,9%",7,"6,14","16,3%",60
Maciej Domański,Stal Mielec,"16,7%","41,0%","100,0%",46,18,"39,1%",6,"7,67","13,0%",32
Mateusz Kuzimski,Warta Poznań,"50,0%","32,1%","37,5%",48,18,"37,5%",7,"6,86","14,6%",16
Patryk Tuszyński,Wisła Płock,"0,0%","70,0%","62,5%",29,17,"58,6%",6,"4,83","20,7%",12
Vladislavs Gutkovskis,Raków Częstochowa,"40,0%","47,4%","28,6%",43,17,"39,5%",7,"6,14","16,3%",11
Bartosz Kapustka,Legia Warszawa,"31,3%","31,4%","33,3%",54,17,"31,5%",3,"18,00","5,6%",29
Patryk Szysz,Zagłębie Lubin,"31,8%","30,0%","0,0%",58,17,"29,3%",8,"7,25","13,8%",33
Alexander Gorgon,Pogoń Szczecin,"42,9%","45,0%","40,0%",37,16,"43,2%",5,"7,40","13,5%",26
Sebastian Kowalczyk,Pogoń Szczecin,"0,0%","42,4%","66,7%",39,16,"41,0%",3,"13,00","7,7%",20
Pelle van Amersfoort,Cracovia,"40,0%","40,0%","40,0%",40,16,"40,0%",6,"6,67","15,0%",49
Bartłomiej Pawłowski,Śląsk Wrocław,"22,2%","56,5%",-,32,15,"46,9%",3,"10,67","9,4%",15
Luquinhas,Legia Warszawa,"25,0%","38,2%","100,0%",39,15,"38,5%",3,"13,00","7,7%",41
Pettteri Forsell,Stal Mielec,"20,0%","46,4%","0,0%",39,15,"38,5%",1,"39,00","2,6%",25
Piotr Krawczyk,Górnik Zabrze,"57,9%","50,0%","66,7%",24,14,"58,3%",4,"6,00","16,7%",8
Sergiu Hanca,Cracovia,"50,0%","47,8%","0,0%",30,14,"46,7%",4,"7,50","13,3%",30
David Tijanić,Raków Częstochowa,"58,3%","26,3%","100,0%",33,14,"42,4%",6,"5,50","18,2%",21
Alan Uryga,Wisła Płock,"25,0%","40,0%","62,5%",25,13,"52,0%",5,"5,00","20,0%",11
Luka Zahović,Pogoń Szczecin,"71,4%","37,5%","40,0%",28,13,"46,4%",2,"14,00","7,1%",19
Jakub Moder,Lech Poznań,"57,1%","32,1%",-,35,13,"37,1%",4,"8,75","11,4%",20
Michał Żyro,Piast Gliwice,"37,5%","16,7%","42,9%",36,13,"36,1%",4,"9,00","11,1%",11
Krystian Getinger,Stal Mielec,"33,3%","33,3%","0,0%",40,13,"32,5%",2,"20,00","5,0%",44
Paweł Wszołek,Legia Warszawa,"36,4%","50,0%","40,0%",28,12,"42,9%",3,"9,33","10,7%",34
Taras Romanczuk,Jagiellonia,"38,1%","50,0%","22,2%",33,12,"36,4%",2,"16,50","6,1%",22
Marcin Cebula,Raków Częstochowa,"33,3%","56,3%","100,0%",20,11,"55,0%",6,"3,33","30,0%",33
Kristopher Vida,Piast Gliwice,"57,1%","35,3%","20,0%",29,11,"37,9%",1,"29,00","3,4%",17
Aleksandyr Kolew,Stal Mielec,"25,0%","25,0%","42,1%",31,11,"35,5%",2,"15,50","6,5%",8
Jean Carlos Silva,Wisła Kraków,"18,2%","40,9%","0,0%",34,11,"32,4%",3,"11,33","8,8%",23
Kamil Drygas,Pogoń Szczecin,"27,8%","20,0%","38,5%",36,11,"30,6%",3,"12,00","8,3%",19
Michał Rzuchowski,Podbeskidzie,"0,0%","35,7%","33,3%",36,11,"30,6%",1,"36,00","2,8%",17
Mateusz Mak,Stal Mielec,"33,3%","55,6%","80,0%",17,10,"58,8%",4,"4,25","23,5%",14
Makana Baku,Warta Poznań,"70,0%","37,5%","0,0%",19,10,"52,6%",6,"3,17","31,6%",14
Kacper Chodyna,Zagłębie Lubin,"100,0%","47,4%",-,20,10,"50,0%",2,"10,00","10,0%",20
Josip Juranović,Legia Warszawa,"20,0%","47,4%",-,24,10,"41,7%",1,"24,00","4,2%",36
Ivan Fiolić,Cracovia,"45,5%","0,0%",-,24,10,"41,7%",1,"24,00","4,2%",24
Marcin Flis,Stal Mielec,"44,4%","0,0%","33,3%",25,10,"40,0%",3,"8,33","12,0%",9
Thiago,Cracovia,"20,0%","47,4%","0,0%",26,10,"38,5%",2,"13,00","7,7%",18
Conrado,Lechia Gdańsk,"36,0%","100,0%","0,0%",27,10,"37,0%",3,"9,00","11,1%",21
Rafael Lopes,Legia Warszawa,"50,0%","22,2%","71,4%",27,10,"37,0%",4,"6,75","14,8%",13
Alasana Manneh,Górnik Zabrze,"34,6%","50,0%",-,28,10,"35,7%",3,"9,33","10,7%",11
Michał Skóraś,Lech Poznań,"25,0%","31,8%","100,0%",31,10,"32,3%",2,"15,50","6,5%",17
Mateusz Praszelik,Śląsk Wrocław,"66,7%","23,3%","25,0%",37,10,"27,0%",1,"37,00","2,7%",31
Patryk Sokołowski,Piast Gliwice,"20,0%","31,0%","0,0%",40,10,"25,0%",2,"20,00","5,0%",17
Desley Ubbink,Podbeskidzie,"100,0%","63,6%",-,13,9,"69,2%",2,"6,50","15,4%",14
Omran Haydary,Lechia Gdańsk,"40,0%","60,0%","100,0%",16,9,"56,3%",1,"16,00","6,3%",10
Maciej Makuszewski,Jagiellonia,"25,0%","61,5%",-,17,9,"52,9%",3,"5,67","17,6%",30
Lorenco Simić,Zagłębie Lubin,-,"33,3%","53,8%",19,9,"47,4%",4,"4,75","21,1%",9
Samuel Mraz,Zagłębie Lubin,"62,5%","25,0%","25,0%",24,9,"37,5%",2,"12,00","8,3%",10
Jan Grzesik,Warta Poznań,"33,3%","37,5%","25,0%",26,9,"34,6%",4,"6,50","15,4%",16
Kenny Saief,Lechia Gdańsk,"36,4%","25,0%","0,0%",27,9,"33,3%",0,-,"0,0%",15
Alex Sobczyk,Górnik Zabrze,"37,5%","33,3%","25,0%",27,9,"33,3%",3,"9,00","11,1%",14
Damian Rasak,Wisła Płock,"60,0%","25,0%","33,3%",27,9,"33,3%",3,"9,00","11,1%",7
Maciej Gajos,Lechia Gdańsk,"37,5%","17,4%","100,0%",33,9,"27,3%",2,"16,50","6,1%",23
Stefan Savić,Wisła Kraków,"0,0%","30,0%","0,0%",38,9,"23,7%",2,"19,00","5,3%",39
Jakub Kamiński,Lech Poznań,"0,0%","24,2%","100,0%",38,9,"23,7%",1,"38,00","2,6%",31
Paweł Tomczyk,Stal Mielec,"60,0%","80,0%","50,0%",12,8,"66,7%",1,"12,00","8,3%",3
Maciej Jankowski,Stal Mielec,"83,3%","25,0%","50,0%",14,8,"57,1%",2,"7,00","14,3%",7
Andreja Prokić,Stal Mielec,"40,0%","66,7%","66,7%",16,8,"50,0%",2,"8,00","12,5%",15
Fedor Cernych,Jagiellonia,"50,0%","25,0%","66,7%",21,8,"38,1%",1,"21,00","4,8%",12
Fran Tudor,Raków Częstochowa,"40,0%","25,0%","50,0%",23,8,"34,8%",1,"23,00","4,3%",32
Kacper Kozłowski K,Pogoń Szczecin,"25,0%","35,3%","50,0%",23,8,"34,8%",1,"23,00","4,3%",14
Dawid Kocyła,Wisła Płock,"0,0%","41,2%","0,0%",23,8,"34,8%",4,"5,75","17,4%",13
Adrian Benedyczak,Pogoń Szczecin,"40,0%","66,7%","16,7%",23,8,"34,8%",3,"7,67","13,0%",7
Maciej Sadlok,Wisła Kraków,"25,0%","50,0%","50,0%",26,8,"30,8%",2,"13,00","7,7%",27
Grzegorz Tomasiewicz,Stal Mielec,"100,0%","26,1%","50,0%",26,8,"30,8%",3,"8,67","11,5%",18
Richmond Boakye,Górnik Zabrze,"50,0%","23,5%","33,3%",27,8,"29,6%",0,-,"0,0%",9
Marko Roginić,Podbeskidzie,"0,0%","34,8%","0,0%",28,8,"28,6%",2,"14,00","7,1%",18
Florian Loshaj,Cracovia,"20,0%","50,0%","40,0%",29,8,"27,6%",2,"14,50","6,9%",15
Dominik Steczyk,Piast Gliwice,"23,1%","27,8%","0,0%",33,8,"24,2%",4,"8,25","12,1%",17
Marcos Alvarez,Cracovia,"0,0%","21,9%","100,0%",34,8,"23,5%",2,"17,00","5,9%",25
Filip Marchwiński,Lech Poznań,"100,0%","83,3%","33,3%",10,7,"70,0%",1,"10,00","10,0%",12
Krzysztof Mączyński,Śląsk Wrocław,"66,7%","50,0%",-,13,7,"53,8%",2,"6,50","15,4%",26
Sebastian Milewski,Piast Gliwice,"50,0%","45,5%","100,0%",14,7,"50,0%",2,"7,00","14,3%",9
Filip Piszczek,Cracovia,"33,3%","40,0%","57,1%",15,7,"46,7%",2,"7,50","13,3%",5
Michal Siplak,Cracovia,"46,7%","0,0%",-,17,7,"41,2%",2,"8,50","11,8%",14
Chuca,Wisła Kraków,"66,7%","30,8%","100,0%",17,7,"41,2%",3,"5,67","17,6%",13
Filip Lesniak,Wisła Płock,"46,2%","20,0%",-,18,7,"38,9%",1,"18,00","5,6%",11
Fabian Piasecki,Śląsk Wrocław,"66,7%","41,7%","0,0%",18,7,"38,9%",4,"4,50","22,2%",6
Petr Schwarz,Raków Częstochowa,"33,3%","37,5%",-,19,7,"36,8%",4,"4,75","21,1%",41
Mateusz Matras,Stal Mielec,"20,0%","50,0%","37,5%",19,7,"36,8%",1,"19,00","5,3%",21
Arkadiusz Pyrka,Piast Gliwice,"33,3%","33,3%","50,0%",19,7,"36,8%",0,-,"0,0%",9
Mateusz Czyżycki,Warta Poznań,"60,0%","25,0%",-,21,7,"33,3%",0,-,"0,0%",6
Martin Pospisil,Jagiellonia,"75,0%","22,2%","0,0%",23,7,"30,4%",1,"23,00","4,3%",50
Michal Frydrych,Wisła Kraków,"0,0%","45,5%","18,2%",23,7,"30,4%",3,"7,67","13,0%",7
Tiago Alves,Piast Gliwice,"20,0%","31,6%","0,0%",25,7,"28,0%",5,"5,00","20,0%",11
Patryk Kun,Raków Częstochowa,"31,8%","0,0%",-,27,7,"25,9%",1,"27,00","3,7%",22
Roman Prochazka,Górnik Zabrze,"0,0%","25,0%","50,0%",27,7,"25,9%",0,-,"0,0%",13
Kamil Piątkowski,Raków Częstochowa,"0,0%","31,3%","28,6%",28,7,"25,0%",2,"14,00","7,1%",10
Tymoteusz Puchacz,Lech Poznań,"25,9%","0,0%",-,29,7,"24,1%",1,"29,00","3,4%",25
Rok Sirk,Zagłębie Lubin,"0,0%","100,0%","0,0%",10,6,"60,0%",2,"5,00","20,0%",1
Dusan Lagator,Wisła Płock,"0,0%","80,0%","40,0%",11,6,"54,5%",3,"3,67","27,3%",7
Cillian Sheridan,Wisła Płock,"50,0%","66,7%","25,0%",12,6,"50,0%",0,-,"0,0%",7
Łukasz Zjawiński,Stal Mielec,"50,0%","57,1%","33,3%",12,6,"50,0%",1,"12,00","8,3%",5
Jakub Arak,Raków Częstochowa,"66,7%","66,7%","33,3%",12,6,"50,0%",1,"12,00","8,3%",3
Andrzej Niewulis,Raków Częstochowa,"0,0%","100,0%","37,5%",13,6,"46,2%",2,"6,50","15,4%",2
Bartłomiej Wdowik,Jagiellonia,"44,4%","50,0%","0,0%",14,6,"42,9%",2,"7,00","14,3%",19
Sasa Balić,Zagłębie Lubin,"25,0%","50,0%","50,0%",14,6,"42,9%",2,"7,00","14,3%",14
Serhij Miakuszko,Podbeskidzie,"100,0%","38,5%",-,14,6,"42,9%",0,-,"0,0%",2
Aron Johannsson,Lech Poznań,"60,0%","14,3%","66,7%",15,6,"40,0%",2,"7,50","13,3%",4
Sasa Zivec,Zagłębie Lubin,"25,0%","38,5%","0,0%",18,6,"33,3%",0,-,"0,0%",15
Dejan Drazić,Zagłębie Lubin,"16,7%","31,3%",-,22,6,"27,3%",1,"22,00","4,5%",18
Jarosław Kubicki,Lechia Gdańsk,"0,0%","31,6%",-,24,6,"25,0%",1,"24,00","4,2%",32
Bartosz Slisz,Legia Warszawa,"40,0%","11,1%","25,0%",36,6,"16,7%",2,"18,00","5,6%",18
Oskar Zawada,Raków Częstochowa,"100,0%","100,0%","50,0%",6,5,"83,3%",1,"6,00","16,7%",1
Jakub Błaszczykowski,Wisła Kraków,"50,0%","66,7%",-,8,5,"62,5%",4,"2,00","50,0%",12
Łukasz Burliga,Wisła Kraków,"100,0%","50,0%","25,0%",10,5,"50,0%",1,"10,00","10,0%",19
Jakub Bartkowski,Pogoń Szczecin,"100,0%","60,0%","25,0%",10,5,"50,0%",1,"10,00","10,0%",15
Piotr Celeban,Śląsk Wrocław,-,"33,3%","66,7%",10,5,"50,0%",2,"5,00","20,0%",8
Mateusz Wdowiak,Cracovia/Raków,"0,0%","66,7%","100,0%",10,5,"50,0%",0,-,"0,0%",4
Bogdan Tiru,Jagiellonia,-,"50,0%","50,0%",10,5,"50,0%",2,"5,00","20,0%",3
Adam Frączczak,Pogoń Szczecin,-,"0,0%","71,4%",12,5,"41,7%",3,"4,00","25,0%",4
Mateusz Marzec,Podbeskidzie,"100,0%","36,4%",-,12,5,"41,7%",1,"12,00","8,3%",3
Muhammad Awwad,Lech Poznań,"30,0%","100,0%",-,12,5,"41,7%",1,"12,00","8,3%",2
Bartosz Kopacz,Lechia Gdańsk,-,"25,0%","44,4%",13,5,"38,5%",2,"6,50","15,4%",8
Przemysław Wiśniewski,Górnik Zabrze,"100,0%","66,7%","22,2%",13,5,"38,5%",1,"13,00","7,7%",7
Karol Danielak,Podbeskidzie,"42,9%","28,6%",-,14,5,"35,7%",1,"14,00","7,1%",20
Robert Janicki,Warta Poznań,-,"33,3%","50,0%",14,5,"35,7%",1,"14,00","7,1%",12
Patryk Lipski,Piast Gliwice,"33,3%","33,3%",-,15,5,"33,3%",1,"15,00","6,7%",32
Rafał Kurzawa,Pogoń Szczecin,"38,5%","0,0%",-,15,5,"33,3%",2,"7,50","13,3%",15
Tomas Petrasek,Raków Częstochowa,-,"33,3%","33,3%",15,5,"33,3%",2,"7,50","13,3%",1
Kacper Smoliński,Pogoń Szczecin,"25,0%","25,0%","50,0%",16,5,"31,3%",1,"16,00","6,3%",18
Tomas Prikryl,Jagiellonia,"33,3%","28,6%",-,17,5,"29,4%",2,"8,50","11,8%",23
Angel Garcia,Wisła Płock,"30,0%",-,"28,6%",17,5,"29,4%",0,-,"0,0%",16
Michał Jakóbowski,Warta Poznań,"50,0%","12,5%","33,3%",17,5,"29,4%",2,"8,50","11,8%",14
Michał Nalepa II,Lechia Gdańsk,"0,0%","33,3%","40,0%",17,5,"29,4%",3,"5,67","17,6%",3
Waldemar Sobota,Śląsk Wrocław,"40,0%","23,1%","0,0%",19,5,"26,3%",1,"19,00","5,3%",26
Łukasz Poręba,Zagłębie Lubin,"0,0%","38,5%","0,0%",19,5,"26,3%",0,-,"0,0%",20
Jewgienij Baszkirow,Zagłębie Lubin,"0,0%","25,0%","50,0%",19,5,"26,3%",1,"19,00","5,3%",16
Karol Fila,Lechia Gdańsk,"50,0%","25,0%","0,0%",19,5,"26,3%",1,"19,00","5,3%",15
Przemysław Mystkowski,Jagiellonia,"42,9%","11,1%","33,3%",19,5,"26,3%",1,"19,00","5,3%",5
Jakub Hora,Podbeskidzie,"33,3%","20,0%","0,0%",22,5,"22,7%",2,"11,00","9,1%",15
Patryk Janasik,Śląsk Wrocław,"0,0%","21,1%","100,0%",22,5,"22,7%",1,"22,00","4,5%",13
Łukasz Trałka,Warta Poznań,"33,3%","22,2%","0,0%",24,5,"20,8%",3,"8,00","12,5%",38
Rivaldinho,Cracovia,"0,0%","10,5%","75,0%",26,5,"19,2%",1,"26,00","3,8%",11
Giannis Massouras,Górnik Zabrze,"0,0%","19,0%","33,3%",34,5,"14,7%",0,-,"0,0%",20
Jarosław Jach,Raków Częstochowa,"50,0%",-,"100,0%",5,4,"80,0%",0,-,"0,0%",2
Rafał Wolski,Wisła Płock,"0,0%","80,0%",-,6,4,"66,7%",2,"3,00","33,3%",4
Tomasz Nowak,Podbeskidzie,-,"57,1%",-,7,4,"57,1%",1,"7,00","14,3%",15
Bartosz Salamon,Lech Poznań,"0,0%","50,0%","100,0%",7,4,"57,1%",1,"7,00","14,3%",3
Dawid Szymonowicz,Cracovia,"0,0%","100,0%","25,0%",8,4,"50,0%",1,"8,00","12,5%",6
Daniel Ściślak,Górnik Zabrze,"0,0%","60,0%","100,0%",9,4,"44,4%",1,"9,00","11,1%",14
Kacper Kostorz,Legia Warszawa,"100,0%","20,0%","50,0%",9,4,"44,4%",1,"9,00","11,1%",3
Jakub Kiełb,Warta Poznań,"40,0%",-,-,10,4,"40,0%",1,"10,00","10,0%",17
Zan Medved,Wisła Kraków,-,"40,0%","40,0%",10,4,"40,0%",0,-,"0,0%",3
Jan Sykora,Lech Poznań,"36,4%","0,0%",-,13,4,"30,8%",0,-,"0,0%",19
Tomasz Jodłowiec,Piast Gliwice,"0,0%","33,3%","50,0%",13,4,"30,8%",0,-,"0,0%",12
Robert Dadok,Stal Mielec,"0,0%","27,3%","100,0%",13,4,"30,8%",0,-,"0,0%",9
Bartosz Bida,Jagiellonia,"0,0%","50,0%","25,0%",13,4,"30,8%",2,"6,50","15,4%",7
Dino Stiglec,Śląsk Wrocław,"27,3%","50,0%","0,0%",14,4,"28,6%",0,-,"0,0%",29
Erik Janza,Górnik Zabrze,"26,7%",-,-,15,4,"26,7%",0,-,"0,0%",59
Mariusz Rybicki,Warta Poznań,"23,1%","50,0%",-,15,4,"26,7%",1,"15,00","6,7%",4
Aleks Ławniczak,Warta Poznań,-,"0,0%","30,8%",16,4,"25,0%",1,"16,00","6,3%",3
Michał Chrapek,Piast Gliwice,"25,0%","16,7%","100,0%",17,4,"23,5%",1,"17,00","5,9%",25
Karol Podliński,Zagłębie Lubin,"0,0%","33,3%","14,3%",17,4,"23,5%",2,"8,50","11,8%",10
Jakub Holubek,Piast Gliwice,"23,5%","0,0%",-,18,4,"22,2%",0,-,"0,0%",19
Walerian Gwilia,Legia Warszawa,"50,0%","13,3%","25,0%",21,4,"19,0%",0,-,"0,0%",23
Krzysztof Kubica,Górnik Zabrze,"33,3%","0,0%","33,3%",22,4,"18,2%",0,-,"0,0%",13
Mateusz Kupczak,Warta Poznań,"18,2%","20,0%","0,0%",22,4,"18,2%",3,"7,33","13,6%",11
Tomasz Makowski,Lechia Gdańsk,"11,1%","17,6%",-,26,4,"15,4%",1,"26,00","3,8%",9
Maik Nawrocki,Warta Poznań,"100,0%",-,"100,0%",3,3,"100,0%",1,"3,00","33,3%",0
Dawid Abramowicz,Wisła Kraków,"100,0%","100,0%","0,0%",4,3,"75,0%",0,-,"0,0%",9
Patryk Plewka,Wisła Kraków,-,"60,0%",-,5,3,"60,0%",1,"5,00","20,0%",16
Paweł Olszewski,Jagiellonia,"100,0%","40,0%",-,6,3,"50,0%",0,-,"0,0%",9
Adam Zrelak,Warta Poznań,"50,0%","50,0%",-,6,3,"50,0%",0,-,"0,0%",6
Mateusz Wieteska,Legia Warszawa,-,"100,0%","40,0%",6,3,"50,0%",1,"6,00","16,7%",5
Kacper Skibicki,Legia Warszawa,"50,0%","33,3%","100,0%",6,3,"50,0%",1,"6,00","16,7%",4
Peter Wilson,Podbeskidzie,"100,0%","50,0%","0,0%",6,3,"50,0%",0,-,"0,0%",4
Rafał Boguski,Wisła Kraków,-,"60,0%","0,0%",6,3,"50,0%",2,"3,00","33,3%",3
Kamil Kruk,Zagłębie Lubin,"50,0%","100,0%","0,0%",6,3,"50,0%",2,"3,00","33,3%",1
Andre Martins,Legia Warszawa,-,"42,9%",-,7,3,"42,9%",0,-,"0,0%",28
Mathieu Scalet,Śląsk Wrocław,"33,3%","50,0%",-,7,3,"42,9%",2,"3,50","28,6%",11
Piotr Malarczyk,Piast Gliwice,-,"0,0%","60,0%",7,3,"42,9%",2,"3,50","28,6%",2
Rafał Janicki,Podbeskidzie,"33,3%","0,0%","100,0%",7,3,"42,9%",3,"2,33","42,9%",2
Mateusz Lewandowski,Wisła Płock,"50,0%","0,0%","50,0%",7,3,"42,9%",1,"7,00","14,3%",1
Patryk Zaucha,Cracovia,"50,0%","50,0%","0,0%",7,3,"42,9%",0,-,"0,0%",0
Torgil Gjertsen,Wisła Płock,"50,0%","33,3%",-,8,3,"37,5%",1,"8,00","12,5%",8
Rafał Figiel,Podbeskidzie,"0,0%","42,9%",-,9,3,"33,3%",0,-,"0,0%",5
Bartosz Kieliba,Warta Poznań,-,"0,0%","37,5%",9,3,"33,3%",1,"9,00","11,1%",5
Jakub Czerwiński,Piast Gliwice,-,"0,0%","50,0%",9,3,"33,3%",1,"9,00","11,1%",4
Ariel Borysiuk,Jagiellonia,"0,0%","37,5%",-,9,3,"33,3%",0,-,"0,0%",1
Jakub Rzeźniczak,Wisła Płock,"0,0%","33,3%","33,3%",10,3,"30,0%",1,"10,00","10,0%",6
Piotr Starzyński,Wisła Kraków,"100,0%","12,5%",-,10,3,"30,0%",1,"10,00","10,0%",6
Kostas Triantafyllopoulos,Pogoń Szczecin,"0,0%","66,7%","16,7%",10,3,"30,0%",1,"10,00","10,0%",4
Tomas Vestenicky,Cracovia,"33,3%","33,3%","0,0%",10,3,"30,0%",2,"5,00","20,0%",3
Jakub Kałuziński,Lechia Gdańsk,"33,3%","25,0%",-,10,3,"30,0%",0,-,"0,0%",2
Tomas Podstawski,Pogoń Szczecin,"0,0%","25,0%","40,0%",11,3,"27,3%",1,"11,00","9,1%",7
Łukasz Sierpina,Podbeskidzie,"30,0%","0,0%",-,12,3,"25,0%",0,-,"0,0%",22
Dawid Szot,Wisła Kraków,-,"25,0%",-,12,3,"25,0%",0,-,"0,0%",7
Jakub Bieroński,Podbeskidzie,"0,0%","37,5%","0,0%",12,3,"25,0%",0,-,"0,0%",4
Jose Kante,Legia Warszawa,"25,0%","66,7%","0,0%",12,3,"25,0%",0,-,"0,0%",2
Jakub Żubrowski,Zagłębie Lubin,-,"23,1%",-,13,3,"23,1%",0,-,"0,0%",20
Damian Michalski,Wisła Płock,"0,0%","0,0%","27,3%",13,3,"23,1%",2,"6,50","15,4%",2
Lubambo Musonda,Śląsk Wrocław,"42,9%","0,0%",-,14,3,"21,4%",0,-,"0,0%",15
Giorgi Merebaszwili,Wisła Płock,"100,0%","16,7%","0,0%",14,3,"21,4%",0,-,"0,0%",13
Maciej Żurawski,Pogoń Szczecin,"0,0%","37,5%","0,0%",14,3,"21,4%",1,"14,00","7,1%",9
Robert Ivanov,Warta Poznań,"20,0%","25,0%","20,0%",14,3,"21,4%",0,-,"0,0%",7
Jan Biegański,Lechia Gdańsk,"30,0%","0,0%",-,14,3,"21,4%",0,-,"0,0%",6
Gerard Badia,Piast Gliwice,"16,7%","0,0%","100,0%",15,3,"20,0%",0,-,"0,0%",28
Damian Dąbrowski,Pogoń Szczecin,"0,0%","15,0%",-,21,3,"14,3%",0,-,"0,0%",28
Maksymilian Sitek,Podbeskidzie,"40,0%","6,7%","0,0%",21,3,"14,3%",1,"21,00","4,8%",7
Igor Sapała,Raków Częstochowa,"0,0%","10,7%",-,30,3,"10,0%",0,-,"0,0%",15
Ben Lederman,Raków Częstochowa,"100,0%",-,-,2,2,"100,0%",0,-,"0,0%",4
Ivan Martin,Podbeskidzie,-,"100,0%",-,2,2,"100,0%",0,-,"0,0%",1
Myrosław Mazur,Jagiellonia,-,"100,0%","100,0%",2,2,"100,0%",0,-,"0,0%",0
Jonathan De Amo,Stal Mielec,"100,0%","0,0%","100,0%",3,2,"66,7%",2,"1,50","66,7%",8
Mario Rodriguez,Warta Poznań,-,"66,7%",-,3,2,"66,7%",1,"3,00","33,3%",7
Maciej Urbańczyk,Stal Mielec,-,"66,7%",-,3,2,"66,7%",0,-,"0,0%",4
David Stec,Pogoń Szczecin,"100,0%","50,0%",-,3,2,"66,7%",0,-,"0,0%",3
Nika Kaczarawa,Lech Poznań,-,"100,0%","0,0%",3,2,"66,7%",1,"3,00","33,3%",2
Milan Obradović,Wisła Płock,"100,0%",-,"50,0%",3,2,"66,7%",0,-,"0,0%",2
Konrad Wrzesiński,Jagiellonia,"100,0%","50,0%",-,3,2,"66,7%",0,-,"0,0%",2
Wiktor Długosz,Raków Częstochowa,-,"50,0%","100,0%",3,2,"66,7%",0,-,"0,0%",1
Aleksander Buksa,Wisła Kraków,"100,0%","50,0%",-,3,2,"66,7%",0,-,"0,0%",0
Wojciech Szumilas,Wisła Płock,"66,7%",-,-,3,2,"66,7%",0,-,"0,0%",0
Tomas Huk,Piast Gliwice,"100,0%","100,0%","0,0%",4,2,"50,0%",0,-,"0,0%",7
Jaroslav Mihalik,Lechia Gdańsk,-,"50,0%",-,4,2,"50,0%",1,"4,00","25,0%",5
Daniel Szelągowski,Raków Częstochowa,"50,0%","50,0%",-,4,2,"50,0%",1,"4,00","25,0%",4
Jakub Bednarczyk,Zagłębie Lubin,-,"50,0%",-,4,2,"50,0%",0,-,"0,0%",3
Sylwester Lusiusz,cracovia,"0,0%","66,7%",-,4,2,"50,0%",0,-,"0,0%",2
Żarko Udovicić,Lechia Gdańsk,"66,7%","0,0%","0,0%",5,2,"40,0%",2,"2,50","40,0%",16
Piotr Tomasik,Wisła Płock,"50,0%","0,0%",-,5,2,"40,0%",0,-,"0,0%",11
Daniel Bartl,Raków Częstochowa,-,"25,0%","100,0%",5,2,"40,0%",0,-,"0,0%",5
Bojan Nastić,Jagiellonia,"33,3%","50,0%",-,5,2,"40,0%",1,"5,00","20,0%",5
