ZAWODNIK,KLUB,L % celn,P % celn,G % celn,R,R celn,% R celn,R Gole,Strzały/gol,GOL/R,KP
Krzysztof Kubica,Górnik Zabrze,"0,0%","26,1%","52,6%",46,16,"34,8%",9,"5,11","19,6%",17
Maurides,Radomiak Radom,"30,3%","0,0%","33,3%",52,16,"30,8%",5,"10,40","9,6%",23
Ernest Muci,Legia Warszawa,"50,0%","52,6%","20,0%",32,15,"46,9%",4,"8,00","12,5%",7
Mateusz Praszelik,Śląsk Wrocław,"33,3%","41,4%","40,0%",37,15,"40,5%",4,"9,25","10,8%",11
Patryk Sokołowski,Piast/Legia,"20,0%","34,6%","31,3%",47,15,"31,9%",7,"6,71","14,9%",15
Damian Gąska,Radomiak Radom,"75,0%","28,6%","60,0%",37,14,"37,8%",5,"7,40","13,5%",32
Maksymilian Sitek,Stal Mielec,"38,9%","36,8%","0,0%",38,14,"36,8%",3,"12,67","7,9%",22
Krystian Getinger,Stal Mielec,"34,4%","25,0%","50,0%",42,14,"33,3%",2,"21,00","4,8%",41
Josue,Legia Warszawa,"28,6%",-,-,49,14,"28,6%",2,"24,50","4,1%",88
Leandro Rossi,Radomiak Radom,"24,4%","26,7%",-,56,14,"25,0%",4,"14,00","7,1%",44
Przemysław Banaszak,Górnik Łęczna,"50,0%","52,9%","60,0%",24,13,"54,2%",4,"6,00","16,7%",5
Caye Quinana,Śląsk Wrocław,"33,3%","55,6%","66,7%",24,13,"54,2%",2,"12,00","8,3%",7
Mateusz Grzybek,Bruk-Bet,"50,0%","63,6%","33,3%",24,13,"54,2%",2,"12,00","8,3%",25
Damian Warchoł,Wisła Płock,"62,5%","33,3%","55,6%",26,13,"50,0%",6,"4,33","23,1%",10
Kamil Drygas,Pogoń Szczecin,"31,6%","33,3%","71,4%",30,13,"43,3%",7,"4,29","23,3%",13
Rivaldinho,Cracovia,-,"42,9%","44,4%",30,13,"43,3%",1,"30,00","3,3%",4
Piotr Krawczyk,Górnik Zabrze,"34,8%","50,0%","50,0%",33,13,"39,4%",5,"6,60","15,2%",17
Michał Chrapek,Piast Gliwice,"20,0%","34,5%","50,0%",38,13,"34,2%",4,"9,50","10,5%",30
Dawid Abramowicz,Radomiak Radom,"33,3%","40,0%","27,3%",39,13,"33,3%",4,"9,75","10,3%",34
Jean Carlos Silva,Pogoń Szczecin,"40,0%","34,6%","25,0%",39,13,"33,3%",2,"19,50","5,1%",31
Mateusz Szwoch,Wisła Płock,"20,0%","32,4%",-,42,13,"31,0%",5,"8,40","11,9%",39
Maciej Gajos,Lechia Gdańsk,"22,2%","29,4%","33,3%",46,13,"28,3%",4,"11,50","8,7%",36
Rafael Lopes,Legia Warszawa,"0,0%","38,5%","77,8%",25,12,"48,0%",5,"5,00","20,0%",12
Tomas Prikryl,Jagiellonia,"33,3%","33,3%","60,0%",32,12,"37,5%",6,"5,33","18,8%",30
Adam Radwański,Bruk-Bet,"28,6%","38,1%","50,0%",32,12,"37,5%",2,"16,00","6,3%",23
Frank Castaneda,Warta Poznań,"14,3%","45,5%","33,3%",32,12,"37,5%",4,"8,00","12,5%",6
Łukasz Łakomy,Zagłębie Lubin,"34,5%","0,0%","100,0%",33,12,"36,4%",1,"33,00","3,0%",14
Adriel Ba Loua,Lech Poznań,"35,7%","28,6%","0,0%",36,12,"33,3%",1,"36,00","2,8%",30
Mateusz Cholewiak,Górnik Zabrze,"57,1%","50,0%","100,0%",18,11,"61,1%",1,"18,00","5,6%",11
Kristian Vallo,Wisła Płock,"54,5%","55,6%",-,20,11,"55,0%",1,"20,00","5,0%",21
Konrad Gruszkowski,Wisła Kraków,"58,3%","37,5%","50,0%",22,11,"50,0%",2,"11,00","9,1%",17
Rafał Kurzawa,Pogoń Szczecin,"50,0%","20,0%","50,0%",25,11,"44,0%",1,"25,00","4,0%",32
Robert Dadok,Górnik Zabrze,"66,7%","35,0%",-,26,11,"42,3%",3,"8,67","11,5%",22
Ben Lederman,Raków Częstochowa,"40,0%","33,3%","100,0%",27,11,"40,7%",1,"27,00","3,7%",21
Pedro Tiba,Lech Poznań,-,"32,3%","100,0%",32,11,"34,4%",2,"16,00","6,3%",17
Mahir Emreli,Legia Warszawa,"32,0%","50,0%","14,3%",36,11,"30,6%",2,"18,00","5,6%",13
Mathias Hebo Rasmussen,Cracovia,"100,0%","26,5%","100,0%",36,11,"30,6%",2,"18,00","5,6%",12
Serhij Krykun,Górnik Łęczna,"27,3%","24,0%","40,0%",41,11,"26,8%",0,-,"0,0%",14
Kamil Wilczek,Piast Gliwice,"57,1%","0,0%","33,3%",22,10,"45,5%",5,"4,40","22,7%",8
Bartosz Salamon,Lech Poznań,"50,0%","20,0%","58,3%",24,10,"41,7%",3,"8,00","12,5%",2
Maciej Rosołek,Legia Warszawa,"44,4%","30,8%","50,0%",26,10,"38,5%",3,"8,67","11,5%",10
Michał Skóraś,Lech Poznań,"80,0%","28,6%","0,0%",27,10,"37,0%",2,"13,50","7,4%",16
Jayson Papeau,Warta Poznań,"25,0%","33,3%","100,0%",28,10,"35,7%",0,-,"0,0%",16
Patryk Kun,Raków Częstochowa,"30,4%","33,3%","100,0%",30,10,"33,3%",1,"30,00","3,3%",33
Dawid Kownacki,Lech Poznań,"100,0%","21,1%","16,7%",30,10,"33,3%",4,"7,50","13,3%",14
Łukasz Poręba,Zagłębie Lubin,"0,0%","37,5%","100,0%",31,10,"32,3%",1,"31,00","3,2%",26
Michal Skvarka,Wisła Kraków,"0,0%","26,5%","50,0%",38,10,"26,3%",2,"19,00","5,3%",28
Kacper Chodyna,Zagłębie Lubin,"42,9%","21,2%","0,0%",41,10,"24,4%",4,"10,25","9,8%",40
Paweł Wszołek,Legia Warszawa,"66,7%","55,6%","0,0%",18,9,"50,0%",6,"3,00","33,3%",22
Marko Kolar,Wisła Płock,"25,0%","50,0%","66,7%",19,9,"47,4%",4,"4,75","21,1%",20
Jarosław Kubicki,Lechia Gdańsk,"100,0%","28,6%","100,0%",19,9,"47,4%",2,"9,50","10,5%",11
Miguel Luis,Raków/Warta,"0,0%","47,4%",-,20,9,"45,0%",3,"6,67","15,0%",9
Luis Fernandez,Wisła Kraków,"20,0%","53,8%","50,0%",20,9,"45,0%",3,"6,67","15,0%",9
Maciej Żurawski,Pogoń Szczecin,"0,0%","50,0%","50,0%",21,9,"42,9%",3,"7,00","14,3%",5
Jakub Myszor,Cracovia,"16,7%","44,4%",-,24,9,"37,5%",3,"8,00","12,5%",22
Mateusz Kuzimski,Warta Poznań,"28,6%","35,3%","25,0%",28,9,"32,1%",1,"28,00","3,6%",5
Michał Rakoczy,Cracovia,"37,5%","30,0%",-,28,9,"32,1%",3,"9,33","10,7%",9
Kristopher Vida,Piast Gliwice,"14,3%","33,3%","66,7%",28,9,"32,1%",3,"9,33","10,7%",17
Dani Ramirez,Lech Poznań,"36,0%","0,0%","0,0%",30,9,"30,0%",1,"30,00","3,3%",22
Piotr Parzyszek,Pogoń Szczecin,"27,3%","20,0%","36,4%",32,9,"28,1%",1,"32,00","3,1%",10
Jan Kliment,Wisła Kraków,"11,1%","27,8%","50,0%",33,9,"27,3%",2,"16,50","6,1%",17
Sergiu Hanca,Cracovia,"28,6%","23,1%","100,0%",34,9,"26,5%",4,"8,50","11,8%",57
Marcin Cebula,Raków Częstochowa,"100,0%","70,0%",-,11,8,"72,7%",3,"3,67","27,3%",10
Oskar Zawada,Stal Mielec,"14,3%","66,7%","100,0%",16,8,"50,0%",3,"5,33","18,8%",3
Jakub Bartkowski,Pogoń Szczecin,"28,6%","42,9%","100,0%",17,8,"47,1%",1,"17,00","5,9%",27
Bartłomiej Wdowik,Jagiellonia,"60,0%","20,0%","50,0%",17,8,"47,1%",0,-,"0,0%",10
Kacper Kozłowski,Pogoń Szczecin,"50,0%","36,4%","100,0%",18,8,"44,4%",3,"6,00","16,7%",9
Damian Michalski,Wisła Płock,"50,0%","25,0%","50,0%",18,8,"44,4%",1,"18,00","5,6%",7
Andrzej Trubeha,Jagiellonia,"50,0%","57,1%","20,0%",18,8,"44,4%",1,"18,00","5,6%",6
Stefan Savić,Wisła Kraków,"20,0%","50,0%",-,19,8,"42,1%",3,"6,33","15,8%",23
Bassekou Diabate,Lechia Gdańsk,"50,0%","42,9%","20,0%",21,8,"38,1%",0,-,"0,0%",9
Raphael Rossi,Radomiak Radom,"0,0%","22,2%","60,0%",21,8,"38,1%",2,"10,50","9,5%",6
Cornel Rapa,Cracovia,"25,0%","36,4%","42,9%",22,8,"36,4%",3,"7,33","13,6%",34
Jason Lokilo,Górnik Łęczna,"36,8%","33,3%",-,22,8,"36,4%",2,"11,00","9,1%",24
Zdenek Ondrasek,Wisła Kraków,"60,0%","50,0%","18,2%",22,8,"36,4%",2,"11,00","9,1%",11
Tomas Petrasek,Raków Częstochowa,"100,0%","66,7%","26,3%",23,8,"34,8%",2,"11,50","8,7%",2
Damian Rasak,Wisła Płock,"0,0%","35,3%","66,7%",23,8,"34,8%",3,"7,67","13,0%",11
Marco Terrazzino,Lechia Gdańsk,"25,0%","35,7%","100,0%",23,8,"34,8%",4,"5,75","17,4%",20
Kamil Pestka,Cracovia,"27,8%","40,0%","100,0%",24,8,"33,3%",4,"6,00","16,7%",16
Jesper Karlstrom,Lech Poznań,"14,3%","20,7%","100,0%",37,8,"21,6%",1,"37,00","2,7%",32
Filip Piszczek,Cracovia/Jagiellonia,"100,0%","0,0%","85,7%",10,7,"70,0%",2,"5,00","20,0%",5
Jakub Rzeźniczak,Wisła Płock,"100,0%","33,3%","66,7%",13,7,"53,8%",0,-,"0,0%",3
Aschraf El Mahdioui,Wisła Kraków,"20,0%","66,7%","0,0%",15,7,"46,7%",1,"15,00","6,7%",22
Fabio Sturgeon,Raków Częstochowa,"33,3%","50,0%",-,15,7,"46,7%",1,"15,00","6,7%",17
Fran Tudor,Raków Częstochowa,"100,0%","30,0%","75,0%",15,7,"46,7%",2,"7,50","13,3%",37
Martin Dolezal,Zagłębie Lubin,"100,0%","40,0%","44,4%",15,7,"46,7%",4,"3,75","26,7%",5
Jan Grzesik,Warta Poznań,"25,0%","40,0%","100,0%",16,7,"43,8%",3,"5,33","18,8%",27
Koki Hinokio,Stal/Zagłębie,"50,0%","42,9%",-,16,7,"43,8%",1,"16,00","6,3%",7
Mario Rondon,Radomiak Radom,"40,0%","37,5%","50,0%",17,7,"41,2%",1,"17,00","5,9%",9
Antonio Milić,Lech Poznań,"37,5%","50,0%","37,5%",18,7,"38,9%",4,"4,50","22,2%",6
Walerian Gwilia,Raków Częstochowa,"33,3%","33,3%",-,21,7,"33,3%",0,-,"0,0%",15
Luquinhas,Legia Warszawa,-,"35,0%","0,0%",21,7,"33,3%",0,-,"0,0%",13
Felicio Brown Forbes,Wisła Kraków,"33,3%","15,4%","60,0%",24,7,"29,2%",2,"12,00","8,3%",13
Kacper Śpiewak,Bruk-Bet,"25,0%","26,7%","33,3%",25,7,"28,0%",2,"12,50","8,0%",2
Petr Schwarz,Śląsk Wrocław,"20,0%","22,7%","100,0%",28,7,"25,0%",2,"14,00","7,1%",24
Damian Dąbrowski,Pogoń Szczecin,"50,0%","41,7%",-,14,6,"42,9%",1,"14,00","7,1%",39
Sebastian Musiolik,Raków Częstochowa,"40,0%","0,0%","50,0%",15,6,"40,0%",3,"5,00","20,0%",5
Kacper Sezonienko,Lechia Gdańsk,"50,0%","40,0%","16,7%",17,6,"35,3%",1,"17,00","5,9%",12
Marcos Alvarez,Cracovia,"0,0%","35,3%",-,18,6,"33,3%",1,"18,00","5,6%",14
Kostas Triantafyllopoulos,Pogoń Szczecin,-,"33,3%","33,3%",18,6,"33,3%",3,"6,00","16,7%",8
Michał Żyro,Piast/Jagiellonia,"41,7%","33,3%","0,0%",18,6,"33,3%",1,"18,00","5,6%",8
Diego Carioca,Jagiellonia,"50,0%","33,3%","0,0%",18,6,"33,3%",2,"9,00","11,1%",1
Milan Corryn,Warta Poznań,"25,0%","30,8%","50,0%",19,6,"31,6%",2,"9,50","10,5%",13
Dor Hugi,Wisła Kraków,-,"31,6%","0,0%",20,6,"30,0%",1,"20,00","5,0%",19
Nika Kwekweskiri,Lech Poznań,-,"31,6%","0,0%",20,6,"30,0%",2,"10,00","10,0%",22
Bojan Nastić,Jagiellonia,"18,2%","50,0%","0,0%",20,6,"30,0%",0,-,"0,0%",35
Pedro Rebocho,Lech Poznań,"37,5%","0,0%","0,0%",20,6,"30,0%",1,"20,00","5,0%",35
Janusz Gol,Górnik Łęczna,"22,2%","25,0%","50,0%",21,6,"28,6%",4,"5,25","19,0%",27
Mateusz Kupczak,Warta Poznań,"14,3%","33,3%","25,0%",23,6,"26,1%",1,"23,00","4,3%",11
Marko Poletanović,Raków/Wisła K,"50,0%","23,8%",-,23,6,"26,1%",1,"23,00","4,3%",21
Wahan Biczachczjan,Pogoń Szczecin,"31,6%","0,0%",-,25,6,"24,0%",2,"12,50","8,0%",8
Mateusz Bartolewski,Zagłębie Lubin,"30,8%","50,0%","0,0%",26,6,"23,1%",2,"13,00","7,7%",16
Bartosz Slisz,Legia Warszawa,"0,0%","24,0%","0,0%",28,6,"21,4%",1,"28,00","3,6%",19
Mateusz Radecki,Radomiak Radom,"33,3%","16,7%","12,5%",29,6,"20,7%",1,"29,00","3,4%",10
Michal Hubinek,Bruk-Bet,"14,3%","21,7%",-,30,6,"20,0%",1,"30,00","3,3%",20
Mateusz Wieteska,Legia Warszawa,"0,0%","0,0%","31,6%",32,6,"18,8%",4,"8,00","12,5%",10
Michal Frydrych,Wisła Kraków,"0,0%","14,3%","25,0%",33,6,"18,2%",4,"8,25","12,1%",10
Michał Kopczyński,Warta Poznań,-,"50,0%","100,0%",7,5,"71,4%",2,"3,50","28,6%",8
Filip Balaj,Cracovia,-,"20,0%","80,0%",10,5,"50,0%",1,"10,00","10,0%",3
Mateusz Czyżycki,Warta Poznań,"100,0%","44,4%",-,10,5,"50,0%",1,"10,00","10,0%",5
Filip Lesniak,Wisła Płock,"33,3%","50,0%","100,0%",10,5,"50,0%",1,"10,00","10,0%",3
Adrian Łyszczarz,Śląsk Wrocław,"50,0%","37,5%","100,0%",11,5,"45,5%",5,"2,20","45,5%",2
Israel Puerto,Jagiellonia,-,"75,0%","28,6%",11,5,"45,5%",3,"3,67","27,3%",7
Mattias Johansson,Legia Warszawa,"50,0%","16,7%","100,0%",12,5,"41,7%",1,"12,00","8,3%",10
Radosław Murawski,Lech Poznań,"100,0%","27,3%",-,13,5,"38,5%",1,"13,00","7,7%",9
Marcel Wędrychowski,Górnik Łęczna,"33,3%","100,0%",-,13,5,"38,5%",1,"13,00","7,7%",14
Marcel Zylla,Śląsk Wrocław,"50,0%","36,4%",-,13,5,"38,5%",1,"13,00","7,7%",5
Maciej Domański,Stal Mielec,"100,0%","27,3%",-,13,5,"38,5%",1,"13,00","7,7%",26
Heorhij Citaiszwili,Wisła Kraków,"36,4%","50,0%",-,13,5,"38,5%",1,"13,00","7,7%",16
Jakub Kałuziński,Lechia Gdańsk,"16,7%","42,9%","100,0%",14,5,"35,7%",1,"14,00","7,1%",14
Michał Nalepa II,Lechia Gdańsk,"100,0%","33,3%","25,0%",15,5,"33,3%",1,"15,00","6,7%",3
Mateusz Młyński,Wisła Kraków,"0,0%","35,7%","0,0%",16,5,"31,3%",1,"16,00","6,3%",11
Rafał Janicki,Górnik Zabrze,"50,0%","20,0%","30,0%",17,5,"29,4%",2,"8,50","11,8%",3
Mateusz Żyro,Stal Mielec,"0,0%","16,7%","44,4%",17,5,"29,4%",2,"8,50","11,8%",18
Dariusz Pawłowski,Górnik Zabrze,"14,3%","40,0%",-,17,5,"29,4%",1,"17,00","5,9%",6
Bartosz Bida,Jagiellonia,"0,0%","36,4%","25,0%",18,5,"27,8%",3,"6,00","16,7%",7
Karol Knap,Cracovia,"23,1%","25,0%","100,0%",18,5,"27,8%",0,-,"0,0%",10
Matej Rodin,Cracovia,"0,0%","0,0%","33,3%",18,5,"27,8%",2,"9,00","11,1%",9
Sasa Zivec,Zagłębie Lubin,"25,0%","23,5%","0,0%",22,5,"22,7%",2,"11,00","9,1%",8
Martin Pospisil,Jagiellonia,"12,5%","26,7%",-,23,5,"21,7%",0,-,"0,0%",55
Filipe Nascimento,Radomiak Radom,"20,0%","25,0%",-,24,5,"20,8%",0,-,"0,0%",30
Marc Gual,Jagiellonia,"20,0%","21,4%",-,24,5,"20,8%",3,"8,00","12,5%",5
Otar Kakabadze,Cracovia,"25,0%","15,0%",-,28,5,"17,9%",3,"9,33","10,7%",19
Ihor Charatin,Legia Warszawa,-,"80,0%","0,0%",6,4,"66,7%",1,"6,00","16,7%",7
Andre Martins,Legia Warszawa,"50,0%","66,7%","100,0%",6,4,"66,7%",0,-,"0,0%",12
Dominik Sokół,Radomiak Radom,-,"75,0%","33,3%",7,4,"57,1%",1,"7,00","14,3%",4
Daniel Dziwniel,Górnik Łęczna,"57,1%","0,0%",-,8,4,"50,0%",0,-,"0,0%",12
Maik Nawrocki,Legia Warszawa,"100,0%","100,0%","33,3%",8,4,"50,0%",1,"8,00","12,5%",3
Lindsay Rose,Legia Warszawa,"0,0%","60,0%","100,0%",8,4,"50,0%",0,-,"0,0%",4
Christian Clemens,Lechia Gdańsk,"0,0%","57,1%",-,8,4,"50,0%",1,"8,00","12,5%",6
Higinio Marin,Górnik Zabrze,"100,0%","50,0%","0,0%",8,4,"50,0%",3,"2,67","37,5%",1
Błażej Augustyn,Jagiellonia,-,"0,0%","66,7%",9,4,"44,4%",1,"9,00","11,1%",1
Arkadiusz Pyrka,Piast Gliwice,"25,0%","50,0%","100,0%",9,4,"44,4%",2,"4,50","22,2%",11
Mariusz Malec,Pogoń Szczecin,"33,3%",-,"50,0%",10,4,"40,0%",0,-,"0,0%",6
Mariusz Fornalczyk,Pogoń Szczecin,"0,0%","40,0%","0,0%",12,4,"33,3%",1,"12,00","8,3%",7
Przemysław Mystkowski,Jagiellonia,"0,0%","40,0%",-,12,4,"33,3%",1,"12,00","8,3%",10
Dominik Furman,Wisła Płock,"50,0%","20,0%","100,0%",13,4,"30,8%",0,-,"0,0%",26
Tomas Poznar,Bruk-Bet,"0,0%","40,0%","33,3%",13,4,"30,8%",2,"6,50","15,4%",9
Tiago Alves,Piast Gliwice,"25,0%","33,3%","0,0%",14,4,"28,6%",0,-,"0,0%",3
Wiktor Biedrzycki,Bruk-Bet,-,"42,9%","14,3%",14,4,"28,6%",1,"14,00","7,1%",3
Mateusz Matras,Stal Mielec,"0,0%","66,7%","22,2%",14,4,"28,6%",1,"14,00","7,1%",12
Piotr Tomasik,Wisła Płock,"27,3%","50,0%","0,0%",14,4,"28,6%",2,"7,00","14,3%",27
Elvis Manu,Wisła Kraków,"33,3%","27,3%",-,14,4,"28,6%",2,"7,00","14,3%",7
Szymon Czyż,Warta/Raków,"42,9%","12,5%",-,15,4,"26,7%",0,-,"0,0%",9
Robert Ivanov,Warta Poznań,-,"18,2%","50,0%",15,4,"26,7%",1,"15,00","6,7%",14
Michał Nalepa I,Jagiellonia,"33,3%","25,0%",-,15,4,"26,7%",0,-,"0,0%",12
Erik Janza,Górnik Zabrze,"20,0%",-,"100,0%",16,4,"25,0%",1,"16,00","6,3%",56
Alex Serrano,Górnik Łęczna,"27,3%","0,0%","33,3%",16,4,"25,0%",0,-,"0,0%",12
Jakub Czerwiński,Piast Gliwice,"0,0%","25,0%","25,0%",17,4,"23,5%",3,"5,67","17,6%",2
Damian Jakubik,Radomiak Radom,-,"20,0%","50,0%",17,4,"23,5%",0,-,"0,0%",15
Sebastian Bonecki,Bruk-Bet,-,"25,0%","0,0%",18,4,"22,2%",0,-,"0,0%",9
Dominik Steczyk,Piast/Stal,"0,0%","26,7%","0,0%",19,4,"21,1%",1,"19,00","5,3%",6
Marcin Flis,Stal Mielec,"23,1%","0,0%","20,0%",20,4,"20,0%",1,"20,00","5,0%",9
Conrado,Lechia Gdańsk,"21,1%","0,0%",-,21,4,"19,0%",1,"21,00","4,8%",26
Krzysztof Mączyński,Śląsk Wrocław,"50,0%","11,8%",-,21,4,"19,0%",0,-,"0,0%",23
Samuel Stefanik,Bruk-Bet,"20,0%","20,0%","0,0%",21,4,"19,0%",1,"21,00","4,8%",37
Filip Mladenović,Legia Warszawa,"22,2%","0,0%",-,22,4,"18,2%",0,-,"0,0%",24
Michał Mak,Górnik Łęczna,"7,1%","33,3%","0,0%",24,4,"16,7%",0,-,"0,0%",16
Filip Koperski,Lechia Gdańsk,-,"100,0%",-,3,3,"100,0%",1,"3,00","33,3%",1
Igor Łasicki,Pogoń Szczecin,-,-,"100,0%",3,3,"100,0%",0,-,"0,0%",1
Patryk Lipski,Piast Gliwice,-,"50,0%","100,0%",5,3,"60,0%",0,-,"0,0%",17
Tiago Matos,Radomiak Radom,"0,0%","100,0%","50,0%",5,3,"60,0%",1,"5,00","20,0%",2
Lubomir Satka,Lech Poznań,"100,0%","50,0%","50,0%",5,3,"60,0%",1,"5,00","20,0%",10
Dawid Szymonowicz,Warta Poznań,"0,0%","50,0%","100,0%",5,3,"60,0%",2,"2,50","40,0%",2
Rauno Sappinen,Piast Gliwice,"0,0%","66,7%","100,0%",5,3,"60,0%",0,-,"0,0%",2
Kristoffer Velde,Lech Poznań,"100,0%","50,0%",-,5,3,"60,0%",0,-,"0,0%",3
Jewgienij Baszkirow,Zagłębie Lubin,-,"50,0%",-,6,3,"50,0%",1,"6,00","16,7%",3
Barry Douglas,Lech Poznań,"50,0%",-,-,6,3,"50,0%",1,"6,00","16,7%",14
Serafin Szota,Wisła Kraków,-,"100,0%","0,0%",6,3,"50,0%",1,"6,00","16,7%",6
Dennis Jastrzembski,Śląsk Wrocław,"50,0%",-,-,6,3,"50,0%",1,"6,00","16,7%",13
Lorenco Simić,Zagłębie Lubin,"100,0%",-,"33,3%",7,3,"42,9%",1,"7,00","14,3%",0
Mateusz Żukowski,Lechia Gdańsk,-,"50,0%","0,0%",7,3,"42,9%",2,"3,50","28,6%",12
Jewhen Konoplanka,Cracovia,"50,0%","50,0%","0,0%",7,3,"42,9%",0,-,"0,0%",8
Patryk Tuszyński,Wisła Płock,-,"33,3%","40,0%",8,3,"37,5%",0,-,"0,0%",10
Tomas Zajic,Zagłębie Lubin,-,"28,6%","100,0%",8,3,"37,5%",2,"4,00","25,0%",7
Maciej Ambrosiewicz,Bruk-Bet,"0,0%","50,0%","50,0%",8,3,"37,5%",0,-,"0,0%",2
Nemanja Tekijaski,Bruk-Bet,-,"60,0%","0,0%",9,3,"33,3%",1,"9,00","11,1%",5
Jakub Żubrowski,Zagłębie Lubin,-,"14,3%","100,0%",9,3,"33,3%",1,"9,00","11,1%",15
Patrick Olsen,Śląsk Wrocław,"50,0%","33,3%","0,0%",9,3,"33,3%",0,-,"0,0%",9
Wojciech Golla,Śląsk Wrocław,"0,0%","20,0%","50,0%",10,3,"30,0%",0,-,"0,0%",10
