KOL,STRZELEC,DLA,PRZECIW,BRAMKARZ,T/N/O,FAULOWAŁ,FAULOWANY,SĘDZIA
20,Piotr Wlazło,Bruk-Bet Termalica,Jagiellonia Białystok,Zlatan Alomerović,T,Taras Romanczuk,Wiktor Biedrzycki,Krzysztof Jakubik
20,Wiktor Biedrzycki,Bruk-Bet Termalica,Jagiellonia Białystok,Zlatan Alomerović,T,Zlatan Alomerović,Piotr Wlazło,Krzysztof Jakubik
20,Grzegorz Tomasiewicz,Stal Mielec,Górnik Zabrze,Daniel Bielica,T,Adrian Gryszkiewicz,Mateusz Mak,Daniel Stefański
20,Grzegorz Tomasiewicz,Stal Mielec,Górnik Zabrze,Daniel Bielica,O,Adrian Gryszkiewicz,Maksymilian Sitek,Daniel Stefański
20,Fran Tudor,Raków Częstochowa,Wisła Kraków,Mikołaj Biegański,T,Maciej Sadlok,Vladislavs Gutkovskis,Szymon Marciniak
21,Damian Kądzior,Piast Gliwice,Wisła Płock,Krzysztof Kamiński,O,Piotr Tomasik,ręka,Bartosz Frankowski
21,Adam Zrelak,Warta Poznań,Legia Warszawa,Cezary Miszta,N,Artur Boruc,Dawid Szymonowicz,Łukasz Kuźma
22,Fabian Piasecki,Śląsk Wrocław,Piast Gliwice,Frantisek Plach,T,Kamil Wilczek,Wojciech Golla,Tomasz Kwiatkowski
22,Ivi Lopez,Raków Częstochowa,Górnik Zabrze,Daniel Bielica,T,Erik Janza,Patryk Kun,Piotr Lasyk
23,Ivi Lopez,Raków Częstochowa,Wisła Płock,Krzysztof Kamiński,O,Dominik Furman,ręka,Sebastian Krasny
23,Mikael Ishak,Lech Poznań,Pogoń Szczecin,Dante Stipica,T,Mateusz Łęgowski,Dawid Kownacki,Paweł Raczkowski
23,Karol Angielski,Radomiak Radom,Lechia Gdańsk,Dusan Kuciak,O,Filip Koperski,Luis Machado,Sebastian Jarzębak
23,Karol Angielski,Radomiak Radom,Lechia Gdańsk,Dusan Kuciak,T,Dusan Kuciak,Mario Rondon,Sebastian Jarzębak
24,Frank Castaneda,Warta Poznań,Bruk-Bet Termalica,Pawieł Pawluczenko,O,Wiktor Biedrzycki,Adam Zrelak,Bartosz Frankowski
25,Patryk Szysz,Zagłębie Lubin,Bruk-Bet Termalica,Pawieł Pawluczenko,T,Matej Hybs,Patryk Szysz,Damian Kos
25,Patryk Szysz,Zagłębie Lubin,Bruk-Bet Termalica,Pawieł Pawluczenko,T,Matej Hybs,Patryk Szysz,Damian Kos
25,Petr Schwarz,Śląsk Wrocław,Radomiak Radom,Filip Majchrowicz,N,Raphael Rossi,Erik Exposito,Daniel Stefański
25,Ivi Lopez,Raków Częstochowa,Stal Mielec,Damian Primel,T,Arkadiusz Kasperkiewicz,Mateusz Wdowiak,Paweł Malec
26,Ivi Lopez,Raków Częstochowa,Legia Warszawa,Cezary Miszta,T,Mateusz Wieteska,Giannis Papanikolaou,Szymon Marciniak
26,Karol Angielski,Radomiak Radom,Stal Mielec,Damian Primel,T,Damian Primel,Karol Angielski,Tomasz Musiał
27,Sergiu Hanca,Cracovia,Stal Mielec,Damian Primel,O,Grzegorz Tomasiewicz,Cornel Rapa,Tomasz Wajda
27,Maciej Domański,Stal Mielec,Cracovia,Lukas Hrosso,T,Matej Rodin,Marcin Flis,Tomasz Wajda
27,Kamil Wilczek,Piast Gliwice,Wisła Kraków,Mikołaj Biegański,T,Mikołaj Biegański,Rauno Sappinen,Szymon Marciniak
28,Rivaldinho,Cracovia,Warta Poznań,Jędrzej Grobelny,N,Jędrzej Grobelny,Rivaldinho,Paweł Raczkowski
28,Luis Fernandez,Wisła Kraków,Górnik Zabrze,Daniel Bielica,T,Daniel Bielica,Luis Fernandez,Daniel Stefański
29,Maciej Gajos,Lechia Gdańsk,Górnik Zabrze,Daniel Bielica,T,Daniel Bielica,Kacper Sezonienko,Jarosław Przybył
30,Patryk Szysz,Zagłębie Lubin,Górnik Zabrze,Grzegorz Sandomierski,T,Krzysztof Kubica,ręka,Łukasz Kuźma
30,Flavio Paixao,Lechia Gdańsk,Warta Poznań,Jędrzej Grobelny,T,Michał Kopczyński,Bassekou Diabate,Bartosz Frankowski
30,Mateusz Szwoch,Wisła Płock,Wisła Kraków,Paweł Kieszek,T,Elvis Manu,ręka,Damian Sylwestrzak
31,Michał Kopczyński,Warta Poznań,Piast Gliwice,Frantisek Plach,T,Ariel Mosór,Dawid Szymonowicz,Daniel Stefański
32,Karol Angielski,Radomiak Radom,Zagłębie Lubin,Kacper Bieszczad,T,Kacper Bieszczad,Thabo Cele,Krzysztof Jakubik
33,Jesus Imaz,Jagiellonia Białystok,Legia Warszawa,Cezary Miszta,T,Josue,Jesus Imaz,Szymon Marciniak
33,Piotr Wlazło,Bruk-Bet Termalica,Piast Gliwice,Frantisek Plach,N,Frantisek Plach,Tomas Poznar,Krzysztof Jakubik
33,Tomas Huk,Piast Gliwice,Bruk-Bet Termalica,Tomasz Loska,T,Wiktor Biedrzycki,ręka,Krzysztof Jakubik
33,Michał Kopczyński,Warta Poznań,Lech Poznań,Mickey van der Hart,T,Mickey van der Hart,Milan Corryn,Tomasz Kwiatkowski
33,Kacper Chodyna,Zagłębie Lubin,Raków Częstochowa,Vladan Kovacević,T,Zoran Arsenić,ręka,Paweł Raczkowski
34,Kacper Chodyna,Zagłębie Lubin,Lech Poznań,Filip Bednarek,T,Lubomir Satka,Martin Dolezal,Szymon Marciniak
34,Kamil Drygas,Pogoń Szczecin,Bruk-Bet Termalica,Tomasz Loska,T,Wiktor Biedrzycki,Luka Zahović,Daniel Stefański
34,Muris Mesanović,Bruk-Bet Termalica,Pogoń Szczecin,Dante Stipica,T,Jakub Bartkowski,ręka,Daniel Stefański
