ZAWODNIK,KLUB,Strzały,G,xG,xG/s,G-xG,non-pen xG,non-pen xG/s,G - xG NON-PEN,KP,AST,xAST,KP-xAST
Frank Castaneda,Warta Poznań,32,4,"4,143","0,129","-0,143","3,393","0,109","0,607",6,0,"0,387","-0,387"
Florian Loshaj,Cracovia,9,1,"0,398","0,044","0,602","0,398","0,044","0,602",5,1,"0,275","0,725"
Konrad Matuszewski,Warta Poznań,6,1,"0,405","0,068","0,595","0,405","0,068","0,595",10,1,"1,128","-0,128"
Mateusz Czyżycki,Warta Poznań,10,1,"0,409","0,041","0,591","0,409","0,041","0,591",5,0,"0,548","-0,548"
Maciej Gajos,Lechia Gdańsk,46,4,"3,160","0,069","0,840","2,410","0,054","0,590",36,1,"3,064","-2,064"
Luis Fernandez,Wisła Kraków,20,3,"2,178","0,109","0,822","1,428","0,075","0,572",9,0,"0,364","-0,364"
Patryk Czarnowski,Bruk-Bet,3,1,"0,448","0,149","0,552","0,448","0,149","0,552",0,0,"0,000","0,000"
Dino Stiglec,Śląsk Wrocław,12,1,"0,449","0,037","0,551","0,449","0,037","0,551",33,5,"3,227","1,773"
Mateusz Żyro,Stal Mielec,17,2,"1,462","0,086","0,538","1,462","0,086","0,538",18,0,"1,397","-1,397"
Dawid Szymonowicz,Warta Poznań,5,2,"1,464","0,293","0,536","1,464","0,293","0,536",2,0,"0,103","-0,103"
Kamil Wilczek,Piast Gliwice,22,5,"4,221","0,192","0,779","3,471","0,165","0,529",8,0,"0,599","-0,599"
Przemysław Mystkowski,Jagiellonia,12,1,"0,498","0,042","0,502","0,498","0,042","0,502",10,0,"0,638","-0,638"
Arkadiusz Kasperkiewicz,Stal Mielec,7,1,"0,501","0,072","0,499","0,501","0,072","0,499",5,0,"0,158","-0,158"
Maciej Sadlok,Wisła Kraków,5,1,"0,513","0,103","0,487","0,513","0,103","0,487",4,0,"0,196","-0,196"
Diego Carioca,Jagiellonia,18,2,"1,520","0,084","0,480","1,520","0,084","0,480",1,1,"0,089","0,911"
Błażej Augustyn,Jagiellonia,9,1,"0,525","0,058","0,475","0,525","0,058","0,475",1,0,"0,046","-0,046"
Tomasz Makowski,Lechia Gdańsk,13,1,"0,527","0,041","0,473","0,527","0,041","0,473",10,1,"0,860","0,140"
Rafał Janicki,Górnik Zabrze,17,2,"1,534","0,090","0,466","1,534","0,090","0,466",3,0,"0,058","-0,058"
Kostas Triantafyllopoulos,Pogoń Szczecin,18,3,"2,534","0,141","0,466","2,534","0,141","0,466",8,0,"0,595","-0,595"
Deian Sorescu,Raków Częstochowa,9,1,"0,537","0,060","0,463","0,537","0,060","0,463",7,1,"0,573","0,427"
Pedro Tiba,Lech Poznań,32,2,"1,538","0,048","0,462","1,538","0,048","0,462",17,0,"1,229","-1,229"
Giannis Papanikolaou,Raków Częstochowa,9,1,"0,539","0,060","0,461","0,539","0,060","0,461",25,4,"2,162","1,838"
Patryk Janasik,Śląsk Wrocław,15,1,"0,544","0,036","0,456","0,544","0,036","0,456",11,0,"0,350","-0,350"
Kristopher Vida,Piast Gliwice,28,3,"2,551","0,091","0,449","2,551","0,091","0,449",17,1,"1,122","-0,122"
Kamil Drygas,Pogoń Szczecin,30,7,"5,559","0,185","1,441","2,559","0,098","0,441",13,0,"0,599","-0,599"
Jakub Holubek,Piast Gliwice,10,1,"0,560","0,056","0,440","0,560","0,056","0,440",16,1,"2,018","-1,018"
Szymon Lewkot,Śląsk Wrocław,7,1,"0,566","0,081","0,434","0,566","0,081","0,434",6,0,"0,241","-0,241"
Victor Garcia,Śląsk Wrocław,11,1,"0,583","0,053","0,417","0,583","0,053","0,417",25,2,"3,091","-1,091"
Alan Czerwiński,Lech Poznań,6,1,"0,589","0,098","0,411","0,589","0,098","0,411",9,0,"1,209","-1,209"
Jakub Żubrowski,Zagłębie Lubin,9,1,"0,590","0,066","0,410","0,590","0,066","0,410",15,1,"0,679","0,321"
Maik Nawrocki,Legia Warszawa,8,1,"0,593","0,074","0,407","0,593","0,074","0,407",3,1,"0,109","0,891"
Filip Koperski,Lechia Gdańsk,3,1,"0,596","0,199","0,404","0,596","0,199","0,404",1,0,"0,020","-0,020"
Marko Kolar,Wisła Płock,19,4,"3,604","0,190","0,396","3,604","0,190","0,396",20,3,"2,516","0,484"
Radosław Cielemęcki,Wisła Płock,12,1,"0,605","0,050","0,395","0,605","0,050","0,395",5,0,"0,209","-0,209"
Lorenco Simić,Zagłębie Lubin,7,1,"0,606","0,087","0,394","0,606","0,087","0,394",0,0,"0,000","0,000"
Christian Clemens,Lechia Gdańsk,8,1,"0,613","0,077","0,387","0,613","0,077","0,387",6,0,"0,342","-0,342"
Josue,Legia Warszawa,49,2,"1,613","0,033","0,387","1,613","0,033","0,387",88,14,"10,078","3,922"
Serafin Szota,Wisła Kraków,6,1,"0,624","0,104","0,376","0,624","0,104","0,376",6,0,"0,401","-0,401"
Przemysław Banaszak,Górnik Łęczna,24,4,"3,375","0,141","0,625","2,625","0,114","0,375",5,1,"1,113","-0,113"
Milan Rundić,Raków Częstochowa,7,1,"0,635","0,091","0,365","0,635","0,091","0,365",9,2,"0,867","1,133"
Heorhij Citaiszwili,Wisła Kraków,13,1,"0,638","0,049","0,362","0,638","0,049","0,362",16,2,"2,154","-0,154"
Krystian Getinger,Stal Mielec,42,2,"1,653","0,039","0,347","1,653","0,039","0,347",41,6,"3,511","2,489"
Ariel Mosór,Piast Gliwice,12,1,"0,653","0,054","0,347","0,653","0,054","0,347",4,0,"0,238","-0,238"
Maksymilian Sitek,Stal Mielec,38,3,"2,655","0,070","0,345","2,655","0,070","0,345",22,3,"1,770","1,230"
Elvis Manu,Wisła Kraków,14,2,"1,680","0,120","0,320","1,680","0,120","0,320",7,1,"0,629","0,371"
Mathias Hebo Rasmussen,Cracovia,36,2,"1,692","0,047","0,308","1,692","0,047","0,308",12,1,"0,996","0,004"
Radosław Murawski,Lech Poznań,13,1,"0,693","0,053","0,307","0,693","0,053","0,307",9,0,"0,645","-0,645"
Tomasz Pieńko,Zagłębie Lubin,7,1,"0,696","0,099","0,304","0,696","0,099","0,304",4,1,"0,181","0,819"
Erik Janza,Górnik Zabrze,16,1,"0,696","0,043","0,304","0,696","0,043","0,304",56,6,"5,576","0,424"
Konrad Wrzesiński,Stal Mielec,5,1,"0,701","0,140","0,299","0,701","0,140","0,299",5,0,"0,507","-0,507"
Raphael Rossi,Radomiak Radom,21,2,"1,702","0,081","0,298","1,702","0,081","0,298",6,0,"0,382","-0,382"
Tomas Zajic,Zagłębie Lubin,8,2,"1,702","0,213","0,298","1,702","0,213","0,298",7,1,"0,417","0,583"
Taras Romanczuk,Jagiellonia,44,3,"2,709","0,062","0,291","2,709","0,062","0,291",22,0,"1,139","-1,139"
Petr Schwarz,Śląsk Wrocław,28,2,"2,476","0,088","-0,476","1,726","0,064","0,274",24,1,"1,274","-0,274"
Matej Rodin,Cracovia,18,2,"1,728","0,096","0,272","1,728","0,096","0,272",9,1,"1,248","-0,248"
Tiago Matos,Radomiak Radom,5,1,"0,728","0,146","0,272","0,728","0,146","0,272",2,0,"0,032","-0,032"
Dusan Lagator,Wisła Płock,3,1,"0,738","0,246","0,262","0,738","0,246","0,262",3,0,"0,194","-0,194"
Rafał Wolski,Wisła Płock,45,4,"3,498","0,078","0,502","2,748","0,062","0,252",21,6,"3,162","2,838"
Nikola Stojiljković,Piast Gliwice,4,1,"0,762","0,190","0,238","0,762","0,190","0,238",0,0,"0,000","0,000"
Michał Kucharczyk,Pogoń Szczecin,46,5,"4,768","0,104","0,232","4,768","0,104","0,232",28,1,"3,296","-2,296"
Marcel Zylla,Śląsk Wrocław,13,1,"0,772","0,059","0,228","0,772","0,059","0,228",5,1,"0,436","0,564"
Robert Ivanov,Warta Poznań,15,1,"0,792","0,053","0,208","0,792","0,053","0,208",14,2,"2,036","-0,036"
Jesus Jimenez,Górnik Zabrze,45,8,"7,542","0,168","0,458","6,792","0,154","0,208",35,4,"2,584","1,416"
Diogo Verdasca,Śląsk Wrocław,7,1,"0,804","0,115","0,196","0,804","0,115","0,196",6,1,"0,221","0,779"
Cornel Rapa,Cracovia,22,3,"2,815","0,128","0,185","2,815","0,128","0,185",34,1,"3,320","-2,320"
Jewgienij Baszkirow,Zagłębie Lubin,6,1,"0,843","0,140","0,157","0,843","0,140","0,157",3,1,"0,428","0,572"
Maurides,Radomiak Radom,52,5,"4,859","0,093","0,141","4,859","0,093","0,141",23,2,"1,871","0,129"
Marcel Wędrychowski,Górnik Łęczna,13,1,"0,885","0,068","0,115","0,885","0,068","0,115",14,1,"0,774","0,226"
Jakub Kałuziński,Lechia Gdańsk,14,1,"0,887","0,063","0,113","0,887","0,063","0,113",14,2,"1,220","0,780"
Gieorgij Żukow,Wisła Kraków,11,1,"0,889","0,081","0,111","0,889","0,081","0,111",5,0,"0,213","-0,213"
Koki Hinokio,Stal/Zagłębie,16,1,"0,891","0,056","0,109","0,891","0,056","0,109",7,1,"0,236","0,764"
Ernest Terpiłowski,Bruk-Bet,11,1,"0,893","0,081","0,107","0,893","0,081","0,107",6,0,"0,261","-0,261"
Zoran Arsenić,Raków Częstochowa,10,1,"0,904","0,090","0,096","0,904","0,090","0,096",3,0,"0,139","-0,139"
Maciej Rosołek,Legia Warszawa,26,3,"2,906","0,112","0,094","2,906","0,112","0,094",10,3,"2,123","0,877"
Tomas Huk,Piast Gliwice,11,2,"1,669","0,152","0,331","0,919","0,092","0,081",2,0,"0,120","-0,120"
Kristian Vallo,Wisła Płock,20,1,"0,935","0,047","0,065","0,935","0,047","0,065",21,4,"2,406","1,594"
Robert Dadok,Górnik Zabrze,26,3,"2,951","0,114","0,049","2,951","0,114","0,049",22,4,"2,950","1,050"
Bartosz Slisz,Legia Warszawa,28,1,"0,965","0,034","0,035","0,965","0,034","0,035",19,2,"1,658","0,342"
Karol Struski,Jagiellonia,20,1,"0,966","0,048","0,034","0,966","0,048","0,034",15,2,"0,985","1,015"
Sebastian Kowalczyk,Pogoń Szczecin,51,6,"5,480","0,107","0,520","3,980","0,081","0,020",26,4,"2,499","1,501"
Ishmael Baidoo,Górnik Zabrze,0,0,-,-,-,-,-,-,1,0,"0,050","-0,050"
Marcel Błachewicz,Wisła Płock,0,0,-,-,-,-,-,-,1,0,"0,023","-0,023"
Łukasz Budziłek,Bruk-Bet,0,0,-,-,-,-,-,-,1,0,"0,014","-0,014"
Lukas Hrosso,Cracovia,0,0,-,-,-,-,-,-,1,0,"0,038","-0,038"
Tomasz Jodłowiec,Piast Gliwice,0,0,-,-,-,-,-,-,1,0,"0,053","-0,053"
Iwo Kaczmarski,Raków Częstochowa,0,0,-,-,-,-,-,-,1,0,"0,000","0,000"
Mateusz Lis,Wisła Kraków,0,0,-,-,-,-,-,-,1,0,"0,030","-0,030"
Hubert Matynia,Pogoń Szczecin,0,0,-,-,-,-,-,-,3,0,"0,231","-0,231"
Miguel Munoz,Piast Gliwice,0,0,-,-,-,-,-,-,1,0,"0,089","-0,089"
Mykoła Musolitin,Lechia Gdańsk,0,0,-,-,-,-,-,-,2,1,"0,260","0,740"
Dani Quintana,Jagiellonia,0,0,-,-,-,-,-,-,2,0,"0,116","-0,116"
Artur Sobiech,Lech Poznań,0,0,-,-,-,-,-,-,3,0,"0,303","-0,303"
Bartłomiej Kłudka,Zagłębie Lubin,0,0,-,-,-,-,-,-,1,0,"0,105","-0,105"
Dusan Kuciak,Lechia Gdańsk,0,0,-,-,-,-,-,-,1,0,"0,049","-0,049"
Luizao,Radomiak Radom,0,0,-,-,-,-,-,-,2,0,"0,152","-0,152"
Filip Majchrowicz,Radomiak Radom,0,0,-,-,-,-,-,-,1,0,"0,045","-0,045"
Kajetan Szmyt,Warta Poznań,0,0,-,-,-,-,-,-,2,0,"0,225","-0,225"
Mikołaj Biegański,Wisła Kraków,0,0,-,-,-,-,-,-,2,0,"0,053","-0,053"
Paweł Olszewski,Jagiellonia,0,0,-,-,-,-,-,-,4,0,"0,650","-0,650"
Tihomir Kostadinov,Piast Gliwice,0,0,-,-,-,-,-,-,4,1,"0,192","0,808"
Damian Primel,Stal Mielec,0,0,-,-,-,-,-,-,1,0,"0,061","-0,061"
Mickey van der Hart,Lech Poznań,0,0,-,-,-,-,-,-,1,1,"0,048","0,952"
Kacper Bieszczad,Zagłębie Lubin,0,0,-,-,-,-,-,-,1,0,"0,000","0,000"
Michał Szromnik,Śląsk Wrocław,0,0,-,-,-,-,-,-,1,0,"0,362","-0,362"
Jakub Wawszczyk,Stal Mielec,0,0,-,-,-,-,-,-,3,0,"0,243","-0,243"
Jakub Nowakowski,Radomiak Radom,0,0,-,-,-,-,-,-,1,0,"0,149","-0,149"
Jurgen Celhaka,Legia Warszawa,0,0,-,-,-,-,-,-,1,0,"0,042","-0,042"
Dominik Wydra,Raków Częstochowa,1,0,"0,000","0,000","-0,000","0,000","0,000","-0,000",0,0,"0,000","0,000"
Frantisek Plach,Piast Gliwice,1,0,"0,000","0,000","-0,000","0,000","0,000","-0,000",2,0,"0,172","-0,172"
Oliwier Wojciechowski,Jagiellonia,1,0,"0,000","0,000","-0,000","0,000","0,000","-0,000",1,0,"0,046","-0,046"
Bartłomiej Ciepiela,Legia Warszawa,1,0,"0,006","0,006","-0,006","0,006","0,006","-0,006",5,0,"0,228","-0,228"
Jakub Błaszczykowski,Wisła Kraków,1,0,"0,011","0,011","-0,011","0,011","0,011","-0,011",1,0,"0,027","-0,027"
Wiktor Kłos,Stal Mielec,1,0,"0,011","0,011","-0,011","0,011","0,011","-0,011",1,0,"0,053","-0,053"
Joel Abu Hanna,Legia Warszawa,1,0,"0,013","0,013","-0,013","0,013","0,013","-0,013",3,0,"0,136","-0,136"
Jean Mvondo,Górnik Zabrze,1,0,"0,013","0,013","-0,013","0,013","0,013","-0,013",4,0,"0,256","-0,256"
Mateusz Sopoćko,Warta Poznań,1,0,"0,015","0,015","-0,015","0,015","0,015","-0,015",0,0,"0,000","0,000"
Tomasz Mokwa,Piast Gliwice,1,0,"0,016","0,016","-0,016","0,016","0,016","-0,016",1,0,"0,127","-0,127"
Kacper Masiak,Zagłębie Lubin,1,0,"0,016","0,016","-0,016","0,016","0,016","-0,016",0,0,"0,000","0,000"
Robert Ożóg,Cracovia,1,0,"0,017","0,017","-0,017","0,017","0,017","-0,017",0,0,"0,000","0,000"
Tomasz Nawotka,Legia Warszawa,1,0,"0,019","0,019","-0,019","0,019","0,019","-0,019",2,0,"0,153","-0,153"
Mikołaj Rakowski,Warta Poznań,1,0,"0,019","0,019","-0,019","0,019","0,019","-0,019",0,0,"0,000","0,000"
Conrado,Lechia Gdańsk,21,1,"1,021","0,049","-0,021","1,021","0,049","-0,021",26,3,"3,333","-0,333"
Sebastian Bergier,Śląsk Wrocław,1,0,"0,023","0,023","-0,023","0,023","0,023","-0,023",0,0,"0,000","0,000"
Lubambo Musonda,Śląsk Wrocław,1,0,"0,027","0,027","-0,027","0,027","0,027","-0,027",2,0,"0,360","-0,360"
Filip Modelski,Bruk-Bet,1,0,"0,027","0,027","-0,027","0,027","0,027","-0,027",1,0,"0,200","-0,200"
Jakub Lutostański,Jagiellonia,1,0,"0,028","0,028","-0,028","0,028","0,028","-0,028",0,0,"0,000","0,000"
Maciej Orłowski,Górnik Łęczna,1,0,"0,029","0,029","-0,029","0,029","0,029","-0,029",2,1,"0,153","0,847"
