ZAWODNIK,KLUB,R,R celn,% R celn,R Gole,ZZA,ZZA celn,ZZA %,ZZA Gole,ZZA GOL/ZZA
Sergiu Hanca,Cracovia,34,9,"26,5%",4,15,3,"20,0%",1,"6,7%"
Bassekou Diabate,Lechia Gdańsk,21,8,"38,1%",0,6,3,"50,0%",0,"0,0%"
Marco Terrazzino,Lechia Gdańsk,23,8,"34,8%",4,10,3,"30,0%",2,"20,0%"
Jesper Karlstrom,Lech Poznań,37,8,"21,6%",1,27,3,"11,1%",0,"0,0%"
Jan Grzesik,Warta Poznań,16,7,"43,8%",3,4,3,"75,0%",0,"0,0%"
Marcos Alvarez,Cracovia,18,6,"33,3%",1,7,3,"42,9%",0,"0,0%"
Diego Carioca,Jagiellonia,18,6,"33,3%",2,5,3,"60,0%",0,"0,0%"
Milan Corryn,Warta Poznań,19,6,"31,6%",2,10,3,"30,0%",0,"0,0%"
Dor Hugi,Wisła Kraków,20,6,"30,0%",1,13,3,"23,1%",0,"0,0%"
Pedro Rebocho,Lech Poznań,20,6,"30,0%",1,11,3,"27,3%",0,"0,0%"
Mateusz Kupczak,Warta Poznań,23,6,"26,1%",1,14,3,"21,4%",1,"7,1%"
Michal Hubinek,Bruk-Bet,30,6,"20,0%",1,20,3,"15,0%",1,"5,0%"
Marcel Wędrychowski,Górnik Łęczna,13,5,"38,5%",1,8,3,"37,5%",0,"0,0%"
Maciej Domański,Stal Mielec,13,5,"38,5%",1,9,3,"33,3%",0,"0,0%"
Jakub Kałuziński,Lechia Gdańsk,14,5,"35,7%",1,9,3,"33,3%",0,"0,0%"
Martin Pospisil,Jagiellonia,23,5,"21,7%",0,20,3,"15,0%",0,"0,0%"
Filipe Nascimento,Radomiak Radom,24,5,"20,8%",0,20,3,"15,0%",0,"0,0%"
Otar Kakabadze,Cracovia,28,5,"17,9%",3,18,3,"16,7%",2,"11,1%"
Przemysław Mystkowski,Jagiellonia,12,4,"33,3%",1,9,3,"33,3%",0,"0,0%"
Michał Nalepa I,Jagiellonia,15,4,"26,7%",0,13,3,"23,1%",0,"0,0%"
Damian Jakubik,Radomiak Radom,17,4,"23,5%",0,13,3,"23,1%",0,"0,0%"
Sebastian Bonecki,Bruk-Bet,18,4,"22,2%",0,13,3,"23,1%",0,"0,0%"
Dominik Steczyk,Piast/Stal,19,4,"21,1%",1,7,3,"42,9%",1,"14,3%"
Krzysztof Mączyński,Śląsk Wrocław,21,4,"19,0%",0,18,3,"16,7%",0,"0,0%"
Barry Douglas,Lech Poznań,6,3,"50,0%",1,5,3,"60,0%",1,"20,0%"
Patrick Olsen,Śląsk Wrocław,9,3,"33,3%",0,7,3,"42,9%",0,"0,0%"
Łukasz Zwoliński,Lechia Gdańsk,77,37,"48,1%",14,5,2,"40,0%",1,"20,0%"
Łukasz Sekulski,Wisła Płock,41,23,"56,1%",13,9,2,"22,2%",1,"11,1%"
Luka Zahović,Pogoń Szczecin,39,21,"53,8%",11,5,2,"40,0%",0,"0,0%"
Alberto Toril,Piast Gliwice,42,18,"42,9%",6,7,2,"28,6%",1,"14,3%"
Mateusz Mak,Stal Mielec,32,16,"50,0%",7,5,2,"40,0%",1,"20,0%"
Maksymilian Sitek,Stal Mielec,38,14,"36,8%",3,17,2,"11,8%",1,"5,9%"
Mateusz Grzybek,Bruk-Bet,24,13,"54,2%",2,5,2,"40,0%",0,"0,0%"
Rafael Lopes,Legia Warszawa,25,12,"48,0%",5,4,2,"50,0%",0,"0,0%"
Serhij Krykun,Górnik Łęczna,41,11,"26,8%",0,16,2,"12,5%",0,"0,0%"
Bartosz Salamon,Lech Poznań,24,10,"41,7%",3,7,2,"28,6%",1,"14,3%"
Jarosław Kubicki,Lechia Gdańsk,19,9,"47,4%",2,7,2,"28,6%",1,"14,3%"
Mateusz Kuzimski,Warta Poznań,28,9,"32,1%",1,6,2,"33,3%",0,"0,0%"
Michał Rakoczy,Cracovia,28,9,"32,1%",3,13,2,"15,4%",1,"7,7%"
Kristopher Vida,Piast Gliwice,28,9,"32,1%",3,12,2,"16,7%",0,"0,0%"
Marcin Cebula,Raków Częstochowa,11,8,"72,7%",3,2,2,"100,0%",1,"50,0%"
Oskar Zawada,Stal Mielec,16,8,"50,0%",3,5,2,"40,0%",0,"0,0%"
Kamil Pestka,Cracovia,24,8,"33,3%",4,12,2,"16,7%",2,"16,7%"
Fabio Sturgeon,Raków Częstochowa,15,7,"46,7%",1,7,2,"28,6%",0,"0,0%"
Luquinhas,Legia Warszawa,21,7,"33,3%",0,9,2,"22,2%",0,"0,0%"
Felicio Brown Forbes,Wisła Kraków,24,7,"29,2%",2,8,2,"25,0%",0,"0,0%"
Kacper Śpiewak,Bruk-Bet,25,7,"28,0%",2,3,2,"66,7%",0,"0,0%"
Petr Schwarz,Śląsk Wrocław,28,7,"25,0%",2,17,2,"11,8%",0,"0,0%"
Janusz Gol,Górnik Łęczna,21,6,"28,6%",4,10,2,"20,0%",1,"10,0%"
Michal Frydrych,Wisła Kraków,33,6,"18,2%",4,10,2,"20,0%",2,"20,0%"
Adrian Łyszczarz,Śląsk Wrocław,11,5,"45,5%",5,7,2,"28,6%",2,"28,6%"
Heorhij Citaiszwili,Wisła Kraków,13,5,"38,5%",1,6,2,"33,3%",0,"0,0%"
Sasa Zivec,Zagłębie Lubin,22,5,"22,7%",2,8,2,"25,0%",1,"12,5%"
Ihor Charatin,Legia Warszawa,6,4,"66,7%",1,3,2,"66,7%",0,"0,0%"
Daniel Dziwniel,Górnik Łęczna,8,4,"50,0%",0,3,2,"66,7%",0,"0,0%"
Christian Clemens,Lechia Gdańsk,8,4,"50,0%",1,5,2,"40,0%",0,"0,0%"
Higinio Marin,Górnik Zabrze,8,4,"50,0%",3,4,2,"50,0%",2,"50,0%"
Robert Ivanov,Warta Poznań,15,4,"26,7%",1,7,2,"28,6%",0,"0,0%"
Alex Serrano,Górnik Łęczna,16,4,"25,0%",0,10,2,"20,0%",0,"0,0%"
Conrado,Lechia Gdańsk,21,4,"19,0%",1,12,2,"16,7%",0,"0,0%"
Filip Mladenović,Legia Warszawa,22,4,"18,2%",0,14,2,"14,3%",0,"0,0%"
Serafin Szota,Wisła Kraków,6,3,"50,0%",1,2,2,"100,0%",0,"0,0%"
Maciej Ambrosiewicz,Bruk-Bet,8,3,"37,5%",0,5,2,"40,0%",0,"0,0%"
Jakub Holubek,Piast Gliwice,10,3,"30,0%",1,7,2,"28,6%",0,"0,0%"
Nikola Kuveljić,Wisła Kraków,10,3,"30,0%",1,7,2,"28,6%",0,"0,0%"
Dino Stiglec,Śląsk Wrocław,12,3,"25,0%",1,8,2,"25,0%",0,"0,0%"
Matej Hanousek,Wisła Kraków,13,3,"23,1%",0,6,2,"33,3%",0,"0,0%"
Tomasz Makowski,Lechia Gdańsk,13,3,"23,1%",1,11,2,"18,2%",0,"0,0%"
Dawid Kocyła,Wisła P/Bruk-Bet,14,3,"21,4%",0,7,2,"28,6%",0,"0,0%"
Alasana Manneh,Górnik Zabrze,26,3,"11,5%",2,23,2,"8,7%",1,"4,3%"
Patryk Czarnowski,Bruk-Bet,3,2,"66,7%",1,2,2,"100,0%",1,"50,0%"
Artur Jędrzejczyk,Legia Warszawa,4,2,"50,0%",0,2,2,"100,0%",0,"0,0%"
Narek Grigorjan,Jagiellonia,4,2,"50,0%",0,2,2,"100,0%",0,"0,0%"
Aleksandyr Kolew,Stal Mielec,5,2,"40,0%",1,2,2,"100,0%",1,"50,0%"
Dawid Pakulski,Zagłębie Lubin,8,2,"25,0%",0,7,2,"28,6%",0,"0,0%"
Artem Putiwcew,Bruk-Bet,10,2,"20,0%",1,3,2,"66,7%",1,"33,3%"
Ernest Terpiłowski,Bruk-Bet,11,2,"18,2%",1,7,2,"28,6%",1,"14,3%"
Tom Hateley,Piast Gliwice,11,2,"18,2%",0,10,2,"20,0%",0,"0,0%"
Adam Zrelak,Warta Poznań,37,18,"48,6%",9,8,1,"12,5%",0,"0,0%"
Fedor Cernych,Jagiellonia,41,16,"39,0%",4,8,1,"12,5%",0,"0,0%"
Damian Warchoł,Wisła Płock,26,13,"50,0%",6,5,1,"20,0%",0,"0,0%"
Kamil Drygas,Pogoń Szczecin,30,13,"43,3%",7,8,1,"12,5%",0,"0,0%"
Jean Carlos Silva,Pogoń Szczecin,39,13,"33,3%",2,10,1,"10,0%",0,"0,0%"
Mateusz Cholewiak,Górnik Zabrze,18,11,"61,1%",1,5,1,"20,0%",0,"0,0%"
Kamil Wilczek,Piast Gliwice,22,10,"45,5%",5,2,1,"50,0%",0,"0,0%"
Maciej Rosołek,Legia Warszawa,26,10,"38,5%",3,9,1,"11,1%",0,"0,0%"
Dawid Kownacki,Lech Poznań,30,10,"33,3%",4,6,1,"16,7%",0,"0,0%"
Paweł Wszołek,Legia Warszawa,18,9,"50,0%",6,3,1,"33,3%",0,"0,0%"
Marko Kolar,Wisła Płock,19,9,"47,4%",4,3,1,"33,3%",0,"0,0%"
Jakub Myszor,Cracovia,24,9,"37,5%",3,7,1,"14,3%",0,"0,0%"
Piotr Parzyszek,Pogoń Szczecin,32,9,"28,1%",1,3,1,"33,3%",0,"0,0%"
Jan Kliment,Wisła Kraków,33,9,"27,3%",2,9,1,"11,1%",0,"0,0%"
Jakub Bartkowski,Pogoń Szczecin,17,8,"47,1%",1,3,1,"33,3%",0,"0,0%"
Kacper Kozłowski,Pogoń Szczecin,18,8,"44,4%",3,4,1,"25,0%",0,"0,0%"
Andrzej Trubeha,Jagiellonia,18,8,"44,4%",1,4,1,"25,0%",0,"0,0%"
Mario Rondon,Radomiak Radom,17,7,"41,2%",1,2,1,"50,0%",0,"0,0%"
Sebastian Musiolik,Raków Częstochowa,15,6,"40,0%",3,2,1,"50,0%",0,"0,0%"
Michał Żyro,Piast/Jagiellonia,18,6,"33,3%",1,5,1,"20,0%",0,"0,0%"
Mateusz Bartolewski,Zagłębie Lubin,26,6,"23,1%",2,11,1,"9,1%",0,"0,0%"
Israel Puerto,Jagiellonia,11,5,"45,5%",3,2,1,"50,0%",0,"0,0%"
Mattias Johansson,Legia Warszawa,12,5,"41,7%",1,3,1,"33,3%",0,"0,0%"
Mateusz Młyński,Wisła Kraków,16,5,"31,3%",1,4,1,"25,0%",0,"0,0%"
Rafał Janicki,Górnik Zabrze,17,5,"29,4%",2,1,1,"100,0%",0,"0,0%"
Mateusz Żyro,Stal Mielec,17,5,"29,4%",2,4,1,"25,0%",1,"25,0%"
Marc Gual,Jagiellonia,24,5,"20,8%",3,12,1,"8,3%",1,"8,3%"
Andre Martins,Legia Warszawa,6,4,"66,7%",0,2,1,"50,0%",0,"0,0%"
Lindsay Rose,Legia Warszawa,8,4,"50,0%",0,3,1,"33,3%",0,"0,0%"
Mariusz Fornalczyk,Pogoń Szczecin,12,4,"33,3%",1,2,1,"50,0%",0,"0,0%"
Dominik Furman,Wisła Płock,13,4,"30,8%",0,7,1,"14,3%",0,"0,0%"
Wiktor Biedrzycki,Bruk-Bet,14,4,"28,6%",1,3,1,"33,3%",0,"0,0%"
Mateusz Matras,Stal Mielec,14,4,"28,6%",1,1,1,"100,0%",0,"0,0%"
Szymon Czyż,Warta/Raków,15,4,"26,7%",0,9,1,"11,1%",0,"0,0%"
Erik Janza,Górnik Zabrze,16,4,"25,0%",1,8,1,"12,5%",0,"0,0%"
Marcin Flis,Stal Mielec,20,4,"20,0%",1,8,1,"12,5%",0,"0,0%"
Samuel Stefanik,Bruk-Bet,21,4,"19,0%",1,11,1,"9,1%",0,"0,0%"
Filip Koperski,Lechia Gdańsk,3,3,"100,0%",1,1,1,"100,0%",0,"0,0%"
Patryk Lipski,Piast Gliwice,5,3,"60,0%",0,2,1,"50,0%",0,"0,0%"
Tiago Matos,Radomiak Radom,5,3,"60,0%",1,1,1,"100,0%",0,"0,0%"
Rauno Sappinen,Piast Gliwice,5,3,"60,0%",0,1,1,"100,0%",0,"0,0%"
Kristoffer Velde,Lech Poznań,5,3,"60,0%",0,1,1,"100,0%",0,"0,0%"
Jewgienij Baszkirow,Zagłębie Lubin,6,3,"50,0%",1,3,1,"33,3%",0,"0,0%"
Dennis Jastrzembski,Śląsk Wrocław,6,3,"50,0%",1,3,1,"33,3%",0,"0,0%"
Patryk Tuszyński,Wisła Płock,8,3,"37,5%",0,1,1,"100,0%",0,"0,0%"
Nemanja Tekijaski,Bruk-Bet,9,3,"33,3%",1,3,1,"33,3%",0,"0,0%"
Jakub Żubrowski,Zagłębie Lubin,9,3,"33,3%",1,4,1,"25,0%",1,"25,0%"
Martin Konczkowski,Piast Gliwice,12,3,"25,0%",2,8,1,"12,5%",1,"12,5%"
Adrian Gryszkiewicz,Górnik Zabrze,13,3,"23,1%",1,3,1,"33,3%",0,"0,0%"
Joseph Ceesay,Lechia Gdańsk,16,3,"18,8%",0,7,1,"14,3%",0,"0,0%"
Mario Rodriguez,Warta Poznań,17,3,"17,6%",0,6,1,"16,7%",0,"0,0%"
Łukasz Trałka,Warta Poznań,17,3,"17,6%",1,6,1,"16,7%",1,"16,7%"
Kacper Skibicki,Legia Warszawa,18,3,"16,7%",0,8,1,"12,5%",0,"0,0%"
Alexandre Guedes,Raków Częstochowa,3,2,"66,7%",0,1,1,"100,0%",0,"0,0%"
David Jablonsky,Cracovia,3,2,"66,7%",0,1,1,"100,0%",0,"0,0%"
Kamil Ogorzały,Cracovia,4,2,"50,0%",0,3,1,"33,3%",0,"0,0%"
Miłosz Matysik,Jagiellonia,4,2,"50,0%",1,2,1,"50,0%",0,"0,0%"
Dani Pacheco,Górnik Zabrze,4,2,"50,0%",1,3,1,"33,3%",0,"0,0%"
Maciej Sadlok,Wisła Kraków,5,2,"40,0%",1,2,1,"50,0%",0,"0,0%"
Marcin Budziński,Stal Mielec,6,2,"33,3%",0,4,1,"25,0%",0,"0,0%"
Joel Pereira,Lech Poznań,6,2,"33,3%",0,2,1,"50,0%",0,"0,0%"
Jakub Arak,Raków Częstochowa,8,2,"25,0%",0,1,1,"100,0%",0,"0,0%"
Rafał Makowski,Śląsk Wrocław,8,2,"25,0%",1,6,1,"16,7%",0,"0,0%"
Giannis Papanikolaou,Raków Częstochowa,9,2,"22,2%",1,2,1,"50,0%",1,"50,0%"
Dariusz Stalmach,Górnik Zabrze,9,2,"22,2%",0,3,1,"33,3%",0,"0,0%"
Miłosz Kozak,Radomiak Radom,10,2,"20,0%",0,5,1,"20,0%",0,"0,0%"
Gieorgij Żukow,Wisła Kraków,11,2,"18,2%",1,8,1,"12,5%",0,"0,0%"
Radosław Cielemęcki,Wisła Płock,12,2,"16,7%",1,8,1,"12,5%",0,"0,0%"
Michał Kaput,Radomiak/Piast,15,2,"13,3%",0,10,1,"10,0%",0,"0,0%"
Waldemar Sobota,Śląsk Wrocław,19,2,"10,5%",0,9,1,"11,1%",0,"0,0%"
Frantisek Plach,Piast Gliwice,1,1,"100,0%",0,1,1,"100,0%",0,"0,0%"
Jo Santos,Radomiak Radom,2,1,"50,0%",0,2,1,"50,0%",0,"0,0%"
Adrian Dziedzic,Górnik Zabrze,3,1,"33,3%",0,3,1,"33,3%",0,"0,0%"
Bartłomiej Kalinkowski,Górnik Łęczna,3,1,"33,3%",0,3,1,"33,3%",0,"0,0%"
Kacper Smoliński,Pogoń Szczecin,3,1,"33,3%",0,2,1,"50,0%",0,"0,0%"
Tomasz Tymosiak,Górnik Łęczna,3,1,"33,3%",0,3,1,"33,3%",0,"0,0%"
Egzon Kryeziu,Lechia Gdańsk,3,1,"33,3%",0,3,1,"33,3%",0,"0,0%"
Niilo Maenpaa,Warta Poznań,3,1,"33,3%",0,3,1,"33,3%",0,"0,0%"
Benjamin Verbic,Legia Warszawa,3,1,"33,3%",0,2,1,"50,0%",0,"0,0%"
Dawid Kort,Stal Mielec,4,1,"25,0%",0,4,1,"25,0%",0,"0,0%"
Damir Sadiković,Cracovia,4,1,"25,0%",0,3,1,"33,3%",0,"0,0%"
Martin Zeman,Bruk-Bet,4,1,"25,0%",0,3,1,"33,3%",0,"0,0%"
Łukasz Bejger,Śląsk Wrocław,5,1,"20,0%",0,3,1,"33,3%",0,"0,0%"
Leandro,Górnik Łęczna,5,1,"20,0%",0,5,1,"20,0%",0,"0,0%"
Daniel Łukasik,Radomiak Radom,5,1,"20,0%",0,5,1,"20,0%",0,"0,0%"
Jan Biegański,Lechia Gdańsk,6,1,"16,7%",0,6,1,"16,7%",0,"0,0%"
Michał Jakóbowski,Warta Poznań,6,1,"16,7%",0,2,1,"50,0%",0,"0,0%"
Dawid Szot,Wisła Kraków,7,1,"14,3%",0,7,1,"14,3%",0,"0,0%"
Bartłomiej Kukułowicz,Bruk-Bet,9,1,"11,1%",0,7,1,"14,3%",0,"0,0%"
Paweł Stolarski,Pogoń Szczecin,10,1,"10,0%",0,7,1,"14,3%",0,"0,0%"
Roman Gergel,Bruk-Bet,11,1,"9,1%",0,6,1,"16,7%",0,"0,0%"
Marcin Wasielewski,Bruk-Bet,14,1,"7,1%",0,5,1,"20,0%",0,"0,0%"
Tomas Pekhart,Legia Warszawa,44,21,"47,7%",9,1,0,"0,0%",0,"0,0%"
Przemysław Banaszak,Górnik Łęczna,24,13,"54,2%",4,3,0,"0,0%",0,"0,0%"
Piotr Krawczyk,Górnik Zabrze,33,13,"39,4%",5,5,0,"0,0%",0,"0,0%"
Raphael Rossi,Radomiak Radom,21,8,"38,1%",2,2,0,"0,0%",0,"0,0%"
Cornel Rapa,Cracovia,22,8,"36,4%",3,2,0,"0,0%",0,"0,0%"
Jakub Rzeźniczak,Wisła Płock,13,7,"53,8%",0,1,0,"0,0%",0,"0,0%"
Fran Tudor,Raków Częstochowa,15,7,"46,7%",2,3,0,"0,0%",0,"0,0%"
Antonio Milić,Lech Poznań,18,7,"38,9%",4,3,0,"0,0%",0,"0,0%"
Kostas Triantafyllopoulos,Pogoń Szczecin,18,6,"33,3%",3,1,0,"0,0%",0,"0,0%"
Mateusz Radecki,Radomiak Radom,29,6,"20,7%",1,7,0,"0,0%",0,"0,0%"
Mateusz Wieteska,Legia Warszawa,32,6,"18,8%",4,3,0,"0,0%",0,"0,0%"
Filip Balaj,Cracovia,10,5,"50,0%",1,2,0,"0,0%",0,"0,0%"
Filip Lesniak,Wisła Płock,10,5,"50,0%",1,2,0,"0,0%",0,"0,0%"
Michał Nalepa II,Lechia Gdańsk,15,5,"33,3%",1,4,0,"0,0%",0,"0,0%"
Dariusz Pawłowski,Górnik Zabrze,17,5,"29,4%",1,2,0,"0,0%",0,"0,0%"
Bartosz Bida,Jagiellonia,18,5,"27,8%",3,5,0,"0,0%",0,"0,0%"
Karol Knap,Cracovia,18,5,"27,8%",0,9,0,"0,0%",0,"0,0%"
Matej Rodin,Cracovia,18,5,"27,8%",2,1,0,"0,0%",0,"0,0%"
Błażej Augustyn,Jagiellonia,9,4,"44,4%",1,2,0,"0,0%",0,"0,0%"
