ZAWODNIK,KLUB,GOLE,G KARNY,G ROŻNY,G WOLNY,G WOLNY BEZP,G AUT,AS SFG,PO SFG,Z GRY,%GOLI PO SFG
Matej Pućko,Korona Kielce,1,0,0,0,0,0,0,0,1,"0,0%"
Miłosz Szczepański,Raków Częstochowa,1,0,0,0,1,0,0,1,0,"100,0%"
Patryk Tuszyński,Zagłębie/Piast,1,0,0,0,0,0,0,0,1,"0,0%"
Pirulo,ŁKS Łódź,1,0,0,0,0,0,0,0,1,"0,0%"
Rafał Wolski,Lechia Gdańsk,1,0,0,0,0,0,0,0,1,"0,0%"
Sandro Kulenović,Legia Warszawa,1,0,1,0,0,0,0,1,0,"100,0%"
Karlo Muhar,Lech Poznań,1,0,1,0,0,0,0,1,0,"100,0%"
Błażej Augustyn,Lechia Gdańsk,1,0,0,0,0,0,0,0,1,"0,0%"
Ognjen Mudrinski,Jagiellonia,1,0,0,0,0,0,0,0,1,"0,0%"
Rubio,Cracovia,1,0,0,1,0,0,0,1,0,"100,0%"
Tomas Podstawski,Pogoń Szczecin,1,0,0,1,0,0,0,1,0,"100,0%"
David Jablonsky,Cracovia,1,0,0,0,0,0,0,0,1,"0,0%"
Kamil Zapolnik,Górnik Zabrze,1,0,0,0,0,0,0,0,1,"0,0%"
Dominik Nagy,Legia Warszawa,1,0,1,0,0,0,0,1,0,"100,0%"
Łukasz Piątek,ŁKS Łódź,1,0,0,0,0,0,0,0,1,"0,0%"
Michał Mak,Wisła Kraków,1,0,0,0,0,0,0,0,1,"0,0%"
Jakub Tosik,Zagłębie Lubin,1,0,1,0,0,0,0,1,0,"100,0%"
Dawid Pakulski,Zagłębie Lubin,1,0,0,0,0,0,0,0,1,"0,0%"
Michał Skóraś,Raków/Lech,1,0,0,0,0,0,0,0,1,"0,0%"
Thomas Rogne,Lech Poznań,1,0,1,0,0,0,0,1,0,"100,0%"
Michał Rakoczy,Cracovia,1,0,0,0,0,0,0,0,1,"0,0%"
Marcin Cebula,Korona Kielce,1,0,0,0,0,0,0,0,1,"0,0%"
Jan Grzesik,ŁKS Łódź,1,0,0,1,0,0,0,1,0,"100,0%"
Wojciech Golla,Śląsk Wrocław,1,0,1,0,0,0,0,1,0,"100,0%"
Milan Radin,Korona Kielce,1,0,0,0,0,0,0,0,1,"0,0%"
Robert Gumny,Lech Poznań,1,0,0,1,0,0,0,1,0,"100,0%"
Mikołaj Kwietniewski,Wisła Płock,1,0,0,0,0,0,0,0,1,"0,0%"
Mateusz Wieteska,Legia Warszawa,1,0,1,0,0,0,0,1,0,"100,0%"
Santeri Hostikka,Pogoń Szczecin,1,0,0,0,0,0,0,0,1,"0,0%"
Bartosz Kwiecień,Jagiellonia,1,0,1,0,0,0,0,1,0,"100,0%"
Tomasz Jodłowiec,Piast Gliwice,1,0,1,0,0,0,0,1,0,"100,0%"
Przemysław Wiśniewski,Górnik Zabrze,1,0,1,0,0,0,0,1,0,"100,0%"
David Stec,Pogoń Szczecin,1,0,0,1,0,0,0,1,0,"100,0%"
Diego Ferraresso,Cracovia,1,0,0,0,0,0,0,0,1,"0,0%"
Kamil Pestka,Cracovia,1,0,0,0,0,0,0,0,1,"0,0%"
Paweł Bochniewicz,Górnik Zabrze,1,0,1,0,0,0,0,1,0,"100,0%"
Lubomir Satka,Lech Poznań,1,0,1,0,0,0,0,1,0,"100,0%"
Lukas Klemenz,Wisła Kraków,1,0,1,0,0,0,0,1,0,"100,0%"
Vullnet Basha,Wisła Kraków,1,0,0,0,0,0,0,0,1,"0,0%"
Łukasz Burliga,Wisła Kraków,1,0,0,0,0,0,0,0,1,"0,0%"
Tomas Vestenicky,Cracovia,1,0,1,0,0,0,0,1,0,"100,0%"
Conrado,Lechia Gdańsk,1,0,0,1,0,0,0,1,0,"100,0%"
Filip Raicević,Śląsk Wrocław,1,0,0,0,0,0,0,0,1,"0,0%"
Jakub Czerwiński,Piast Gliwice,1,0,1,0,0,0,0,1,0,"100,0%"
Nemanja Mihajlović,Arka Gdynia,1,0,0,0,0,0,0,0,1,"0,0%"
Bogdan Tiru,Jagiellonia,1,0,1,0,0,0,0,1,0,"100,0%"
Lubomir Tupta,Wisła Kraków,1,0,0,0,0,0,0,0,1,"0,0%"
Piotr Krawczyk,Górnik Zabrze,1,0,1,0,0,0,0,1,0,"100,0%"
Maciej Makuszewski,Jagiellonia,1,0,0,0,0,0,0,0,1,"0,0%"
Przemysław Mystkowski,Jagiellonia,1,0,0,0,0,0,0,0,1,"0,0%"
Ariel Borysiuk,Jagiellonia,1,0,0,0,1,0,0,1,0,"100,0%"
Hebert,Wisła Kraków,1,0,0,1,0,0,0,1,0,"100,0%"
Antonio Dominguez,ŁKS Łódź,1,1,0,0,0,0,0,1,0,"100,0%"
Adam Ratajczyk,ŁKS Łódź,1,0,0,0,0,0,0,0,1,"0,0%"
Michał Helik,Cracovia,1,0,0,1,0,0,0,1,0,"100,0%"
Jacek Kiełb,Korona Kielce,1,0,0,0,0,0,0,0,1,"0,0%"
Angel Garcia,Wisła Płock,1,0,0,0,0,0,0,0,1,"0,0%"
