ZAWODNIK,KLUB,L % celn,P % celn,G % celn,R,R celn,% R celn,R Gole,Strzały/gol,GOL/R,KP
Walerian Gwilia,Legia Warszawa,"27,3%","41,1%","0,0%",70,26,"37,1%",8,"8,75","11,4%",73
Robert Pich,Śląsk Wrocław,"33,3%","39,5%","25,0%",71,26,"36,6%",7,"10,14","9,9%",38
Kamil Jóźwiak,Lech Poznań,"50,0%","34,6%","28,6%",68,25,"36,8%",8,"8,50","11,8%",63
Giorgi Merebaszwili,Wisła Płock,"50,0%","50,0%",-,46,23,"50,0%",4,"11,50","8,7%",22
Bartosz Białek,Zagłębie Lubin,"63,6%","34,5%","50,0%",52,23,"44,2%",9,"5,78","17,3%",12
Jakub Moder,Lech Poznań,"41,7%","30,0%","100,0%",65,23,"35,4%",5,"13,00","7,7%",22
Patryk Klimala,Jagiellonia,"80,0%","53,1%","25,0%",41,22,"53,7%",7,"5,86","17,1%",12
Jarosław Niezgoda,Legia Warszawa,"54,5%","66,7%","53,8%",36,21,"58,3%",14,"2,57","38,9%",16
Marko Vejinović,Arka Gdynia,"0,0%","50,0%","0,0%",48,21,"43,8%",8,"6,00","16,7%",30
Petr Schwarz,Raków Częstochowa,"20,0%","38,6%","50,0%",55,21,"38,2%",8,"6,88","14,5%",89
Michał Nalepa I,Arka Gdynia,"25,0%","32,7%","50,0%",66,21,"31,8%",7,"9,43","10,6%",60
Erik Pacinda,Korona Kielce,"44,1%","33,3%","75,0%",44,20,"45,5%",4,"11,00","9,1%",29
Patryk Szysz,Zagłębie Lubin,"38,9%","100,0%","50,0%",44,20,"45,5%",3,"14,67","6,8%",29
Erik Exposito,Śląsk Wrocław,"27,5%","33,3%","40,0%",63,20,"31,7%",8,"7,88","12,7%",31
Adam Buksa,Pogoń Szczecin,"40,6%","35,7%","14,3%",53,19,"35,8%",7,"7,57","13,2%",15
Dominik Furman,Wisła Płock,"50,0%","30,6%","0,0%",58,19,"32,8%",7,"8,29","12,1%",99
Srdan Spiridonović,Pogoń Szczecin,"24,0%","31,7%",-,66,19,"28,8%",6,"11,00","9,1%",34
Sebastian Kowalczyk,Pogoń Szczecin,"44,4%","54,5%","50,0%",35,18,"51,4%",2,"17,50","5,7%",42
Maciej Jankowski,Arka Gdynia,"66,7%","54,5%","26,1%",43,18,"41,9%",8,"5,38","18,6%",34
Jakov Puljić,Jagiellonia,"66,7%","35,7%","40,0%",44,18,"40,9%",5,"8,80","11,4%",16
Sebastian Musiolik,Raków Częstochowa,"36,4%","0,0%","40,0%",51,18,"35,3%",6,"8,50","11,8%",16
Dawit Schirtladze,Arka Gdynia,"63,2%","25,0%","42,9%",34,17,"50,0%",4,"8,50","11,8%",21
Uros Duranović,Korona Kielce,"100,0%","46,4%","37,5%",37,17,"45,9%",0,-,"0,0%",14
Tomas Petrasek,Raków Częstochowa,"50,0%","50,0%","40,5%",41,17,"41,5%",6,"6,83","14,6%",12
Luquinhas,Legia Warszawa,"16,7%","32,6%","66,7%",52,17,"32,7%",5,"10,40","9,6%",57
Tom Hateley,Piast Gliwice,"45,5%","29,3%",-,52,17,"32,7%",1,"52,00","1,9%",56
Łukasz Zwoliński,Lechia Gdańsk,"33,3%","52,9%","66,7%",29,16,"55,2%",7,"4,14","24,1%",6
Taras Romanczuk,Jagiellonia,"21,2%","0,0%","50,0%",58,16,"27,6%",3,"19,33","5,2%",45
Sergiu Hanca,Cracovia,"20,0%","28,6%",-,59,16,"27,1%",8,"7,38","13,6%",74
Alon Turgeman,Wisła Kraków,"66,7%","66,7%","100,0%",22,15,"68,2%",6,"3,67","27,3%",6
Alan Uryga,Wisła Płock,"0,0%","50,0%","45,5%",33,15,"45,5%",4,"8,25","12,1%",2
Paweł Wszołek,Legia Warszawa,"43,8%","28,6%","33,3%",42,15,"35,7%",6,"7,00","14,3%",49
Mateusz Cholewiak,Śląsk/Legia,"37,9%","50,0%","14,3%",42,15,"35,7%",4,"10,50","9,5%",19
Tymoteusz Puchacz,Lech Poznań,"27,5%","16,7%",-,57,15,"26,3%",3,"19,00","5,3%",40
Pirulo,ŁKS Łódź,"19,0%","33,3%","50,0%",61,15,"24,6%",1,"61,00","1,6%",39
Mateusz Wdowiak,Cracovia,"57,1%","30,4%","60,0%",35,14,"40,0%",2,"17,50","5,7%",30
Darko Jevtić,Lech Poznań,"31,8%","0,0%","0,0%",50,14,"28,0%",6,"8,33","12,0%",43
Zvonimir Kozulj,Pogoń Szczecin,"50,0%","22,4%",-,55,14,"25,5%",3,"18,33","5,5%",29
Paweł Brożek,Wisła Kraków,"80,0%","54,5%","33,3%",25,13,"52,0%",8,"3,13","32,0%",16
Michał Chrapek,Śląsk Wrocław,"33,3%","42,9%","50,0%",32,13,"40,6%",5,"6,40","15,6%",46
Jarosław Jach,Raków Częstochowa,"23,8%","0,0%","57,1%",37,13,"35,1%",2,"18,50","5,4%",6
Lukas Haraslin,Lechia Gdańsk,"30,8%","34,6%","0,0%",40,13,"32,5%",2,"20,00","5,0%",23
Michał Trąbka,ŁKS Łódź,"16,7%","39,3%","0,0%",41,13,"31,7%",1,"41,00","2,4%",51
Matej Pućko,Korona Kielce,"20,0%","30,8%","0,0%",45,13,"28,9%",1,"45,00","2,2%",23
Arvydas Novikovas,Legia Warszawa,"28,2%","28,6%","0,0%",47,13,"27,7%",4,"11,75","8,5%",25
Łukasz Poręba,Zagłębie Lubin,"50,0%","58,8%","100,0%",20,12,"60,0%",2,"10,00","10,0%",18
Adnan Kovacević,Korona Kielce,"0,0%","53,3%","30,8%",29,12,"41,4%",5,"5,80","17,2%",9
Daniel Bartl,Raków Częstochowa,"0,0%","44,4%","0,0%",34,12,"35,3%",2,"17,00","5,9%",20
Jakub Błaszczykowski,Wisła Kraków,"33,3%","32,3%","100,0%",35,12,"34,3%",7,"5,00","20,0%",45
Miłosz Szczepański,Raków Częstochowa,"28,6%","34,5%","0,0%",39,12,"30,8%",1,"39,00","2,6%",28
Juan Camara,Jagiellonia,"24,4%","100,0%","0,0%",47,12,"25,5%",2,"23,50","4,3%",25
Mateusz Szwoch,Wisła Płock,"17,6%","23,5%","50,0%",53,12,"22,6%",4,"13,25","7,5%",23
Marko Vesović,Legia Warszawa,"62,5%","30,8%","100,0%",23,11,"47,8%",1,"23,00","4,3%",37
Lubomir Guldan,Zagłębie Lubin,"100,0%","54,5%","26,7%",27,11,"40,7%",1,"27,00","3,7%",14
Łukasz Sekulski,ŁKS Łódź,"20,0%","53,3%","28,6%",27,11,"40,7%",5,"5,40","18,5%",9
Paweł Bochniewicz,Górnik Zabrze,"33,3%","50,0%","35,3%",28,11,"39,3%",1,"28,00","3,6%",5
Patryk Sokołowski,Piast Gliwice,"33,3%","37,5%","25,0%",31,11,"35,5%",0,-,"0,0%",19
Domagoj Antolić,Legia Warszawa,"33,3%","33,3%",-,33,11,"33,3%",3,"11,00","9,1%",59
Gerard Badia,Piast Gliwice,"33,3%","0,0%","100,0%",33,11,"33,3%",4,"8,25","12,1%",37
Krzysztof Mączyński,Śląsk Wrocław,"12,5%","35,7%","0,0%",37,11,"29,7%",4,"9,25","10,8%",36
Ricardo Guima,ŁKS Łódź,"40,0%","18,5%",-,42,11,"26,2%",2,"21,00","4,8%",30
Michal Papadopulos,Korona Kielce,"25,0%","30,4%","17,6%",44,11,"25,0%",3,"14,67","6,8%",14
Dominik Nagy,Legia Warszawa,"60,0%","80,0%",-,15,10,"66,7%",1,"15,00","6,7%",7
Aleksander Buksa,Wisła Kraków,"50,0%","100,0%","100,0%",16,10,"62,5%",4,"4,00","25,0%",1
Artur Sobiech,Lechia Gdańsk,"50,0%","44,4%","57,1%",20,10,"50,0%",6,"3,33","30,0%",17
Piotr Tomasik,Wisła Płock,"41,7%","50,0%","66,7%",21,10,"47,6%",3,"7,00","14,3%",21
Kamil Zapolnik,Górnik Zabrze,"50,0%","53,3%","16,7%",23,10,"43,5%",1,"23,00","4,3%",9
Oskar Zawada,Wisła P/Arka,"0,0%","28,6%","57,1%",25,10,"40,0%",1,"25,00","4,0%",6
Joao Amaral,Lech Poznań,"25,0%","32,0%","100,0%",30,10,"33,3%",3,"10,00","10,0%",15
Damian Michalski,Wisła Płock,"50,0%","60,0%","15,8%",32,10,"31,3%",4,"8,00","12,5%",7
Tomas Prikryl,Jagiellonia,"33,3%","33,3%","0,0%",34,10,"29,4%",2,"17,00","5,9%",40
Bartosz Bida,Jagiellonia,"20,0%","25,0%","60,0%",34,10,"29,4%",5,"6,80","14,7%",17
Igor Sapała,Raków Częstochowa,"0,0%","30,0%","100,0%",36,10,"27,8%",2,"18,00","5,6%",23
Sebastian Milewski,Piast Gliwice,"33,3%","24,1%","0,0%",39,10,"25,6%",2,"19,50","5,1%",27
Cillian Sheridan,Wisła Płock,"71,4%","33,3%","42,9%",17,9,"52,9%",2,"8,50","11,8%",9
Łukasz Wolstyński,Górnik Zabrze,"100,0%","33,3%","75,0%",18,9,"50,0%",2,"9,00","11,1%",31
Rafał Boguski,Wisła Kraków,"50,0%","46,7%","0,0%",20,9,"45,0%",0,-,"0,0%",17
Adam Frączczak,Pogoń Szczecin,"60,0%","28,6%","50,0%",23,9,"39,1%",4,"5,75","17,4%",8
Tomas Pekhart,Legia Warszawa,"50,0%","60,0%","23,1%",23,9,"39,1%",5,"4,60","21,7%",6
Jakub Kamiński,Lech Poznań,"50,0%","36,4%","0,0%",25,9,"36,0%",4,"6,25","16,0%",30
Andre Martins,Legia Warszawa,-,"34,6%",-,26,9,"34,6%",0,-,"0,0%",24
Artur Jędrzejczyk,Legia Warszawa,"50,0%","50,0%","21,4%",26,9,"34,6%",0,-,"0,0%",15
Sławomir Peszko,Lechia Gdańsk,"50,0%","23,1%","33,3%",26,9,"34,6%",3,"8,67","11,5%",14
Kamil Wojtkowski,Wisła Kraków,"20,0%","37,5%","50,0%",28,9,"32,1%",2,"14,00","7,1%",18
Adam Deja,Arka Gdynia,"16,7%","36,4%",-,28,9,"32,1%",1,"28,00","3,6%",14
Erik Jirka,Górnik Zabrze,"20,0%","34,8%","0,0%",30,9,"30,0%",4,"7,50","13,3%",15
Maciej Gajos,Lechia Gdańsk,"12,5%","33,3%","33,3%",32,9,"28,1%",3,"10,67","9,4%",25
Paweł Cibicki,Pogoń Szczecin,"16,7%","28,0%","25,0%",35,9,"25,7%",3,"11,67","8,6%",12
Santeri Hostikka,Pogoń Szczecin,"25,0%","17,2%","75,0%",37,9,"24,3%",1,"37,00","2,7%",18
Maciej Sadlok,Wisła Kraków,"30,0%","0,0%","0,0%",42,9,"21,4%",1,"42,00","2,4%",50
Martin Konczkowski,Piast Gliwice,"50,0%","70,0%",-,12,8,"66,7%",0,-,"0,0%",20
Rafał Kujawa,ŁKS Łódź,"40,0%","66,7%","50,0%",17,8,"47,1%",4,"4,25","23,5%",13
Patryk Tuszyński,Zagłębie/Piast,"0,0%","55,6%","37,5%",19,8,"42,1%",1,"19,00","5,3%",19
Ricardinho,Wisła Płock,"0,0%","27,3%","55,6%",21,8,"38,1%",4,"5,25","19,0%",16
Ołeksij Dytiatjew,Cracovia,-,"28,6%","42,9%",21,8,"38,1%",1,"21,00","4,8%",4
Erik Janza,Górnik Zabrze,"33,3%","100,0%",-,22,8,"36,4%",0,-,"0,0%",77
Giorgos Giakoumakis,Górnik Zabrze,"33,3%","30,8%","33,3%",23,8,"34,8%",3,"7,67","13,0%",7
Tomasz Jodłowiec,Legia/Piast,"0,0%","36,4%","40,0%",24,8,"33,3%",1,"24,00","4,2%",9
Cornel Rapa,Cracovia,"50,0%","16,7%","75,0%",26,8,"30,8%",3,"8,67","11,5%",33
Michał Helik,Cracovia,"50,0%","33,3%","26,7%",26,8,"30,8%",1,"26,00","3,8%",4
Sasa Balić,Zagłębie Lubin,"10,0%",-,"35,0%",30,8,"26,7%",2,"15,00","6,7%",23
Hubert Adamczyk,Wisła Płock,"62,5%","66,7%",-,11,7,"63,6%",1,"11,00","9,1%",8
Adam Danch,Arka Gdynia,"0,0%","100,0%","57,1%",11,7,"63,6%",2,"5,50","18,2%",7
Ricardo Nunes,Pogoń Szczecin,"75,0%","33,3%","0,0%",12,7,"58,3%",1,"12,00","8,3%",32
Filip Marchwiński,Lech Poznań,"25,0%","60,0%","0,0%",16,7,"43,8%",3,"5,33","18,8%",10
Paweł Tomczyk,Lech Poznań,"0,0%","66,7%","100,0%",16,7,"43,8%",3,"5,33","18,8%",3
Bartosz Rymaniak,Piast Gliwice,"57,1%","16,7%","40,0%",18,7,"38,9%",0,-,"0,0%",17
Dragoljub Srnić,ŁKS Łódź,-,"36,8%",-,19,7,"36,8%",0,-,"0,0%",11
Michał Skóraś,Raków/Lech,"100,0%","26,7%","0,0%",19,7,"36,8%",1,"19,00","5,3%",8
Hubert Matynia,Pogoń Szczecin,"23,5%","100,0%",-,20,7,"35,0%",2,"10,00","10,0%",27
Bartosz Kopacz,Zagłębie Lubin,"33,3%","0,0%","46,2%",21,7,"33,3%",1,"21,00","4,8%",11
Jan Grzesik,ŁKS Łódź,"33,3%","26,7%","50,0%",22,7,"31,8%",1,"22,00","4,5%",28
Maciej Wolski,ŁKS Łódź,"42,9%","21,4%","50,0%",23,7,"30,4%",1,"23,00","4,3%",12
Maciej Makuszewski,Lech/Jagiellonia,"0,0%","36,8%","0,0%",25,7,"28,0%",1,"25,00","4,0%",21
Michał Mak,Wisła Kraków,"12,5%","37,5%","0,0%",26,7,"26,9%",1,"26,00","3,8%",25
Marcin Cebula,Korona Kielce,"20,0%","27,3%",-,27,7,"25,9%",1,"27,00","3,7%",34
Filip Mladenović,Lechia Gdańsk,"25,0%","20,0%",-,29,7,"24,1%",0,-,"0,0%",40
David Jablonsky,Cracovia,"0,0%","16,7%","33,3%",29,7,"24,1%",1,"29,00","3,4%",4
Karlo Muhar,Lech Poznań,"33,3%","19,0%","33,3%",30,7,"23,3%",1,"30,00","3,3%",15
Martin Pospisil,Jagiellonia,"10,0%","24,0%",-,35,7,"20,0%",2,"17,50","5,7%",74
Bartosz Slisz,Zagłębie Lubin,"0,0%","18,2%","33,3%",40,7,"17,5%",2,"20,00","5,0%",15
Piotr Malarczyk,Piast Gliwice,"0,0%","0,0%","100,0%",8,6,"75,0%",0,-,"0,0%",3
Maciej Rosołek,Legia Warszawa,"33,3%","75,0%","100,0%",9,6,"66,7%",3,"3,00","33,3%",5
Kamil Kościelny,Raków Częstochowa,-,"0,0%","66,7%",10,6,"60,0%",3,"3,33","30,0%",4
Kostas Triantafyllopoulos,Pogoń Szczecin,-,"33,3%","62,5%",11,6,"54,5%",1,"11,00","9,1%",5
Jakub Bartkowski,Pogoń Szczecin,"50,0%","66,7%","33,3%",14,6,"42,9%",0,-,"0,0%",17
Angel Garcia,Wisła Płock,"44,4%","100,0%","25,0%",14,6,"42,9%",1,"14,00","7,1%",9
Jean Carlos,Wisła Kraków,"50,0%","36,4%","0,0%",16,6,"37,5%",0,-,"0,0%",5
Patryk Lipski,Lechia Gdańsk,"40,0%","33,3%","33,3%",17,6,"35,3%",0,-,"0,0%",18
Rafał Wolski,Lechia Gdańsk,"20,0%","45,5%","0,0%",17,6,"35,3%",1,"17,00","5,9%",12
Ivan Runje,Jagiellonia,"100,0%","66,7%","23,1%",17,6,"35,3%",3,"5,67","17,6%",6
Ariel Borysiuk,Jagiellonia,"16,7%","45,5%",-,17,6,"35,3%",1,"17,00","5,9%",4
David Stec,Pogoń Szczecin,"25,0%","38,5%","0,0%",18,6,"33,3%",1,"18,00","5,6%",19
Dejan Drazić,Zagłębie Lubin,"25,0%","35,7%",-,18,6,"33,3%",2,"9,00","11,1%",12
Adam Ratajczyk,ŁKS Łódź,"100,0%","29,4%","0,0%",20,6,"30,0%",1,"20,00","5,0%",15
Vullnet Basha,Wisła Kraków,"0,0%","35,3%",-,21,6,"28,6%",1,"21,00","4,8%",13
Israel Puerto,Śląsk Wrocław,"100,0%","50,0%","22,2%",21,6,"28,6%",2,"10,50","9,5%",7
Janusz Gol,Cracovia,"33,3%","16,7%","100,0%",22,6,"27,3%",1,"22,00","4,5%",23
Vukan Savicević,Wisła Kraków,"25,0%","21,7%",-,27,6,"22,2%",4,"6,75","14,8%",18
Mateusz Młyński,Arka Gdynia,"50,0%","14,3%","50,0%",27,6,"22,2%",2,"13,50","7,4%",14
Dino Stiglec,Śląsk Wrocław,"13,0%","28,6%","50,0%",32,6,"18,8%",4,"8,00","12,5%",46
Marcin Listkowski,Pogoń Szczecin,"0,0%","21,4%",-,32,6,"18,8%",2,"16,00","6,3%",24
Karol Angielski,Wisła Płock,"50,0%","50,0%","100,0%",9,5,"55,6%",0,-,"0,0%",0
Kamil Pestka,Cracovia,"50,0%","50,0%",-,10,5,"50,0%",1,"10,00","10,0%",11
Omran Haydary,Lechia Gdańsk,"50,0%","50,0%",-,10,5,"50,0%",2,"5,00","20,0%",3
Łukasz Broź,Śląsk Wrocław,-,"33,3%","100,0%",13,5,"38,5%",3,"4,33","23,1%",12
Tomas Podstawski,Pogoń Szczecin,"0,0%","80,0%","20,0%",13,5,"38,5%",1,"13,00","7,7%",11
Torgil Gjertsen,Wisła Płock,"50,0%","33,3%","33,3%",13,5,"38,5%",2,"6,50","15,4%",11
Jewgienij Baszkirow,Zagłębie Lubin,"66,7%","30,0%",-,13,5,"38,5%",2,"6,50","15,4%",9
Wojciech Golla,Śląsk Wrocław,"0,0%","0,0%","62,5%",13,5,"38,5%",1,"13,00","7,7%",5
Filip Marković,Śląsk Wrocław,"33,3%","42,9%","25,0%",14,5,"35,7%",2,"7,00","14,3%",7
Ze Gomes,Lechia Gdańsk,"100,0%","36,4%","0,0%",14,5,"35,7%",1,"14,00","7,1%",7
Kristopher Vida,Piast Gliwice,"0,0%","50,0%","100,0%",16,5,"31,3%",0,-,"0,0%",18
Martin Kostal,Jagiellonia,"50,0%","25,0%",-,16,5,"31,3%",0,-,"0,0%",7
Filip Piszczek,Cracovia,"0,0%","40,0%","33,3%",16,5,"31,3%",0,-,"0,0%",4
Przemysław Mystkowski,Jagiellonia,"0,0%","27,3%","33,3%",18,5,"27,8%",1,"18,00","5,6%",4
Kamil Drygas,Pogoń Szczecin,"15,4%","50,0%","33,3%",21,5,"23,8%",2,"10,50","9,5%",15
Jakub Łabojko,Śląsk Wrocław,"0,0%","26,3%",-,22,5,"22,7%",2,"11,00","9,1%",19
Fabian Serrarens,Arka Gdynia,"20,0%","23,1%","25,0%",22,5,"22,7%",0,-,"0,0%",14
Kamil Antonik,Arka Gdynia,"14,3%","26,7%",-,22,5,"22,7%",0,-,"0,0%",5
Mikkel Kirkeskov,Piast Gliwice,"19,0%","100,0%","0,0%",24,5,"20,8%",0,-,"0,0%",41
Antonio Dominguez,ŁKS Łódź,"21,7%","0,0%","0,0%",25,5,"20,0%",1,"25,00","4,0%",5
Chuca,Wisła Kraków,"0,0%","22,7%","0,0%",26,5,"19,2%",2,"13,00","7,7%",14
Jacek Kiełb,Korona Kielce,"37,5%","11,8%","0,0%",28,5,"17,9%",1,"28,00","3,6%",20
David Niepsuj,Wisła Kraków,"100,0%","66,7%","100,0%",5,4,"80,0%",2,"2,50","40,0%",16
Carlos Moros Gracia,ŁKS Łódź,-,"66,7%","66,7%",6,4,"66,7%",2,"3,00","33,3%",3
Stavros Vassilantonopoulos,Górnik Zabrze,"100,0%","50,0%",-,7,4,"57,1%",2,"3,50","28,6%",7
Piotr Krawczyk,Górnik Zabrze,"66,7%","33,3%","100,0%",7,4,"57,1%",1,"7,00","14,3%",3
Michael Gardawski,Korona Kielce,"100,0%","50,0%","0,0%",8,4,"50,0%",0,-,"0,0%",17
Zoran Arsenić,Jagiellonia,"100,0%","0,0%","42,9%",9,4,"44,4%",0,-,"0,0%",14
Thiago Thiago,Cracovia,"50,0%","42,9%",-,9,4,"44,4%",0,-,"0,0%",8
Lubomir Tupta,Wisła Kraków,"50,0%","50,0%","0,0%",9,4,"44,4%",1,"9,00","11,1%",7
Filip Raicević,Śląsk Wrocław,"0,0%","60,0%","33,3%",9,4,"44,4%",1,"9,00","11,1%",1
Dominik Steczyk,Piast Gliwice,"33,3%","40,0%","50,0%",10,4,"40,0%",0,-,"0,0%",3
Ivan Jukić,Korona Kielce,"66,7%","16,7%","100,0%",10,4,"40,0%",0,-,"0,0%",2
Rusłan Babenko,Raków Częstochowa,"40,0%","0,0%",-,11,4,"36,4%",0,-,"0,0%",22
Adam Marciniak,Arka Gdynia,"28,6%","100,0%","33,3%",11,4,"36,4%",0,-,"0,0%",18
Kamil Piątkowski,Raków Częstochowa,"0,0%","66,7%","0,0%",11,4,"36,4%",1,"11,00","9,1%",9
Jaroslav Mihalik,Lechia Gdańsk,"100,0%","22,2%","0,0%",12,4,"33,3%",2,"6,00","16,7%",15
Rodrigo Zalazar,Korona Kielce,-,"33,3%",-,12,4,"33,3%",0,-,"0,0%",6
Artur Bogusz,ŁKS Łódź,"100,0%","33,3%","0,0%",13,4,"30,8%",0,-,"0,0%",11
Marcin Budziński,Arka Gdynia,"0,0%","33,3%",-,13,4,"30,8%",0,-,"0,0%",7
Marcus Vinicius,Arka Gdynia,"33,3%","25,0%","33,3%",13,4,"30,8%",3,"4,33","23,1%",5
Karol Fila,Lechia Gdańsk,"50,0%","20,0%","50,0%",14,4,"28,6%",0,-,"0,0%",24
David Kopacz,Górnik Zabrze,"0,0%","30,0%","100,0%",14,4,"28,6%",0,-,"0,0%",17
Tomas Vestenicky,Cracovia,"16,7%","33,3%","33,3%",15,4,"26,7%",1,"15,00","6,7%",6
Damian Zbozień,Arka Gdynia,"0,0%","14,3%","50,0%",16,4,"25,0%",0,-,"0,0%",19
Grzegorz Szymusik,Korona Kielce,"50,0%","25,0%","14,3%",17,4,"23,5%",1,"17,00","5,9%",12
Nikola Kuveljić,Wisła Kraków,"23,5%",-,-,17,4,"23,5%",0,-,"0,0%",2
Jakub Żubrowski,Korona Kielce,"40,0%","13,3%",-,20,4,"20,0%",1,"20,00","5,0%",28
Jakub Tosik,Zagłębie Lubin,"25,0%","15,4%","0,0%",23,4,"17,4%",1,"23,00","4,3%",9
Michał Nalepa II,Lechia Gdańsk,"0,0%","21,4%","8,3%",27,4,"14,8%",2,"13,50","7,4%",7
Milan Radin,Korona Kielce,"37,5%","0,0%","100,0%",29,4,"13,8%",1,"29,00","3,4%",23
Kamil Dankowski,Śląsk Wrocław,"0,0%","100,0%",-,4,3,"75,0%",0,-,"0,0%",5
Ishmael Baidoo,Górnik Zabrze,"100,0%","50,0%",-,4,3,"75,0%",0,-,"0,0%",1
Michał Rakoczy,Cracovia,"0,0%","66,7%","100,0%",5,3,"60,0%",1,"5,00","20,0%",3
Hebert,Wisła Kraków,-,-,"60,0%",5,3,"60,0%",1,"5,00","20,0%",2
Sylwester Lusiusz,Cracovia,"33,3%","66,7%",-,6,3,"50,0%",0,-,"0,0%",13
Dawid Kocyła,Wisła Płock,"50,0%","50,0%",-,6,3,"50,0%",3,"2,00","50,0%",6
Jakub Rzeźniczak,Wisła Płock,-,"40,0%","100,0%",6,3,"50,0%",2,"3,00","33,3%",3
Marcin Wasilewski,Wisła Kraków,"50,0%","100,0%","33,3%",6,3,"50,0%",0,-,"0,0%",1
Grzegorz Kuświk,Wisła Płock,"100,0%","50,0%","25,0%",7,3,"42,9%",2,"3,50","28,6%",7
Michał Koj,Górnik Zabrze,"50,0%",-,"0,0%",7,3,"42,9%",1,"7,00","14,3%",4
Krzysztof Drzazga,Wisła Kraków,-,"33,3%","100,0%",7,3,"42,9%",0,-,"0,0%",3
Ivan Marquez,Korona Kielce,-,"33,3%","50,0%",7,3,"42,9%",0,-,"0,0%",1
Mateusz Praszelik,Legia Warszawa,-,"42,9%",-,7,3,"42,9%",0,-,"0,0%",0
Wołodymyr Kostewycz,Lech Poznań,"50,0%","0,0%","0,0%",9,3,"33,3%",0,-,"0,0%",32
Patryk Kun,Raków Częstochowa,"42,9%","0,0%",-,9,3,"33,3%",0,-,"0,0%",17
Adrian Klimczak,ŁKS Łódź,"42,9%","0,0%",-,9,3,"33,3%",0,-,"0,0%",7
Bogdan Tiru,Jagiellonia,-,"50,0%","28,6%",9,3,"33,3%",1,"9,00","11,1%",5
Daniel Szelągowski,Korona Kielce,"0,0%","60,0%","0,0%",9,3,"33,3%",2,"4,50","22,2%",3
Andrija Luković,Raków Częstochowa,"22,2%",-,"50,0%",11,3,"27,3%",0,-,"0,0%",7
Bojan Cecarić,Cracovia/Korona,"100,0%","0,0%","33,3%",12,3,"25,0%",0,-,"0,0%",10
Piotr Malinowski,Raków Częstochowa,"0,0%","42,9%","0,0%",12,3,"25,0%",2,"6,00","16,7%",10
Damian Rasak,Wisła Płock,"50,0%","20,0%",-,12,3,"25,0%",0,-,"0,0%",8
Igor Lewczuk,Legia Warszawa,-,"33,3%","22,2%",12,3,"25,0%",1,"12,00","8,3%",4
Maksymilian Rozwandowicz,ŁKS Łódź,"0,0%","22,2%","50,0%",12,3,"25,0%",1,"12,00","8,3%",3
Lubambo Musonda,Śląsk Wrocław,"66,7%","10,0%",-,13,3,"23,1%",0,-,"0,0%",17
Szymon Matuszek,Górnik Zabrze,"0,0%","0,0%","33,3%",13,3,"23,1%",2,"6,50","15,4%",3
Alasana Manneh,Górnik Zabrze,"21,4%",-,-,14,3,"21,4%",1,"14,00","7,1%",23
Fran Tudor,Raków Częstochowa,"14,3%","28,6%",-,14,3,"21,4%",1,"14,00","7,1%",21
Piotr Pyrdoł,ŁKS/Legia,"33,3%","20,0%","0,0%",14,3,"21,4%",1,"14,00","7,1%",16
