ZAWODNIK,KLUB,FAULE,FAULOWANY,SPALONE
Sebastian Szymański,Legia Warszawa,21,22,3
Michał Pazdan,Legia Warszawa,21,9,2
Łukasz Broź,Legia Warszawa,20,39,2
Michał Kucharczyk,Legia Warszawa,20,34,14
Mateusz Wdowiak,Cracovia,20,34,4
Ołeksij Dytiatjew,Cracovia,20,30,3
Arkadiusz Woźniak,Zagłębie Lubin,20,23,4
Elhadji Pape Diaw,Korona Kielce,20,19,0
Tom Hateley,Piast Gliwice,20,17,2
Tim Rieder,Śląsk Wrocław,20,11,0
Antoni Łukasiewicz,Arka Gdynia,20,7,0
Guti,Jagiellonia,20,3,0
Maciej Jankowski,Piast Gliwice,19,32,2
Chris Philipps,Legia Warszawa,19,22,0
Marcus Vinicius,Arka Gdynia,19,21,1
Yannick Kakoko,Arka Gdynia,19,15,0
Paweł Bochniewicz,Górnik Zabrze,19,11,1
Kasper Hamalainen,Legia Warszawa,18,34,5
Adrian Danek,Sandecja,18,32,1
Karol Angielski,Piast Gliwice,18,31,8
Martin Listkowski,Pogoń Szczecin,18,30,1
Tibor Halilović,Wisła Kraków,18,25,0
Fedor Cernych,Jagiellonia,18,23,7
Maciej Górski,Korona Kielce,18,23,5
Sergei Zenjov,Cracovia,18,20,3
Lukas Kubań,Sandecja,18,13,0
Marcin Urynowicz,Górnik Zabrze,18,13,5
Rafał Janicki,Lech Poznań,18,12,1
Diego Ferraresso,Cracovia,17,44,0
Mario Situm,Lech Poznań,17,36,3
Mateusz Mak,Piast Gliwice,17,32,1
Marcin Warcholak,Arka Gdynia,17,29,1
Roman Gergel,Bruk-Bet,17,26,3
Rafał Wolski,Lechia Gdańsk,17,25,0
Maciej Makuszewski,Lech Poznań,16,47,2
Cristian Pasquato,Legia Warszawa,16,26,2
Rafał Murawski,Pogoń Szczecin,16,23,0
Steven Vitoria,Lechia Gdańsk,16,15,1
Frederik Helstrup,Arka Gdynia,16,9,0
Sebastian Rudol,Pogoń Szczecin,16,7,0
Nicki Bille Nielsen,Lech Poznań,16,4,5
Elia Soriano,Korona Kielce,15,31,11
Patryk Lipski,Lechia Gdańsk,15,20,1
Jarosław Niezgoda,Legia Warszawa,15,18,21
Łukasz Sekulski,Jagiellonia,15,17,3
Nikola Vujadinović,Lech Poznań,15,14,3
Jakub Łukowski,Wisła Płock,15,13,1
Grzegorz Kuświk,Lechia Gdańsk,15,12,6
Domagoj Antolić,Legia Warszawa,15,8,2
Bartłomiej Sielewski,Wisła Płock,15,5,2
Marcin Wasilewski,Wisła Kraków,15,5,0
Kamil Słaby,Sandecja,15,4,1
Jakub Wójcicki,Cracovia/Jagiellonia,14,37,4
Szymon Pawłowski,Bruk-Bet,14,33,2
Milos Krasić,Lechia Gdańsk,14,27,6
Zlatko Janjić,Korona Kielce,14,19,1
Mateusz Lewandowski,Lechia/Śląsk,14,17,1
Abdul Aziz Tetteh,Lech Poznań,14,11,1
Ariel Borysiuk,Lechia Gdańsk,14,7,0
Dario Rugasević,Piast Gliwice,14,6,0
Victor Perez,Wisła Kraków,14,2,0
Alan Uryga,Wisła Płock,14,2,2
Martin Pospisil,Jagiellonia,13,34,2
Bartłomiej Dudzic,Sandecja,13,26,2
Konrad Michalak,Wisła Płock,13,25,7
Łukasz Janoszka,Zagłębie Lubin,13,22,1
Luka Zarandia,Arka Gdynia,13,21,1
Łukasz Madej,Śląsk Wrocław,13,18,4
Michał Mak,Śląsk Wrocław,13,13,0
Daniel Dziwniel,Zagłębie Lubin,13,10,1
Wojciech Hajda,Górnik Zabrze,13,10,0
Damian Byrtek,Wisła Płock,13,9,0
David Guba,Bruk-Bet,13,9,1
Alexandru Benga,Sandecja,13,9,1
Mikkel Kirkeskov,Piast Gliwice,13,8,3
Tadeusz Socha,Arka Gdynia,13,5,3
Kamil Biliński,Wisła Płock,13,2,1
Joao Oliveira,Lechia Gdańsk,12,13,1
Hubert Matynia,Pogoń Szczecin,12,13,1
Michal Siplak,Cracovia,12,11,0
Andrij Bohdanow,Arka Gdynia,12,10,1
Filip Mladenović,Lechia Gdańsk,12,9,1
Nicklas Barkroth,Lech Poznań,12,5,2
Matej Palcić,Wisła Kraków,12,1,1
Dominik Nagy,Legia Warszawa,11,36,2
Rafał Grzyb,Jagiellonia,11,21,2
Patrik Misak,Bruk-Bet,11,14,11
Jakub Mrozik,Bruk-Bet,11,12,0
Ivan Gonzalez,Wisła Kraków,11,10,2
Akos Kecskes,Bruk-Bet/Korona,11,7,0
Nemanja Mitrović,Jagiellonia,11,7,0
Gabriel Iancu,Bruk-Bet,11,7,0
Mateusz Cholewiak,Śląsk Wrocław,11,7,0
Patryk Stępiński,Wisła Płock,11,5,0
Patryk Fryc,Bruk-Bet,11,4,0
Oskar Zawada,Wisła Płock,11,3,1
Sebastian Kowalczyk,Pogoń Szczecin,10,10,1
Gerard Badia,Piast Gliwice,10,9,5
Eduardo,Legia Warszawa,10,8,4
Zdenek Ondrasek,Wisła Kraków,10,4,1
Adam Chrzanowski,Lechia Gdańsk,10,3,0
Adrian Gryszkiewicz,Górnik Zabrze,10,1,0
Konstantin Vassiljev,Piast Gliwice,9,15,0
Paweł Żyra,Zagłębie Lubin,9,10,0
Mato Milos,Lechia Gdańsk,9,9,0
Stojan Vranjes,Piast Gliwice,9,7,1
Kamil Mazek,Zagłębie Lubin,9,7,0
Jakub Grić,Sandecja,9,7,0
Caf Cafu,Legia Warszawa,9,7,1
Niko Datković,Cracovia,9,3,0
Petar Brlek,Wisła Kraków,8,17,0
Dorde Cotra,Śląsk Wrocław,8,9,2
Mateusz Piątkowski,Wisła Płock,8,9,2
Michał Kopczyński,Legia Warszawa,8,8,0
Maciej Pałaszewski,Śląsk Wrocław,8,8,0
David Ledecky,Górnik Zabrze,8,7,2
Armando Sadiku,Legia Warszawa,8,6,9
Adam Danch,Arka Gdynia,8,5,0
Mikołaj Lebedyński,Wisła Płock,8,5,1
Nicolai Brock-Madsen,Cracovia,8,2,3
Karol Świderski,Jagiellonia,7,21,3
Ołeksij Chobłenko,Lech Poznań,7,20,1
Piotr Tomasik,Jagiellonia/Lech,7,17,1
Antonini Culina,Cracovia,7,12,0
Erik Grendel,Górnik Zabrze,7,8,0
Deleu,Cracovia,7,2,0
Szymon Nowicki,Arka Gdynia,7,0,0
Deniss Rakels,Lech/Cracovia,6,29,3
Miroslav Radović,Legia Warszawa,6,15,5
Morten Rasmussen,Pogoń Szczecin,6,10,2
Lennard Sowah,Cracovia,6,8,0
Mateusz Cetnarski,Sandecja,6,7,1
Gabriel Matei,Bruk-Bet,6,7,0
Sebastian Strózik,Cracovia,6,6,0
Martin Kostal,Wisła Kraków,6,5,0
Denis Gojko,Piast Gliwice,6,3,1
Joona Toivio,Bruk-Bet,6,3,0
Fabian Burdenski,Korona Kielce,6,2,0
Krystian Miś,Korona Kielce,6,2,0
Konrad Poprawa,Śląsk Wrocław,6,2,0
Dariusz Formella,Pogoń Szczecin,5,18,3
Adam Gyurcso,Pogoń Szczecin,5,16,10
Dawid Kort,Pogoń Szczecin,5,14,0
Kamil Dankowski,Śląsk Wrocław,5,11,0
Aleksander Jagiełło,Piast Gliwice,5,8,1
Aleksandar Todorovski,Zagłębie Lubin,5,4,0
Rafał Wolsztyński,Górnik Zabrze,5,3,3
Sebastian Bergier,Śląsk Wrocław,5,3,2
Bartosz Slisz,Zagłębie Lubin,5,3,0
Romario Balde,Lechia Gdańsk,5,2,1
Gerson,Lechia Gdańsk,5,1,0
Bartłomiej Olszewski,Górnik Zabrze,5,0,0
Lukas Haraslin,Lechia Gdańsk,4,23,0
Ze Manuel,Wisła Kraków,4,9,0
Krzysztof Janus,Zagłębie Lubin,4,8,3
Pawło Ksionz,Sandecja,4,8,1
Shawn Barry,Korona Kielce,4,7,0
Siergiej Kriwiec,Arka Gdynia,4,7,0
Enrique Esqueda,Arka Gdynia,4,5,0
Martin Nespor,Zagłębie Lubin,4,4,3
Dmytro Chomczenowskyj,Jagiellonia,4,3,0
Michał Gałecki,Sandecja,4,2,0
Adrian Łyszczarz,Śląsk Wrocław,4,2,2
Dejan Lazarević,Jagiellonia,4,1,1
Mauricio,Legia Warszawa,4,1,0
Mateusz Żukowski,Lechia Gdańsk,4,1,2
Marko Kolar,Wisła Kraków,4,0,0
Achilleas Poungouras,Arka Gdynia,4,0,0
Damir Sovsić,Sandecja,3,11,0
Tymoteusz Klupś,Lech Poznań,3,7,0
