ZAWODNIK,KLUB,R,R celn,% R celn,R Gole,ZZA,ZZA celn,ZZA %,ZZA Gole,ZZA GOL/ZZA
Nicki Bille Nielsen,Lech Poznań,13,4,"30,8%",1,3,1,"33,3%",0,"0,0%"
Łukasz Kosakiewicz,Korona Kielce,13,4,"30,8%",1,5,1,"20,0%",0,"0,0%"
Piotr Malarczyk,Cracovia/Korona,10,4,"40,0%",1,3,1,"33,3%",1,"33,3%"
Bartłomiej Dudzic,Sandecja,9,4,"44,4%",2,2,1,"50,0%",0,"0,0%"
Joona Toivio,Bruk-Bet,9,4,"44,4%",1,4,1,"25,0%",0,"0,0%"
Jakub Czerwiński,Legia/Piast,7,4,"57,1%",1,1,1,"100,0%",0,"0,0%"
Kamil Słaby,Bruk-Bet,7,4,"57,1%",1,3,1,"33,3%",0,"0,0%"
Adam Matuszczyk,Zagłębie Lubin,21,3,"14,3%",0,18,1,"5,6%",0,"0,0%"
Marcin Cebula,Korona Kielce,16,3,"18,8%",2,11,1,"9,1%",0,"0,0%"
Aleksandar Sedlar,Piast Gliwice,14,3,"21,4%",1,8,1,"12,5%",0,"0,0%"
Jakub Łukowski,Wisła Płock,13,3,"23,1%",0,8,1,"12,5%",0,"0,0%"
Paweł Brożek,Wisła Kraków,12,3,"25,0%",1,3,1,"33,3%",0,"0,0%"
Martin Konczkowski,Piast Gliwice,12,3,"25,0%",1,6,1,"16,7%",0,"0,0%"
Jakub Bartosz,Wisła K/Sandecja,11,3,"27,3%",1,4,1,"25,0%",0,"0,0%"
Pol Llonch,Wisła Kraków,10,3,"30,0%",0,6,1,"16,7%",0,"0,0%"
Bartłomiej Kasprzak,Sandecja,8,3,"37,5%",0,2,1,"50,0%",0,"0,0%"
Petar Brlek,Wisła Kraków,7,3,"42,9%",2,3,1,"33,3%",0,"0,0%"
Krzysztof Janus,Zagłębie/Arka,5,3,"60,0%",1,1,1,"100,0%",0,"0,0%"
Guilherme Sitya,Jagiellonia,13,2,"15,4%",0,9,1,"11,1%",0,"0,0%"
Nicklas Barkroth,Lech Poznań,12,2,"16,7%",0,3,1,"33,3%",0,"0,0%"
Adam Deja,Cracovia,12,2,"16,7%",0,8,1,"12,5%",0,"0,0%"
Michal Siplak,Cracovia,11,2,"18,2%",1,6,1,"16,7%",0,"0,0%"
Jakub Tosik,Zagłębie Lubin,11,2,"18,2%",1,7,1,"14,3%",0,"0,0%"
Mateusz Cetnarski,Sandecja,10,2,"20,0%",2,8,1,"12,5%",1,"12,5%"
Vullnet Basha,Wisła Kraków,9,2,"22,2%",0,8,1,"12,5%",0,"0,0%"
Oliver Petrak,Korona Kielce,9,2,"22,2%",0,6,1,"16,7%",0,"0,0%"
Antonini Culina,Cracovia,9,2,"22,2%",0,4,1,"25,0%",0,"0,0%"
Victor Perez,Wisła Kraków,4,2,"50,0%",1,2,1,"50,0%",0,"0,0%"
Diego Ferraresso,Cracovia,4,2,"50,0%",0,3,1,"33,3%",0,"0,0%"
Łukasz Moneta,Zagłębie Lubin,4,2,"50,0%",0,3,1,"33,3%",0,"0,0%"
Hildeberto Pereira,Legia Warszawa,3,2,"66,7%",0,1,1,"100,0%",0,"0,0%"
Marcus Vinicius,Arka Gdynia,15,1,"6,7%",0,9,1,"11,1%",0,"0,0%"
Joao Nunes,Lechia Gdańsk,13,1,"7,7%",0,3,1,"33,3%",0,"0,0%"
Szymon Drewniak,Cracovia,12,1,"8,3%",0,12,1,"8,3%",0,"0,0%"
Dorde Cotra,Śląsk Wrocław,11,1,"9,1%",0,7,1,"14,3%",0,"0,0%"
Arkadiusz Głowacki,Wisła Kraków,10,1,"10,0%",0,1,1,"100,0%",0,"0,0%"
Marcin Pietrowski,Piast Gliwice,10,1,"10,0%",0,10,1,"10,0%",0,"0,0%"
Mateusz Lewandowski,Lechia/Śląsk,9,1,"11,1%",0,4,1,"25,0%",0,"0,0%"
Dragoljub Srnić,Śląsk Wrocław,8,1,"12,5%",0,7,1,"14,3%",0,"0,0%"
Hubert Matynia,Pogoń Szczecin,8,1,"12,5%",0,8,1,"12,5%",0,"0,0%"
Adrian Basta,Sandecja,7,1,"14,3%",0,4,1,"25,0%",0,"0,0%"
Nikola Mitrović,Wisła Kraków,7,1,"14,3%",0,5,1,"20,0%",0,"0,0%"
Dejan Lazarević,Jagiellonia,6,1,"16,7%",0,3,1,"33,3%",0,"0,0%"
David Ledecky,Górnik Zabrze,5,1,"20,0%",0,3,1,"33,3%",0,"0,0%"
Filip Mladenović,Lechia Gdańsk,5,1,"20,0%",0,3,1,"33,3%",0,"0,0%"
Tadeusz Socha,Arka Gdynia,4,1,"25,0%",0,3,1,"33,3%",0,"0,0%"
Kamil Dankowski,Śląsk Wrocław,4,1,"25,0%",0,4,1,"25,0%",0,"0,0%"
Dmytro Chomczenowskyj,Jagiellonia,3,1,"33,3%",0,3,1,"33,3%",0,"0,0%"
Fabian Burdenski,Korona Kielce,3,1,"33,3%",0,2,1,"50,0%",0,"0,0%"
Dario Rugasević,Piast Gliwice,3,1,"33,3%",0,3,1,"33,3%",0,"0,0%"
Chris Philipps,Legia Warszawa,3,1,"33,3%",0,2,1,"50,0%",0,"0,0%"
Sebastian Bergier,Śląsk Wrocław,3,1,"33,3%",0,2,1,"50,0%",0,"0,0%"
Aleksander Jagiełło,Piast Gliwice,2,1,"50,0%",0,2,1,"50,0%",0,"0,0%"
Paul Parvulescu,Wisła Płock,1,1,"100,0%",0,1,1,"100,0%",0,"0,0%"
Krzysztof Kiklaisz,Górnik Zabrze,1,1,"100,0%",0,1,1,"100,0%",0,"0,0%"
Sylwester Lusiusz,Cracovia,1,1,"100,0%",0,1,1,"100,0%",0,"0,0%"
Michał Helik,Cracovia,37,21,"56,8%",8,2,0,"0,0%",0,"0,0%"
Cillian Sheridan,Jagiellonia,35,15,"42,9%",6,2,0,"0,0%",0,"0,0%"
Mateusz Wieteska,Górnik Zabrze,37,14,"37,8%",7,5,0,"0,0%",0,"0,0%"
Filip Piszczek,Sandecja,34,14,"41,2%",6,7,0,"0,0%",0,"0,0%"
Elia Soriano,Korona Kielce,21,12,"57,1%",5,2,0,"0,0%",0,"0,0%"
Konrad Michalak,Wisła Płock,28,9,"32,1%",1,6,0,"0,0%",0,"0,0%"
Patryk Tuszyński,Zagłębie Lubin,17,8,"47,1%",5,3,0,"0,0%",0,"0,0%"
Vladislavs Gutkovskis,Bruk-Bet,28,7,"25,0%",3,6,0,"0,0%",0,"0,0%"
Emir Dilaver,Lech Poznań,14,7,"50,0%",3,1,0,"0,0%",0,"0,0%"
Dani Suarez,Górnik Zabrze,26,6,"23,1%",4,1,0,"0,0%",0,"0,0%"
Michał Marcjanik,Arka Gdynia,22,6,"27,3%",2,2,0,"0,0%",0,"0,0%"
