KOL,GOSP,GOŚĆ,ST GOSP,ST GOŚĆ,ST C GOSP,ST C GOŚĆ,G GOSP,G GOŚĆ,expG gosp,expG gość,expG/s1,expG/s2
31,Jagiellonia,Górnik,13,10,2,5,1,2,"0,68","0,46","0,052","0,046"
31,Legia,Zagłębie,16,15,4,7,0,1,"1,36","0,81","0,085","0,054"
31,Pogoń,Bruk-Bet,19,10,9,2,2,0,"1,92","0,90","0,101","0,090"
31,Śląsk,Sandecja,11,9,5,2,1,0,"0,49","0,60","0,045","0,066"
31,Wisła P,Wisła K,10,12,5,7,1,2,"0,90","1,73","0,090","0,144"
32,Bruk-Bet,Śląsk,18,13,7,4,1,2,"1,90","2,15","0,106","0,165"
32,Zagłębie,Lech,15,12,0,3,0,1,"1,12","0,81","0,075","0,068"
32,Piast,Pogoń,5,11,1,3,0,0,"0,30","0,99","0,059","0,090"
32,Górnik,Wisła P,14,13,6,4,0,1,"0,63","1,32","0,045","0,102"
32,Korona,Jagiellonia,12,11,4,5,0,3,"0,51","2,23","0,043","0,203"
32,Sandecja,Arka,14,14,3,4,1,1,"0,91","0,84","0,065","0,060"
32,Wisła K,Legia,8,14,2,3,0,1,"0,67","1,43","0,084","0,102"
32,Lechia,Cracovia,6,18,1,6,0,0,"0,36","1,32","0,061","0,073"
33,Arka,Piast,15,14,3,7,1,5,"1,50","1,79","0,100","0,128"
33,Legia,Korona,8,8,6,6,3,1,"1,48","0,59","0,185","0,073"
33,Wisła P,Zagłębie,14,9,5,3,1,2,"2,05","1,42","0,146","0,158"
33,Pogoń,Sandecja,19,8,6,2,2,0,"1,85","0,52","0,098","0,065"
33,Lech,Górnik,19,15,6,9,2,4,"1,33","1,24","0,070","0,083"
33,Cracovia,Bruk-Bet,17,15,8,4,4,2,"3,04","1,53","0,179","0,102"
33,Jagiellonia,Wisła K,23,9,4,4,0,1,"2,11","0,86","0,092","0,095"
33,Śląsk,Lechia,10,10,5,3,3,1,"2,11","1,18","0,211","0,118"
34,Cracovia,Śląsk,16,12,6,5,3,3,"1,37","2,55","0,086","0,212"
34,Lechia,Bruk-Bet,6,9,1,3,0,1,"0,51","0,87","0,086","0,096"
34,Sandecja,Piast,12,10,3,3,2,1,"0,69","0,99","0,058","0,099"
34,Pogoń,Arka,16,8,7,3,3,2,"2,06","1,15","0,129","0,144"
34,Wisła P,Lech,4,15,2,4,0,0,"0,45","1,04","0,113","0,070"
34,Korona,Wisła K,16,8,2,4,0,3,"1,03","0,95","0,064","0,119"
34,Zagłębie,Górnik,16,13,4,4,0,2,"0,74","1,27","0,046","0,098"
34,Jagiellonia,Legia,13,1,1,0,0,0,"0,65","0,09","0,050","0,094"
35,Bruk-Bet,Sandecja,12,10,4,2,1,1,"0,76","0,53","0,063","0,053"
35,Piast,Lechia,13,6,5,4,0,2,"0,79","0,46","0,060","0,077"
35,Arka,Cracovia,14,12,5,4,2,0,"1,49","1,16","0,107","0,096"
35,Śląsk,Pogoń,13,10,4,1,2,0,"1,07","1,36","0,082","0,136"
35,Górnik,Korona,15,9,3,2,2,2,"0,71","1,25","0,047","0,138"
35,Legia,Wisła P,11,11,5,7,3,2,"1,75","1,52","0,159","0,139"
35,Lech,Jagiellonia,12,6,1,2,0,2,"0,84","0,61","0,070","0,102"
35,Wisła K,Zagłębie,11,12,6,2,3,0,"1,96","0,72","0,178","0,060"
36,Bruk-Bet,Arka,15,17,6,6,2,1,"1,12","0,89","0,075","0,052"
36,Pogoń,Lechia,12,10,3,6,1,1,"1,28","1,41","0,107","0,141"
36,Sandecja,Cracovia,14,14,5,3,0,1,"1,76","1,05","0,126","0,075"
36,Śląsk,Piast,10,21,3,4,3,1,"0,77","1,34","0,077","0,064"
36,Legia,Górnik,11,13,6,3,1,0,"0,96","0,72","0,087","0,056"
36,Wisła K,Lech,8,9,2,3,1,1,"0,34","1,75","0,042","0,194"
36,Wisła P,Korona,15,6,8,4,4,1,"3,20","1,22","0,213","0,204"
36,Zagłębie,Jagiellonia,10,14,4,4,1,2,"1,30","1,62","0,130","0,116"
37,Arka,Śląsk,16,9,4,2,0,1,"1,14","0,25","0,071","0,028"
37,Cracovia,Pogoń,17,15,4,9,1,4,"2,81","0,60","0,165","0,040"
37,Lechia,Sandecja,15,13,8,2,1,1,"1,64","0,49","0,109","0,038"
37,Piast,Bruk-Bet,15,14,7,6,4,0,"0,70","0,76","0,047","0,054"
37,Górnik,Wisła K,8,15,3,5,2,0,"1,43","1,46","0,178","0,097"
37,Jagiellonia,Wisła P,11,15,3,4,2,1,"1,06","0,98","0,096","0,066"
37,Korona,Zagłębie,5,20,2,6,0,2,"0,24","1,16","0,048","0,058"
37,Lech,Legia,8,5,2,4,0,2,"0,62","0,46","0,077","0,091"
