ZAWODNIK,KLUB,Strzały,G,xG,xG/s,G-xG,non-pen xG,non-pen xG/s,G - xG NON-PEN,KP,AST,xAST,KP-xAST
Arkadiusz Kasperkiewicz,Stal Mielec,10,1,"0,593","0,059","0,407","0,593","0,059","0,407",13,1,"0,722","0,278"
Milan Corryn,Warta Poznań,4,1,"0,602","0,150","0,398","0,602","0,150","0,398",1,0,"0,027","-0,027"
Mateusz Lewandowski,Wisła Płock,7,2,"1,632","0,233","0,368","1,632","0,233","0,368",2,0,"0,109","-0,109"
Jani Atanasov,Cracovia,17,1,"0,640","0,038","0,360","0,640","0,038","0,360",16,3,"1,806","1,194"
Kajetan Szmyt,Warta Poznań,21,3,"2,400","0,114","0,600","1,650","0,082","0,350",25,6,"2,887","3,113"
Mateusz Szwoch,Wisła Płock,34,2,"1,661","0,049","0,339","1,661","0,049","0,339",26,2,"2,058","-0,058"
Michał Nalepa II,Lechia Gdańsk,17,2,"1,666","0,098","0,334","1,666","0,098","0,334",4,1,"0,569","0,431"
Jakub Lewicki,Jagiellonia,9,1,"0,672","0,075","0,328","0,672","0,075","0,328",14,1,"1,126","-0,126"
Arttu Hoskonen,Cracovia,5,1,"0,674","0,135","0,326","0,674","0,135","0,326",1,0,"0,153","-0,153"
Jakub Sypek,Widzew Łódź,6,1,"0,679","0,113","0,321","0,679","0,113","0,321",4,1,"0,223","0,777"
Patryk Kun,Raków Częstochowa,17,2,"1,699","0,100","0,301","1,699","0,100","0,301",25,2,"3,072","-1,072"
Patryk Makuch,Cracovia,60,6,"5,451","0,091","0,549","4,701","0,080","0,299",21,1,"1,644","-0,644"
Ronaldo Deaconu,Korona Kielce,58,2,"1,704","0,029","0,296","1,704","0,029","0,296",45,2,"5,257","-3,257"
Ivi Lopez,Raków Częstochowa,86,9,"7,722","0,090","1,278","4,722","0,058","0,278",53,6,"5,928","0,072"
Kacper Smoliński,Pogoń Szczecin,3,1,"0,723","0,241","0,277","0,723","0,241","0,277",1,0,"0,029","-0,029"
Mario Maloca,Lechia Gdańsk,7,1,"0,734","0,105","0,266","0,734","0,105","0,266",1,0,"0,023","-0,023"
Frank Castaneda,Radomiak Radom,12,1,"0,739","0,062","0,261","0,739","0,062","0,261",13,1,"1,026","-0,026"
Fabian Piasecki,Raków Częstochowa,39,6,"5,746","0,147","0,254","5,746","0,147","0,254",18,3,"2,735","0,265"
Florian Loshaj,Cracovia,13,1,"0,753","0,058","0,247","0,753","0,058","0,247",9,1,"0,721","0,279"
Adam Zrelak,Warta Poznań,63,8,"8,507","0,135","-0,507","7,757","0,125","0,243",23,4,"2,201","1,799"
Richard Jensen,Górnik Zabrze,16,1,"0,768","0,048","0,232","0,768","0,048","0,232",10,2,"0,601","1,399"
Adrian Łyszczarz,Śląsk Wrocław,19,1,"0,775","0,041","0,225","0,775","0,041","0,225",2,0,"0,058","-0,058"
Dominick Zator,Korona Kielce,11,1,"0,782","0,071","0,218","0,782","0,071","0,218",17,1,"1,856","-0,856"
Taras Romanczuk,Jagiellonia,13,1,"0,788","0,061","0,212","0,788","0,061","0,212",19,1,"1,515","-0,515"
Yuri Ribeiro,Legia Warszawa,10,1,"0,790","0,079","0,210","0,790","0,079","0,210",10,0,"0,424","-0,424"
Miguel Luis,Warta Poznań,44,3,"2,797","0,064","0,203","2,797","0,064","0,203",19,0,"1,786","-1,786"
Bartosz Kopacz,Zagłębie Lubin,12,1,"0,810","0,067","0,190","0,810","0,067","0,190",12,1,"1,457","-0,457"
Szymon Matuszek,Miedź Legnica,6,1,"0,819","0,137","0,181","0,819","0,137","0,181",2,1,"0,712","0,288"
Fabian Hiszpański,Stal Mielec,14,1,"0,820","0,059","0,180","0,820","0,059","0,180",22,0,"1,501","-1,501"
Koldo Obieta,Miedź Legnica,20,3,"2,848","0,142","0,152","2,848","0,142","0,152",15,1,"1,182","-0,182"
Miłosz Trojak,Korona Kielce,15,1,"0,850","0,057","0,150","0,850","0,057","0,150",5,1,"0,693","0,307"
Andrzej Niewulis,Miedź Legnica,7,1,"0,851","0,122","0,149","0,851","0,122","0,149",5,0,"0,495","-0,495"
Pontus Almqvist,Pogoń Szczecin,41,5,"4,857","0,118","0,143","4,857","0,118","0,143",27,5,"3,086","1,914"
Jorge Felix,Piast Gliwice,24,3,"2,888","0,120","0,112","2,888","0,120","0,112",16,0,"0,897","-0,897"
Kanji Okunuki,Górnik Zabrze,31,4,"3,930","0,127","0,070","3,930","0,127","0,070",30,0,"2,354","-2,354"
Lindsay Rose,Legia Warszawa,7,1,"0,949","0,136","0,051","0,949","0,136","0,051",1,0,"0,027","-0,027"
Kristian Vallo,Wisła Płock,19,2,"1,951","0,103","0,049","1,951","0,103","0,049",18,4,"1,778","2,222"
Mateusz Matras,Stal Mielec,15,2,"1,954","0,130","0,046","1,954","0,130","0,046",8,2,"0,976","1,024"
Kacper Chodyna,Zagłębie Lubin,66,7,"7,471","0,113","-0,471","5,971","0,093","0,029",41,4,"4,159","-0,159"
Damian Rasak,Wisła P/Górnik,35,2,"1,971","0,056","0,029","1,971","0,056","0,029",18,5,"2,284","2,716"
Lukas Podolski,Górnik Zabrze,84,6,"5,979","0,071","0,021","5,979","0,071","0,021",44,9,"5,628","3,372"
Kacper Bieszczad,Zagłębie Lubin,0,0,-,-,-,-,-,-,1,0,"0,038","-0,038"
Jon Aurtenetxe,Miedź Legnica,0,0,-,-,-,-,-,-,2,0,"0,082","-0,082"
Bogdan Vastsuk,Stal Mielec,0,0,-,-,-,-,-,-,1,0,"0,127","-0,127"
Vladan Kovacević,Raków Częstochowa,0,0,-,-,-,-,-,-,1,1,"0,209","0,791"
Jakub Nowakowski,Radomiak Radom,0,0,-,-,-,-,-,-,2,0,"0,088","-0,088"
Kacper Tobiasz,Legia Warszawa,0,0,-,-,-,-,-,-,1,0,"0,000","0,000"
Gabriel Kobylak,Radomiak Radom,0,0,-,-,-,-,-,-,1,1,"0,404","0,596"
Daniel Szelągowski,Raków Częstochowa,0,0,-,-,-,-,-,-,1,0,"0,016","-0,016"
Miroslav Gono,Wisła Płock,0,0,-,-,-,-,-,-,2,0,"0,134","-0,134"
Bartosz Mrozek,Stal Mielec,0,0,-,-,-,-,-,-,1,0,"0,032","-0,032"
Michał Stachera,Cracovia,0,0,-,-,-,-,-,-,1,0,"0,016","-0,016"
Karol Niemczycki,Cracovia,0,0,-,-,-,-,-,-,1,0,"0,067","-0,067"
Mike Cestor,Radomiak Radom,0,0,-,-,-,-,-,-,7,1,"0,861","0,139"
Rafał Leszczyński,Śląsk Wrocław,0,0,-,-,-,-,-,-,2,0,"0,070","-0,070"
Filip Koperski,Lechia Gdańsk,0,0,-,-,-,-,-,-,1,0,"0,034","-0,034"
Jakub Żubrowski,Zagłębie Lubin,0,0,-,-,-,-,-,-,2,0,"0,215","-0,215"
Dusan Stojinović,Jagiellonia,0,0,-,-,-,-,-,-,2,0,"0,213","-0,213"
Henrik Castegren,Lechia Gdańsk,0,0,-,-,-,-,-,-,2,0,"0,245","-0,245"
Dusan Kuciak,Lechia Gdańsk,0,0,-,-,-,-,-,-,1,0,"0,048","-0,048"
Mateusz Stawny,Śląsk Wrocław,0,0,-,-,-,-,-,-,1,0,"0,105","-0,105"
Tobiasz Kubik,Raków Częstochowa,0,0,-,-,-,-,-,-,1,0,"0,054","-0,054"
Wiktor Kamiński,Warta Poznań,0,0,-,-,-,-,-,-,1,0,"0,149","-0,149"
Jurgen Celhaka,Legia Warszawa,0,0,-,-,-,-,-,-,1,0,"0,019","-0,019"
Michał Gurgul,Lech Poznań,0,0,-,-,-,-,-,-,1,0,"0,039","-0,039"
Alex Sobczyk,Piast Gliwice,0,0,-,-,-,-,-,-,2,0,"0,143","-0,143"
Igor Drapiński,Wisła Płock,0,0,-,-,-,-,-,-,1,0,"0,012","-0,012"
Lukas Hrosso,Cracovia,0,0,-,-,-,-,-,-,1,0,"0,105","-0,105"
Filip Rózga,Cracovia,0,0,-,-,-,-,-,-,1,0,"0,171","-0,171"
Bartosz Kapustka,Legia Warszawa,37,2,"2,003","0,054","-0,003","2,003","0,054","-0,003",20,3,"1,392","1,608"
Krzysztof Kolanko,Górnik Zabrze,1,0,"0,007","0,007","-0,007","0,007","0,007","-0,007",1,0,"0,066","-0,066"
Luizao,Radomiak Radom,1,0,"0,016","0,016","-0,016","0,016","0,016","-0,016",2,0,"0,189","-0,189"
Oliwier Wojciechowski,Jagiellonia,1,0,"0,019","0,019","-0,019","0,019","0,019","-0,019",1,1,"0,209","0,791"
Dariusz Stalmach,Górnik Zabrze,1,0,"0,019","0,019","-0,019","0,019","0,019","-0,019",1,0,"0,012","-0,012"
Kevin Broll,Górnik Zabrze,1,0,"0,021","0,021","-0,021","0,021","0,021","-0,021",1,0,"0,127","-0,127"
Paweł Chrupałła,Wisła Płock,1,0,"0,023","0,023","-0,023","0,023","0,023","-0,023",1,0,"0,038","-0,038"
Jakub Paszkowski,Warta Poznań,1,0,"0,023","0,023","-0,023","0,023","0,023","-0,023",0,0,"0,000","0,000"
Jayson Papeau,Warta Poznań,1,0,"0,027","0,027","-0,027","0,027","0,027","-0,027",0,0,"0,000","0,000"
Igor Sapała,Raków Częstochowa,1,0,"0,027","0,027","-0,027","0,027","0,027","-0,027",0,0,"0,000","0,000"
Emmanuel Agbor,Miedź Legnica,1,0,"0,027","0,027","-0,027","0,027","0,027","-0,027",2,0,"0,070","-0,070"
Roberto Corral,Korona Kielce,2,0,"0,030","0,015","-0,030","0,030","0,015","-0,030",0,0,"0,000","0,000"
Maciej Bortniczuk,Jagiellonia,8,1,"1,031","0,129","-0,031","1,031","0,129","-0,031",0,0,"0,000","0,000"
Tiago Matos,Radomiak Radom,1,0,"0,032","0,032","-0,032","0,032","0,032","-0,032",0,0,"0,000","0,000"
Kacper Śmiglewski,Cracovia,1,0,"0,032","0,032","-0,032","0,032","0,032","-0,032",1,0,"0,038","-0,038"
Marcin Garuch,Miedź Legnica,1,0,"0,034","0,034","-0,034","0,034","0,034","-0,034",0,0,"0,000","0,000"
Daniel Łukasik,Radomiak Radom,2,0,"0,036","0,018","-0,036","0,036","0,018","-0,036",2,0,"0,064","-0,064"
Krystian Kardyś,Stal Mielec,2,0,"0,041","0,021","-0,041","0,041","0,021","-0,041",0,0,"0,000","0,000"
Jakub Holubek,Piast Gliwice,2,0,"0,041","0,021","-0,041","0,041","0,021","-0,041",4,0,"0,236","-0,236"
Janusz Nojszewski,Korona Kielce,1,0,"0,042","0,042","-0,042","0,042","0,042","-0,042",2,1,"0,128","0,872"
Alasana Manneh,Górnik Zabrze,2,0,"0,046","0,023","-0,046","0,046","0,023","-0,046",3,0,"0,109","-0,109"
Martin Pospisil,Jagiellonia,2,0,"0,046","0,023","-0,046","0,046","0,023","-0,046",13,0,"0,677","-0,677"
Konrad Forenc,Korona Kielce,1,0,"0,047","0,047","-0,047","0,047","0,047","-0,047",0,0,"0,000","0,000"
Luka Zarandia,Korona Kielce,3,0,"0,049","0,016","-0,049","0,049","0,016","-0,049",3,1,"0,099","0,901"
Maksymilian Pingot,Lech Poznań,1,0,"0,049","0,049","-0,049","0,049","0,049","-0,049",2,0,"0,084","-0,084"
Szymon Sarbinowski,Warta Poznań,2,0,"0,050","0,025","-0,050","0,050","0,025","-0,050",1,0,"0,200","-0,200"
Jakub Jugas,Cracovia,14,1,"1,050","0,075","-0,050","1,050","0,075","-0,050",6,1,"0,475","0,525"
Michał Kaput,Piast Gliwice,2,0,"0,050","0,025","-0,050","0,050","0,025","-0,050",4,1,"0,296","0,704"
Dante Stipica,Pogoń Szczecin,1,0,"0,052","0,052","-0,052","0,052","0,052","-0,052",1,0,"0,017","-0,017"
Blaz Vrhovec,Górnik Zabrze,1,0,"0,053","0,053","-0,053","0,053","0,053","-0,053",7,0,"0,206","-0,206"
Damian Tront,Miedź Legnica,3,0,"0,053","0,018","-0,053","0,053","0,018","-0,053",3,1,"0,219","0,781"
Javier Ajenjo Hyjek,Śląsk Wrocław,2,0,"0,053","0,026","-0,053","0,053","0,026","-0,053",1,1,"0,074","0,926"
Fran Tudor,Raków Częstochowa,13,2,"2,054","0,158","-0,054","2,054","0,158","-0,054",29,7,"3,690","3,310"
Vladislavs Gutkovskis,Raków Częstochowa,51,8,"7,810","0,153","0,190","7,060","0,141","-0,060",11,3,"2,438","0,562"
Dominykas Barauskas,Stal Mielec,1,0,"0,060","0,060","-0,060","0,060","0,060","-0,060",0,0,"0,000","0,000"
Radosław Cielemęcki,Wisła Płock,2,0,"0,061","0,031","-0,061","0,061","0,031","-0,061",1,0,"0,023","-0,023"
Antonio Milić,Lech Poznań,13,1,"1,061","0,082","-0,061","1,061","0,082","-0,061",5,0,"0,406","-0,406"
