ZAWODNIK,KLUB,POZYCJA,MIN BEZ GOLA,MECZE BEZ GOLA,OSTATNI GOL,OSTATNI GOL PRZECIW,MIN BEZ GOLA LUB ASYSTY,MECZE BEZ GOLA LUB ASYSTY,OSTATNI GOL LUB ASYSTA,OSTATNI GOL LUB ASYSTA PRZECIW
Michał Rakoczy,Cracovia,pomocnik,535,6,15.04.2023,Radomiak,27,0,27.05.2023,Wisła P
Damjan Bohar,Zagłębie Lubin,pomocnik,509,7,06.03.2023,Radomiak,66,1,06.05.2023,Lechia
Rafał Adamski,Zagłębie Lubin,napastnik,507,10,09.10.2022,Korona,507,10,09.10.2022,Korona
Grzegorz Tomasiewicz,Piast Gliwice,pomocnik,499,5,23.04.2023,Widzew,326,3,06.05.2023,Radomiak
Marko Poletanović,Zagłębie Lubin,pomocnik,494,5,23.04.2023,Korona,301,3,06.05.2023,Lechia
Robert Pich,Legia Warszawa,pomocnik,485,18,15.05.2022,Stal,485,18,26.08.2022,Stal
Jewgienij Szykawka,Korona Kielce,napastnik,479,5,23.04.2023,Zagłębie L,479,5,23.04.2023,Zagłębie L
Jakub Żubrowski,Zagłębie Lubin,pomocnik,473,9,19.12.2021,Górnik Ł,473,9,19.12.2021,Górnik Ł
Aurelien Nguiamba,Jagiellonia Białystok,pomocnik,472,11,-,-,472,11,-,-
Flavio Paixao,Lechia Gdańsk,pomocnik,469,8,10.03.2023,Miedź,469,8,10.03.2023,Miedź
Jean Franco Sarmiento,Radomiak Radom,napastnik,468,10,-,-,468,10,-,-
Jakub Nowakowski,Radomiak Radom,pomocnik,465,18,-,-,465,18,-,-
Adam Zrelak,Warta Poznań,napastnik,463,5,21.04.2023,Legia,463,5,21.04.2023,Legia
Damian Kądzior,Piast Gliwice,pomocnik,462,5,12.02.2023,Zagłębie L,462,5,12.02.2023,Zagłębie L
Paweł Wszołek,Legia Warszawa,pomocnik,447,5,16.04.2023,Lech,182,2,12.05.2023,Jagiellonia
Filip Szymczak,Lech Poznań,napastnik,435,7,12.11.2022,Jagiellonia,435,7,12.11.2022,Jagiellonia
Nika Kwekweskiri,Lech Poznań,pomocnik,422,9,12.03.2023,Piast,113,1,14.05.2023,Raków
Bartłomiej Ciepiela,Stal Mielec,pomocnik,419,6,08.04.2023,Widzew,419,6,08.04.2023,Widzew
Adrian Łyszczarz,Śląsk Wrocław,pomocnik,419,14,20.08.2022,Cracovia,419,14,20.08.2022,Cracovia
Gabriel Kirejczyk,Piast Gliwice,napastnik,418,10,-,-,187,4,06.04.2023,Śląsk
Luciano Narsingh,Miedź Legnica,pomocnik,414,10,27.02.2023,Zagłębie L,414,10,27.02.2023,Zagłębie L
Joeri de Kamps,Lechia Gdańsk,pomocnik,412,10,-,-,412,10,-,-
Marcel Zylla,Śląsk Wrocław,pomocnik,412,12,23.10.2021,Wisła K,361,11,05.11.2021,Jagiellonia
Martin Dolezal,Zagłębie Lubin,napastnik,407,12,18.09.2022,Wisła P,407,12,18.09.2022,Wisła P
Ilkay Durmus,Lechia Gdańsk,pomocnik,406,6,10.03.2023,Miedź,391,6,10.03.2023,Miedź
Sebastian Musiolik,Raków Częstochowa,napastnik,387,22,16.04.2022,Bruk-Bet,387,22,16.04.2022,Bruk-Bet
Enis Destan,Warta Poznań,napastnik,373,16,03.10.2022,Śląsk,373,16,03.10.2022,Śląsk
Marko Kolar,Wisła Płock,napastnik,371,9,19.02.2023,Miedź,371,9,19.02.2023,Miedź
Paweł Żyra,Stal Mielec,pomocnik,362,8,04.11.2022,Zagłębie L,286,5,03.04.2023,Jagiellonia
Dawid Kocyła,Wisła Płock,napastnik,359,8,17.03.2023,Górnik Z,359,8,17.03.2023,Górnik Z
