ZAWODNIK,KLUB,GOLE,G KARNY,G ROŻNY,G WOLNY,G WOLNY BEZP,G AUT,AS SFG,PO SFG,Z GRY,%GOLI PO SFG
Bartosz Slisz,Legia Warszawa,0,0,0,0,0,0,0,0,0,-
Martin Konczkowski,Śląsk Wrocław,0,0,0,0,0,0,0,0,0,-
Alan Czerwiński,Lech Poznań,0,0,0,0,0,0,0,0,0,-
Wiktor Długosz,Raków Częstochowa,0,0,0,0,0,0,0,0,0,-
Zoran Arsenić,Raków Częstochowa,0,0,0,0,0,0,0,0,0,-
Norbert Wojtuszek,Górnik Zabrze,0,0,0,0,0,0,0,0,0,-
Jurich Carolina,Miedź Legnica,0,0,0,0,0,0,0,0,0,-
Maciej Wolski,Stal Mielec,0,0,0,0,0,0,0,0,0,-
Pedro Rebocho,Lech Poznań,0,0,0,0,0,0,0,0,0,-
Bassekou Diabate,Lechia Gdańsk,0,0,0,0,0,0,1,0,0,-
Rafał Kurzawa,Pogoń Szczecin,0,0,0,0,0,0,0,0,0,-
Zlatan Alomerović,Jagiellonia,0,0,0,0,0,0,0,0,0,-
Adriel Ba Loua,Lech Poznań,0,0,0,0,0,0,0,0,0,-
Kamil Zapolnik,Miedź Legnica,0,0,0,0,0,0,0,0,0,-
Kevin Friesenbichler,Lechia Gdańsk,0,0,0,0,0,0,0,0,0,-
Filip Dagerstal,Lech Poznań,0,0,0,0,0,0,1,0,0,-
Adam Deja,Korona Kielce,0,0,0,0,0,0,1,0,0,-
Nono,Korona Kielce,0,0,0,0,0,0,0,0,0,-
Miłosz Matysik,Jagiellonia,0,0,0,0,0,0,0,0,0,-
Mike Cestor,Radomiak Radom,0,0,0,0,0,0,1,0,0,-
Berto Cayarga,Radomiak Radom,0,0,0,0,0,0,0,0,0,-
Bartosz Salamon,Lech Poznań,0,0,0,0,0,0,0,0,0,-
Dimityr Wełkowski,Miedź Legnica,0,0,0,0,0,0,1,0,0,-
Michal Sacek,Jagiellonia,0,0,0,0,0,0,0,0,0,-
Ben Lederman,Raków Częstochowa,0,0,0,0,0,0,0,0,0,-
Joel Abu Hanna,Lechia Gdańsk,0,0,0,0,0,0,0,0,0,-
Linus Wahlqvist,Pogoń Szczecin,0,0,0,0,0,0,0,0,0,-
Marius Briceag,Korona Kielce,0,0,0,0,0,0,0,0,0,-
Igor Strzałek,Legia Warszawa,0,0,0,0,0,0,0,0,0,-
Kamil Kościelny,Warta Poznań,0,0,0,0,0,0,0,0,0,-
Cornel Rapa,Cracovia,0,0,0,0,0,0,0,0,0,-
Bozidar Czorbadżijski,Widzew Łódź,0,0,0,0,0,0,0,0,0,-
Israel Puerto,Jagiellonia,0,0,0,0,0,0,1,0,0,-
Mariusz Malec,Pogoń Szczecin,0,0,0,0,0,0,0,0,0,-
Leandro,Stal Mielec,0,0,0,0,0,0,0,0,0,-
Damian Tront,Miedź Legnica,0,0,0,0,0,0,0,0,0,-
Jakub Szymański,Wisła Płock,0,0,0,0,0,0,0,0,0,-
Paweł Jaroszyński,Cracovia,0,0,0,0,0,0,0,0,0,-
Damian Jakubik,Radomiak Radom,0,0,0,0,0,0,0,0,0,-
Aurelien Nguiamba,Jagiellonia,0,0,0,0,0,0,0,0,0,-
Aleks Ławniczak,Zagłębie Lubin,0,0,0,0,0,0,0,0,0,-
Michał Rzuchowski,Śląsk Wrocław,0,0,0,0,0,0,0,0,0,-
Kacper Sezonienko,Lechia Gdańsk,0,0,0,0,0,0,0,0,0,-
