ZAWODNIK,KLUB,MIAŁ,STWORZYŁ,% WYK.
Dawid Abramowicz,Wisła Kraków,2,3,"0,0%"
Kenny Saief,Lechia Gdańsk,1,3,"0,0%"
Waldemar Sobota,Śląsk Wrocław,1,3,"0,0%"
Giannis Massouras,Górnik Zabrze,1,3,"0,0%"
Alan Czerwiński A,Lech Poznań,1,3,"0,0%"
Piotr Tomasik,Wisła Płock,1,3,"0,0%"
Mateusz Wdowiak,Cracovia,0,2,-
Jakub Żubrowski,Zagłębie Lubin,0,2,-
Wasyl Kraweć,Lech Poznań,0,2,-
Bartosz Rymaniak,Piast Gliwice,0,2,-
Gergo Kocsis,Podbeskidzie,0,2,-
Kamil Kościelny,Stal Mielec,0,2,-
Adi Mehremić,Wisła Kraków,0,2,-
Luis Mata,Pogoń Szczecin,0,2,-
Rafael Lopes,Legia Warszawa,3,2,"100,0%"
Rafał Janicki,Podbeskidzie,3,2,"100,0%"
Bartosz Slisz,Legia Warszawa,2,2,"100,0%"
Filip Piszczek,Cracovia,1,2,"100,0%"
Aleksandyr Kolew,Stal Mielec,3,2,"66,7%"
Cornel Rapa,Cracovia,2,2,"50,0%"
Fedor Cernych,Jagiellonia,2,2,"50,0%"
Jakub Hora,Podbeskidzie,2,2,"50,0%"
Maciej Jankowski,Stal Mielec,5,2,"40,0%"
Robert Pich,Śląsk Wrocław,11,2,"36,4%"
Andreja Prokić,Stal Mielec,6,2,"33,3%"
Rivaldinho,Cracovia,3,2,"33,3%"
Michal Siplak,Cracovia,7,2,"28,6%"
Adrian Benedyczak,Pogoń Szczecin,8,2,"25,0%"
Michal Frydrych,Wisła Kraków,5,2,"20,0%"
Maksymilian Sitek,Podbeskidzie,5,2,"20,0%"
Cillian Sheridan,Wisła Płock,4,2,"0,0%"
Peter Wilson,Podbeskidzie,4,2,"0,0%"
Tomasz Jodłowiec,Piast Gliwice,3,2,"0,0%"
Damian Zbozień,Wisła Płock,3,2,"0,0%"
Muhammad Awwad,Lech Poznań,2,2,"0,0%"
Florian Loshaj,Cracovia,2,2,"0,0%"
Maciej Rosołek,Legia Warszawa,2,2,"0,0%"
Sasa Zivec,Zagłębie Lubin,2,2,"0,0%"
Angel Garcia,Wisła Płock,2,2,"0,0%"
Petteri Forsell,Stal Mielec,2,2,"0,0%"
Krzysztof Kubica,Górnik Zabrze,2,2,"0,0%"
Daniel Bartl,Raków Częstochowa,1,2,"0,0%"
Adrian Gryszkiewicz,Górnik Zabrze,1,2,"0,0%"
Lubambo Musonda,Śląsk Wrocław,1,2,"0,0%"
Łukasz Poręba,Zagłębie Lubin,1,2,"0,0%"
Mateusz Bartolewski,Zagłębie Lubin,1,2,"0,0%"
Piotr Pyrdoł,Wisła Płock,1,2,"0,0%"
Robert Dadok,Stal Mielec,1,2,"0,0%"
Robert Ivanov,Warta Poznań,1,2,"0,0%"
Giorgi Merebaszwili,Wisła Płock,1,2,"0,0%"
Albin Granlund,Stal Mielec,1,2,"0,0%"
Bartosz Salamon,Lech Poznań,1,2,"0,0%"
Bodvar Bodvarsson,Jagiellonia,0,1,-
Tomasz Nowak,Podbeskidzie,0,1,-
Aleksander Pawlak,Wisła Płock,0,1,-
William Remy,Legia Warszawa,0,1,-
Piotr Samiec-Talar,Śląsk Wrocław,0,1,-
Dawid Szot,Wisła Kraków,0,1,-
Adrian Laskowski,Warta Poznań,0,1,-
Maciej Wilusz,Raków Częstochowa,0,1,-
Vullnet Basha,Wisła Kraków,0,1,-
Michał Mak,Wisła Kraków,0,1,-
Jakub Wróbel,Stal Mielec,0,1,-
Joel Valencia,Legia Warszawa,0,1,-
Marko Poletanović,Raków Częstochowa,0,1,-
David Stec,Pogoń Szczecin,0,1,-
Kostas Triantafyllopoulos,Pogoń Szczecin,0,1,-
Bartosz Kieliba,Warta Poznań,0,1,-
Fatos Beciraj,Wisła Kraków,0,1,-
Hubert Matynia,Pogoń Szczecin,0,1,-
Jakub Szumski,Raków Częstochowa,0,1,-
Stefanos Evangelou,Górnik Zabrze,0,1,-
Adam Ryczkowski,Górnik Zabrze,0,1,-
Benedikt Zech,Pogoń Szczecin,0,1,-
Gracjan Jaroch,Warta Poznań,0,1,-
Daniel Pik,Cracovia,0,1,-
Jan Biegański,Lechia Gdańsk,0,1,-
Michał Rostkowski,Górnik Zabrze,0,1,-
Sebastian Strózik,Cracovia,0,1,-
Jesper Karlstrom,Lech Poznań,0,1,-
Łukasz Łakomy,Zagłębie Lubin,0,1,-
Nika Kwekwe,Lech Poznań,0,1,-
Konrad Wrzesiński,Jagiellonia,0,1,-
Petar Mamić,Podbeskidzie,0,1,-
Mateusz Sopoćko,Warta Poznań,0,1,-
Dariusz Pawłowski Dar,Górnik Zabrze,0,1,-
Gieorgij Żukow,Wisła Kraków,0,1,-
Mateusz Żukowski,Lechia Gdańsk,0,1,-
Kacper Skibicki,Legia Warszawa,0,1,-
Adam Frączczak,Pogoń Szczecin,2,1,"100,0%"
Lubomir Guldan,Zagłębie Lubin,2,1,"100,0%"
Damian Rasak,Wisła Płock,2,1,"100,0%"
Mathieu Scalet,Śląsk Wrocław,2,1,"100,0%"
Grzegorz Tomasiewicz,Stal Mielec,2,1,"100,0%"
Thomas Rogne,Lech Poznań,2,1,"100,0%"
Damjan Bohar,Zagłębie Lubin,1,1,"100,0%"
Wojciech Golla,Śląsk Wrocław,1,1,"100,0%"
Mario Maloca,Lechia Gdańsk,1,1,"100,0%"
Damian Michalski,Wisła Płock,1,1,"100,0%"
Jaroslav Mihalik,Lechia Gdańsk,1,1,"100,0%"
Mariusz Rybicki,Warta Poznań,1,1,"100,0%"
Daniel Szelągowski,Raków Częstochowa,1,1,"100,0%"
Bojan Nastić,Jagiellonia,1,1,"100,0%"
Damian Oko,Zagłębie Lubin,1,1,"100,0%"
Tomasz Makowski,Lechia Gdańsk,1,1,"100,0%"
Jonathan De Amo,Stal Mielec,1,1,"100,0%"
Zoran Arsenić,Raków Częstochowa,1,1,"100,0%"
Jakov Puljić,Jagiellonia,10,1,"60,0%"
Fabian Piasecki,Śląsk Wrocław,4,1,"50,0%"
Kacper Smoliński,Pogoń Szczecin,2,1,"50,0%"
Mateusz Wieteska,Legia Warszawa,2,1,"50,0%"
Rafał Wolski,Wisła Płock,2,1,"50,0%"
Dominik Steczyk,Piast Gliwice,5,1,"40,0%"
Kamil Piątkowski,Raków Częstochowa,3,1,"33,3%"
Lorenco Simić,Zagłębie Lubin,3,1,"33,3%"
Filip Marchwiński,Lech Poznań,3,1,"33,3%"
Oskar Zawada,Raków Częstochowa,3,1,"33,3%"
Sebastian Milewski,Piast Gliwice,3,1,"33,3%"
Piotr Krawczyk,Górnik Zabrze,7,1,"28,6%"
Maciej Żurawski,Pogoń Szczecin,4,1,"25,0%"
Michał Jakóbowski,Warta Poznań,4,1,"25,0%"
Kacper Kostorz,Legia Warszawa,4,1,"25,0%"
Samuel Mraz,Zagłębie Lubin,9,1,"22,2%"
Tomas Petrasek,Raków Częstochowa,5,1,"20,0%"
Łukasz Zjawiński,Stal Mielec,6,1,"16,7%"
Jakub Arak,Raków Częstochowa,7,1,"14,3%"
Richmond Boakye,Górnik Zabrze,5,1,"0,0%"
Filip Szymczak,Lech Poznań,4,1,"0,0%"
Jarosław Jach,Raków Częstochowa,3,1,"0,0%"
Domagoj Antolić,Legia Warszawa,2,1,"0,0%"
Błażej Augustyn,Jagiellonia,2,1,"0,0%"
Artur Jędrzejczyk,Legia Warszawa,2,1,"0,0%"
Roman Prochazka,Górnik Zabrze,2,1,"0,0%"
Przemysław Wiśniewski,Górnik Zabrze,2,1,"0,0%"
Przemysław Mystkowski,Jagiellonia,2,1,"0,0%"
Aleksander Paluszek,Górnik Zabrze,2,1,"0,0%"
Serhij Miakuszko,Podbeskidzie,2,1,"0,0%"
Piotr Starzyński,Wisła Kraków,2,1,"0,0%"
Damian Dąbrowski,Pogoń Szczecin,1,1,"0,0%"
Dominik Jończy,Zagłębie Lubin,1,1,"0,0%"
Nika Kaczarawa,Lech Poznań,1,1,"0,0%"
Ivan Marquez,Cracovia,1,1,"0,0%"
Aleks Ławniczak,Warta Poznań,1,1,"0,0%"
Lubomir Satka,Lech Poznań,1,1,"0,0%"
Jakub Kuzdra,Warta Poznań,1,1,"0,0%"
Filip Bainović,Górnik Zabrze,1,1,"0,0%"
Santeri Hostikka,Pogoń Szczecin,1,1,"0,0%"
Hubert Sobol,Lech Poznań,1,1,"0,0%"
Filip Lesniak,Wisła Płock,1,1,"0,0%"
Arkadiusz Pyrka,Piast Gliwice,1,1,"0,0%"
Bartosz Kwiecień,Jagiellonia,1,1,"0,0%"
Matej Rodin,Cracovia,1,1,"0,0%"
Patryk Janasik,Śląsk Wrocław,1,1,"0,0%"
Dusan Lagator,Wisła Płock,2,0,"100,0%"
David Jablonsky,Cracovia,1,0,"100,0%"
Dawid Szymonowicz,Cracovia,1,0,"100,0%"
Mateusz Kupczak,Warta Poznań,1,0,"100,0%"
Patryk Plewka,Wisła Kraków,1,0,"100,0%"
Mateusz Marzec,Podbeskidzie,1,0,"100,0%"
Mateusz Lewandowski,Wisła Płock,1,0,"100,0%"
Jakub Błaszczykowski,Wisła Kraków,1,0,"100,0%"
Michał Koj,Górnik Zabrze,1,0,"100,0%"
Luka Susnjara,Wisła Płock,1,0,"100,0%"
Uros Radaković,Wisła Kraków,1,0,"100,0%"
David Niepsuj,Podbeskidzie,1,0,"100,0%"
Bogdan Tiru,Jagiellonia,1,0,"100,0%"
Tomas Vestenicky,Cracovia,3,0,"66,7%"
Michał Nalepa II,Lechia Gdańsk,2,0,"50,0%"
Jakub Rzeźniczak,Wisła Płock,2,0,"50,0%"
Jakub Czerwiński J,Piast Gliwice,2,0,"50,0%"
Kamil Kruk,Zagłębie Lubin,2,0,"50,0%"
Andrzej Niewulis,Raków Częstochowa,6,0,"33,3%"
Piotr Celeban,Śląsk Wrocław,3,0,"33,3%"
Chuca,Wisła Kraków,3,0,"33,3%"
Bartosz Kopacz,Lechia Gdańsk,3,0,"33,3%"
Karol Podliński,Zagłębie Lubin,3,0,"33,3%"
Aron Johannsson,Lech Poznań,7,0,"28,6%"
Jewgienij Baszkirow,Zagłębie Lubin,4,0,"25,0%"
Łukasz Zwoliński,Lechia Gdańsk,15,0,"20,0%"
Bartosz Bida,Jagiellonia,5,0,"20,0%"
Paweł Tomczyk,Stal Mielec,4,0,"0,0%"
Omran Haydary,Lechia Gdańsk,3,0,"0,0%"
Piotr Parzyszek,Piast Gliwice,3,0,"0,0%"
Walerian Gwilia,Legia Warszawa,3,0,"0,0%"
Milan Dimun,Cracovia,2,0,"0,0%"
Aleksander Komor,Podbeskidzie,2,0,"0,0%"
Marcel Zylla,Śląsk Wrocław,2,0,"0,0%"
Torgil Gjertsen,Wisła Płock,2,0,"0,0%"
Jakub Wójcicki,Zagłębie Lubin,2,0,"0,0%"
Adam Zrelak,Warta Poznań,2,0,"0,0%"
Nikola Kuveljić,Wisła Kraków,2,0,"0,0%"
Żan Medved,Wisła Kraków,2,0,"0,0%"
Marco Tulio,Podbeskidzie,2,0,"0,0%"
Kamil Jóźwiak,Lech Poznań,1,0,"0,0%"
Jose Kante,Legia Warszawa,1,0,"0,0%"
Filip Laskowski,Podbeskidzie,1,0,"0,0%"
Damian Pawłowski,Stal Mielec,1,0,"0,0%"
Piotr Malinowski,Raków Częstochowa,1,0,"0,0%"
Sebastian Musiolik,Raków Częstochowa,1,0,"0,0%"
Patryk Zaucha,Cracovia,1,0,"0,0%"
Mariusz Fornalczyk,Pogoń Szczecin,1,0,"0,0%"
Airam Cabrera,Wisła Płock,1,0,"0,0%"
Rok Sirk,Zagłębie Lubin,1,0,"0,0%"
Dominik Frelek,Podbeskidzie,1,0,"0,0%"
Fernan Ferreiroa,Jagiellonia,1,0,"0,0%"
Kristers Tobers,Lechia Gdańsk,1,0,"0,0%"
Mateusz Żyro,Stal Mielec,1,0,"0,0%"
Kristian Vallo,Wisła Płock,1,0,"0,0%"
Bozidar Czorbadżijski,Stal Mielec,1,0,"0,0%"
Jakub Kałuziński,Lechia Gdańsk,1,0,"0,0%"
Mariusz Malec,Pogoń Szczecin,1,0,"0,0%"
Maik Nawrocki,Warta Poznań,1,0,"0,0%"
Adam Ratajczyk,Zagłębie Lubin,1,0,"0,0%"
Luis Rocha,Cracovia,1,0,"0,0%"
