ZAWODNIK,KLUB,GOLE,G KARNY,G ROŻNY,G WOLNY,G WOLNY BEZP,G AUT,AS SFG,PO SFG,Z GRY,%GOLI PO SFG
Paweł Bochniewicz,Górnik Zabrze,1,0,1,0,0,0,0,1,0,"100,0%"
Paweł Tomczyk,Stal Mielec,1,0,0,0,0,0,0,0,1,"0,0%"
Przemysław Wiśniewski,Górnik Zabrze,1,0,1,0,0,0,0,1,0,"100,0%"
Rafał Pietrzak,Lechia Gdańsk,1,0,0,0,1,0,7,1,0,"100,0%"
Rivaldinho,Cracovia,1,0,0,0,0,1,0,1,0,"100,0%"
Tomasz Nowak,Podbeskidzie,1,0,0,0,0,0,0,0,1,"0,0%"
Torgil Gjertsen,Wisła Płock,1,0,0,0,0,0,0,0,1,"0,0%"
Tymoteusz Puchacz,Lech Poznań,1,0,0,0,0,0,0,0,1,"0,0%"
Waldemar Sobota,Śląsk Wrocław,1,1,0,0,0,0,2,1,0,"100,0%"
Wojciech Golla,Śląsk Wrocław,1,0,0,1,0,0,1,1,0,"100,0%"
Cornel Rapa,Cracovia,1,0,1,0,0,0,0,1,0,"100,0%"
Aleks Ławniczak,Warta Poznań,1,0,1,0,0,0,0,1,0,"100,0%"
Filip Lesniak,Wisła Płock,1,0,0,0,0,0,0,0,1,"0,0%"
Bartosz Kieliba,Warta Poznań,1,0,0,1,0,0,0,1,0,"100,0%"
Ivan Fiolić,Cracovia,1,0,0,1,0,0,0,1,0,"100,0%"
Karol Fila,Lechia Gdańsk,1,0,0,0,0,0,0,0,1,"0,0%"
Patryk Lipski,Piast Gliwice,1,0,0,0,1,0,0,1,0,"100,0%"
Filip Marchwiński,Lech Poznań,1,0,0,0,0,0,0,0,1,"0,0%"
Nika Kaczarawa,Lech Poznań,1,1,0,0,0,0,0,1,0,"100,0%"
Patryk Plewka,Wisła Kraków,1,0,0,0,0,0,0,0,1,"0,0%"
Dejan Drazić,Zagłębie Lubin,1,1,0,0,0,0,0,1,0,"100,0%"
Jakub Kuzdra,Warta Poznań,1,0,0,0,0,0,0,0,1,"0,0%"
Maksymilian Sitek,Podbeskidzie,1,0,0,0,0,0,0,0,1,"0,0%"
Kacper Smoliński,Pogoń Szczecin,1,0,0,0,0,0,0,0,1,"0,0%"
Josip Juranović,Legia Warszawa,1,0,0,0,0,0,0,0,1,"0,0%"
Jakub Rzeźniczak,Wisła Płock,1,0,1,0,0,0,0,1,0,"100,0%"
Mohammad Awwad,Lech Poznań,1,0,0,0,0,0,0,0,1,"0,0%"
Jarosław Kubicki,Lechia Gdańsk,1,0,0,0,0,0,1,0,1,"0,0%"
Kacper Skibicki,Legia Warszawa,1,0,0,0,0,0,0,0,1,"0,0%"
Adi Mehremić,Wisła Kraków,1,0,1,0,0,0,0,1,0,"100,0%"
Petteri Forsell,Stal Mielec,1,0,0,0,1,0,1,1,0,"100,0%"
Daniel Szelągowski,Raków Częstochowa,1,0,0,0,0,0,0,0,1,"0,0%"
Oskar Zawada,Raków Częstochowa,1,0,0,0,0,0,0,0,1,"0,0%"
Jakub Czerwiński,Piast Gliwice,1,0,0,1,0,0,0,1,0,"100,0%"
Mateusz Marzec,Podbeskidzie,1,0,1,0,0,0,0,1,0,"100,0%"
Maciej Żurawski,Pogoń/Warta,1,0,1,0,0,0,0,1,0,"100,0%"
Tomas Podstawski,Pogoń Szczecin,1,0,1,0,0,0,1,1,0,"100,0%"
Łukasz Zjawiński,Stal Mielec,1,0,0,0,0,0,0,0,1,"0,0%"
Marcel Zylla,Śląsk Wrocław,1,0,0,0,0,0,0,0,1,"0,0%"
Przemysław Mystkowski,Jagiellonia,1,0,1,0,0,0,0,1,0,"100,0%"
Fedor Cernych,Jagiellonia,1,0,0,0,0,0,0,0,1,"0,0%"
Jakub Kiełb,Warta Poznań,1,0,0,0,0,0,0,0,1,"0,0%"
Israel Puerto,Śląsk Wrocław,1,0,1,0,0,0,0,1,0,"100,0%"
Michał Chrapek,Piast Gliwice,1,0,0,0,0,0,0,0,1,"0,0%"
Jakub Bartkowski,Pogoń Szczecin,1,0,1,0,0,0,1,1,0,"100,0%"
Kacper Kozłowski,Pogoń Szczecin,1,0,0,0,0,0,0,0,1,"0,0%"
Robert Janicki,Warta Poznań,1,0,0,0,0,0,0,0,1,"0,0%"
Mateusz Lewandowski,Wisła Płock,1,0,0,0,0,0,0,0,1,"0,0%"
Jaroslav Mihalik,Lechia Gdańsk,1,0,0,0,0,0,0,0,1,"0,0%"
Łukasz Burliga,Wisła Kraków,1,0,0,0,0,0,0,0,1,"0,0%"
Kristopher Vida,Piast Gliwice,1,0,0,0,0,1,0,1,0,"100,0%"
Mariusz Rybicki,Warta Poznań,1,0,0,0,0,0,0,0,1,"0,0%"
Michał Koj,Górnik Zabrze,1,0,1,0,0,0,0,1,0,"100,0%"
Luka Susnjara,Wisła Płock,1,0,0,0,0,0,0,0,1,"0,0%"
Kacper Kostorz,Legia Warszawa,1,0,0,0,0,0,0,0,1,"0,0%"
Joseph Ceesay,Lechia Gdańsk,1,0,0,0,0,0,0,0,1,"0,0%"
Bartosz Salamon,Lech Poznań,1,0,1,0,0,0,1,1,0,"100,0%"
Uros Radaković,Wisła Kraków,1,0,1,0,0,0,0,1,0,"100,0%"
Mateusz Matras,Stal Mielec,1,0,0,0,0,0,0,0,1,"0,0%"
Milan Rundić,Podbeskidzie,1,1,0,0,0,0,0,1,0,"100,0%"
Jewgienij Baszkirow,Zagłębie Lubin,1,0,0,0,0,0,1,0,1,"0,0%"
Bojan Nastić,Jagiellonia,1,0,0,0,0,0,0,0,1,"0,0%"
Mateusz Wieteska,Legia Warszawa,1,0,1,0,0,0,0,1,0,"100,0%"
David Niepsuj,Podbeskidzie,1,0,0,0,0,0,0,0,1,"0,0%"
Mario Maloca,Lechia Gdańsk,1,0,1,0,0,0,0,1,0,"100,0%"
Tomasz Makowski,Lechia Gdańsk,1,0,0,0,0,0,0,0,1,"0,0%"
Damian Oko,Zagłębie Lubin,1,0,1,0,0,0,0,1,0,"100,0%"
Konrad Poprawa,Śląsk Wrocław,1,0,0,1,0,0,0,1,0,"100,0%"
Patryk Janasik,Śląsk Wrocław,1,0,0,1,0,0,0,1,0,"100,0%"
Maik Nawrocki,Warta Poznań,1,0,0,0,0,1,0,1,0,"100,0%"
Mario Rodriguez,Warta Poznań,1,0,0,0,0,0,0,0,1,"0,0%"
Zoran Arsenić,Raków Częstochowa,1,0,1,0,0,0,0,1,0,"100,0%"
Jakub Arak,Raków Częstochowa,1,0,0,0,0,0,0,0,1,"0,0%"
Piotr Starzyński,Wisła Kraków,1,0,0,0,0,0,0,0,1,"0,0%"
Adrian Gryszkiewicz,Górnik Zabrze,0,0,0,0,0,0,0,0,0,-
Aleksander Pawlak,Wisła Płock,0,0,0,0,0,0,0,0,0,-
Andre Martins,Legia Warszawa,0,0,0,0,0,0,2,0,0,-
Artur Jędrzejczyk,Legia Warszawa,0,0,0,0,0,0,0,0,0,-
Błażej Augustyn,Jagiellonia,0,0,0,0,0,0,0,0,0,-
Damian Dąbrowski,Pogoń Szczecin,0,0,0,0,0,0,2,0,0,-
Daniel Bartl,Raków Częstochowa,0,0,0,0,0,0,0,0,0,-
