ZAWODNIK,KLUB,R,R celn,% R celn,R Gole,ZZA,ZZA celn,ZZA %,ZZA Gole,ZZA GOL/ZZA
Bartosz Rymaniak,Piast Gliwice,4,1,"25,0%",0,3,1,"33,3%",0,"0,0%"
Benedikt Zech,Pogoń Szczecin,4,1,"25,0%",0,3,1,"33,3%",0,"0,0%"
Szymon Lewkot,Śląsk Wrocław,4,1,"25,0%",0,3,1,"33,3%",0,"0,0%"
Maciej Wilusz,Raków Częstochowa,5,1,"20,0%",0,2,1,"50,0%",0,"0,0%"
Hubert Matynia,Pogoń Szczecin,7,1,"14,3%",0,6,1,"16,7%",0,"0,0%"
David Mawutor,Wisła Kraków,7,1,"14,3%",0,5,1,"20,0%",0,"0,0%"
Daniel Pik,Cracovia,7,1,"14,3%",0,3,1,"33,3%",0,"0,0%"
Wasyl Kraweć,Lech Poznań,8,1,"12,5%",0,7,1,"14,3%",0,"0,0%"
Luis Rocha,Legia Warszawa,9,1,"11,1%",0,7,1,"14,3%",0,"0,0%"
Marko Poletanović,Raków Częstochowa,10,1,"10,0%",0,8,1,"12,5%",0,"0,0%"
Miroslav Stoch,Zagłębie Lubin,10,1,"10,0%",0,5,1,"20,0%",0,"0,0%"
Dominik Frelek,Podbeskidzie,10,1,"10,0%",0,2,1,"50,0%",0,"0,0%"
Marco Tulio,Podbeskidzie,10,1,"10,0%",0,8,1,"12,5%",0,"0,0%"
Damir Sadiković,Cracovia,11,1,"9,1%",0,11,1,"9,1%",0,"0,0%"
Gieorgij Żukow,Wisła Kraków,16,1,"6,3%",0,14,1,"7,1%",0,"0,0%"
Alan Uryga,Wisła Płock,25,13,"52,0%",5,3,0,"0,0%",0,"0,0%"
Luka Zahović,Pogoń Szczecin,28,13,"46,4%",2,2,0,"0,0%",0,"0,0%"
Marcin Cebula,Raków Częstochowa,20,11,"55,0%",6,3,0,"0,0%",0,"0,0%"
Aleksandyr Kolew,Stal Mielec,31,11,"35,5%",2,4,0,"0,0%",0,"0,0%"
Maciej Jankowski,Stal Mielec,14,8,"57,1%",2,2,0,"0,0%",0,"0,0%"
Fedor Cernych,Jagiellonia,21,8,"38,1%",1,5,0,"0,0%",0,"0,0%"
Dawid Kocyła,Wisła Płock,23,8,"34,8%",4,8,0,"0,0%",0,"0,0%"
Filip Piszczek,Cracovia,15,7,"46,7%",2,1,0,"0,0%",0,"0,0%"
Arkadiusz Pyrka,Piast Gliwice,19,7,"36,8%",0,2,0,"0,0%",0,"0,0%"
Michal Frydrych,Wisła Kraków,23,7,"30,4%",3,4,0,"0,0%",0,"0,0%"
Dusan Lagator,Wisła Płock,11,6,"54,5%",3,1,0,"0,0%",0,"0,0%"
Łukasz Zjawiński,Stal Mielec,12,6,"50,0%",1,1,0,"0,0%",0,"0,0%"
Aron Johannsson,Lech Poznań,15,6,"40,0%",2,3,0,"0,0%",0,"0,0%"
Piotr Celeban,Śląsk Wrocław,10,5,"50,0%",2,1,0,"0,0%",0,"0,0%"
Adam Frączczak,Pogoń Szczecin,12,5,"41,7%",3,3,0,"0,0%",0,"0,0%"
Bartosz Kopacz,Lechia Gdańsk,13,5,"38,5%",2,1,0,"0,0%",0,"0,0%"
Rafał Kurzawa,Pogoń Szczecin,15,5,"33,3%",2,8,0,"0,0%",0,"0,0%"
Rafał Wolski,Wisła Płock,6,4,"66,7%",2,1,0,"0,0%",0,"0,0%"
Zan Medved,Wisła Kraków,10,4,"40,0%",0,1,0,"0,0%",0,"0,0%"
Bartosz Bida,Jagiellonia,13,4,"30,8%",2,1,0,"0,0%",0,"0,0%"
Dino Stiglec,Śląsk Wrocław,14,4,"28,6%",0,7,0,"0,0%",0,"0,0%"
Aleks Ławniczak,Warta Poznań,16,4,"25,0%",1,1,0,"0,0%",0,"0,0%"
Krzysztof Kubica,Górnik Zabrze,22,4,"18,2%",0,8,0,"0,0%",0,"0,0%"
Patryk Plewka,Wisła Kraków,5,3,"60,0%",1,1,0,"0,0%",0,"0,0%"
Kamil Kruk,Zagłębie Lubin,6,3,"50,0%",2,1,0,"0,0%",0,"0,0%"
Piotr Malarczyk,Piast Gliwice,7,3,"42,9%",2,1,0,"0,0%",0,"0,0%"
Jakub Czerwiński,Piast Gliwice,9,3,"33,3%",1,1,0,"0,0%",0,"0,0%"
Piotr Starzyński,Wisła Kraków,10,3,"30,0%",1,5,0,"0,0%",0,"0,0%"
Tomas Vestenicky,Cracovia,10,3,"30,0%",2,3,0,"0,0%",0,"0,0%"
Tomas Podstawski,Pogoń Szczecin,11,3,"27,3%",1,4,0,"0,0%",0,"0,0%"
Łukasz Sierpina,Podbeskidzie,12,3,"25,0%",0,5,0,"0,0%",0,"0,0%"
Jose Kante,Legia Warszawa,12,3,"25,0%",0,1,0,"0,0%",0,"0,0%"
Maciej Żurawski,Pogoń Szczecin,14,3,"21,4%",1,4,0,"0,0%",0,"0,0%"
Mario Rodriguez,Warta Poznań,3,2,"66,7%",1,1,0,"0,0%",0,"0,0%"
Konrad Wrzesiński,Jagiellonia,3,2,"66,7%",0,1,0,"0,0%",0,"0,0%"
Daniel Szelągowski,Raków Częstochowa,4,2,"50,0%",1,2,0,"0,0%",0,"0,0%"
Daniel Bartl,Raków Częstochowa,5,2,"40,0%",0,2,0,"0,0%",0,"0,0%"
Bojan Nastić,Jagiellonia,5,2,"40,0%",1,1,0,"0,0%",0,"0,0%"
Mateusz Bartolewski,Zagłębie Lubin,5,2,"40,0%",0,2,0,"0,0%",0,"0,0%"
Zoran Arsenić,Jagiellonia/Raków,5,2,"40,0%",1,2,0,"0,0%",0,"0,0%"
Joseph Ceesay,Lechia Gdańsk,6,2,"33,3%",1,3,0,"0,0%",0,"0,0%"
Maciej Rosołek,Legia Warszawa,6,2,"33,3%",0,2,0,"0,0%",0,"0,0%"
Jakub Wróbel,Stal Mielec,6,2,"33,3%",0,1,0,"0,0%",0,"0,0%"
Damjan Bohar,Zagłębie Lubin,7,2,"28,6%",1,3,0,"0,0%",0,"0,0%"
Bozidar Czorbadzijski,Stal Mielec,7,2,"28,6%",0,1,0,"0,0%",0,"0,0%"
Israel Puerto,Śląsk Wrocław,8,2,"25,0%",1,1,0,"0,0%",0,"0,0%"
Ivan Marquez,Cracovia,8,2,"25,0%",0,2,0,"0,0%",0,"0,0%"
Lubomir Guldan,Zagłębie Lubin,9,2,"22,2%",2,4,0,"0,0%",0,"0,0%"
Adi Mehremić,Wisła Kraków,10,2,"20,0%",1,2,0,"0,0%",0,"0,0%"
Piotr Parzyszek,Piast Gliwice,10,2,"20,0%",0,1,0,"0,0%",0,"0,0%"
Marcel Zylla,Śląsk Wrocław,15,2,"13,3%",1,7,0,"0,0%",0,"0,0%"
Jakub Kuzdra,Warta Poznań,16,2,"12,5%",1,12,0,"0,0%",0,"0,0%"
Nikola Kuveljić,Wisła Kraków,16,2,"12,5%",0,10,0,"0,0%",0,"0,0%"
Gracjan Jaroch,Warta Poznań,2,1,"50,0%",0,1,0,"0,0%",0,"0,0%"
Paweł Cibicki,Pogoń Szczecin,2,1,"50,0%",0,1,0,"0,0%",0,"0,0%"
Łukasz Bejger,Śląsk Wrocław,2,1,"50,0%",0,1,0,"0,0%",0,"0,0%"
Norbert Wojtuszek,Górnik Zabrze,3,1,"33,3%",0,2,0,"0,0%",0,"0,0%"
Kristian Vallo,Wisła Płock,3,1,"33,3%",0,2,0,"0,0%",0,"0,0%"
Fernan Ferreiroa,Jagiellonia,3,1,"33,3%",0,1,0,"0,0%",0,"0,0%"
Hubert Adamczyk,Wisła Płock,3,1,"33,3%",0,1,0,"0,0%",0,"0,0%"
Martin Konczkowski,Piast Gliwice,4,1,"25,0%",0,1,0,"0,0%",0,"0,0%"
