ZAWODNIK,KLUB,GOLE,ASYSTY,KANADYJSKA,GOLE DRUŻYNY,% GOL,UDZIAŁ%,KAN+2.AS,UDZIAŁ % Z 2.AS
Cillian Sheridan,Wisła Płock,2,2,4,20,"10,0%","20,0%",5,"25,0%"
Gerard Badia,Piast Gliwice,4,4,8,41,"9,8%","19,5%",11,"26,8%"
Walerian Gwilia,Legia Warszawa,8,5,13,70,"11,4%","18,6%",21,"30,0%"
Fran Tudor,Raków Częstochowa,1,4,5,27,"3,7%","18,5%",9,"33,3%"
Łukasz Sekulski,ŁKS Łódź,5,1,6,33,"15,2%","18,2%",6,"18,2%"
Bartosz Białek,Zagłębie Lubin,9,2,11,61,"14,8%","18,0%",15,"24,6%"
Dawit Schirtladze,Arka Gdynia,4,3,7,39,"10,3%","17,9%",9,"23,1%"
Dino Stiglec,Śląsk Wrocław,4,5,9,51,"7,8%","17,6%",13,"25,5%"
Erik Pacinda,Korona Kielce,4,1,5,29,"13,8%","17,2%",6,"20,7%"
Matej Pućko,Korona Kielce,1,4,5,29,"3,4%","17,2%",5,"17,2%"
Jose Kante,Legia Warszawa,10,2,12,70,"14,3%","17,1%",16,"22,9%"
Kamil Jóźwiak,Lech Poznań,8,4,12,70,"11,4%","17,1%",18,"25,7%"
Luquinhas,Legia Warszawa,5,7,12,70,"7,1%","17,1%",18,"25,7%"
Alan Czerwiński,Zagłębie Lubin,1,9,10,61,"1,6%","16,4%",13,"21,3%"
Maciej Sadlok,Wisła Kraków,1,6,7,44,"2,3%","15,9%",7,"15,9%"
Vukan Savicević,Wisła Kraków,4,3,7,44,"9,1%","15,9%",11,"25,0%"
Łukasz Wolsztyński,Górnik Zabrze,2,6,8,51,"3,9%","15,7%",13,"25,5%"
Michał Chrapek,Śląsk Wrocław,5,3,8,51,"9,8%","15,7%",12,"23,5%"
Pirulo,ŁKS Łódź,1,4,5,33,"3,0%","15,2%",9,"27,3%"
Erik Jirka,Górnik Zabrze,4,0,4,27,"14,8%","14,8%",4,"14,8%"
Tomas Prikryl,Jagiellonia,2,5,7,48,"4,2%","14,6%",8,"16,7%"
Cornel Rapa,Cracovia,3,4,7,49,"6,1%","14,3%",9,"18,4%"
Mateusz Wdowiak,Cracovia,2,5,7,49,"4,1%","14,3%",10,"20,4%"
Daniel Szelągowski,Korona Kielce,2,2,4,29,"6,9%","13,8%",4,"13,8%"
Krzysztof Mączyński,Śląsk Wrocław,4,3,7,51,"7,8%","13,7%",11,"21,6%"
Erik Janza,Górnik Zabrze,0,7,7,51,"0,0%","13,7%",15,"29,4%"
Sebastian Musiolik,Raków Częstochowa,6,1,7,51,"11,8%","13,7%",9,"17,6%"
Adam Frączczak,Pogoń Szczecin,4,1,5,37,"10,8%","13,5%",5,"13,5%"
Zvonimir Kozulj,Pogoń Szczecin,3,2,5,37,"8,1%","13,5%",8,"21,6%"
Mateusz Szwoch,Wisła Płock,4,2,6,45,"8,9%","13,3%",11,"24,4%"
Guilherme Sitya,Jagiellonia,0,4,4,31,"0,0%","12,9%",4,"12,9%"
Pedro Tiba,Lech Poznań,2,7,9,70,"2,9%","12,9%",13,"18,6%"
Adam Danch,Arka Gdynia,2,3,5,39,"5,1%","12,8%",5,"12,8%"
Mateusz Młyński,Arka Gdynia,2,3,5,39,"5,1%","12,8%",6,"15,4%"
Bartosz Bida,Jagiellonia,5,1,6,48,"10,4%","12,5%",10,"20,8%"
Martin Pospisil,Jagiellonia,2,4,6,48,"4,2%","12,5%",14,"29,2%"
Bartosz Rymaniak,Piast Gliwice,0,5,5,41,"0,0%","12,2%",7,"17,1%"
Tom Hateley,Piast Gliwice,1,4,5,41,"2,4%","12,2%",9,"22,0%"
Rafał Kujawa,ŁKS Łódź,4,0,4,33,"12,1%","12,1%",4,"12,1%"
Michał Trąbka,ŁKS Łódź,1,3,4,33,"3,0%","12,1%",11,"33,3%"
Tomas Petrasek,Raków Częstochowa,6,0,6,51,"11,8%","11,8%",8,"15,7%"
Tymoteusz Puchacz,Lech Poznań,3,5,8,70,"4,3%","11,4%",13,"18,6%"
Domagoj Antolić,Legia Warszawa,3,5,8,70,"4,3%","11,4%",11,"15,7%"
Jakub Moder,Lech Poznań,5,3,8,70,"7,1%","11,4%",14,"20,0%"
Michał Mak,Wisła Kraków,1,4,5,44,"2,3%","11,4%",8,"18,2%"
Piotr Tomasik,Wisła Płock,3,2,5,45,"6,7%","11,1%",6,"13,3%"
Sebastian Kowalczyk,Pogoń Szczecin,2,2,4,37,"5,4%","10,8%",10,"27,0%"
Hubert Matynia,Pogoń Szczecin,2,2,4,37,"5,4%","10,8%",6,"16,2%"
Marcin Listkowski,Pogoń Szczecin,2,2,4,37,"5,4%","10,8%",4,"10,8%"
Filip Mladenović,Lechia Gdańsk,0,5,5,48,"0,0%","10,4%",7,"14,6%"
Jarosław Kubicki,Lechia Gdańsk,0,5,5,48,"0,0%","10,4%",10,"20,8%"
Adam Marciniak,Arka Gdynia,0,4,4,39,"0,0%","10,3%",6,"15,4%"
Marcus Vinicius,Arka Gdynia,3,1,4,39,"7,7%","10,3%",6,"15,4%"
Michal Siplak,Cracovia,1,4,5,49,"2,0%","10,2%",6,"12,2%"
Arvydas Novikovas,Legia Warszawa,4,3,7,70,"5,7%","10,0%",10,"14,3%"
Mateusz Cholewiak,Śląsk/Legia,4,2,6,30,"6,7%","10,0%",9,"16,7%"
Miłosz Szczepański,Raków Częstochowa,1,4,5,51,"2,0%","9,8%",12,"23,5%"
Daniel Bartl,Raków Częstochowa,2,3,5,51,"3,9%","9,8%",6,"11,8%"
Sebastian Milewski,Piast Gliwice,2,2,4,41,"4,9%","9,8%",8,"19,5%"
Chuca,Wisła Kraków,2,2,4,44,"4,5%","9,1%",4,"9,1%"
Aleksander Buksa,Wisła Kraków,4,0,4,44,"9,1%","9,1%",4,"9,1%"
Damian Michalski,Wisła Płock,4,0,4,45,"8,9%","8,9%",6,"13,3%"
Alan Uryga,Wisła Płock,4,0,4,45,"8,9%","8,9%",6,"13,3%"
Patryk Tuszyński,Zagłębie/Piast,1,3,4,34,"2,9%","8,8%",5,"11,8%"
Ivan Runje,Jagiellonia,3,1,4,48,"6,3%","8,3%",6,"12,5%"
Sławomir Peszko,Lechia Gdańsk,3,1,4,48,"6,3%","8,3%",5,"10,4%"
Bartosz Slisz,Zagłębie/Legia,2,2,4,12,"0,0%","8,3%",7,"8,3%"
Patryk Szysz,Zagłębie Lubin,3,2,5,61,"4,9%","8,2%",7,"11,5%"
Łukasz Broź,Śląsk Wrocław,3,1,4,51,"5,9%","7,8%",5,"9,8%"
Kamil Piątkowski,Raków Częstochowa,1,3,4,51,"2,0%","7,8%",5,"9,8%"
Marko Vesović,Legia Warszawa,1,4,5,70,"1,4%","7,1%",8,"11,4%"
Michał Karbownik,Legia Warszawa,0,5,5,70,"0,0%","7,1%",12,"17,1%"
Jakub Kamiński,Lech Poznań,4,1,5,70,"5,7%","7,1%",12,"17,1%"
Wołodymyr Kostewycz,Lech Poznań,0,4,4,70,"0,0%","5,7%",7,"10,0%"
