ZAWODNIK,KLUB,R,R celn,% R celn,R Gole,ZZA,ZZA celn,ZZA %,ZZA Gole,ZZA GOL/ZZA
Patryk Klimala,Jagiellonia,41,22,"53,7%",7,6,2,"33,3%",0,"0,0%"
Łukasz Zwoliński,Lechia Gdańsk,29,16,"55,2%",7,4,2,"50,0%",1,"25,0%"
Jarosław Jach,Raków Częstochowa,37,13,"35,1%",2,12,2,"16,7%",0,"0,0%"
Lukas Haraslin,Lechia Gdańsk,40,13,"32,5%",2,9,2,"22,2%",0,"0,0%"
Adnan Kovacević,Korona Kielce,29,12,"41,4%",5,5,2,"40,0%",0,"0,0%"
Kamil Zapolnik,Górnik Zabrze,23,10,"43,5%",1,2,2,"100,0%",0,"0,0%"
Tomas Prikryl,Jagiellonia,34,10,"29,4%",2,10,2,"20,0%",1,"10,0%"
Bartosz Bida,Jagiellonia,34,10,"29,4%",5,14,2,"14,3%",0,"0,0%"
Cillian Sheridan,Wisła Płock,17,9,"52,9%",2,2,2,"100,0%",0,"0,0%"
Kamil Wojtkowski,Wisła Kraków,28,9,"32,1%",2,12,2,"16,7%",0,"0,0%"
Martin Konczkowski,Piast Gliwice,12,8,"66,7%",0,3,2,"66,7%",0,"0,0%"
Cornel Rapa,Cracovia,26,8,"30,8%",3,11,2,"18,2%",0,"0,0%"
Filip Marchwiński,Lech Poznań,16,7,"43,8%",3,2,2,"100,0%",0,"0,0%"
Bartosz Rymaniak,Piast Gliwice,18,7,"38,9%",0,6,2,"33,3%",0,"0,0%"
Jean Carlos,Wisła Kraków,16,6,"37,5%",0,9,2,"22,2%",0,"0,0%"
Adam Ratajczyk,ŁKS Łódź,20,6,"30,0%",1,2,2,"100,0%",0,"0,0%"
Janusz Gol,Cracovia,22,6,"27,3%",1,14,2,"14,3%",0,"0,0%"
Mateusz Młyński,Arka Gdynia,27,6,"22,2%",2,17,2,"11,8%",0,"0,0%"
Marcin Listkowski,Pogoń Szczecin,32,6,"18,8%",2,19,2,"10,5%",1,"5,3%"
Ze Gomes,Lechia Gdańsk,14,5,"35,7%",1,8,2,"25,0%",0,"0,0%"
Kamil Drygas,Pogoń Szczecin,21,5,"23,8%",2,8,2,"25,0%",0,"0,0%"
Chuca,Wisła Kraków,26,5,"19,2%",2,14,2,"14,3%",1,"7,1%"
Jacek Kiełb,Korona Kielce,28,5,"17,9%",1,13,2,"15,4%",0,"0,0%"
David Niepsuj,Wisła Kraków,5,4,"80,0%",2,3,2,"66,7%",1,"33,3%"
Michael Gardawski,Korona Kielce,8,4,"50,0%",0,5,2,"40,0%",0,"0,0%"
Thiago Thiago,Cracovia,9,4,"44,4%",0,6,2,"33,3%",0,"0,0%"
Kamil Piątkowski,Raków Częstochowa,11,4,"36,4%",1,4,2,"50,0%",0,"0,0%"
Jaroslav Mihalik,Lechia Gdańsk,12,4,"33,3%",2,6,2,"33,3%",0,"0,0%"
Grzegorz Szymusik,Korona Kielce,17,4,"23,5%",1,5,2,"40,0%",0,"0,0%"
Jakub Żubrowski,Korona Kielce,20,4,"20,0%",1,16,2,"12,5%",0,"0,0%"
Sylwester Lusiusz,Cracovia,6,3,"50,0%",0,5,2,"40,0%",0,"0,0%"
Michał Koj,Górnik Zabrze,7,3,"42,9%",1,3,2,"66,7%",1,"33,3%"
Andrija Luković,Raków Częstochowa,11,3,"27,3%",0,8,2,"25,0%",0,"0,0%"
Damian Rasak,Wisła Płock,12,3,"25,0%",0,10,2,"20,0%",0,"0,0%"
Fran Tudor,Raków Częstochowa,14,3,"21,4%",1,9,2,"22,2%",1,"11,1%"
Michał Karbownik,Legia Warszawa,18,3,"16,7%",0,8,2,"25,0%",0,"0,0%"
Milan Dimun,Cracovia,20,3,"15,0%",0,13,2,"15,4%",0,"0,0%"
Daniel Łukasik,Lechia Gdańsk,7,2,"28,6%",0,7,2,"28,6%",0,"0,0%"
Gieorgij Żukow,Wisła Kraków,8,2,"25,0%",0,8,2,"25,0%",0,"0,0%"
Wojciech Łuczak,ŁKS Łódź,10,2,"20,0%",0,6,2,"33,3%",0,"0,0%"
Jarosław Niezgoda,Legia Warszawa,36,21,"58,3%",14,5,1,"20,0%",0,"0,0%"
Sebastian Musiolik,Raków Częstochowa,51,18,"35,3%",6,5,1,"20,0%",0,"0,0%"
Alan Uryga,Wisła Płock,33,15,"45,5%",4,5,1,"20,0%",0,"0,0%"
Mateusz Wdowiak,Cracovia,35,14,"40,0%",2,8,1,"12,5%",0,"0,0%"
Juan Camara,Jagiellonia,47,12,"25,5%",2,23,1,"4,3%",0,"0,0%"
Łukasz Sekulski,ŁKS Łódź,27,11,"40,7%",5,6,1,"16,7%",0,"0,0%"
Patryk Sokołowski,Piast Gliwice,31,11,"35,5%",0,14,1,"7,1%",0,"0,0%"
Michal Papadopulos,Korona Kielce,44,11,"25,0%",3,11,1,"9,1%",0,"0,0%"
Aleksander Buksa,Wisła Kraków,16,10,"62,5%",4,6,1,"16,7%",1,"16,7%"
Damian Michalski,Wisła Płock,32,10,"31,3%",4,2,1,"50,0%",0,"0,0%"
Łukasz Wolstyński,Górnik Zabrze,18,9,"50,0%",2,6,1,"16,7%",0,"0,0%"
Sławomir Peszko,Lechia Gdańsk,26,9,"34,6%",3,8,1,"12,5%",1,"12,5%"
Rafał Kujawa,ŁKS Łódź,17,8,"47,1%",4,5,1,"20,0%",1,"20,0%"
Patryk Tuszyński,Zagłębie/Piast,19,8,"42,1%",1,3,1,"33,3%",0,"0,0%"
Ricardinho,Wisła Płock,21,8,"38,1%",4,8,1,"12,5%",0,"0,0%"
Ołeksij Dytiatjew,Cracovia,21,8,"38,1%",1,4,1,"25,0%",0,"0,0%"
Michał Helik,Cracovia,26,8,"30,8%",1,3,1,"33,3%",0,"0,0%"
Adam Danch,Arka Gdynia,11,7,"63,6%",2,1,1,"100,0%",0,"0,0%"
Michał Skóraś,Raków/Lech,19,7,"36,8%",1,8,1,"12,5%",0,"0,0%"
Bartosz Kopacz,Zagłębie Lubin,21,7,"33,3%",1,6,1,"16,7%",0,"0,0%"
Maciej Rosołek,Legia Warszawa,9,6,"66,7%",3,1,1,"100,0%",0,"0,0%"
Jakub Bartkowski,Pogoń Szczecin,14,6,"42,9%",0,2,1,"50,0%",0,"0,0%"
Patryk Lipski,Lechia Gdańsk,17,6,"35,3%",0,6,1,"16,7%",0,"0,0%"
Karol Angielski,Wisła Płock,9,5,"55,6%",0,1,1,"100,0%",0,"0,0%"
Kamil Pestka,Cracovia,10,5,"50,0%",1,4,1,"25,0%",1,"25,0%"
Łukasz Broź,Śląsk Wrocław,13,5,"38,5%",3,8,1,"12,5%",0,"0,0%"
Torgil Gjertsen,Wisła Płock,13,5,"38,5%",2,3,1,"33,3%",1,"33,3%"
Kristopher Vida,Piast Gliwice,16,5,"31,3%",0,7,1,"14,3%",0,"0,0%"
Filip Piszczek,Cracovia,16,5,"31,3%",0,2,1,"50,0%",0,"0,0%"
Przemysław Mystkowski,Jagiellonia,18,5,"27,8%",1,7,1,"14,3%",0,"0,0%"
Fabian Serrarens,Arka Gdynia,22,5,"22,7%",0,7,1,"14,3%",0,"0,0%"
Carlos Moros Gracia,ŁKS Łódź,6,4,"66,7%",2,1,1,"100,0%",0,"0,0%"
Lubomir Tupta,Wisła Kraków,9,4,"44,4%",1,3,1,"33,3%",0,"0,0%"
Dominik Steczyk,Piast Gliwice,10,4,"40,0%",0,1,1,"100,0%",0,"0,0%"
Ivan Jukić,Korona Kielce,10,4,"40,0%",0,7,1,"14,3%",0,"0,0%"
Adam Marciniak,Arka Gdynia,11,4,"36,4%",0,5,1,"20,0%",0,"0,0%"
Damian Zbozień,Arka Gdynia,16,4,"25,0%",0,8,1,"12,5%",0,"0,0%"
Jakub Tosik,Zagłębie Lubin,23,4,"17,4%",1,16,1,"6,3%",0,"0,0%"
Milan Radin,Korona Kielce,29,4,"13,8%",1,20,1,"5,0%",1,"5,0%"
Michał Rakoczy,Cracovia,5,3,"60,0%",1,3,1,"33,3%",0,"0,0%"
Krzysztof Drzazga,Wisła Kraków,7,3,"42,9%",0,2,1,"50,0%",0,"0,0%"
Mateusz Praszelik,Legia Warszawa,7,3,"42,9%",0,5,1,"20,0%",0,"0,0%"
Patryk Kun,Raków Częstochowa,9,3,"33,3%",0,5,1,"20,0%",0,"0,0%"
Adrian Klimczak,ŁKS Łódź,9,3,"33,3%",0,5,1,"20,0%",0,"0,0%"
Daniel Szelągowski,Korona Kielce,9,3,"33,3%",2,5,1,"20,0%",0,"0,0%"
Bojan Cecarić,Cracovia/Korona,12,3,"25,0%",0,4,1,"25,0%",0,"0,0%"
Lubambo Musonda,Śląsk Wrocław,13,3,"23,1%",0,4,1,"25,0%",0,"0,0%"
Ognjen Mudrinski,Jagiellonia,14,3,"21,4%",1,3,1,"33,3%",0,"0,0%"
Bartosz Kwiecień,Jagiellonia,15,3,"20,0%",1,3,1,"33,3%",0,"0,0%"
Jan Sobociński,ŁKS Łódź,16,3,"18,8%",2,9,1,"11,1%",0,"0,0%"
Boris Sekulić,Górnik Zabrze,19,3,"15,8%",0,9,1,"11,1%",0,"0,0%"
Maciej Ambrosiewicz,Górnik/Wisła P,3,2,"66,7%",0,1,1,"100,0%",0,"0,0%"
Rubio,Cracovia,4,2,"50,0%",1,1,1,"100,0%",0,"0,0%"
Wato Arweladze,Korona Kielce,5,2,"40,0%",0,2,1,"50,0%",0,"0,0%"
Mateusz Spychała,Korona Kielce,6,2,"33,3%",0,3,1,"33,3%",0,"0,0%"
Paweł Stolarski,Legia Warszawa,6,2,"33,3%",0,4,1,"25,0%",0,"0,0%"
Nemanja Mihajlović,Arka Gdynia,6,2,"33,3%",1,2,1,"50,0%",0,"0,0%"
Christian Maghoma,Arka Gdynia,6,2,"33,3%",0,1,1,"100,0%",0,"0,0%"
Diego Ferraresso,Cracovia,6,2,"33,3%",1,4,1,"25,0%",0,"0,0%"
Timur Żamaletdinow,Lech Poznań,6,2,"33,3%",0,4,1,"25,0%",0,"0,0%"
Mikołaj Kwietniewski,Wisła Płock,6,2,"33,3%",1,3,1,"33,3%",0,"0,0%"
Diego Zivulić,Śląsk Wrocław,7,2,"28,6%",0,4,1,"25,0%",0,"0,0%"
Patryk Bryła,ŁKS Łódź,9,2,"22,2%",0,4,1,"25,0%",0,"0,0%"
David Tijanić,Raków Częstochowa,10,2,"20,0%",1,8,1,"12,5%",0,"0,0%"
Jarosław Kubicki,Lechia Gdańsk,10,2,"20,0%",0,7,1,"14,3%",0,"0,0%"
Marko Poletanović,Jagiellonia/Raków,10,2,"20,0%",0,6,1,"16,7%",0,"0,0%"
Andrej Kadlec,Jagiellonia,10,2,"20,0%",0,7,1,"14,3%",0,"0,0%"
Bartłomiej Kalinkowski,ŁKS Łódź,11,2,"18,2%",0,6,1,"16,7%",0,"0,0%"
Florian Loshaj,Cracovia,11,2,"18,2%",0,9,1,"11,1%",0,"0,0%"
Tomasz Makowski,Lechia Gdańsk,12,2,"16,7%",0,9,1,"11,1%",0,"0,0%"
Ognjen Gnjatić,Korona Kielce,14,2,"14,3%",0,8,1,"12,5%",0,"0,0%"
Łukasz Piątek,ŁKS Łódź,16,2,"12,5%",1,11,1,"9,1%",0,"0,0%"
Maciej Dąbrowski,Zagłębie/ŁKS,17,2,"11,8%",0,6,1,"16,7%",0,"0,0%"
Jakub Apolinarski,Raków Częstochowa,1,1,"100,0%",0,1,1,"100,0%",0,"0,0%"
Tomas Huk,Piast Gliwice,1,1,"100,0%",0,1,1,"100,0%",0,"0,0%"
Patryk Dziczek,Piast Gliwice,2,1,"50,0%",0,2,1,"50,0%",0,"0,0%"
Mathieu Scalet,Śląsk Wrocław,2,1,"50,0%",0,1,1,"100,0%",0,"0,0%"
Nemanja Miletić,Korona Kielce,2,1,"50,0%",0,2,1,"50,0%",0,"0,0%"
Kacper Urbański,Lechia Gdańsk,2,1,"50,0%",0,2,1,"50,0%",0,"0,0%"
Rafał Kobryń,Lechia Gdańsk,2,1,"50,0%",0,1,1,"100,0%",0,"0,0%"
Marcin Grabowski,Wisła Kraków,2,1,"50,0%",0,1,1,"100,0%",0,"0,0%"
Daniel Pik,Cracovia,2,1,"50,0%",0,1,1,"100,0%",0,"0,0%"
Cafu,Legia Warszawa,3,1,"33,3%",0,2,1,"50,0%",0,"0,0%"
Denys Bałaniuk,Wisła Kraków,3,1,"33,3%",0,2,1,"50,0%",0,"0,0%"
Tiago Alves,Piast Gliwice,8,1,"12,5%",0,5,1,"20,0%",0,"0,0%"
Azer Busuladzić,Arka Gdynia,10,1,"10,0%",0,8,1,"12,5%",0,"0,0%"
Daniel Ściślak,Górnik Zabrze,12,1,"8,3%",0,11,1,"9,1%",0,"0,0%"
Filip Bainović,Górnik Zabrze,12,1,"8,3%",0,12,1,"8,3%",0,"0,0%"
Jakub Wróbel,ŁKS Łódź,13,1,"7,7%",0,2,1,"50,0%",0,"0,0%"
Maciej Jankowski,Arka Gdynia,43,18,"41,9%",8,2,0,"0,0%",0,"0,0%"
Paweł Wszołek,Legia Warszawa,42,15,"35,7%",6,3,0,"0,0%",0,"0,0%"
Paweł Bochniewicz,Górnik Zabrze,28,11,"39,3%",1,3,0,"0,0%",0,"0,0%"
Artur Sobiech,Lechia Gdańsk,20,10,"50,0%",6,1,0,"0,0%",0,"0,0%"
Piotr Tomasik,Wisła Płock,21,10,"47,6%",3,6,0,"0,0%",0,"0,0%"
Oskar Zawada,Wisła P/Arka,25,10,"40,0%",1,4,0,"0,0%",0,"0,0%"
Adam Frączczak,Pogoń Szczecin,23,9,"39,1%",4,7,0,"0,0%",0,"0,0%"
Jakub Kamiński,Lech Poznań,25,9,"36,0%",4,4,0,"0,0%",0,"0,0%"
Giorgos Giakoumakis,Górnik Zabrze,23,8,"34,8%",3,4,0,"0,0%",0,"0,0%"
Sasa Balić,Zagłębie Lubin,30,8,"26,7%",2,6,0,"0,0%",0,"0,0%"
Paweł Tomczyk,Lech Poznań,16,7,"43,8%",3,2,0,"0,0%",0,"0,0%"
David Jablonsky,Cracovia,29,7,"24,1%",1,4,0,"0,0%",0,"0,0%"
Piotr Malarczyk,Piast Gliwice,8,6,"75,0%",0,1,0,"0,0%",0,"0,0%"
Kostas Triantafyllopoulos,Pogoń Szczecin,11,6,"54,5%",1,1,0,"0,0%",0,"0,0%"
Israel Puerto,Śląsk Wrocław,21,6,"28,6%",2,1,0,"0,0%",0,"0,0%"
Wojciech Golla,Śląsk Wrocław,13,5,"38,5%",1,3,0,"0,0%",0,"0,0%"
Filip Marković,Śląsk Wrocław,14,5,"35,7%",2,2,0,"0,0%",0,"0,0%"
Kamil Antonik,Arka Gdynia,22,5,"22,7%",0,9,0,"0,0%",0,"0,0%"
Stavros Vassilantonopoulos,Górnik Zabrze,7,4,"57,1%",2,1,0,"0,0%",0,"0,0%"
Piotr Krawczyk,Górnik Zabrze,7,4,"57,1%",1,1,0,"0,0%",0,"0,0%"
Zoran Arsenić,Jagiellonia,9,4,"44,4%",0,1,0,"0,0%",0,"0,0%"
Marcus Vinicius,Arka Gdynia,13,4,"30,8%",3,2,0,"0,0%",0,"0,0%"
Karol Fila,Lechia Gdańsk,14,4,"28,6%",0,6,0,"0,0%",0,"0,0%"
Tomas Vestenicky,Cracovia,15,4,"26,7%",1,5,0,"0,0%",0,"0,0%"
Michał Nalepa II,Lechia Gdańsk,27,4,"14,8%",2,7,0,"0,0%",0,"0,0%"
Dawid Kocyła,Wisła Płock,6,3,"50,0%",3,1,0,"0,0%",0,"0,0%"
Jakub Rzeźniczak,Wisła Płock,6,3,"50,0%",2,1,0,"0,0%",0,"0,0%"
Ivan Marquez,Korona Kielce,7,3,"42,9%",0,2,0,"0,0%",0,"0,0%"
Wołodymyr Kostewycz,Lech Poznań,9,3,"33,3%",0,2,0,"0,0%",0,"0,0%"
Bogdan Tiru,Jagiellonia,9,3,"33,3%",1,1,0,"0,0%",0,"0,0%"
Piotr Malinowski,Raków Częstochowa,12,3,"25,0%",2,4,0,"0,0%",0,"0,0%"
Maksymilian Rozwandowicz,ŁKS Łódź,12,3,"25,0%",1,7,0,"0,0%",0,"0,0%"
Szymon Matuszek,Górnik Zabrze,13,3,"23,1%",2,4,0,"0,0%",0,"0,0%"
