KOL,GOSP,GOŚĆ,ST GOSP,ST GOŚĆ,ST C GOSP,ST C GOŚĆ,G GOSP,G GOŚĆ,xG GOSP,xG GOŚĆ,xG/s gosp,xG/s gość,% GOSP,% REMIS,% GOŚĆ
17,Wisła P,Lech,6,14,1,6,0,2,"0,23","1,27","0,04","0,09",6%,28%,65%
17,Arka,Pogoń,6,22,3,8,1,1,"1,26","1,29","0,21","0,06",36%,28%,36%
17,Piast,Śląsk,20,14,9,6,0,3,"1,79","1,51","0,09","0,11",44%,24%,32%
17,Legia,Korona,17,12,10,4,4,0,"3,03","0,58","0,18","0,05",88%,9%,3%
17,Raków,Jagiellonia,13,12,6,1,1,1,"0,91","1,00","0,07","0,08",32%,32%,37%
17,ŁKS,Cracovia,14,10,4,2,1,0,"1,79","1,13","0,13","0,11",53%,24%,23%
17,Wisła K,Lechia,18,13,1,4,0,1,"1,32","0,96","0,07","0,07",45%,28%,27%
18,Korona,Arka,21,9,8,4,0,1,"1,28","0,39","0,06","0,04",60%,29%,11%
18,Górnik,Wisła K,16,10,5,3,4,2,"2,17","0,57","0,14","0,06",76%,17%,7%
18,Jagiellonia,Zagłębie,10,18,2,4,0,1,"0,65","1,51","0,06","0,08",15%,26%,59%
18,Lech,ŁKS,18,12,9,2,2,0,"1,03","0,42","0,06","0,04",51%,35%,15%
18,Lechia,Wisła P,14,9,6,2,2,0,"2,89","0,53","0,21","0,06",87%,9%,3%
18,Cracovia,Raków,22,14,8,2,3,0,"2,18","0,66","0,10","0,05",74%,17%,9%
18,Pogoń,Piast,15,4,7,2,1,0,"1,45","0,16","0,10","0,04",73%,24%,4%
18,Śląsk,Legia,5,16,5,8,0,3,"1,12","1,48","0,22","0,09",28%,27%,45%
19,Arka,Zagłębie,22,11,6,5,2,1,"1,89","1,28","0,09","0,12",52%,23%,25%
19,Wisła K,Pogoń,9,15,3,1,1,0,"0,58","0,79","0,06","0,05",25%,38%,37%
19,Raków,Górnik,18,13,6,3,2,1,"2,33","1,00","0,13","0,08",68%,18%,14%
19,Śląsk,Lech,18,10,3,3,1,1,"2,01","0,42","0,11","0,04",77%,17%,6%
19,Legia,Wisła P,27,4,7,3,3,1,"1,69","1,02","0,06","0,26",53%,25%,22%
19,Piast,ŁKS,15,13,7,3,2,1,"1,58","1,25","0,11","0,10",45%,25%,30%
19,Korona,Cracovia,10,13,4,4,1,0,"0,57","1,28","0,06","0,10",16%,29%,55%
19,Jagiellonia,Lechia,18,12,7,3,3,0,"2,50","0,50","0,14","0,04",83%,13%,5%
20,ŁKS,Wisła K,16,17,6,5,2,3,"2,34","2,14","0,15","0,13",44%,20%,36%
20,Lech,Arka,32,8,8,4,1,1,"3,10","0,98","0,10","0,12",80%,12%,8%
20,Cracovia,Śląsk,20,6,7,0,2,0,"1,43","0,31","0,07","0,05",67%,26%,7%
20,Pogoń,Korona,24,6,4,5,0,1,"1,60","0,78","0,07","0,13",57%,25%,17%
20,Zagłębie,Legia,20,10,9,6,2,1,"1,46","1,41","0,07","0,14",38%,26%,36%
20,Lechia,Raków,18,13,6,6,0,3,"1,10","1,81","0,06","0,14",22%,23%,55%
20,Wisła P,Piast,9,14,6,4,2,1,"0,30","0,81","0,03","0,06",13%,41%,46%
20,Górnik,Jagiellonia,16,25,5,11,3,0,"2,86","2,77","0,18","0,11",43%,18%,39%
21,Arka,Cracovia,13,15,4,4,0,1,"1,31","0,94","0,10","0,06",46%,28%,26%
21,Śląsk,Lechia,23,15,4,2,2,2,"1,64","1,41","0,07","0,09",43%,24%,33%
21,Korona,Górnik,12,19,3,3,0,0,"0,57","1,54","0,05","0,08",13%,25%,62%
21,Lech,Raków,23,6,8,0,3,0,"2,00","0,53","0,09","0,09",73%,19%,8%
21,Wisła K,Jagiellonia,11,14,5,1,3,0,"1,30","0,83","0,12","0,06",48%,29%,23%
21,Wisła P,Pogoń,9,12,2,6,1,3,"0,65","1,35","0,07","0,11",17%,28%,55%
21,Piast,Zagłębie,16,9,6,3,2,0,"1,56","0,58","0,10","0,06",62%,25%,13%
21,Legia,ŁKS,22,9,12,1,3,1,"3,38","0,67","0,15","0,07",89%,8%,3%
22,Górnik,Arka,21,8,6,2,2,0,"3,30","0,33","0,16","0,04",93%,5%,1%
22,Lechia,Piast,10,21,3,3,1,0,"1,45","1,63","0,15","0,08",34%,25%,41%
22,ŁKS,Wisła P,16,11,2,2,0,0,"0,66","0,57","0,04","0,05",32%,41%,27%
22,Pogoń,Śląsk,11,8,7,1,0,0,"0,47","1,25","0,04","0,16",13%,29%,58%
22,Raków,Legia,13,20,8,10,2,2,"2,10","1,68","0,16","0,08",48%,22%,30%
22,Jagiellonia,Korona,32,8,6,3,0,0,"2,23","0,43","0,07","0,05",80%,15%,5%
22,Zagłębie,Wisła K,11,10,1,2,0,1,"0,65","0,60","0,06","0,06",31%,41%,28%
22,Cracovia,Lech,15,20,4,6,1,1,"1,85","1,55","0,12","0,08",45%,23%,32%
23,ŁKS,Pogoń,14,7,3,1,0,0,"1,27","1,04","0,09","0,15",41%,29%,30%
23,Śląsk,Górnik,9,14,3,2,2,0,"1,01","0,77","0,11","0,05",41%,33%,26%
23,Arka,Raków,13,22,7,5,3,2,"0,97","1,78","0,07","0,08",20%,23%,57%
23,Legia,Jagiellonia,15,7,7,2,3,0,"1,29","0,41","0,09","0,06",60%,29%,11%
23,Piast,Cracovia,11,11,5,5,1,0,"0,82","0,57","0,07","0,05",39%,38%,23%
23,Wisła P,Zagłębie,9,25,3,7,1,1,"0,59","2,02","0,07","0,08",9%,19%,72%
23,Wisła K,Korona,15,20,8,4,2,0,"0,98","0,88","0,07","0,04",37%,32%,31%
23,Lech,Lechia,43,9,11,3,1,0,"2,64","0,66","0,06","0,07",80%,13%,6%
24,Raków,Piast,17,12,9,2,2,0,"2,30","1,35","0,14","0,11",60%,20%,20%
24,Jagiellonia,Lech,21,12,7,3,1,1,"2,10","2,46","0,10","0,21",32%,20%,47%
24,Wisła K,Wisła P,14,13,5,6,2,2,"1,57","0,84","0,11","0,06",55%,25%,19%
24,Górnik,Pogoń,17,17,10,2,3,1,"1,95","1,20","0,11","0,07",56%,22%,22%
24,Legia,Cracovia,15,8,7,4,2,1,"2,17","1,31","0,14","0,16",58%,21%,21%
24,Korona,Lechia,29,13,7,5,1,2,"2,21","1,73","0,08","0,13",49%,21%,30%
24,Arka,ŁKS,10,17,2,4,1,1,"0,69","1,17","0,07","0,07",21%,31%,47%
24,Zagłębie,Śląsk,15,9,7,3,3,1,"2,23","1,27","0,15","0,14",60%,21%,19%
25,Lech,Górnik,20,17,9,5,4,1,"2,46","1,48","0,12","0,09",60%,19%,21%
25,Wisła P,Raków,9,12,2,4,0,1,"0,73","1,30","0,08","0,11",20%,29%,51%
25,Cracovia,Wisła K,13,12,3,4,0,2,"0,92","1,44","0,07","0,12",23%,27%,50%
25,Pogoń,Jagiellonia,18,13,3,6,1,2,"1,45","0,83","0,08","0,06",52%,27%,21%
25,ŁKS,Zagłębie,16,14,6,8,3,1,"2,78","1,77","0,17","0,13",60%,18%,22%
25,Śląsk,Korona,10,8,5,4,2,1,"0,50","0,63","0,05","0,08",24%,43%,33%
25,Lechia,Legia,2,20,0,7,0,2,"0,08","2,56","0,04","0,13",1%,7%,92%
25,Piast,Arka,19,8,8,2,1,0,"1,30","0,58","0,07","0,07",55%,29%,16%
26,Górnik,Cracovia,14,15,7,7,3,2,"1,44","1,47","0,10","0,10",37%,25%,38%
