ZAWODNIK,KLUB,GOLE,ASYSTY,KANADYJSKA,CZAS,MIN/GOL,MIN/G+AS
Engjell Hoti,ŁKS Łódź,4,0,4,1569,"392,3","392,3"
Sebastian Musiolik,Górnik Zabrze,4,5,9,1576,"394,0","175,1"
Dominik Marczuk,Jagiellonia,6,11,17,2373,"395,5","139,6"
Michał Rakoczy,Cracovia,6,5,11,2375,"395,8","215,9"
Jani Atanasov,Cracovia,5,2,7,2012,"402,4","287,4"
Wahan Biczachczjan,Pogoń Szczecin,5,4,9,2052,"410,4","228,0"
Tomasz Swędrowski,Ruch Chorzów,4,1,5,1647,"411,8","329,4"
Martin Remacle,Korona Kielce,6,1,7,2509,"418,2","358,4"
Kamil Zapolnik,Puszcza Niepołomice,5,4,9,2143,"428,6","238,1"
Dawid Drachal,Raków Częstochowa,3,3,6,1299,"433,0","216,5"
Michael Ameyaw,Piast Gliwice,6,3,9,2632,"438,7","292,4"
Władysław Koczerhin,Raków Częstochowa,5,2,7,2264,"452,8","323,4"
Bartosz Kapustka,Legia Warszawa,2,2,4,911,"455,5","227,8"
Andrejs Ciganiks,Widzew Łódź,3,2,5,1382,"460,7","276,4"
Maciej Rosołek,Legia Warszawa,2,2,4,957,"478,5","239,3"
Nono,Korona Kielce,4,4,8,1947,"486,8","243,4"
John Yeboah,Raków Częstochowa,3,5,8,1497,"499,0","187,1"
Lisandro Semedo,Radomiak Radom,4,2,6,2034,"508,5","339,0"
Filip Szymczak,Lech Poznań,3,2,5,1545,"515,0","309,0"
Antoni Klimek,Widzew Łódź,3,3,6,1587,"529,0","264,5"
Paweł Wszołek,Legia Warszawa,4,6,10,2223,"555,8","222,3"
Virgil Ghita,Cracovia,4,0,4,2435,"608,8","608,8"
Koki Hinokio,Stal Mielec,3,2,5,1836,"612,0","367,2"
Mateusz Kupczak,Warta Poznań,4,0,4,2512,"628,0","628,0"
Aleks Ławniczak,Zagłębie Lubin,4,0,4,2610,"652,5","652,5"
Patryk Makuch,Cracovia,4,5,9,2612,"653,0","290,2"
Łukasz Gerstenstein,Stal Mielec,2,2,4,1310,"655,0","327,5"
Lukas Podolski,Górnik Zabrze,3,4,7,1967,"655,7","281,0"
Roman Jakuba,Puszcza Niepołomice,4,2,6,2932,"733,0","488,7"
Piotr Janczukowicz,ŁKS Łódź,2,2,4,1472,"736,0","368,0"
Petr Schwarz,Śląsk Wrocław,3,6,9,2381,"793,7","264,6"
Mateusz Skrzypczak,Jagiellonia,3,1,4,2401,"800,3","600,3"
David Kristjan Olafsson,Cracovia,1,3,4,805,"805,0","201,3"
Mateusz Bartolewski,Ruch Chorzów,2,4,6,1658,"829,0","276,3"
Bogdan Racovitan,Raków Częstochowa,3,1,4,2624,"874,7","656,0"
Miłosz Kozak,Ruch Chorzów,2,6,8,1773,"886,5","221,6"
Krystian Getinger,Stal Mielec,3,4,7,2677,"892,3","382,4"
Tomasz Makowski,Zagłębie Lubin,2,2,4,1901,"950,5","475,3"
Maciej Domański,Stal Mielec,3,9,12,2865,"955,0","238,8"
Mateusz Matras,Stal Mielec,3,4,7,2970,"990,0","424,3"
Radovan Pankov,Legia Warszawa,2,4,6,1982,"991,0","330,3"
Adrian Przyborek,Pogoń Szczecin,1,3,4,1033,"1033,0","258,3"
Srdan Plavsić,Raków Częstochowa,1,3,4,1033,"1033,0","258,3"
Joel Pereira,Lech Poznań,2,5,7,2222,"1111,0","317,4"
Fabio Nunes,Widzew Łódź,2,3,5,2268,"1134,0","453,6"
Jarosław Kubicki,Jagiellonia,1,3,4,1135,"1135,0","283,8"
Rafał Wolski,Radomiak Radom,2,7,9,2291,"1145,5","254,6"
Tomasz Wójtowicz,Ruch Chorzów,2,2,4,2300,"1150,0","575,0"
Miguel Luis,Warta Poznań,2,2,4,2334,"1167,0","583,5"
Jesper Karlstrom,Lech Poznań,2,3,5,2371,"1185,5","474,2"
Dario Vizinger,Warta Poznań,1,3,4,1305,"1305,0","326,3"
Luis Machado,Radomiak Radom,1,3,4,1361,"1361,0","340,3"
Bartosz Kopacz,Zagłębie Lubin,2,2,4,2782,"1391,0","695,5"
Dawid Błanik,Korona Kielce,1,4,5,1395,"1395,0","279,0"
Serhij Bułeca,Zagłębie Lubin,1,4,5,1428,"1428,0","285,6"
Damian Rasak,Górnik Zabrze,2,2,4,2890,"1445,0","722,5"
Dawid Abramowicz,Radomiak Radom,2,3,5,3060,"1530,0","612,0"
Dani Pacheco,Górnik Zabrze,1,3,4,1800,"1800,0","450,0"
Piotr Wlazło,Stal Mielec,1,3,4,2236,"2236,0","559,0"
Juergen Elitim,Legia Warszawa,1,3,4,2504,"2504,0","626,0"
Taras Romanczuk,Jagiellonia,1,5,6,2576,"2576,0","429,3"
Damian Dąbrowski,Zagłębie Lubin,1,4,5,2860,"2860,0","572,0"
Linus Wahlqvist,Pogoń Szczecin,0,5,5,2779,-,"555,8"
Fran Tudor,Raków Częstochowa,0,4,4,2199,-,"549,8"
Jacek Podgórski,Korona Kielce,0,4,4,1859,-,"464,8"
Erik Janza,Górnik Zabrze,0,4,4,1722,-,"430,5"
