ZAWODNIK,KLUB,R,R celn,% R celn,R Gole,ZZA,ZZA celn,ZZA %,ZZA Gole,ZZA GOL/ZZA
Radosław Murawski,Lech,16,8,"50,0%",1,14,7,"50,0%",1,"7,1%"
Miłosz Szczepański,Piast,24,8,"33,3%",0,17,7,"41,2%",0,"0,0%"
Bartosz Slisz,Legia,21,7,"33,3%",0,17,7,"41,2%",0,"0,0%"
Efthymis Koulouris,Pogoń,79,34,"43,0%",12,13,6,"46,2%",1,"7,7%"
Jesus Imaz,Jagiellonia,81,33,"40,7%",12,15,6,"40,0%",0,"0,0%"
Bartłomiej Pawłowski,Widzew,55,25,"45,5%",8,28,6,"21,4%",0,"0,0%"
Kay Tejan,ŁKS,44,19,"43,2%",7,17,6,"35,3%",1,"5,9%"
Michał Rakoczy,Cracovia,68,17,"25,0%",6,32,6,"18,8%",1,"3,1%"
Piotr Samiec-Talar,Śląsk,40,15,"37,5%",7,13,6,"46,2%",2,"15,4%"
Mateusz Wdowiak,Zagłębie,39,15,"38,5%",5,16,6,"37,5%",2,"12,5%"
Lukas Podolski,Górnik Z,45,12,"26,7%",3,28,6,"21,4%",1,"3,6%"
Lisandro Semedo,Radomiak,32,12,"37,5%",4,13,6,"46,2%",0,"0,0%"
Fran Alvarez,Widzew,46,11,"23,9%",6,27,6,"22,2%",3,"11,1%"
Maciej Żurawski,Warta,28,10,"35,7%",4,15,6,"40,0%",0,"0,0%"
Serhij Bułeca,Zagłębie,26,9,"34,6%",1,18,6,"33,3%",1,"5,6%"
Mikael Ishak,Lech,49,27,"55,1%",11,11,5,"45,5%",2,"18,2%"
Nene,Jagiellonia,56,22,"39,3%",9,27,5,"18,5%",0,"0,0%"
Kajetan Szmyt,Warta,39,14,"35,9%",7,19,5,"26,3%",0,"0,0%"
Dawid Błanik,Korona,35,12,"34,3%",1,18,5,"27,8%",0,"0,0%"
Miłosz Kozak,Ruch,36,11,"30,6%",2,18,5,"27,8%",0,"0,0%"
Fabio Nunes,Widzew,35,10,"28,6%",2,16,5,"31,3%",1,"6,3%"
Filip Starzyński,Ruch,27,9,"33,3%",0,17,5,"29,4%",0,"0,0%"
Grzegorz Tomasiewicz,Piast,41,9,"22,0%",2,29,5,"17,2%",0,"0,0%"
Luis Miguel,Warta,28,8,"28,6%",2,16,5,"31,3%",1,"6,3%"
Tomasz Makowski,Zagłębie,22,7,"31,8%",2,15,5,"33,3%",1,"6,7%"
Christos Donis,Radomiak,22,6,"27,3%",1,20,5,"25,0%",1,"5,0%"
Daniel Szczepan,Ruch,69,25,"36,2%",10,14,4,"28,6%",1,"7,1%"
Afimico Pululu,Jagiellonia,43,23,"53,5%",12,12,4,"33,3%",0,"0,0%"
Kacper Chodyna,Zagłębie,59,21,"35,6%",7,21,4,"19,0%",0,"0,0%"
Benjamin Kallman,Cracovia,51,21,"41,2%",9,8,4,"50,0%",2,"25,0%"
Ante Crnac,Raków,51,19,"37,3%",8,9,4,"44,4%",2,"22,2%"
Jorge Felix,Piast,40,18,"45,0%",7,10,4,"40,0%",1,"10,0%"
Dawid Abramowicz,Radomiak,37,15,"40,5%",2,10,4,"40,0%",0,"0,0%"
Filip Marchwiński,Lech,34,15,"44,1%",8,9,4,"44,4%",1,"11,1%"
Dominik Marczuk,Jagiellonia,38,15,"39,5%",6,8,4,"50,0%",1,"12,5%"
Jose Naranjo,Jagiellonia,40,15,"37,5%",6,15,4,"26,7%",1,"6,7%"
Tomasz Pieńko,Zagłębie,51,14,"27,5%",0,18,4,"22,2%",0,"0,0%"
Artur Siemaszko,Puszcza,30,13,"43,3%",5,16,4,"25,0%",1,"6,3%"
Filip Szymczak,Lech,37,13,"35,1%",3,12,4,"33,3%",0,"0,0%"
Rafał Wolski,Radomiak,40,12,"30,0%",2,14,4,"28,6%",0,"0,0%"
Krzysztof Wołkowicz,Stal,22,11,"50,0%",1,11,4,"36,4%",0,"0,0%"
Ronaldo Deaconu,Korona,28,10,"35,7%",3,17,4,"23,5%",0,"0,0%"
Karol Knap,Cracovia,25,9,"36,0%",4,17,4,"23,5%",0,"0,0%"
Damian Rasak,Górnik Z,40,9,"22,5%",2,29,4,"13,8%",0,"0,0%"
Stefan Savić,Warta,18,8,"44,4%",2,9,4,"44,4%",0,"0,0%"
Tomasz Swędrowski,Ruch,21,8,"38,1%",4,8,4,"50,0%",2,"25,0%"
Mariusz Fornalczyk,Pogoń/Korona,19,7,"36,8%",2,11,4,"36,4%",1,"9,1%"
Bartosz Kapustka,Legia,16,7,"43,8%",2,7,4,"57,1%",1,"14,3%"
Otar Kakabadze,Cracovia,17,6,"35,3%",2,11,4,"36,4%",1,"9,1%"
Konrad Stępień,Puszcza,17,6,"35,3%",0,4,4,"100,0%",0,"0,0%"
Juliusz Letniowski,Ruch,39,5,"12,8%",1,32,4,"12,5%",1,"3,1%"
Dani Pacheco,Górnik Z,18,5,"27,8%",1,15,4,"26,7%",1,"6,7%"
Michał Walski,Puszcza,20,5,"25,0%",2,16,4,"25,0%",1,"6,3%"
Patryk Makuch,Cracovia,81,21,"25,9%",4,21,3,"14,3%",0,"0,0%"
Michael Ameyaw,Piast,51,20,"39,2%",6,8,3,"37,5%",1,"12,5%"
Pedro Henrique,Radomiak,56,20,"35,7%",8,8,3,"37,5%",2,"25,0%"
Bartosz Nowak,Raków,47,19,"40,4%",7,14,3,"21,4%",1,"7,1%"
John Yeboah,Raków,42,16,"38,1%",3,12,3,"25,0%",0,"0,0%"
Imad Rondić,Widzew,32,15,"46,9%",5,4,3,"75,0%",0,"0,0%"
Kristoffer Hansen,Jagiellonia,38,14,"36,8%",9,11,3,"27,3%",1,"9,1%"
Fabian Piasecki,Raków/Piast,22,12,"54,5%",2,8,3,"37,5%",1,"12,5%"
Daisuke Yokota,Górnik Z,26,12,"46,2%",7,10,3,"30,0%",0,"0,0%"
Adriel Ba Loua,Lech,27,11,"40,7%",4,11,3,"27,3%",0,"0,0%"
Damian Kądzior,Piast,20,10,"50,0%",2,12,3,"25,0%",1,"8,3%"
Kamil Lukoszek,Górnik Z,23,10,"43,5%",3,9,3,"33,3%",1,"11,1%"
Ernest Muci,Legia,42,10,"23,8%",4,26,3,"11,5%",1,"3,8%"
Luka Vusković,Radomiak,19,10,"52,6%",3,4,3,"75,0%",1,"25,0%"
Petr Schwarz,Śląsk,37,8,"21,6%",3,18,3,"16,7%",0,"0,0%"
Szymon Czyż,Górnik Z,18,7,"38,9%",4,8,3,"37,5%",1,"12,5%"
Pirulo,ŁKS,24,7,"29,2%",1,11,3,"27,3%",1,"9,1%"
Gustav Berggren,Raków,18,6,"33,3%",2,8,3,"37,5%",2,"25,0%"
Jesper Karlstrom,Lech,24,6,"25,0%",2,18,3,"16,7%",2,"11,1%"
Łukasz Moneta,Ruch,18,6,"33,3%",1,9,3,"33,3%",0,"0,0%"
Bartosz Szeliga,ŁKS,18,6,"33,3%",0,9,3,"33,3%",0,"0,0%"
Patrick Olsen,Śląsk,17,5,"29,4%",0,12,3,"25,0%",0,"0,0%"
Mateusz Bochnak,Cracovia,11,4,"36,4%",0,7,3,"42,9%",0,"0,0%"
Rafał Kurzawa,Pogoń,22,4,"18,2%",1,14,3,"21,4%",1,"7,1%"
Srdan Plavsić,Raków,9,4,"44,4%",1,6,3,"50,0%",1,"16,7%"
Jakub Serafin,Puszcza,17,4,"23,5%",0,15,3,"20,0%",0,"0,0%"
Bartłomiej Kłudka,Zagłębie,12,3,"25,0%",1,11,3,"27,3%",1,"9,1%"
Ben Lederman,Raków,12,3,"25,0%",0,9,3,"33,3%",0,"0,0%"
Luizao,Radomiak,23,3,"13,0%",0,22,3,"13,6%",0,"0,0%"
Bartłomiej Poczobut,Puszcza,9,3,"33,3%",1,6,3,"50,0%",1,"16,7%"
Peter Pokorny,Śląsk,16,3,"18,8%",0,15,3,"20,0%",0,"0,0%"
Maciej Sadlok,Ruch,11,3,"27,3%",0,8,3,"37,5%",0,"0,0%"
Kamil Cybulski,Widzew,11,3,"27,3%",0,8,3,"37,5%",0,"0,0%"
Noah Diliberto,Widzew,7,3,"42,9%",1,5,3,"60,0%",1,"20,0%"
Mohamed Mezghrani,Warta,8,3,"37,5%",0,5,3,"60,0%",0,"0,0%"
Ilja Szkurin,Stal,41,25,"61,0%",16,5,2,"40,0%",0,"0,0%"
Adrian Kapralik,Górnik Z,62,22,"35,5%",7,15,2,"13,3%",0,"0,0%"
Jewgienij Szykawka,Korona,46,21,"45,7%",10,6,2,"33,3%",0,"0,0%"
Patryk Dziczek,Piast,44,19,"43,2%",8,17,2,"11,8%",0,"0,0%"
Alexander Gorgon,Pogoń,33,13,"39,4%",8,9,2,"22,2%",1,"11,1%"
Edi Semedo,Radomiak,26,12,"46,2%",4,4,2,"50,0%",0,"0,0%"
Michał Chrapek,Piast,37,10,"27,0%",1,12,2,"16,7%",0,"0,0%"
Antoni Klimek,Widzew,35,10,"28,6%",3,16,2,"12,5%",1,"6,3%"
Fredrik Ulvestad,Pogoń,32,9,"28,1%",6,8,2,"25,0%",1,"12,5%"
Mateusz Kupczak,Warta,23,8,"34,8%",4,12,2,"16,7%",2,"16,7%"
Silva Jean Carlos,Raków,29,7,"24,1%",2,7,2,"28,6%",0,"0,0%"
Bartosz Kopacz,Zagłębie,17,7,"41,2%",2,6,2,"33,3%",0,"0,0%"
Jacek Podgórski,Korona,33,7,"21,2%",0,21,2,"9,5%",0,"0,0%"
Marko Poletanović,Zagłębie,17,7,"41,2%",1,6,2,"33,3%",1,"16,7%"
Husein Balić,ŁKS,16,7,"43,8%",3,7,2,"28,6%",0,"0,0%"
Tomas Prikryl,Warta,19,6,"31,6%",2,9,2,"22,2%",1,"11,1%"
Stratos Svarnas,Raków,13,6,"46,2%",1,3,2,"66,7%",0,"0,0%"
Patryk Sokołowski,Cracovia,15,6,"40,0%",0,7,2,"28,6%",0,"0,0%"
Rafał Augustyniak,Legia,28,5,"17,9%",1,18,2,"11,1%",1,"5,6%"
Mateusz Cholewiak,Puszcza,19,5,"26,3%",3,9,2,"22,2%",1,"11,1%"
Dominik Kun,Widzew,16,5,"31,3%",1,7,2,"28,6%",0,"0,0%"
Luis Silva,Widzew,16,5,"31,3%",1,5,2,"40,0%",0,"0,0%"
Adam Zrelak,Warta,11,5,"45,5%",4,3,2,"66,7%",2,"66,7%"
Bartosz Kwiecień,Korona,13,5,"38,5%",1,5,2,"40,0%",0,"0,0%"
Afonso Sousa,Lech,19,4,"21,1%",0,12,2,"16,7%",0,"0,0%"
Mateusz Czyżycki,Korona,17,4,"23,5%",1,10,2,"20,0%",0,"0,0%"
Joao Gamboa,Pogoń,20,4,"20,0%",0,8,2,"25,0%",0,"0,0%"
Paweł Jaroszyński,Cracovia,13,4,"30,8%",3,8,2,"25,0%",2,"25,0%"
Joel Pereira,Lech,10,4,"40,0%",2,7,2,"28,6%",1,"14,3%"
Arkadiusz Pyrka,Piast,22,4,"18,2%",0,12,2,"16,7%",0,"0,0%"
Patryk Sikora,Ruch,16,4,"25,0%",1,11,2,"18,2%",0,"0,0%"
Ernest Terpiłowski,Widzew,10,4,"40,0%",1,4,2,"50,0%",1,"25,0%"
Michał Trąbka,Stal,10,4,"40,0%",1,8,2,"25,0%",0,"0,0%"
Jardel,Radomiak,8,4,"50,0%",2,3,2,"66,7%",1,"33,3%"
Łukasz Bejger,Śląsk,8,3,"37,5%",1,3,2,"66,7%",0,"0,0%"
Juergen Elitim,Legia,22,3,"13,6%",1,15,2,"13,3%",1,"6,7%"
Piotr Głowacki,ŁKS,14,3,"21,4%",0,9,2,"22,2%",0,"0,0%"
Yoav Hofmeister,Korona,10,3,"30,0%",1,5,2,"40,0%",0,"0,0%"
Nika Kwekweskiri,Lech,19,3,"15,8%",1,16,2,"12,5%",0,"0,0%"
Jakub Łukowski,Korona,10,3,"30,0%",0,4,2,"50,0%",0,"0,0%"
Michał Mokrzycki,ŁKS,26,3,"11,5%",0,21,2,"9,5%",0,"0,0%"
Marek Mróz,Zagłębie,15,3,"20,0%",1,11,2,"18,2%",1,"9,1%"
Elias Andersson,Lech,5,2,"40,0%",0,5,2,"40,0%",0,"0,0%"
Łukasz Gerstenstein,Stal,10,2,"20,0%",2,5,2,"40,0%",2,"40,0%"
Dalibor Takac,Korona,9,2,"22,2%",0,8,2,"25,0%",0,"0,0%"
Dawid Tkacz,Widzew,15,2,"13,3%",0,10,2,"20,0%",0,"0,0%"
Filip Wilak,Lech/Ruch,5,2,"40,0%",0,4,2,"50,0%",0,"0,0%"
Jin-hyun Lee,Puszcza,7,2,"28,6%",0,5,2,"40,0%",0,"0,0%"
Guilherme Zimovski,Radomiak,4,2,"50,0%",1,2,2,"100,0%",1,"50,0%"
Sanchez Jordi,Widzew,47,23,"48,9%",8,3,1,"33,3%",0,"0,0%"
Łukasz Zwoliński,Raków,26,17,"65,4%",5,3,1,"33,3%",0,"0,0%"
Sebastian Musiolik,Górnik Z,29,15,"51,7%",4,4,1,"25,0%",0,"0,0%"
Kamil Zapolnik,Puszcza,34,15,"44,1%",5,2,1,"50,0%",0,"0,0%"
Paweł Wszołek,Legia,26,13,"50,0%",4,4,1,"25,0%",0,"0,0%"
Adrian Dalmau,Korona,23,11,"47,8%",5,3,1,"33,3%",0,"0,0%"
Virgil Ghita,Cracovia,30,11,"36,7%",4,6,1,"16,7%",0,"0,0%"
Juan Munoz,Zagłębie,33,11,"33,3%",4,7,1,"14,3%",0,"0,0%"
Dawid Drachal,Raków,22,9,"40,9%",3,4,1,"25,0%",0,"0,0%"
Giannis Papanikolaou,Raków,16,9,"56,3%",5,5,1,"20,0%",0,"0,0%"
Dario Vizinger,Warta,21,8,"38,1%",1,5,1,"20,0%",0,"0,0%"
Jakub Bartosz,Puszcza,21,6,"28,6%",1,8,1,"12,5%",0,"0,0%"
Adrian Przyborek,Pogoń,17,6,"35,3%",1,3,1,"33,3%",0,"0,0%"
Mateusz Żyro,Widzew,11,6,"54,5%",2,2,1,"50,0%",0,"0,0%"
Andrejs Ciganiks,Widzew,22,5,"22,7%",3,14,1,"7,1%",1,"7,1%"
Erik Janza,Górnik Z,11,5,"45,5%",0,1,1,"100,0%",0,"0,0%"
Paweł Olkowski,Górnik Z,16,5,"31,3%",1,6,1,"16,7%",0,"0,0%"
Taras Romanczuk,Jagiellonia,21,5,"23,8%",1,8,1,"12,5%",0,"0,0%"
Fran Tudor,Raków,23,5,"21,7%",0,16,1,"6,3%",0,"0,0%"
Luka Zahović,Pogoń,12,5,"41,7%",1,1,1,"100,0%",0,"0,0%"
Damjan Bohar,Zagłębie,13,4,"30,8%",1,5,1,"20,0%",0,"0,0%"
Kamil Dankowski,ŁKS,25,4,"16,0%",0,13,1,"7,7%",0,"0,0%"
Marcin Flis,ŁKS,14,4,"28,6%",0,4,1,"25,0%",0,"0,0%"
Sonny Kittel,Raków,10,4,"40,0%",3,2,1,"50,0%",0,"0,0%"
Konrad Matuszewski,Warta,10,4,"40,0%",1,5,1,"20,0%",0,"0,0%"
Yuri Ribeiro,Legia,12,4,"33,3%",0,3,1,"33,3%",0,"0,0%"
Miłosz Trojak,Korona,11,4,"36,4%",2,2,1,"50,0%",0,"0,0%"
Tomasz Wójtowicz,Ruch,25,4,"16,0%",2,12,1,"8,3%",0,"0,0%"
Ryoya Morishita,Legia,12,4,"33,3%",0,4,1,"25,0%",0,"0,0%"
Kaan Caliskaner,Jagiellonia,7,4,"57,1%",2,1,1,"100,0%",1,"100,0%"
Danny Trejo,Korona,12,4,"33,3%",2,3,1,"33,3%",1,"33,3%"
Rahil Mammadov,ŁKS,11,4,"36,4%",0,2,1,"50,0%",0,"0,0%"
Robert Dadok,Górnik Z/Ruch,16,3,"18,8%",1,5,1,"20,0%",0,"0,0%"
Gil Dias,Legia,12,3,"25,0%",0,6,1,"16,7%",0,"0,0%"
Marco Ehmann,Stal,5,3,"60,0%",0,2,1,"50,0%",0,"0,0%"
Maciej Firlej,Ruch/Puszcza,7,3,"42,9%",0,2,1,"50,0%",0,"0,0%"
Matthew Guillaumier,Stal,16,3,"18,8%",2,8,1,"12,5%",0,"0,0%"
Dino Hotić,Lech,8,3,"37,5%",0,3,1,"33,3%",0,"0,0%"
Juan Ibiza,Widzew,7,3,"42,9%",1,1,1,"100,0%",0,"0,0%"
Piotr Janczukowicz,ŁKS,15,3,"20,0%",2,5,1,"20,0%",0,"0,0%"
Rok Kidric,Puszcza,6,3,"50,0%",1,1,1,"100,0%",0,"0,0%"
Niilo Maenpaa,Warta,5,3,"60,0%",0,3,1,"33,3%",0,"0,0%"
Takuto Oshima,Cracovia,16,3,"18,8%",0,10,1,"10,0%",0,"0,0%"
Michał Rzuchowski,Śląsk,8,3,"37,5%",1,1,1,"100,0%",0,"0,0%"
Szymon Szymański,Ruch,11,3,"27,3%",0,7,1,"14,3%",0,"0,0%"
Hubert Tomalski,Puszcza,14,3,"21,4%",0,10,1,"10,0%",0,"0,0%"
Kamil Wilczek,Piast,14,3,"21,4%",2,1,1,"100,0%",1,"100,0%"
Piotr Wlazło,Stal,23,3,"13,0%",1,14,1,"7,1%",0,"0,0%"
Mikkel Maigaard,Cracovia,10,3,"30,0%",0,4,1,"25,0%",0,"0,0%"
Filip Borowski,Warta,13,2,"15,4%",0,6,1,"16,7%",0,"0,0%"
Adrian Dieguez,Jagiellonia,15,2,"13,3%",0,5,1,"20,0%",0,"0,0%"
Filipe Nascimento,Górnik Z,7,2,"28,6%",1,5,1,"20,0%",0,"0,0%"
Patryk Janasik,Śląsk,12,2,"16,7%",0,8,1,"12,5%",0,"0,0%"
Dennis Jastrzembski,Śląsk,3,2,"66,7%",0,1,1,"100,0%",0,"0,0%"
Piotr Malarczyk,Korona,13,2,"15,4%",0,4,1,"25,0%",0,"0,0%"
Mato Milos,Widzew,4,2,"50,0%",0,3,1,"33,3%",0,"0,0%"
Marcel Pięczek,Puszcza/Korona,7,2,"28,6%",0,5,1,"20,0%",0,"0,0%"
Tomas Podstawski,Ruch,5,2,"40,0%",1,3,1,"33,3%",1,"33,3%"
Michal Siplak,Górnik Z,3,2,"66,7%",1,2,1,"50,0%",1,"50,0%"
Dominik Steczyk,Ruch,7,2,"28,6%",0,3,1,"33,3%",0,"0,0%"
Igor Strzałek,Legia/Stal,10,2,"20,0%",1,6,1,"16,7%",0,"0,0%"
Marcel Wędrychowski,Pogoń,7,2,"28,6%",1,2,1,"50,0%",0,"0,0%"
Patryk Paryzek,Pogoń,4,2,"50,0%",1,1,1,"100,0%",0,"0,0%"
Mike Huras,Ruch,2,2,"100,0%",0,1,1,"100,0%",0,"0,0%"
Thiago,Puszcza,6,2,"33,3%",0,4,1,"25,0%",0,"0,0%"
Joao Peglow,Radomiak,5,2,"40,0%",0,2,1,"50,0%",0,"0,0%"
Fredrik Krogstad,Korona,5,2,"40,0%",0,2,1,"50,0%",0,"0,0%"
Marius Briceag,Korona,6,1,"16,7%",0,5,1,"20,0%",0,"0,0%"
Jurgen Celhaka,Legia,3,1,"33,3%",0,2,1,"50,0%",0,"0,0%"
Marcus Godinho,Korona,6,1,"16,7%",0,3,1,"33,3%",0,"0,0%"
Sebastian Kerk,Widzew,4,1,"25,0%",0,4,1,"25,0%",0,"0,0%"
Jakub Kiełb,Warta,5,1,"20,0%",0,5,1,"20,0%",0,"0,0%"
Adrian Małachowski,ŁKS,2,1,"50,0%",0,2,1,"50,0%",0,"0,0%"
Jakub Myszor,Cracovia/Raków,3,1,"33,3%",0,3,1,"33,3%",0,"0,0%"
Gabriel Kobylak,Radomiak,1,1,"100,0%",1,1,1,"100,0%",1,"100,0%"
Bartosz Salamon,Lech,6,1,"16,7%",0,2,1,"50,0%",0,"0,0%"
Ivi Lopez,Raków,2,1,"50,0%",0,2,1,"50,0%",0,"0,0%"
Tom Hateley,Piast,1,1,"100,0%",0,1,1,"100,0%",0,"0,0%"
Alex Cetnar,Stal,1,1,"100,0%",0,1,1,"100,0%",0,"0,0%"
Tomas Pekhart,Legia,26,15,"57,7%",8,1,0,"0,0%",0,"0,0%"
Bogdan Racovitan,Raków,20,13,"65,0%",3,1,0,"0,0%",0,"0,0%"
Leonardo Rocha,Radomiak,37,13,"35,1%",4,4,0,"0,0%",0,"0,0%"
Artur Craciun,Puszcza,28,11,"39,3%",7,1,0,"0,0%",0,"0,0%"
Soma Novothny,Ruch,23,11,"47,8%",4,4,0,"0,0%",0,"0,0%"
Jakub Czerwiński,Piast,23,10,"43,5%",1,3,0,"0,0%",0,"0,0%"
Roman Jakuba,Puszcza,23,8,"34,8%",4,4,0,"0,0%",0,"0,0%"
Aleks Ławniczak,Zagłębie,18,8,"44,4%",4,2,0,"0,0%",0,"0,0%"
Michał Nalepa II,Zagłębie,19,8,"42,1%",0,2,0,"0,0%",0,"0,0%"
Linus Wahlqvist,Pogoń,25,8,"32,0%",0,5,0,"0,0%",0,"0,0%"
Marton Eppel,Warta,19,7,"36,8%",2,5,0,"0,0%",0,"0,0%"
Kai Meriluoto,Stal,14,7,"50,0%",2,3,0,"0,0%",0,"0,0%"
Łukasz Sołowiej,Puszcza,13,7,"53,8%",6,1,0,"0,0%",0,"0,0%"
Arttu Hoskonen,Cracovia,16,6,"37,5%",1,1,0,"0,0%",0,"0,0%"
Stipe Jurić,ŁKS,10,6,"60,0%",4,1,0,"0,0%",0,"0,0%"
Serhij Krykun,Piast,29,6,"20,7%",3,15,0,"0,0%",0,"0,0%"
Jehor Macenko,Śląsk,21,6,"28,6%",3,4,0,"0,0%",0,"0,0%"
Piotr Mroziński,Puszcza,25,6,"24,0%",1,7,0,"0,0%",0,"0,0%"
Maciej Rosołek,Legia,28,6,"21,4%",2,8,0,"0,0%",0,"0,0%"
Patryk Klimala,Śląsk,18,6,"33,3%",0,2,0,"0,0%",0,"0,0%"
Blaz Kramer,Legia,14,5,"35,7%",4,1,0,"0,0%",0,"0,0%"
Jarosław Kubicki,Jagiellonia,14,5,"35,7%",1,4,0,"0,0%",0,"0,0%"
Aleks Petkow,Śląsk,10,5,"50,0%",0,1,0,"0,0%",0,"0,0%"
Mateusz Skrzypczak,Jagiellonia,11,5,"45,5%",3,1,0,"0,0%",0,"0,0%"
Adam Vlkanova,Ruch,13,5,"38,5%",1,2,0,"0,0%",0,"0,0%"
Miha Blazic,Lech,11,4,"36,4%",1,4,0,"0,0%",0,"0,0%"
Frank Castaneda,Radomiak,19,4,"21,1%",1,8,0,"0,0%",0,"0,0%"
Alan Czerwiński,Lech,11,4,"36,4%",1,3,0,"0,0%",0,"0,0%"
Bert Esselink,Stal,11,4,"36,4%",2,1,0,"0,0%",0,"0,0%"
Mateusz Grzybek,Zagłębie,13,4,"30,8%",1,7,0,"0,0%",0,"0,0%"
Marek Hanousek,Widzew,17,4,"23,5%",0,8,0,"0,0%",0,"0,0%"
Martin Konczkowski,Śląsk,10,4,"40,0%",1,1,0,"0,0%",0,"0,0%"
Patryk Kun,Legia,13,4,"30,8%",1,1,0,"0,0%",0,"0,0%"
Luis Machado,Radomiak,18,4,"22,2%",1,10,0,"0,0%",0,"0,0%"
Jordan Majchrzak,Puszcza,10,4,"40,0%",1,3,0,"0,0%",0,"0,0%"
Wojciech Hajda,Puszcza,10,3,"30,0%",1,3,0,"0,0%",0,"0,0%"
Jakub Holubek,Piast,6,3,"50,0%",0,1,0,"0,0%",0,"0,0%"
Jakub Konstantyn,Korona,8,3,"37,5%",1,1,0,"0,0%",0,"0,0%"
Jakub Lewicki,Jagiellonia,7,3,"42,9%",2,1,0,"0,0%",0,"0,0%"
Kacper Michalski,Ruch,15,3,"20,0%",1,5,0,"0,0%",0,"0,0%"
Antonio Milić,Lech,14,3,"21,4%",1,1,0,"0,0%",0,"0,0%"
Cornel Rapa,Cracovia,13,3,"23,1%",0,5,0,"0,0%",0,"0,0%"
Benedikt Zech,Pogoń,7,3,"42,9%",0,2,0,"0,0%",0,"0,0%"
Vagner Dias,Radomiak,11,3,"27,3%",2,3,0,"0,0%",0,"0,0%"
Mateusz Bartolewski,Ruch,10,2,"20,0%",2,2,0,"0,0%",0,"0,0%"
Marcin Cebula,Raków,12,2,"16,7%",1,6,0,"0,0%",0,"0,0%"
Barry Douglas,Lech,5,2,"40,0%",0,2,0,"0,0%",0,"0,0%"
Alvis Jaunzems,Stal,7,2,"28,6%",1,4,0,"0,0%",0,"0,0%"
Michał Kaput,Radomiak,12,2,"16,7%",0,8,0,"0,0%",0,"0,0%"
Leonardo Koutris,Pogoń,18,2,"11,1%",1,10,0,"0,0%",0,"0,0%"
Jakub Letniowski,ŁKS,6,2,"33,3%",0,2,0,"0,0%",0,"0,0%"
Antoni Młynarczyk,ŁKS,10,2,"20,0%",1,2,0,"0,0%",0,"0,0%"
Wiktor Pleśnierowicz,Warta,9,2,"22,2%",0,2,0,"0,0%",0,"0,0%"
Michal Sacek,Jagiellonia,15,2,"13,3%",1,10,0,"0,0%",0,"0,0%"
Deian Sorescu,Raków,10,2,"20,0%",1,2,0,"0,0%",0,"0,0%"
Dimitris Stavropoulos,Warta,10,2,"20,0%",1,2,0,"0,0%",0,"0,0%"
Soichiro Kozuki,Górnik Z,5,2,"40,0%",1,1,0,"0,0%",0,"0,0%"
Makana Baku,Legia,5,1,"20,0%",1,1,0,"0,0%",0,"0,0%"
Jakub Bartkowski,Warta,5,1,"20,0%",0,1,0,"0,0%",0,"0,0%"
Leo Borges,Pogoń,11,1,"9,1%",1,5,0,"0,0%",0,"0,0%"
Marco Burch,Legia,5,1,"20,0%",0,2,0,"0,0%",0,"0,0%"
Ali Gholizadeh,Lech,5,1,"20,0%",0,2,0,"0,0%",0,"0,0%"
Jan Grzesik,Radomiak,9,1,"11,1%",1,4,0,"0,0%",0,"0,0%"
