ZAWODNIK,KLUB,Strzały,G,xG,xG/s,G-xG,non-pen xG,non-pen xG/s,G - xG NON-PEN,KP,AST,xAST,KP-xAST
Kacper Śmiglewski,Cracovia,4,0,"0,265","0,066","-0,265","0,265","0,066","-0,265",4,1,"0,110","0,890"
Marco Burch,Legia,5,0,"0,276","0,055","-0,276","0,276","0,055","-0,276",1,0,"0,038","-0,038"
Dominik Szala,Górnik Z,2,0,"0,279","0,140","-0,279","0,279","0,140","-0,279",0,0,"0,000","0,000"
Boris Sekulić,Górnik Z,5,0,"0,280","0,056","-0,280","0,280","0,056","-0,280",21,1,"1,063","-0,063"
Miłosz Strzeboński,Korona,6,0,"0,281","0,047","-0,281","0,281","0,047","-0,281",0,0,"0,000","0,000"
Levent Gulen,ŁKS,4,0,"0,283","0,071","-0,283","0,283","0,071","-0,283",1,1,"0,045","0,955"
Antonio Milić,Lech,14,1,"1,288","0,092","-0,288","1,288","0,092","-0,288",3,0,"0,362","-0,362"
Jehor Macenko,Śląsk,21,3,"3,290","0,157","-0,290","3,290","0,157","-0,290",3,0,"0,264","-0,264"
Matheus Vinicius,Jagiellonia,3,0,"0,298","0,099","-0,298","0,298","0,099","-0,298",0,0,"0,000","0,000"
Mike Cestor,Radomiak,4,0,"0,298","0,074","-0,298","0,298","0,074","-0,298",3,0,"0,034","-0,034"
Marco Ehmann,Stal,5,0,"0,306","0,061","-0,306","0,306","0,061","-0,306",2,0,"0,122","-0,122"
Ben Lederman,Raków,12,0,"0,307","0,026","-0,307","0,307","0,026","-0,307",20,3,"1,131","1,869"
Marcus Godinho,Korona,6,0,"0,309","0,051","-0,309","0,309","0,051","-0,309",17,2,"1,207","0,793"
Jakub Letniowski,ŁKS,6,0,"0,312","0,052","-0,312","0,312","0,052","-0,312",7,0,"0,644","-0,644"
Paweł Kwiatkowski,Widzew,1,0,"0,321","0,321","-0,321","0,321","0,321","-0,321",0,0,"0,000","0,000"
Maciej Śliwa,ŁKS,5,0,"0,330","0,066","-0,330","0,330","0,066","-0,330",0,0,"0,000","0,000"
Kostas Triantafyllopoulos,górnik Z,5,0,"0,332","0,066","-0,332","0,332","0,066","-0,332",0,0,"0,000","0,000"
Miłosz Matysik,Jagiellonia,3,0,"0,335","0,112","-0,335","0,335","0,112","-0,335",1,0,"0,000","0,000"
Serhij Bułeca,Zagłębie,26,1,"1,337","0,051","-0,337","1,337","0,051","-0,337",36,4,"2,581","1,419"
Marius Briceag,Korona,6,0,"0,337","0,056","-0,337","0,337","0,056","-0,337",20,0,"1,435","-1,435"
Thiago,Puszcza,6,0,"0,344","0,057","-0,344","0,344","0,057","-0,344",2,0,"0,204","-0,204"
Dennis Jastrzembski,Śląsk,3,0,"0,347","0,116","-0,347","0,347","0,116","-0,347",3,1,"0,205","0,795"
Imad Rondić,Widzew,32,5,"5,098","0,159","-0,098","4,348","0,140","-0,348",6,2,"0,561","1,439"
Nacho Monsalve,ŁKS,3,0,"0,349","0,116","-0,349","0,349","0,116","-0,349",2,0,"0,133","-0,133"
Krystian Okoniewski,Radomiak,3,0,"0,352","0,117","-0,352","0,352","0,117","-0,352",0,0,"0,000","0,000"
Juliusz Letniowski,Ruch,39,1,"1,359","0,035","-0,359","1,359","0,035","-0,359",20,0,"1,342","-1,342"
Patryk Janasik,Śląsk,12,0,"0,369","0,031","-0,369","0,369","0,031","-0,369",12,1,"1,777","-0,777"
Kamil Cybulski,Widzew,11,0,"0,374","0,034","-0,374","0,374","0,034","-0,374",4,0,"0,605","-0,605"
Peter Pokorny,Śląsk,16,0,"0,381","0,024","-0,381","0,381","0,024","-0,381",12,1,"0,442","0,558"
Mohamed Mezghrani,Warta,8,0,"0,381","0,048","-0,381","0,381","0,048","-0,381",10,2,"0,658","1,342"
Jakub Serafin,Puszcza,17,0,"0,382","0,022","-0,382","0,382","0,022","-0,382",36,2,"2,128","-0,128"
Tihomir Kostadinov,Piast,5,0,"0,384","0,077","-0,384","0,384","0,077","-0,384",11,3,"1,008","1,992"
Artur Sobiech,Lech,4,0,"0,386","0,097","-0,386","0,386","0,097","-0,386",5,1,"0,230","0,770"
Ali Gholizadeh,Lech,5,0,"0,391","0,078","-0,391","0,391","0,078","-0,391",4,0,"0,460","-0,460"
Filip Przybułek,Widzew,2,0,"0,400","0,200","-0,400","0,400","0,200","-0,400",0,0,"0,000","0,000"
Luizao,Radomiak,23,0,"0,409","0,018","-0,409","0,409","0,018","-0,409",14,0,"0,697","-0,697"
Adnan Kovacević,Raków,5,0,"0,410","0,082","-0,410","0,410","0,082","-0,410",2,0,"0,618","-0,618"
Jarosław Kubicki,Jagiellonia,14,1,"1,411","0,101","-0,411","1,411","0,101","-0,411",18,3,"1,234","1,766"
Juljan Shehu,Widzew,8,0,"0,421","0,053","-0,421","0,421","0,053","-0,421",6,1,"0,533","0,467"
Arttu Hoskonen,Cracovia,16,1,"1,426","0,089","-0,426","1,426","0,089","-0,426",6,0,"0,191","-0,191"
Paweł Olkowski,Górnik Z,16,1,"1,429","0,089","-0,429","1,429","0,089","-0,429",12,0,"0,641","-0,641"
Kenneth Zohore,Śląsk,4,0,"0,432","0,108","-0,432","0,432","0,108","-0,432",0,0,"0,000","0,000"
Kacper Michalski,Ruch,15,1,"1,433","0,096","-0,433","1,433","0,096","-0,433",13,0,"1,073","-1,073"
Niilo Maenpaa,Warta,5,0,"0,437","0,087","-0,437","0,437","0,087","-0,437",8,1,"0,368","0,632"
Maciej Sadlok,Ruch,11,0,"0,443","0,040","-0,443","0,443","0,040","-0,443",16,0,"1,179","-1,179"
Nono,Korona,33,4,"3,952","0,120","0,048","2,452","0,079","-0,452",38,4,"2,590","1,410"
Bogdan Tiru,Warta,6,0,"0,456","0,076","-0,456","0,456","0,076","-0,456",4,0,"0,566","-0,566"
Wojciech Urbański,Legia,3,0,"0,470","0,157","-0,470","0,470","0,157","-0,470",4,0,"0,245","-0,245"
Fabian Piasecki,Raków/Piast,22,2,"3,225","0,147","-1,225","2,475","0,118","-0,475",8,0,"0,721","-0,721"
Dominik Steczyk,Ruch,7,0,"0,481","0,069","-0,481","0,481","0,069","-0,481",2,0,"0,096","-0,096"
