KOL,GOSP,GOŚĆ,ST GOSP,ST GOŚĆ,ST C GOSP,ST C GOŚĆ,G GOSP,G GOŚĆ,xG GOSP,xG GOŚĆ,xG/s gosp,xG/s gość,% GOSP,% REMIS,% GOŚĆ
10,Piast,Widzew,7,11,3,4,3,1,"1,92","1,07","0,27","0,10",59%,22%,18%
10,ŁKS,Cracovia,14,17,2,4,0,2,"0,62","1,82","0,04","0,11",11%,21%,67%
10,Puszcza,Ruch,13,12,6,5,2,2,"1,56","0,54","0,12","0,05",64%,24%,12%
10,Warta,Śląsk,14,7,4,2,0,1,"2,16","0,33","0,15","0,05",82%,14%,4%
10,Raków,Radomiak,12,11,8,3,3,0,"1,38","0,97","0,12","0,09",47%,28%,26%
10,Pogoń,Lech,15,5,8,3,5,0,"1,64","0,17","0,11","0,03",77%,20%,3%
10,Jagiellonia,Legia,4,13,2,1,2,0,"0,56","0,39","0,14","0,03",33%,47%,20%
10,Górnik Z,Zagłębie,24,7,7,3,0,2,"1,58","0,68","0,07","0,10",59%,25%,15%
11,Korona,Warta,11,6,3,2,1,1,"0,74","0,19","0,07","0,03",47%,44%,9%
11,Lech,Puszcza,13,10,8,2,4,1,"1,09","1,71","0,08","0,17",23%,24%,53%
11,Radomiak,ŁKS,15,10,8,3,2,0,"1,34","0,62","0,09","0,06",55%,28%,17%
11,Widzew,Stal,14,10,4,4,1,0,"1,37","0,51","0,10","0,05",59%,27%,13%
11,Zagłębie,Piast,12,12,7,5,1,1,"0,61","1,22","0,05","0,10",18%,30%,52%
11,Ruch,Pogoń,10,17,5,7,0,2,"0,76","2,14","0,08","0,13",11%,18%,71%
11,Śląsk,Górnik Z,15,12,9,2,1,1,"1,29","0,70","0,09","0,06",51%,29%,20%
11,Cracovia,Jagiellonia,15,10,5,5,2,4,"0,86","1,48","0,06","0,15",21%,26%,53%
