KOL,STRZELEC,DLA,PRZECIW,BRAMKARZ,T/N/O,FAULOWAŁ,FAULOWANY,SĘDZIA
18,Patryk Dziczek,Piast Gliwice,Lech Poznań,Bartosz Mrozek,T,Mikael Ishak,Tomas Huk,Karol Arys
18,Artur Craciun,Puszcza Niepołomice,Widzew Łódź,Henrich Ravas,T,Juan Ibiza,ręka,Paweł Raczkowski
19,Artur Craciun,Puszcza Niepołomice,Jagiellonia Białystok,Zlatan Alomerović,T,Jose Naranjo,Roman Jakuba,Bartosz Frankowski
19,Artur Craciun,Puszcza Niepołomice,Jagiellonia Białystok,Zlatan Alomerović,T,Nene,Jakub Serafin,Bartosz Frankowski
19,Fabian Piasecki,Raków Częstochowa,Korona Kielce,Konrad Forenc,O,Miłosz Trojak,ręka,Tomasz Musiał
19,Blaż Kramer,Legia Warszawa,Cracovia,Sebastian Madejski,T,Kamil Glik,ręka,Łukasz Kuźma
20,Bartosz Nowak,Raków Częstochowa,Warta Poznań,Jędrzej Grobelny,T,Mohamed Mezghrani,Bartosz Nowak,Bartosz Frankowski
21,Kamil Grosicki,Pogoń Szczecin,Radomiak Radom,Filip Majchrowicz,T,Gabriel Kobylak,Efthymis Koulouris,Paweł Malec
21,Filip Szymczak,Lech Poznań,Jagiellonia Białystok,Zlatan Alomerović,T,Jose Naranjo,ręka,Damian Sylwestrzak
21,Patryk Dziczek,Piast Gliwice,Raków Częstochowa,Vladan Kovacević,T,Eric Otieno,Tomas Huk,Jarosław Przybył
21,Łukasz Zwoliński,Raków Częstochowa,Piast Gliwice,Frantisek Plach,T,Patryk Dziczek,Ante Crnac,Jarosław Przybył
21,Jani Atanasov,Cracovia,Zagłębie Lubin,Jasmin Burić,T,Michał Nalepa II,Benjamin Kallman,Damian Kos
23,Daniel Szczepan,Ruch Chorzów,Piast Gliwice,Karol Szymański,O,Jakub Holubek,Adam Vlkanova,Paweł Raczkowski
23,Daniel Szczepan,Ruch Chorzów,Piast Gliwice,Karol Szymański,T,Miguel Munoz,Daniel Szczepan,Paweł Raczkowski
23,Nahuel Leiva,Śląsk Wrocław,Widzew Łódź,Rafał Gikiewicz,T,Rafał Gikiewicz,Aleks Petkow,Bartosz Frankowski
23,Dani Ramirez,ŁKS Łódź,Puszcza Niepołomice,Oliwer Zych,T,Artur Craciun,ręka,Karol Arys
23,Kamil Zapolnik,Puszcza Niepołomice,ŁKS Łódź,Aleksander Bobek,T,Adrien Louveau,Kamil Zapolnik,Karol Arys
23,Leonardo Rocha,Radomiak Radom,Stal Mielec,Mateusz Kochalski,O,Krystian Getinger,ręka,Jarosław Przybył
24,Patryk Dziczek,Piast Gliwice,Radomiak Radom,Gabriel Kobylak,T,Dawid Abramowicz,Michał Chrapek,Wojciech Myć
24,Lisandro Semedo,Radomiak Radom,Piast Gliwice,Frantisek Plach,T,Jorge Felix,ręka,Wojciech Myć
24,Patryk Dziczek,Piast Gliwice,Radomiak Radom,Gabriel Kobylak,O,Bruno Jordao,Jorge Felix,Wojciech Myć
24,Łukasz Sołowiej,Puszcza Niepołomice,Raków Częstochowa,Vladan Kovacević,T,Bogdan Racovitan,ręka,Damian Sylwestrzak
24,Kacper Chodyna,Zagłębie Lubin,Pogoń Szczecin,Valentin Cojocaru,T,Benedikt Zech,ręka,Krzysztof Jakubik
24,Kamil Grosicki,Pogoń Szczecin,Zagłębie Lubin,Sokratis Dioudis,O,Kacper Chodyna,Joao Gamboa,Krzysztof Jakubik
25,Kamil Grosicki,Pogoń Szczecin,Korona Kielce,Xavier Dziekoński,T,Marcel Pięczek,ręka,Piotr Lasyk
25,Dani Ramirez,ŁKS Łódź,Raków Częstochowa,Vladan Kovacević,T,Gustav Berggren,ręka,Bartosz Frankowski
26,Afimico Pululu,Jagiellonia Białystok,ŁKS Łódź,Aleksander Bobek,T,Kay Tejan,ręka,Wojciech Myć
26,Erik Exposito,Śląsk Wrocław,Piast Gliwice,Frantisek Plach,T,Miguel Munoz,Jehor Macenko,Szymon Marciniak
26,Lawrence Ennali,Górnik Zabrze,Legia Warszawa,Dominik Hładun,T,Radovan Pankov,ręka,Jarosław Przybył
27,Dani Ramirez,ŁKS Łódź,Cracovia,Lukas Hrosso,T,Eneo Bitri,Piotr Janczukowicz,Marcin Kochanek
27,Bartłomiej Pawłowski,Widzew Łódź,Piast Gliwice,Frantisek Plach,T,Ariel Mosór,Jordi Sanchez,Karol Arys
28,Afimico Pululu,Jagiellonia Białystok,Cracovia,Sebastian Madejski,O,David Kristjan Olafsson,Nene,Paweł Raczkowski
29,Kamil Grosicki,Pogoń Szczecin,Piast Gliwice,Frantisek Plach,N,Tihomir Kostadinov,Linus Wahlqvist,Bartosz Frankowski
29,Bartłomiej Pawłowski,Widzew Łódź,Ruch Chorzów,Dante Stipica,T,Josema,ręka,Łukasz Kuźma
29,Kay Tejan,ŁKS Łódź,Lech Poznań,Bartosz Mrozek,T,Jesper Karlstrom,Husein Balić,Damian Sylwestrzak
30,Josue,Legia Warszawa,Stal Mielec,Mateusz Kochalski,T,Bert Esselink,Paweł Wszołek,Damian Sylwestrzak
30,Maciej Rosołek,Legia Warszawa,Stal Mielec,Mateusz Kochalski,T,Marco Ehmann,Wojciech Urbański,Damian Sylwestrzak
31,Mikael Ishak,Lech Poznań,Ruch Chorzów,Dante Stipica,T,Tomasz Wójtowicz,Jesper Karlstrom,Tomasz Musiał
31,Dani Ramirez,ŁKS Łódź,Śląsk Wrocław,Rafał Leszczyński,T,Simeon Petrow,ręka,Karol Arys
31,Adrian Dalmau,Korona Kielce,Piast Gliwice,Frantisek Plach,T,Tomasz Mokwa,Adrian Dalmau,Szymon Marciniak
32,Afimico Pululu,Jagiellonia Białystok,Korona Kielce,Xavier Dziekoński,T,Miłosz Trojak,ręka,Tomasz Musiał
32,Giannis Papanikolau,Raków Częstochowa,Pogoń Szczecin,Valentin Cojocaru,O,Leo Borges,ręka,Łukasz Kuźma
32,Josue,Legia Warszawa,Lech Poznań,Bartosz Mrozek,O,Barry Douglas,Marc Gual,Szymon Marciniak
33,Imad Rondić,Widzew Łódź,Lech Poznań,Bartosz Mrozek,T,Bartosz Mrozek,Kamil Cybulski,Piotr Lasyk
34,Ilja Szkurin,Stal Mielec,ŁKS Łódź,Dawid Arndt,T,Piotr Głowacki,Ilja Szkurin,Marcin Kochanek
34,Nahuel Leiva,Śląsk Wrocław,Raków Częstochowa,Vladan Kovacević,T,Fran Tudor,Erik Exposito,Szymon Marciniak
